d_vendor_name,max_years,n
EMCEE CONSTRUCTION AND MANAGEMENT,2.19,6
EMCON SERVICES,2.31,79
EMERGENCY MEDICAL TECHNOLOGY,5,1
EMERGENT BIOSOLUTIONS,9.72,133
EMERION COFOMO FMC,6.01,21
EMIL ANDERSON CONSTRUCTION,2.14,5
EMMANUEL CONSTRUCTION SERVICES,2.88,7
EMMONS MITCHELL CONSTRUCTION,2.97,16
EMPOWERED NETWORKS,3.89,53
EMS TECHNOLOGIES,18.67,3
EMTEC,3.97,37
ENERGERE CONSULTANTS,17.8,4
ENET4S SOFTWARE SOLUTIONS,3.14,4
ENGLOBE,6.51,837
ENMAX,1.25,67
ENSEIGNES PATTISON SIGN GROUP,2.07,124
ENSERO SOLUTIONS CANADA,3,1
ENTREPRISE CLAVEAU,0.92,2
ENTREPRISE DE CONSTRUCTION T E Q,6.12,2
ENTRUST,5.02,89
ENVELOPPE CONCEPT,5.4,29
ENVIRONICS RESEARCH GROUP,3.96,103
ENVIROSAFE JANITORIAL,5.08,64
ENVIROSERVICES,1.76,69
EPERFORMANCE,4.14,34
EPIK TAAHHUT SANAYI IC VE DIS,1.94,1
EPPENDORF CANADA,3,70
EQUASION BUSINESS TECHNOLOGIES CONSULTING AND WATERSHED ITS IN CJV,3.51,2
EQUINIX OTTAWA GOVERNMENT,15.76,8
EQUIPOS INDUSTRIALES DE MANUTENCION,4.31,2
ERNST YOUNG,10.01,381
ESAP PROJECT PARTNERSHIP,36.45,1
ESBE SCIENTIFIC INDUSTRIES,5,86
ESRI,3.72,783
ESSEX INDUSTRIES,5.38,2
ET FUSION,1.99,1
ETHIOPIAN AIRLINES GROUP,0.93,9
ETICO,3,11
EUROVIA QUEBEC CONSTRUCTION,1.75,5
EVALUATION PERSONNEL SELECTION,5.23,128
EVEREST CONSTRUCTION MANAGEMENT,3.02,5
EVOLUTION ROOFING,1.16,3
EVOLVECOMP CONSTRUCTION,1.06,11
EVRIPOS JANITORIAL SERVICES,6.67,14
EXACT LEGAL TRANSLATIONS,3,25
EXCALIBUR ENVIRONMENTAL SERVICES,0.95,8
EXCAVATION LOISELLE,1.71,5
EXCAVATION RENE ST PIERRE ENG,2.45,3
EXCAVATIONS DARCHE,1.32,4
EXCEL 7,1.27,3
EXCEL HUMAN RESOURCES,7.36,1787
EXP ARCHITECTS,5.62,35
EXP SERVICES,5.74,161
EXPERIS,2.98,4
EXPRESS SCRIPTS CANADA,12.25,2
EXTRON ELECTRONICS RGB SYSTEMS,0.48,47
EXXONMOBIL,4.02,1159
F M INSTALLATIONS,2.59,2
FACCA,4.45,6
FACTIVA,4.01,79
FAIRBANKS MORSE ENGINE,5.11,319
FALCON ENVIRONMENTAL,0.65,53
FARMER CONSTRUCTION,1.77,239
FAST FORWARD FRENCH,3.38,709
FAST TRACK STAFFING,3,238
FASTENAL,2.93,341
FCA CANADA,4.76,717
FEAST INTERACTIVE,3.12,16
FEDERAL EXPRESS CANADA,5,51
FEDERAL FLEET SERVICES,7.22,1
FELIX TECHNOLOGY,6.99,294
FERENCE COMPANY CONSULTING,4.69,74
FERUS,1.74,94
FFG,7.05,27
FIA GROUP,3.15,8
FIDELITY ENGINEERING CONSTRUCTION,1.27,8
FINNING INTERNATIONAL,3.11,95
FIRE FLOOD EMERGENCY SERVICES,0.3,2
FIRST AIR,4.78,29
FIRST PEOPLES INFRA,2.27,2
FIRSTCHOICE GROUP CANADA,1.21,11
FISH FOOD AND ALLIED WORKERS,3.02,15
FISHER PAYKEL HEALTHCARE,1.01,3
FLEET FCA CANADA,1.47,101
FLEETWAY,13.03,23
FLEX KNIT,4.01,134
FLIGHT FUELS,0.97,218
FLIGHTSAFETY CANADA,5.3,13
FLOYD S CONSTRUCTION,2.56,37
FLUID ENERGY GROUP,1.4,3
FLYER ELECTRIC,2.88,25
FLYNN CANADA,1.22,32
FMC PROFESSIONALS,2.93,53
FN HERSTAL,1.84,21
FORD MOTOR COMPANY,10.38,2243
FORREST GREEN CONSULTING,6.04,2
FORRESTER RESEARCH,1.67,89
FORT GARRY FIRE TRUCK,4.9,15
FOURNIER CONSTRUCTION INDUSTRIELLE,1.57,2
FOWLER BAULD MITCHELL,7.16,11
FOX TRANSLATIONS,7.01,85
FOXIT SOFTWARE,1,10
FRANCIS CANADA TRUCK CENTRE,1.31,18
FRANNAN INTERNATIONAL,5.01,3
FRASER RIVER PILE DREDGE,3.47,5
FRECON CONSTRUCTION,1.19,18
FRED TROTTIER CONSTRUCTION,2.78,4
FREEBALANCE,4,131
FREQUENTIS CANADA,5.37,20
FRESENIUS KABI CANADA,3.99,7
FRESIA S P A,3.1,2
FROSTI FISHING,0.51,5
FSA ARCHITECTURE,5.36,14
FSC,5.01,9
FTI CONSULTING,2.82,5
FTI PROFESSIONAL GRADE,0.98,1
FTS FOREST TECHNOLOGY SYSTEMS,1.19,102
FUGRO GEOSURVEYS,0.86,12
FUJITSU,9.4,57
FUNDY CONTRACTORS,2,34
FVB ENERGY,6.53,71
G BIRD HOLDINGS,3.16,3
G C M CONSULTANTS,2,4
G N JOHNSTON EQUIPMENT COMPANY,2,1
G PLUS INDUSTRIES,0.83,5
G4S SECURITY SERVICES,6.67,43
GAB INDUSPAC,1.13,284
GABRIELA OLIVEIRA,1,1
GAGNON LETELLIER CYR RICARD,6.79,6
GALAXY BROADBAND COMMUNICATIONS,6.04,7
GALENVS SCIENCES,1.06,4
GALVION,0.83,5
GAMBLE TECHNOLOGIES,3.28,66
GAP WIRELESS,1.24,120
GARDA SECURITY GROUP,5.4,151
GARDNER ELECTRIC,2.23,6
GARDON CONSTRUCTION,2.07,5
GARTNER,2.28,1406
GARY PARKER EXCAVATING,3.01,34
GAT INTL LOCALIZATION SERVICES,3,27
GATESTONE,2.94,30
GATEWAY MECHANICAL SERVICES,4.25,142
GAUDETTE S TRANSIT MIX,2.2,13
GC STRATEGIES,5.87,123
GDI,1,15
GDI SERVICES,7.92,123
GEMMA PROPERTY SERVICES,8.06,24
GEMTEC,5.38,312
GEN MEC ACL,1.54,1
GENERAL DYNAMICS,12.21,472
GENERAL ELECTRIC CANADA,10.41,93
GENERAL MOTORS,11.12,1360
GENESIS INTEGRATION,4.89,429
GENOME QUEBEC,4,318
GEORGE COUREY,0.8,16
GEORGIAN PAVING A DIVISION OF MILLER PAVING,1.16,2
GEOSPECTRUM TECHNOLOGIES,4.71,17
GESTION AJ,2.35,15
GESTION SEPTEM,1.72,7
GETINGE CANADA,5,50
GFL ENVIRONMENTAL,6,150
GFL ENVIRONMENTAL SERVICES,5.01,23
GHD,10.01,330
GILMORE REPRODUCTIONS,5.21,98
GINO PELLETIER FOREX MALI DIELY MOUSSA KOUYATE GID,5.01,1
GLAMOX CANADA,3.01,22
GLASSHOUSE SYSTEMS,7.01,100
GLAXOSMITHKLINE,11.13,28
GLENCAIRN EDUCATIONAL SERVICES,5.5,5
GLOBAL KNOWLEDGE,6.13,321
GLOBAL LIFE SCIENCES SOLUTIONS,2.25,86
GLOBAL TOTAL OFFICE,3.42,140
GLOBAL UPHOLSTERY,7.01,655
GLOBE AND MAIL,6.01,12
GM DEVELOPPEMENT,1,5
GO DEEP INTERNATIONAL,12.19,144
GOLDER ASSOCIATES,21.32,445
GOOGLE CANADA,29.33,35
GORDON BARR,2,8
GORDON FOOD SERVICE,4,643
GOSS GILROY,5.41,168
GOVAN BROWN ASSOCIATES,4.48,4
GOVERNMENT OF ALBERTA,28.13,28
GOVERNMENT OF NUNAVUT,10.93,19
GOVERNMENT OF SASKATCHEWAN,4.92,12
GOVERNMENT OF THE NWT,1.08,2
GQ LIFE SCIENCES,3,2
GRAEBECK CONSTRUCTION,2.01,2
GRAHAM CONSTRUCTION,5.94,11
GRAND TOY,6.01,458
GRANICUS CANADA HOLDINGS,2.83,61
GRANITE MANAGEMENT,1.35,14
GRAW RADIOSONDES,5.12,2
GRAYBAR CANADA,4,145
GRAYBRIDGE INTERNATIONAL CONSULTING,8.89,853
GRAYMONT NB,3,66
GRAYSHIFT,1,2
GRC ARCHITECTS,6.18,15
GREAT SLAVE HELICOPTERS,6.06,230
GREATER TORONTO AIRPORT AUTHORITY,2.64,10
GREEN LIGHT CONSULTING SOLUTIONS,5.03,7
GREEN TIMBERS PARTNERSHIP,20.97,2
GREENDALE RESOURCES,2.48,33
GREENFIELD CONSTRUCTION,3.77,20
GREG VAN WYK PROFESSIONAL,5,12
GREGORY KERR,0.9,27
GREY ROCK SERVICES,3.79,4
GREYTOP COMMERCIAL CONSTRUCTION,0.74,4
GRIFFIN ENGINEERED SYSTEMS,1.72,9
GRIFFON HOVERWORK,1.53,35
GROUPE ABS,9.45,24
GROUPE EDGENDA,3,41
GROUPE ENERGIE BDL,1.72,55
GROUPE GEYSER,3.33,3
GROUPE ONSCOPE,5.53,11
GROUPE ROBERT,2,3
GSI INTERNATIONAL CONSULTING,5.23,8
GUILLEVIN INTERNATIONAL,4.78,168
GUNTER LANGKOPF MASCHINENBAU,5.01,61
GW REALTY,3.17,7
H E ARMSTRONG MECHANICAL,1.02,142
H H CONSTRUCTION,2.92,66
H J R ASPHALT,1.28,1
HACKETT CONSULTING,4.5,54
HALIFAX CITADEL SOCIETY,2,3
HALIFAX CONVENTION CENTRE CORPORATI,0.38,3
HALIFAX INTERNATIONAL AIRPORT,0.56,1
HALPENNY INSURANCE BROKERS,3.84,47
HAMEL CONSTRUCTION,3.69,4
HAN CHANG MEDIC,0.95,1
HARBOURSIDE ENGINEERING CONSULTANTS,4.45,100
HARLED,3,6
HARNOIS ENERGIES,2.61,871
HARRIS TRANSPORT,0.54,133
HASKONING UK,5,1
HASTINGS PAINTING,0.86,8
HATCH,14.05,31
HAUL ALL EQUIPMENT,1.11,89
HAWBOLDT INDUSTRIES,6,45
HAWORTH,1.6,220
HAZELWOOD CONSTRUCTION SERVICES,2.32,1
HCL CANADA,2,13
HDP GROUP,3.81,41
HEARTZAP SAFETY TRAINING AND EQUIPMENT,2,49
HEAVY METAL MARINE,5.01,28
HEDDLE MARINE SERVICES,2.99,59
HEILTSUK HORIZON MARITIME SERVICES,5.01,16
HELI LIFT INTERNATIONAL,1.07,61
HELITRADES,0.42,77
HEMMERA ENVIROCHEM,4.46,35
HENSOLTD SENSORS,5.02,3
HEPBURN ENGINEERING,11.01,2
HEROLD ENGINEERING,3.42,59
HERRING CONSERVATION AND RESEARCH SOCIETY,1,5
HEWLETT PACKARD,14.42,134
HEXAGON,3.33,48
HEYL,3.16,2
HFI PYRO,1.4,1
HFI PYROTECHNICS,4.84,17
HFI PYROTONICS,1.06,2
HIGHER STANDARD SALES HSS,0.5,1
HIGHLANDS FUEL DELIVERY,2.96,31
HIGHLINE ELECTRIC P A,1.79,5
HIKE METAL PRODUCTS,5.74,8
HILL KNOWLTON CANADA,3.16,32
HILTON BROTHERS CONTRACTING,0.31,2
HIPPERSON CONSTRUCTION,4,2
HITACHI DATA SYSTEMS,5.01,118
HITRAC,1.18,44
HOLLAND COLLEGE,3.5,9
HOLMAN FENWICK WILLAN,0.18,1
HOLONICS,3.98,7
HOME COMPLETIONS,0.96,5
HOMEWOOD HEALTH,5.44,9
HONEYWELL,10,504
HOOTSUITE,8.92,8
HORIZANT,11.01,79
HORSESHOE HILL CONSTRUCTION,3.1,1
HOSKIN SCIENTIFIC,10.32,685
HOULE ELECTRIC,5.71,81
HOUSE OF HOPE,6.56,5
HOVEY INDUSTRIES 2005,1.33,4
HOWARD E LITTLE EXCAVATING,1.52,37
HOWARD HOUSE ASSOCIATION OF CAPE BRETON,6,3
HR ASSOCIATES,1.58,54
HUBSPOKE,4.96,33
HUMAN LOGISTICS,0.24,10
HUMANSCALE CANADA,1.17,268
HUMANSYSTEMS,5.01,10
HYPERACTIVE PRODUCTIONS,8.02,106
HYPERION CONSULTING,4,26
HYPERTEC,4.78,993
I M P GROUP,24.02,9
I4C INFORMATION TECHNOLOGY,6.01,47
IBI GROUP ARCHITECTS CANADA,8.15,12
IBISKA TELECOM,8.11,358
IBM CANADA,29.78,1119
ICE DEVELOPMENT,6.23,1
ICEBERG NETWORKS,3,28
ICOR TECHNOLOGY,4.43,23
ICU MEDICAL CANADA,0.88,1
IDP GROUP,1.09,7
IDS SYSTEMS CONSULTANTS,4,27
IFATHOM,6,57
IIC TECHNOLOGIES,19.29,82
ILLUMINA CANADA,5.01,906
IMAGO MACHINE VISION,10.04,9
IMP GROUP,11.01,25
IMPERIAL CLEANERS,7.05,82
IMPERIAL OIL,5.53,1604
IMPERIAL OIL AVIATION FUEL,0,2
IMTECH MARINE CANADA,1.64,67
INDAL TECHNOLOGIES,9.45,45
INDIVIOR UK,2.9,266
INDUSTRA CONSTRUCTION,5.01,109
INDUSTRIES OCEAN,6.19,12
INFO TECH RESEARCH GROUP,3.05,306
INFORMATICA,2,6
INFOSYS,5.75,1
INKSMITH,0.23,1
INLAND AUDIO VISUAL,1.07,119
INMARSAT SOLUTIONS,7.01,6
INNOCAR,2.01,2
INNOVASEA MARINE SYSTEMS CANADA,11.08,303
INSA,9.9,285
INSIGHT SOFTWARE CANADA,5.04,144
INSTITUT NATIONAL D OPTIQUE,5,14
INSTITUTE ON GOVERNANCE,2.22,216
INSTRUX MEDIA,5.27,74
INTEGRA NETWORKS,5.09,212
INTEGRATED DISTRIBUTION SYSTEMS,3,37
INTER MEDICO,5,37
INTER OUTAOUAIS,2.36,18
INTERACTIVE AUDIO VISUAL,1.27,272
INTERCON MARINE,3.05,24
INTERFAX SYSTEMS,1.99,69
INTERNATIONAL CUSTOM PRODUCTS ICP,1.02,1
INTERNATIONAL REPORTING,4.08,73
INTERNATIONAL SAFETY RESEARCH,5.54,25
INTERNATIONAL TRUCK BODY,1.92,2
INTEROUTE CONSTRUCTION,2.44,5
INTERWORKS CONTRACTING,2.9,8
INVENTA SALES AND PROMOTIONS,1.79,2
INVERIS TRAINING SOLUTIONS,7.01,19
IPS INTEGRATED PROJECT SERVICES,1.46,7
IPSOS,4.5,57
IPSS,10.01,436
IQVIA,5.1,41
IRON MOUNTAIN,8.01,677
IRONCLAD EARTHWORKS,3.14,10
IRVING OIL,5,2339
IRVING SHIPBUILDING,13.76,20
ISLAND CATERING,3,5
ISLAND TEMPERATURE CONTROLS,3,82
ISLAND WEST COAST DEVELOPMENTS,1.65,1
ISM INFORMATION SYSTEMS MANAGEMENT,3,1
ISOMASS SCIENTIFIC,3.47,51
ISOPLEX,1,1
IT NET CONSULTANTS,7.55,104
IT NET OTTAWAINC KPMG,2,1
ITEL NETWORKS,2.55,3
ITEX,10.01,994
IVALUA,3.58,2
IVALUA CANADA,3,1
IVAN S CAMERA,1.38,211
J 1 CONTRACTING,2.97,2
J E ENTERPRISES,1.53,24
J J LEPERA INFRASTRUCTURES,1.69,1
J J TRAILERS MANUFACTURERS AND SALES,2.01,19
J L RICHARDS ASSOCIATES,7.2,141
J M J HOLDINGS,2.33,5
J M LEDRESSAY ASSOCIATES,12.96,1
J O THOMAS ASSOCIATES,4.07,30
J P GRAVEL CONSTRUCTION,1.53,14
J STERLING INDUSTRIES,1.65,1
J W LINDSAY ENTERPRISES,2.37,10
JACOB BROS CONSTRUCTION,2.09,1
JAMES E FARENHOLTZ LAW,5,1
JANE S GROUP UK,1,24
JANKEL TACTICAL SYSTEMS,2,39
JASCO APPLIED SCIENCES CANADA,5.3,90
JASPER CONCRETE,3.56,18
JASTRAM ENGINEERING,2.21,20
JCB,1,18
JCL INVESTMENTS,2.4,4
JEMTEC,4.16,3
JEOL,4.34,22
JHT DEFENSE,4.99,449
JIM PATTISON INDUSTRIES,2,208
JIMCOR LINE CONSTRUCTION,1.3,49
JJM CONSTRUCTION,1.52,4
JLR,10.01,13
JOAN HOLMES ASSOC,3.18,48
JOHN HOWARD SOCIETY,8.01,142
JOHN WILEY SONS,5.01,46
JOHNSON CONTROLS,5,102
JOHNSON CONTROLS CANADA,15.13,70
JOHNSON S CONSTRUCTION,3.93,7
JOKINEN LAW PROFESSIONAL,5,1
JONELJIM CONCRETE CONSTRUCTION,6.29,41
JONES LANG LASALLE,6,31
JOSEPH ELIE,1.15,143
JOSEPH RIBKOFF,1.57,1
JOWA FAHRZEUGTEILE VERTRIEBS,2.99,13
JP2G CONSULTANTS,6.18,101
JSK NAVAL SUPPORT,8.01,73
JULIAN SIMON GROUP,0.77,1
JUMEC CONSTRUCTION,1.91,14
JUMPING ELEPHANTS,2.54,71
JUNO RISK SOLUTIONS,4.61,118
JWK CONTRACTING,1,10
K C E CONSTRUCTION,2.13,5
K L CONSTRUCTION ONTARIO,1.54,2
K RITE CONSTRUCTION,3.97,5
KANIYASIHK CULTURE CAMPS,1.32,9
KANTER MARINE,2.33,10
KASIAN ARCHITECTURE INTERIOR DESIGN,4.24,35
KASIEL SOLUTIONS,1.75,4
KATHRYN E BARNARD,0.84,5
KAYWAY INDUSTRIES,1.16,124
KEHOE MARINE CONSTRUCTION,1.7,14
KENN BOREK AIR,5,89
KETZA PACIFIC CONSTRUCTION,2,9
KEYDATA ASSOCIATES,5.57,30
KEYSIGHT TECHNOLOGIES CANADA,5.7,120
KEYSTONE ENVIRONMENTAL,4.23,53
KEYSTONE SUPPLIES INTERNATIONAL,1.33,75
KF AEROSPACE,21.85,47
KFN ENTERPRISES PARTNERSHIP,0.12,1
KIA CANADA,1.51,169
KIDA DESIGN,1.38,8
KILEY PAVING,1.53,8
KIM CONSTRUCTORS,2.47,44
KINETIC CONSTRUCTION,3.76,25
KINETIC MACHINE WORKS,2.73,9
KING CONSTRUCTION,1.2,8
KING HOE EXCAVATING,0.71,3
KINGHAVEN PEARDONVILLE HOUSE SOCIETY,4,2
KINGS ENTERPRISES,1.33,98
KINGSTON CONSTRUCTION,2.1,2
KIRILA FIRE CANADA,0.79,2
KMS INDUSTRIES,1.08,14
KMSTANDARDS,3,2
KNAPPETT INDUSTRIES,4.16,17
KNIGHT AEROSPACE,1.84,5
KNIGHT AEROSPACE MEDICAL SYSTEMS,0.74,1
KNOWLEDGE CIRCLE,4.37,268
KNOWLEDGE CIRCLE LEARNING SERVICES,2.86,281
KONE,22.34,84
KONGSBERG,4.58,128
KONICA MINOLTA BUSINESS SOLUTIONS,9.01,806
KONTZAMANIS GRAUMANN SMITH,8.39,44
KORN FERRY CA,5.89,54
KPMG,10.3,334
KRAKEN ROBOTIC SYSTEMS,5.01,9
KRAUSS MAFFEI WEGMANN,5.06,29
KUBOTA CANADA,2.17,55
KUDLIK CONSTRUCTION,4.03,10
KWC ARCHITECTS,7.18,46
KYNDRYL CANADA,10.76,71
L A HEBERT,2.19,4
L AGENCE,3.52,6
L BREAU AND SONS,1.73,22
L D WATSON E S MACEWEN ALLAN,7.76,11
L P ROYER,6.02,7
L W DENNIS CONTRACTING,5.28,4
L3 MAS,19.84,1
L3HARRIS,17.73,291
LABORATOIRES OMEGA,1.3,3
LAKESHORE HELICOPTERS,1.19,50
LANDAUER,3,12
LANDCO CONSTRUCTION,1.16,12
LANDFORM CIVIL INFRASTRUCTURES,4.17,2
LANGUAGE MARKETPLACE,4.3,82
LANGUAGE RESEARCH DEVELOPMENT GROUP,5.22,356
LANNICK CONTRACT SOLUTIONS,3.34,47
LANSDOWNE TECHNOLOGIES,6.96,101
LAPORTE,1.65,18
LAPORTE EXPERTS CONSEILS,3.58,4
LARCH HALF WAY HOUSE OF SUDBURY,8.01,5
LAREN SOCIETY,8.01,1
LARRY PENNER ENTERPRISES,2,146
LAT49 ARCHITECTURE,4.29,7
LAURENTIAN TECHNOLOGIES,5.4,90
LAVAL FORTIN,2.39,3
LAVERGNE CONSTRUCTION,2,14
LAZY H TRAIL COMPANY,5.9,3
LE GROUPE GESFOR POIRIER PINCHIN,4.94,69
LEAN AGILITY,2.37,143
LEAR CONSTRUCTION,3.13,2
LEC ENGINEERING CONTRACTING,3.51,1
LECO INSTRUMENTS,3,36
LEDCOR CONSTRUCTION,4,1
LEDCOR HIGHWAYS,0.54,2
LEEWAY YACHTS,7.24,6
LEGD,2.22,1
LEGER MARKETING,2.53,48
LEICA GEOSYSTEMS,6.01,78
LEIGHTON CONTRACTING,3.1,15
LEMAY,4.65,13
LEN CORCORAN EXCAVATING,2.18,3
LENGKEEK VESSEL ENGINEERING,2.41,62
LEO PISCES SERVICES GROUP,5.1,53
LEONARDO,9.12,46
LES ALIMENTS GUY CHICOINE,0,189
LES AUTOBUS E MENARD ET FILS,3.01,3
LES CONSTRUCTIONS BELAND,1.79,3
LES CONSTRUCTIONS BINET,2.91,5
LES CONSTRUCTIONS DES ILES,5.65,11
LES ENQUETES HENRI,3.91,202
LES ENTREPRISES FERVEL,6.92,11
LES ENTREPRISES MICHAUDVILLE,2.48,2
LES ENTREPRISES P E C,2.13,29
LES ENTREPRISES PREBBEL,6.42,13
LES ENTREPRISES ROBERT SANFACON,5.01,5
LES ENTREPRISES SAMSON ENTERPRISES,1.16,18
LES EQUIPEMENTS CLAUDE PEDNEAULT,3.32,12
LES HUILES DESROCHES,0.97,402
LES INSTALLATIONS ELECTRIQUES,2.36,8
LES TOITURES RAYMOND ET ASSOCIES,1,12
LES TRADUCTEURS REUNIS,3,58
LES TRADUCTIONS TESSIER,4,106
LES TRAITEURS BYTOWN CATERING,3.84,7
LESAGE DAVID DR,4.25,8
LESLIE BENN CONTRACTING,2.72,8
LEVAERO AVIATION,1.06,275
LEVERAGE TECHNOLOGY RESOURCES,6.5,21
LEVITT SAFETY,5,140
LEXISNEXIS CANADA,7.76,118
LIEBHERR CANADA,3,15
LIFE TECHNOLOGIES,17.1,588
LIFELABS,1.88,10
LIFEPORT,1.01,1
LIFESPEAK,6.02,5
LIFEWORKS CANADA,4.38,23
LIFTKING MANUFACTURING,1.25,19
LIKE 10,3.97,29
LIMEN GROUP CONST,3.81,5
LINDE CANADA,7.22,125
LINDSAY CONSTRUCTION,1.34,19
LINOVATI,3.83,52
LIONBRIDGE,7.07,592
LLOYD LIBKE LAW ENFORCEMENT SALES,2.15,6
LLOYD S REGISTER CANADA,10.01,32
LOCATION DE MOTONEIGES HAUTE MATAWINIE,0.93,7
LOCKHEED MARTIN,14.67,52
LOGISTIK UNICORP,12.18,236
LOISELLE,1.45,4
LOOBY BUILDERS DUBLIN,0.27,1
LOTEK WIRELESS,1.14,118
LOUIS TANGUAY INFORMATIQUE,5.01,9
LOUIS W BRAY CONSTRUCTION,3.77,10
LOWE MARTIN COMPANY,7.07,133
LRO STAFFING,4.8,53
LS TELCOM,6.92,4
LUCIRA HEALTH,0.23,5
LUMINA IT,5.76,416
LUMINULTRA TECHNOLOGIES,1.19,3
LUXTON CONSTRUCTION,2.14,29
LUXTON CONSTRUCTION PLAINS,1.73,9
LWG ARCHITECTURAL INTERIORS,5.01,27
LWTAB COMMUNICATIONS,3,19
LYNLEY CONTRACTING SERVICES,1.41,48
M 2 GROUP,2.35,2
M A INDEPENDENT BUILDING SERVICES,7.01,3
M D CHARLTON,4.93,317
M D STEELE CONSTRUCTION,1.79,1
M R ENGINEERING,8.35,16
M SULLIVAN SON,7.15,6
MACDONALD DETTWILER AND ASSOCIATE,3.64,2
MACDONALD DETTWILER AND ASSOCIATES,23.24,628
MACEWEN PETROLEUM,3.08,395
MACK TRUCKS,5.95,7
MACKINNON AND OLDING,1.6,358
MACONNERIE DYNAMIQUE,4.39,11
MACONNERIE RAINVILLE ET FRERES,4.5,7
MADDOCKS CONSTRUCTION,1.42,6
MADSEN DIESEL TURBINE,2,293
MAE ROBOTICS,2.75,3
MAGAL S3 CANADA,1.58,6
MAGELLAN AEROSPACE,6.01,19
MAGNET FORENSICS,2.17,22
MAHER S CONTRACTING,1.38,6
MAISON CHARLEMAGNE,3,6
MAISON CROSS ROADS DE LA SOCIETE,4.17,4
MAISON DECISION HOUSE,4.68,5
MAISON JEUN AIDE,3,3
MAISON JOINS TOI,7,4
MAISON PAINCHAUD,4,2
MAISON RADISSON,5.25,2
MAKWA RESOURCING,4,109
MALATEST,5.02,64
MAN ENERGY SOLUTIONS CANADA,9.04,4
MANAC WESTERN,4.54,13
MANITOBA HYDRO,7.78,52
MANULIFE,16.26,13
MAPLE REINDERS CONSTRUCTORS,9.42,6
MAPLESOFT CONSULTING,7.01,458
MARCO GROUP,2.6,2
MARINE CONTRACTORS,0.99,13
MARINE RECYCLING,2.79,22
MARINELABS DATA SYSTEMS,0.98,5
MARINENAV,2.17,92
MARITIME FENCE,3.62,30
MARITIME FUELS,1,529
MARKIDO,5.27,93
MARKIT GROUP,4.75,9
MARKLAND PAVING,1.51,1
MARRBECK CONSTRUCTION,2.53,1
MARSHALL AEROSPACE,3.79,1
MARTEC,6.01,29
MARTECH ELECTRICAL SYSTEMS,4.43,4
MASKIMO CONSTRUCTION,7.47,7
MASONTECH,3.51,7
MASUD TRADING COMPANY,0.92,6
MATANE PRODUCTION,2.18,1
MATCON ENVIRONMENTAL,5.01,27
MATCON EXCAVATION SHORING,5.01,46
MATRIX AVIATION SOLUTIONS,5.17,13
MAVERIN,4.04,32
MAVERIN BUSINESS SERVICES,3.5,17
MAXIM 2000,6.34,7
MAXIMUS CANADA,2,3
MAXSYS STAFFING AND CONSULTING,4.95,270
MCAFEE INTERNATIONAL,2.08,3
MCCALLUM ROOFING,0.61,3
MCCARTHY TETRAULT,1.25,7
MCELHANNEY ASSOCIATES,6.94,171
MCGILL UNIVERSITY,6.01,123
MCGREGOR GEOSCIENCE,1.56,3
MCKESSON CANADA,0.98,4388
MCKINSEY AND COMPANY,3.09,27
MCKINSEY CANADA,0.16,2
MCKNIGHT ENTERPRISES,2.36,11
MCMASTER UNIVERSITY,3.82,89
MCNALLY CONSTRUCTION,3.71,15
MCW CONSULTANTS,6.63,32
MCW CUSTOM ENERGY SOLUTIONS,17.43,26
MDOS CONSULTING,5.04,70
MEAD AUTOMATION SOLUTIONS,1.58,4
MEAL KIT SUPPLY CANADA,4.46,9
MED ENG HOLDINGS,5.01,46
MEDAVIE,12.1,5
MEDI SELECT,3,21
MEDIA Q,6.01,132
MEDTRONIC CANADA,1.73,7
MEEWASINOTA CRF,3,4
MEGA POWER INSTALLATIONS,1.04,125
MEGA TECH,1.13,322
MEGALEXIS COMMUNICATIONS,7.01,117
MELTWATER,5,180
MERCEDES BENZ CANADA,2.81,101
MERCER CANADA,8.08,50
MERCK FROSST,4.98,77
MERCURY MARINE,1.29,127
MERIDIAN ENGINEERING,4.29,79
MERIDIAN MEDICAL TECHNOLOGIES,5.3,10
MESSA COMPUTING,4,49
METAK DISTRIBUTING,4.99,1
METALCRAFT MARINE,5.01,5
METOCEAN TELEMATICS,5.09,40
METRO LOGISTICS,2.99,1
METRO PAVING AND ROAD BUILDING,2.65,12
METRO SUPPLY CHAIN,2.12,3
METTLER TOLEDO,3.9,107
MGIS,5.02,90
MHV SERVICES D HYGIENE,5.33,61
MICHAEL WAGER CONSULTING,6.09,75
MICHANIE CONSTRUCTION,5,46
MICHELIN,2,63
MICRONOSTYX,3.84,13
MICROSOFT CANADA,20.01,1384
MID CANADA MOD CENTER,1.43,142
MID VALLEY CONSTRUCTION,2,45
MIKE KELLY SONS,1.63,2
MIL AERO ELECTRONICS ATLANTIC,1.7,8
MILESTONE ENVIRONMENTAL,6.01,22
MILITARY TRAVEL,2.1,17
MILLBROOK TACTICAL,4.25,134
MILLENNIUM LIMOUSINE SERVICE,4,10
MILLER PAVING,2.29,6
MILLER WASTE SYSTEMS,4.04,73
MILLIPORE CANADA,3,47
MILRAIL,1.64,12
MILTEX SOLUTIONS CANADA,4.34,83
MINDWIRE SYSTEMS,7.12,700
MINE EODCLR,1.08,4
MINISTRY OF FINANCE,29.02,38
MINSTER OF FINACE FINANCIAL PROPERTY MANAGEMENT,1,1
MISHKUMI TECHNOLOGIES,5,207
MITSUBISHI MOTOR SALES,1.4,214
