d_vendor_name,total_amendment_increase_value,n
FLEETWAY,156924350.60,10
FLEX KNIT,-266428.35,2
FLIGHT FUELS,-12383.62,4
FLIGHTSAFETY CANADA,2772068.29,3
FLOYD S CONSTRUCTION,810955.75,9
FLUID ENERGY GROUP,5768304.22,1
FLYNN CANADA,26154.45,1
FMC PROFESSIONALS,2675835.53,18
FN HERSTAL,441281.28,2
FONDATION CARREFOUR NOUVEAU MONDE,3117031.89,2
FORD MOTOR COMPANY,8400347.95,219
FORREST GREEN CONSULTING,6106949.10,2
FORRESTER RESEARCH,155955.24,9
FORT GARRY FIRE TRUCK,2589989.20,2
FOURNIER CONSTRUCTION INDUSTRIELLE,127448.35,1
FOWLER BAULD MITCHELL,2050761.10,6
FRANCIS CANADA TRUCK CENTRE,-36724.56,3
FRASER RIVER PILE DREDGE,5748906.99,5
FRECON CONSTRUCTION,404827.36,7
FREEBALANCE,1551644.92,14
FREQUENTIS CANADA,3127313.16,7
FRESENIUS KABI CANADA,2238535.18,4
FSA ARCHITECTURE,628841.70,5
FSC,38349.94,1
FTS FOREST TECHNOLOGY SYSTEMS,0.00,2
FUGRO GEOSURVEYS,-404926.91,5
FUJITSU,80862998.45,28
FUNDY CONTRACTORS,1179361.17,3
FVB ENERGY,4662153.74,36
G A L POWER SYSTEMS OTTAWA,1227026.98,13
G BIRD HOLDINGS,565000.02,1
G4S SECURITY SERVICES,28939880.25,19
GAB INDUSPAC,4222.64,3
GAGNON LETELLIER CYR RICARD,1991461.80,4
GALA SLACKS,2626414.67,7
GAMBLE TECHNOLOGIES,1349705.62,5
GANNON BLACKBURN ELECTRIC,207719.04,4
GAP WIRELESS,-310009.35,3
GARDA SECURITY GROUP,35986509.80,21
GARTNER,2898935.75,84
GARY PARKER EXCAVATING,0.00,2
GAT INTL LOCALIZATION SERVICES,0.00,1
GATESTONE,42593867.00,5
GATEWAY MECHANICAL SERVICES,2351832.07,14
GAUDETTE S TRANSIT MIX,854032.23,8
GC STRATEGIES,28325878.75,38
GDI SERVICES,-205167583.85,37
GEMALTO COGENT,50791.48,3
GEMMA PROPERTY SERVICES,1490945.19,8
GEMTEC,7210461.76,40
GEN MEC ACL,0.00,1
GENERAL DYNAMICS,961610775.25,44
GENERAL ELECTRIC CANADA,126773539.02,9
GENERAL MOTORS,5717750.70,98
GENESIS INTEGRATION,86797.10,26
GENOME QUEBEC,553445.53,14
GEORGE COUREY,5475.27,2
GEOSPECTRUM TECHNOLOGIES,-251594.22,2
GESTION AJ,961786.67,7
GETINGE CANADA,6635564.91,6
GFL ENVIRONMENTAL,2733098.10,22
GHD,105706.10,20
GILMORE PRINTING SERVICES,184885.94,8
GILMORE REPRODUCTIONS,3610675.06,14
GLAMOX CANADA,-7712777.42,2
GLASSHOUSE SYSTEMS,16134.74,2
GLAXOSMITHKLINE,343037.88,6
GLENCAIRN EDUCATIONAL SERVICES,6245250.30,2
GLOBAL KNOWLEDGE,1357301.97,18
GLOBAL LIFE SCIENCES SOLUTIONS,364831.47,7
GLOBAL TOTAL OFFICE,2277389.70,4
GLOBAL UPHOLSTERY,-22722.00,13
GLOBE AND MAIL,2702418.46,4
GO DEEP INTERNATIONAL,-593991.20,6
GOLDER ASSOCIATES,74411227.18,119
GOOGLE CANADA,197205.43,5
GORDON BARR,66026.09,6
GORDON FOOD SERVICE,564492.22,16
GOSS GILROY,1460913.23,19
GOVAN BROWN ASSOCIATES,828390.23,1
GOVERNMENT OF ALBERTA,11126948.37,13
GOVERNMENT OF SASKATCHEWAN,-22043.82,3
GOVERNMENT OF THE NWT,1059500.00,1
GRAEBECK CONSTRUCTION,808783.78,2
GRAHAM CONSTRUCTION,8950417.05,5
GRAND TOY,161119.38,13
GRANITE MANAGEMENT,339126.27,7
GRANT CUSTOM,-35388301.41,2
GRAPHIC OFFICE INTERIOR,1049138.88,1
GRAW RADIOSONDES,791818.00,1
GRAYBAR CANADA,0.00,3
GRAYBRIDGE INTERNATIONAL CONSULTING,41181394.68,176
GRAYMONT NB,460000.00,2
GRC ARCHITECTS,6900166.36,11
GREAT SLAVE HELICOPTERS,6733208.74,20
GREATER TORONTO AIRPORT AUTHORITY,37640618.78,4
GREEN LIGHT CONSULTING SOLUTIONS,2730297.68,1
GREEN TIMBERS PARTNERSHIP,1637699.17,1
GREENDALE RESOURCES,419351.26,6
GREENFIELD CONSTRUCTION,4976421.37,11
GREG VAN WYK PROFESSIONAL,2130842.70,4
GREY ROCK SERVICES,13811835.19,2
GRIFFIN ENGINEERED SYSTEMS,563382.34,2
GRIFFON HOVERWORK,-219977.33,10
GROUPE ABS,2829213.78,1
GROUPE EDGENDA,362479.49,5
GROUPE ENERGIE BDL,-164520.24,4
GROUPE ONSCOPE,14062855.38,3
GROUPE ROBERT,838632.33,1
GUILLEVIN INTERNATIONAL,0.00,1
GUNTER LANGKOPF MASCHINENBAU,-275429.39,15
GW REALTY,714898.36,5
H E ARMSTRONG MECHANICAL,115855.49,12
H H CONSTRUCTION,321452.52,8
H J R ASPHALT,105367.50,1
HALIFAX CITADEL SOCIETY,2418243.86,2
HALIFAX INTERNATIONAL AIRPORT,1217677.50,1
HALPENNY INSURANCE BROKERS,1579315.51,11
HAMEL CONSTRUCTION,3238801.96,4
HAN CHANG MEDIC,2211788.90,1
HARBOURSIDE ENGINEERING CONSULTANTS,5238986.37,19
HARLED,4016140.80,4
HARNOIS ENERGIES,-40721.44,16
HARRIS TRANSPORT,811588.00,19
HASTINGS PAINTING,732149.66,4
HATCH,4939353.13,3
HAWBOLDT INDUSTRIES,12813863.21,9
HAWORTH,374305.38,12
HAZELWOOD CONSTRUCTION SERVICES,5275768.58,1
HDP GROUP,1931951.07,9
HEAVY METAL MARINE,4261667.28,9
HEDDLE MARINE SERVICES,8205923.45,30
HEILTSUK HORIZON MARITIME SERVICES,246671.88,2
HELITRADES,0.00,7
HEMMERA ENVIROCHEM,1948320.72,6
HEPBURN ENGINEERING,-5159000.00,1
HERCULES SLR,4425401.44,3
HERITAGE RESTORATION,2025812.14,4
HEROLD ENGINEERING,1095140.86,16
HERRING CONSERVATION AND RESEARCH SOCIETY,2808214.50,2
HEWLETT PACKARD,330963706.61,19
HEXAGON,121317.91,1
HIGHLANDS FUEL DELIVERY,2003163.13,15
HIGHLINE ELECTRIC P A,489248.53,1
HIKE METAL PRODUCTS,4592299.31,3
HIPPERSON CONSTRUCTION,180339.15,1
HITACHI DATA SYSTEMS,20643335.28,10
HITRAC,-583700.00,1
HOLLAND COLLEGE,8827241.45,1
HOLONICS,2198723.16,4
HOMEWOOD HEALTH,598896.06,1
HONEY CONSTRUCTION,1052362.75,1
HONEYWELL,12395242.56,42
HOOTSUITE,10140855.75,3
HORIZANT,6464090.82,9
HORSESHOE HILL CONSTRUCTION,-273170.20,1
HOSKIN SCIENTIFIC,4061853.30,13
HOULE ELECTRIC,552151.43,17
HOUSE OF HOPE,8833471.78,5
HOWARD HOUSE ASSOCIATION OF CAPE BRETON,4129804.46,2
HOWDEN ROOTS,38631.58,1
HR ASSOCIATES,1505580.05,35
HUBSPOKE,5266378.90,11
HUMAN LOGISTICS,258750.00,2
HUMANSCALE CANADA,71149.47,3
HYPERION CONSULTING,1746699.12,2
HYPERTEC,10675858.16,101
I M P GROUP,2067423204.04,3
I4C INFORMATION TECHNOLOGY,10169969.45,21
IBI GROUP ARCHITECTS CANADA,7186982.45,5
IBISKA TELECOM,139253457.58,167
IBM CANADA,480079351.35,214
ICE DEVELOPMENT,111466.20,1
ICEBERG NETWORKS,1194220.90,7
ICU MEDICAL CANADA,0.00,1
IDP GROUP,515963.03,2
IDS SYSTEMS CONSULTANTS,3387442.98,8
IFATHOM,914983.57,10
IHS GLOBAL,739941.27,9
IIC TECHNOLOGIES,-186027.71,16
ILLUMINA CANADA,1571810.09,24
IMP GROUP,3935800.83,7
IMPERIAL CLEANERS,31115446.22,19
IMPERIAL OIL,-3091444.11,72
IMTECH MARINE CANADA,429737.86,8
INDAL TECHNOLOGIES,-956.27,2
INDIVIOR UK,7088116.78,2
INDUSTRA CONSTRUCTION,4195469.47,28
INDUSTRA LIARD CONSTRUCTION,216232.47,1
INDUSTRIES OCEAN,-1372172.31,7
INFO TECH RESEARCH GROUP,181041.38,8
INFORMATICA,678079.06,1
INFOSYS,57225783.62,1
INKSMITH,49579.42,1
INLAND AUDIO VISUAL,31132.08,4
INMARSAT SOLUTIONS,186343008.36,5
INNOCAR,1251010.00,1
INNOVASEA MARINE SYSTEMS CANADA,40088.03,10
INSA,83429659.35,27
INSIGHT SOFTWARE CANADA,628897.23,6
INSTITUT NATIONAL D OPTIQUE,996975.92,4
INSTITUTE ON GOVERNANCE,328188.48,14
INSTRUX MEDIA,2350930.18,3
INTEGRA NETWORKS,5174081.29,20
INTEGRATED DISTRIBUTION SYSTEMS,172437.14,5
INTER MEDICO,14581829.70,5
INTER OUTAOUAIS,14695.65,1
INTERACTIVE AUDIO VISUAL,-77651.72,13
INTERCON MARINE,3671403.64,12
INTERCONTINENTAL TRUCK BODY,800383.99,3
INTERFAX SYSTEMS,460258.29,2
INTERNATIONAL REPORTING,583549.91,13
INTERNATIONAL SAFETY RESEARCH,6912353.86,11
INTEROUTE CONSTRUCTION,1075955.22,4
INTERWORKS CONTRACTING,336589.74,4
INUKSHUK CONSTRUCTION,2134138.91,2
INVENTA SALES AND PROMOTIONS,3977600.00,1
INVERIS TRAINING SOLUTIONS,-9903166.90,3
IPS INTEGRATED PROJECT SERVICES,911456.93,2
IPSOS,1480270.50,8
IPSS,23290383.41,36
IQVIA,1606225.01,4
IRON MOUNTAIN,2692166.62,141
IRONCLAD EARTHWORKS,1989945.93,4
IRVCON,260437.00,3
IRVING OIL,-21670256.36,62
IRVING SHIPBUILDING,2197258197.13,8
ISLAND CATERING,3897800.00,1
ISLAND TEMPERATURE CONTROLS,196297.51,1
ISOMASS SCIENTIFIC,718399.50,1
ISOPLEX,0.00,1
IT NET CONSULTANTS,20260099.95,48
ITEX,22220323.70,94
IVAN S CAMERA,14636.79,11
IWC EXCAVATION,533251.23,3
J 1 CONTRACTING,9670505.89,2
J D G CONSTRUCTION MANAGEMENT,315648.86,1
J E ENTERPRISES,236078.66,6
J J LEPERA INFRASTRUCTURES,365706.35,1
J J TRAILERS MANUFACTURERS AND SALES,305185.27,2
J L RICHARDS ASSOCIATES,2781831.69,41
J M J HOLDINGS,937226.78,5
J M LEDRESSAY ASSOCIATES,10265204.43,1
J N A LEBLANC ELECTRIQUE,906209.25,1
J O THOMAS ASSOCIATES,5219151.65,7
J P GRAVEL CONSTRUCTION,474576.36,6
J STERLING INDUSTRIES,24242.00,1
J W LINDSAY ENTERPRISES,6864632.88,2
JACOB BROS CONSTRUCTION,1754762.18,1
JANKEL TACTICAL SYSTEMS,22834439.22,4
JASCO APPLIED SCIENCES CANADA,-1032163.41,12
JASPER CONCRETE,397553.76,8
JASTRAM ENGINEERING,4018048.72,2
JAVELIN TECHNOLOGIES,127831.69,3
JCB,29805.48,1
JEAN DAOUST CONSTRUCTION,1431746.50,1
JEMTEC,450973.46,1
JEOL,48333.23,4
JERRY BERGEN MEDICAL,876245.20,1
JHT DEFENSE,50568.40,19
JIM PATTISON INDUSTRIES,177087.57,23
JJM CONSTRUCTION,-1526686.36,3
JOAN HOLMES ASSOC,370657.16,8
JOHN HOWARD SOCIETY,113378959.41,83
JOHN WILEY SONS,1068696.00,10
JOHNSON CONTROLS CANADA,33542597.14,11
JOHNSON S CONSTRUCTION,839332.23,7
JOKINEN LAW PROFESSIONAL,4149741.86,1
JONELJIM CONCRETE CONSTRUCTION,22456426.14,11
JONES LANG LASALLE,2240515.04,12
JOSEPH ELIE,44534.49,6
JOSEPH RIBKOFF,3926282.41,1
JOWA FAHRZEUGTEILE VERTRIEBS,28999.10,3
JP2G CONSULTANTS,2631229.20,29
JSK NAVAL SUPPORT,97335.88,2
JUMEC CONSTRUCTION,1773510.41,5
JUMPING ELEPHANTS,168910.85,3
JUNO RISK SOLUTIONS,823705.07,13
JWT JUNGENTHAL WEHRTECHNIK,2817279.57,1
K C E CONSTRUCTION,4079174.04,1
K L CONSTRUCTION ONTARIO,294416.36,2
K RITE CONSTRUCTION,1207308.96,2
KANTER MARINE,7873374.36,8
KASIAN ARCHITECTURE INTERIOR DESIGN,4344516.94,18
KAYWAY INDUSTRIES,55708.80,4
KEHOE MARINE CONSTRUCTION,622572.13,4
KENN BOREK AIR,15572093.32,19
KETZA PACIFIC CONSTRUCTION,323897.22,7
KEYDATA ASSOCIATES,4186043.79,4
KEYSIGHT TECHNOLOGIES CANADA,301943.14,7
KEYSTONE ENVIRONMENTAL,3180039.00,9
KEYSTONE SUPPLIES INTERNATIONAL,-907466.13,10
KF AEROSPACE,-4245750.79,13
KFN ENTERPRISES PARTNERSHIP,1401794.98,1
KGS GROUP CONSULTING ENGINEERS,3102346.31,3
KIA CANADA,-67086.58,16
KILEY PAVING,105759.25,2
KINETIC CONSTRUCTION,12046420.23,10
KINETIC MACHINE WORKS,467277.73,2
KING HOE EXCAVATING,2333781.88,2
KINGHAVEN PEARDONVILLE HOUSE SOCIETY,5290720.78,2
KINGS ENTERPRISES,0.00,1
KINGSVIEW CONSTRUCTION,278899.65,3
KLEYSEN GROUP,31604.99,1
KMS INDUSTRIES,1860755.41,4
KNAPPETT INDUSTRIES,5614857.85,3
KNOLL NORTH AMERICA,-211830.95,8
KNOWLEDGE CIRCLE,371101.82,35
KODIAK GROUP HOLDINGS,-4100023.00,1
KONE,1156394.82,16
KONGSBERG,308221.96,12
KONICA MINOLTA BUSINESS SOLUTIONS,4925770.26,120
KONTZAMANIS GRAUMANN SMITH,3653206.60,21
KORN FERRY CA,536336.30,5
KPMG,71233455.28,66
KRAUSS MAFFEI WEGMANN,-8808560.28,9
KROMAR PRINTING,12442.52,3
KUBOTA CANADA,4196.09,4
KUDLIK CONSTRUCTION,2536234.84,5
KURT J LESKER CANADA,223.00,1
KWC ARCHITECTS,1904958.60,11
KYNDRYL CANADA,406075.36,5
L A HEBERT,746032.36,4
L AGENCE,39579136.75,4
L BREAU AND SONS,1530173.56,6
L D WATSON E S MACEWEN ALLAN,2932195.78,7
L P ROYER,-2706567.41,3
L W DENNIS CONTRACTING,2074816.23,2
L3HARRIS,492125702.35,37
LABORATOIRES OMEGA,653761.50,1
LAKESHORE HELICOPTERS,215801.78,7
LANDAUER INLIGHT,400006.39,2
LANDCO CONSTRUCTION,686092.26,4
LANDFORM CIVIL INFRASTRUCTURES,1301436.11,2
LANGUAGE MARKETPLACE,1796323.38,16
LANGUAGE RESEARCH DEVELOPMENT GROUP,15825532.29,55
LANNICK CONTRACT SOLUTIONS,4797105.84,28
LANSDOWNE TECHNOLOGIES,2873646.93,16
LAPORTE,1355894.59,11
LAPORTE EXPERTS CONSEILS,2433892.86,2
LARCH HALF WAY HOUSE OF SUDBURY,7045033.86,4
LARRY PENNER ENTERPRISES,-204234.49,3
LAURENTIAN TECHNOLOGIES,-153526.31,14
LAVAL FORTIN,3071278.59,1
LAVERGNE CONSTRUCTION,326801.35,5
LAZY H TRAIL COMPANY,-333770.86,2
LE GROUPE DRUMCO CONSTRUCTION,266467.78,1
LEAN AGILITY,68671.91,7
LEAR CONSTRUCTION,-22534.05,1
LEC ENGINEERING CONTRACTING,2459062.38,1
LEDCOR CONSTRUCTION,672790.48,1
LEGER MARKETING,496290.46,9
LEIGHTON CONTRACTING,771799.29,3
LEMAY,545206.37,4
LENGKEEK VESSEL ENGINEERING,1075649.72,9
LEO PISCES SERVICES GROUP,5393674.72,16
LEONARDO,87987083.49,8
LES AUTOBUS E MENARD ET FILS,2411081.40,2
LES CONSTRUCTIONS BELAND,605796.50,2
LES CONSTRUCTIONS BINET,3128122.65,4
LES CONSTRUCTIONS DES ILES,3919805.78,4
LES COUVERTURES ST LEONARD,166808.68,1
LES ENQUETES HENRI,219770.80,24
LES ENTREPRISES FERVEL,10051129.12,9
LES ENTREPRISES MICHAUDVILLE,973924.95,1
LES ENTREPRISES P E C,7358886.04,12
LES ENTREPRISES PREBBEL,4440819.75,11
LES ENTREPRISES ROBERT SANFACON,615961.07,3
LES ENTREPRISES SAMSON ENTERPRISES,588676.15,5
LES EQUIPEMENTS CLAUDE PEDNEAULT,876544.76,4
LES HUILES DESROCHES,77935.80,15
LES INSTALLATIONS ELECTRIQUES,1125700.99,1
LES TRADUCTEURS REUNIS,1305990.06,4
LES TRADUCTIONS TESSIER,712253.50,21
LES TRAITEURS BYTOWN CATERING,3943280.13,1
LESAGE DAVID DR,5078374.39,5
LESLIE BENN CONTRACTING,348092.68,5
LEVAERO AVIATION,422213.00,9
LEVERAGE TECHNOLOGY RESOURCES,3877001.47,7
LEVITT SAFETY,10660606.31,11
LEXISNEXIS CANADA,3509357.81,16
LIFE TECHNOLOGIES,18773292.29,32
LIFELABS,52936809.07,4
LIFESPEAK,7096590.44,4
LIFTKING MANUFACTURING,1900360.86,2
LIKE 10,5510543.98,7
LIMEN GROUP CONST,1581780.50,2
LINDSAY CONSTRUCTION,749999.40,3
LINOVATI,6272983.04,22
LIONBRIDGE,14689078.92,127
LLOYD LIBKE LAW ENFORCEMENT SALES,3684544.54,3
LLOYD S REGISTER CANADA,34383774.59,7
LOCKHEED MARTIN,545780896.66,11
LOGISTIK UNICORP,-239988291.26,15
LOISELLE,84104.82,2
LOTEK WIRELESS,893804.78,5
LOUIS W BRAY CONSTRUCTION,10182328.64,8
LOWE MARTIN COMPANY,4157356.88,16
LRO STAFFING,1394519.95,16
LS TELCOM,9834059.64,2
LUCIRA HEALTH,-913411.58,1
LUMINA IT,30500517.37,150
LUMINULTRA TECHNOLOGIES,103179749.24,2
LUXTON CONSTRUCTION,692004.92,11
LUXTON CONSTRUCTION PLAINS,19868.36,5
LWG ARCHITECTURAL INTERIORS,895891.83,12
LYNLEY CONTRACTING SERVICES,15067.05,7
M 2 GROUP,870385.21,2
M A INDEPENDENT BUILDING SERVICES,3745069.84,1
M D CHARLTON,1587763.56,8
M D STEELE CONSTRUCTION,1689475.16,1
M R ENGINEERING,4634292.91,6
M SULLIVAN SON,1959790.55,2
MACDONALD DETTWILER AND ASSOCIATES,415423341.40,61
MACEWEN PETROLEUM,417675.79,15
MACK TRUCKS,43261064.57,1
MACKINNON AND OLDING,382056.96,14
MACONNERIE DYNAMIQUE,5356658.63,6
MACONNERIE RAINVILLE ET FRERES,2402543.91,5
MADSEN DIESEL TURBINE,1448226.40,18
MAGAL S3 CANADA,671589.24,4
MAGELLAN AEROSPACE,399555.96,4
MAGNET FORENSICS,1280096.37,6
MAISON CHARLEMAGNE,6677635.09,2
MAISON CROSS ROADS DE LA SOCIETE,7966749.50,4
MAISON DECISION HOUSE,2612454.00,2
MAISON JEUN AIDE,6909158.01,2
MAISON JOINS TOI,8559393.61,3
MAISON PAINCHAUD,7060468.82,2
MAISON RADISSON,4823069.45,2
MAKWA RESOURCING,6699083.20,32
MALATEST,96298.43,5
MALLEN GOWING BERZINS,631687.27,6
MAN ENERGY SOLUTIONS CANADA,5000000.00,1
MANIFEST COMMUNICATIONS,3426821.05,3
MANITEX LIFTKING,-745581.00,1
MANPOWER SERVICES CANADA,3387863.27,12
MAPLE LEAF ROPES,-7628.56,1
MAPLE REINDERS CONSTRUCTORS,170370592.34,4
MAPLE RIDGE MECHANICAL CONTRACTING,939200.32,1
MAPLESOFT CONSULTING,81456844.26,255
MARCO GROUP,1299770.81,1
MARINE CONTRACTORS,35239.48,7
MARINE RECYCLING,3488718.58,7
MARINENAV,709066.89,23
MARITECH CONSTRUCTION,185640.55,3
MARITIME FENCE,3342427.76,4
MARITIME FUELS,851237.51,18
MARKIDO,1706696.43,10
MARRBECK CONSTRUCTION,1329643.69,1
MARSHALL AEROSPACE,2274855.76,1
MARTEC,5786202.69,5
MARTECH ELECTRICAL SYSTEMS,1501971.31,3
MASKIMO CONSTRUCTION,3029393.52,3
MASONTECH,4025872.71,3
MATANE PRODUCTION,1972139.83,1
MATCON ENVIRONMENTAL,197083.24,4
MATCON EXCAVATION SHORING,293029.00,13
MATRIX AVIATION SOLUTIONS,33352.32,2
MAVERIN,5762371.64,10
MAVERIN BUSINESS SERVICES,926500.50,11
MAXIM 2000,10094116.01,5
MAXIMUS CANADA,5619929.58,1
MAXSYS STAFFING AND CONSULTING,9581406.62,88
MCAFEE INTERNATIONAL,6212711.36,1
MCCOLMAN SONS DEMOLITION,-85700.57,3
MCDONALD BROS CONSTRUCTION,554600.57,1
MCELHANNEY ASSOCIATES,5582789.36,39
MCGILL UNIVERSITY,1977703.86,13
MCGREGOR GEOSCIENCE,3860597.51,2
MCKESSON CANADA,-119079.57,28
MCKINSEY AND COMPANY,13314719.94,5
MCKNIGHT ENTERPRISES,963758.46,3
MCMASTER UNIVERSITY,175751.62,4
MCNALLY CONSTRUCTION,1919269.44,6
MCW CONSULTANTS,218845.50,8
MCW CUSTOM ENERGY SOLUTIONS,19952992.90,6
MDOS CONSULTING,10420247.58,22
MEAD AUTOMATION SOLUTIONS,430000.00,1
MEAL KIT SUPPLY CANADA,3014427.00,1
MED ENG HOLDINGS,39548.25,3
MEDALLION MILK,0.00,1
MEDAVIE,246112143.71,4
MEDI SELECT,743589.89,2
MEDIA Q,350713.01,29
MEDTRONIC CANADA,14432450.40,1
MEEWASINOTA CRF,7503544.95,3
MEGA POWER INSTALLATIONS,46526.47,7
MEGA TECH,75698.38,6
MEGALEXIS COMMUNICATIONS,6672360.24,36
MELTWATER,1121807.17,23
MERCER CANADA,1315875.84,4
MERCK FROSST,12293600.46,3
MERCURY MARINE,-70390.16,6
MERIDIAN ENGINEERING,740713.02,16
MERIDIAN MEDICAL TECHNOLOGIES,42526645.71,4
MESSA COMPUTING,5655187.84,25
METALCRAFT MARINE,-10177143.00,1
METOCEAN TELEMATICS,24050675.99,12
METRO LOGISTICS,56731690.80,1
METRO PAVING AND ROAD BUILDING,3254879.95,9
MGIS,28833138.84,32
MICHAEL WAGER CONSULTING,22629211.63,38
MICHANIE CONSTRUCTION,3510202.40,9
MICHELIN,-802.64,2
MICRONOSTYX,278146.26,3
MICROSOFT CANADA,562026296.00,176
MID CANADA MOD CENTER,489874.04,18
MID VALLEY CONSTRUCTION,209216.10,2
MIKE KELLY SONS,-227878.66,2
MILESTONE ENVIRONMENTAL,7669162.80,9
MILLBROOK TACTICAL,210649.41,7
MILLENNIUM LIMOUSINE SERVICE,209901.53,1
MILLER PAVING,38114.90,1
MILLER WASTE SYSTEMS,-489842.23,11
MILLIPORE CANADA,178482.00,3
MILTEX SOLUTIONS CANADA,1597290.09,8
MINDWIRE SYSTEMS,68956512.88,399
MINE EODCLR,-18792.95,1
MINISTRY OF FINANCE,256499.99,2
MIREMS,1688531.25,10
MISHKUMI TECHNOLOGIES,2361947.07,27
MITSUBISHI MOTOR SALES,1908.10,40
MKDS TRAINING,1393466.40,2
MLS OVERSEAS,1880823.13,154
MNP,14273593.29,37
MOBILE RESOURCE GROUP,628740.63,6
MOBILITY LAB,384068.29,1
MODERN CONSTRUCTION,135920.77,2
MODERN NIAGARA ALBERTA,432386.55,8
MODIS CANADA,143156773.99,389
MOMENTUM SOLUTIONS,3919987.50,9
MONERIS,45267000.00,2
MOORE CANADA,8719015.09,16
MORIYAMA TESHIMA ARCHITECTS,16382769.79,2
MORNEAU SHEPELL,11280541.67,15
MORPHO CANADA,5068846.05,4
MORRISON HERSHFIELD,3905245.24,22
MOSS DEVELOPMENT,2079516.58,4
MOTOR COACH INDUSTRIES,-50141.00,1
MOTOROLA SOLUTIONS CANADA,20505729.33,57
MOUNTAIN ROCK STABILIZATION,785062.74,4
MRS MANAGEMENT AND,6162831.86,1
MTC LAW,8214067.36,1
MTE LOGISTIX EDMONTON,1018533.13,1
MTM 2 CONTRACTING,-2849817.34,4
MTS ALLSTREAM,55517336.36,95
MUFACTOR,0.00,1
MULTINATIONAL LOGISTIC SERVICES,8756.56,11
MULTISHRED,97298.65,4
MUNICIPAL READY MIX,1413843.42,6
MUNICIPALITY OF THE COUNTY OF KINGS,0.00,1
MURRAYS MILLWOOD MANOR,3077301.78,1
MURRAYS WINDERMERE GARDENS,7381466.37,2
MUSTANG HELICOPTERS,2585440.36,10
MUSTANG SURVIVAL,3333883.11,7
MWCO,-1074391.58,3
MYTICAS CONSULTING,2454026.40,2
N P A,1170351.00,1
N12 CONSULTING,4048047.09,8
"NADINE INTERNATIONAL",1778679.99,15
"NAHANNI CONSTRUCTION",16895932.53,3
"NANOMETRICS",361249.70,1
"NAPPAQ DESIGN CONSTRUCTION",597580.70,1
"NASITTUQ",-43140072.00,1
"NATIONAL ARTS CENTRE",3505554.76,1
"NATIONAL STRUCTURES",359371.37,3
"NATIONAL TEST PILOT SCHOOL",12832000.00,2
"NATIONS TRANSLATION GROUP",7060756.95,91
"NATIVE CLAN ORGANIZATION",6549361.15,3
"NATO SEASPARROW SURFACE MISSILE SYSTEM PROJECT",-43311238.00,6
"NATTIQ",3368636.86,26
"NAUT MAWT TRIBAL COUNCIL",1130000.00,1
"NAV CANADA",12587230.36,9
"NAVAMAR",748594.18,4
"NAVPOINT CONSULTING GROUP",7875827.45,13
"NAVTECH",109302.79,3
NDL CONSTRUCTION,6328082.63,2
NELSON ENVIRONMENTAL REMEDIATION,-174615.48,6
NEOPOST CANADA,153220.12,1
NEPTEC DESIGN GROUP,2493754.86,3
NEPTUNE SECURITY SERVICES,380208.26,7
NEUROSCOPE,3290475.00,1
NEVADA AUTOMOTIVE TEST CENTER,2678550.00,1
NEW ENGLAND BIOLABS,-566744.80,2
NEW TECHNOLOGIES,967289.19,4
NEWDOCK ST JOHN S DOCKYARD,36117405.59,31
NEWFOUND RECRUITING,9461138.98,50
NEWFOUNDLAND HELICOPTERS,350745.11,6
NEXTER SYSTEMS,1352675.00,1
NFOE,5123378.81,6
NICHE TECHNOLOGY,2681631.07,1
NIELSEN,3012235.22,14
NIKON CANADA,35750.60,2
NIMBLE INFORMATION STRATEGIES,2911559.68,11
NISHA TECHONOLOGIES,61686645.74,331
NISSAN CANADA,-45734.02,14
NITAM SOLUTIONS,464511.73,10
NITRO CONSTRUCTION,398329.98,5
NKE INSTRUMENTATION,297474.76,3
NMC DYNAPLAS,0.00,1
NOKIA CANADA,641517.89,1
NORDMEC CONSTRUCTION,2331886.76,2
NORR,35076926.88,26
NORTAC DEFENCE,16946941.07,3
NORTAK SOFTWARE,2020296.86,11
NORTH AMERICA CONSTRUCTION,5859274.42,1
NORTH ATLANTIC PETROLEUM,28513.47,3
NORTH BAY HYDRO,709637.88,1
NORTH CARIBOO AIR,-745925.21,27
NORTH COUNTRY MAINTENANCE,2992071.87,1
NORTHEAST TREE TRIMMING,819654.84,2
NORTHERN CONSTRUCTION,637540.13,6
NORTHERN CONTRACTING,-586135.17,1
NORTHERN MICRO,130640061.21,362
NORTHFIELD METAL PRODUCTS,0.00,2
NORTHROP GRUMMAN,564246.61,4
NORTHWEST HYDRAULIC CONSULTANTS,109209.68,3
NORTHWEST MARINE TECHNOLOGY,-423589.62,1
NORTHWESTEL,27225440.80,9
NORTRAX CANADA,156705.29,5
NOTRA,3732930.86,6
NOVA CONSTRUCTION,-1417752.16,2
NOVA NETWORKS,94944.48,18
NOVA SCOTIA POWER,1988840.27,10
NOVIPRO,193120.39,2
NOYE AND NOYE,42752.84,2
NP AEROSPACE CANADA,150355.94,5
NRNS,4910679.14,11
NU VIEW HOMES,3179684.35,1
NUA OFFICE,128462.48,11
NUCTECH COMPANY,496236.54,2
NUIX NORTH AMERICA,3316971.23,4
NUMBER TEN ARCHITECTURAL GROUP,3878555.74,24
NUMERIS,608840.30,2
NUNA EAST,39398994.53,2
NUNAVUT ARCTIC SERVICES,-94265.88,1
