d_vendor_name,mean_amendment_increase_percentage,n
EVOLUTION ROOFING,0.21560000000000001,1
EVOLVECOMP CONSTRUCTION,0.3008,3
EVRIPOS JANITORIAL SERVICES,1.6016,7
EXACT LEGAL TRANSLATIONS,1.2574,6
EXCAVATION LOISELLE,0.1083,2
EXCAVATION RENE ST PIERRE ENG,0.1054,1
EXCAVATIONS DARCHE,0.1168,3
EXCEL 7,0,1
EXCEL HUMAN RESOURCES,1.7723,765
EXP ARCHITECTS,0.4288,11
EXP SERVICES,0.7316,44
EXPERIS,1,1
EXTRON ELECTRONICS RGB SYSTEMS,-0.3357,2
EXXONMOBIL,0.209,6
F M INSTALLATIONS,0.0793,2
FACCA,0.1679,2
FACTIVA,1.7207,8
FAIRBANKS MORSE ENGINE,0.3879,40
FALCON ENVIRONMENTAL,0,1
FARMER CONSTRUCTION,0.1202,22
FAST FORWARD FRENCH,0.5167,117
FAST TRACK STAFFING,0.5594,26
FASTENAL,0.0724,4
FCA CANADA,0.5653,66
FEAST INTERACTIVE,5.4361,5
FEDERAL EXPRESS CANADA,0.7298,12
FEDERAL FLEET SERVICES,0.416,1
FELIX TECHNOLOGY,0.8404,33
FERENCE COMPANY CONSULTING,0.1543,9
FERUS,0.3842,17
FFG,0.8112,13
FIA GROUP,0.2282,5
FIDELITY ENGINEERING CONSTRUCTION,0.3073,2
FINNING INTERNATIONAL,-0.0811,9
FIRST AIR,1.1708,3
FIRST PEOPLES INFRA,0.0186,2
FIRSTCHOICE GROUP CANADA,-0.0708,1
FISH FOOD AND ALLIED WORKERS,0.0351,5
FISHER PAYKEL HEALTHCARE,0.5763,2
FLEET FCA CANADA,-0.0282,17
FLEETWAY,1.3537,11
FLEX KNIT,-0.0029,2
FLIGHT FUELS,3.3313,7
FLIGHTSAFETY CANADA,1.3213,3
FLOYD S CONSTRUCTION,0.3088,11
FLUID ENERGY GROUP,0.0575,1
FLYER ELECTRIC,0.6894,7
FLYNN CANADA,0.0895,2
FMC PROFESSIONALS,1.1554,18
FN HERSTAL,0.2315,2
FORD MOTOR COMPANY,0.2653,263
FORREST GREEN CONSULTING,4.9757,2
FORRESTER RESEARCH,0.4019,9
FORT GARRY FIRE TRUCK,0.3586,2
FOURNIER CONSTRUCTION INDUSTRIELLE,1.1792,1
FOWLER BAULD MITCHELL,0.847,6
FOX TRANSLATIONS,1.6821,20
FRANCIS CANADA TRUCK CENTRE,-0.0383,3
FRASER RIVER PILE DREDGE,0.3247,5
FRECON CONSTRUCTION,0.1158,7
FRED TROTTIER CONSTRUCTION,0.3712,1
FREEBALANCE,0.6787,19
FREQUENTIS CANADA,0.9475,8
FRESENIUS KABI CANADA,0.6254,4
FSA ARCHITECTURE,0.2512,5
FSC,0.2372,1
FTI CONSULTING,162.7459,1
FTS FOREST TECHNOLOGY SYSTEMS,-0.3077,3
FUGRO GEOSURVEYS,0.0156,5
FUJITSU,1.7825,28
FUNDY CONTRACTORS,0.0997,3
FVB ENERGY,0.3076,40
G BIRD HOLDINGS,0.0842,1
G C M CONSULTANTS,0.0775,2
G PLUS INDUSTRIES,1.7586,2
G4S SECURITY SERVICES,2.4872,19
GAB INDUSPAC,0.1127,4
GAGNON LETELLIER CYR RICARD,0.3628,4
GALAXY BROADBAND COMMUNICATIONS,1.4556,4
GAMBLE TECHNOLOGIES,0.7811,6
GAP WIRELESS,0.0812,3
GARDA SECURITY GROUP,3.1675,49
GARDNER ELECTRIC,0.2351,1
GARDON CONSTRUCTION,0.1307,4
GARTNER,0.3323,101
GARY PARKER EXCAVATING,0,2
GAT INTL LOCALIZATION SERVICES,1.3698,2
GATESTONE,0.948,5
GATEWAY MECHANICAL SERVICES,0.4574,22
GAUDETTE S TRANSIT MIX,0.1005,9
GC STRATEGIES,2.0097,40
GDI SERVICES,1.7967,40
GEMMA PROPERTY SERVICES,4.1224,8
GEMTEC,1.3723,51
GEN MEC ACL,0,1
GENERAL DYNAMICS,2.9692,45
GENERAL ELECTRIC CANADA,3.7204,9
GENERAL MOTORS,0.462,104
GENESIS INTEGRATION,-0.0378,27
GENOME QUEBEC,0.9782,15
GEORGE COUREY,0.065,2
GEORGIAN PAVING A DIVISION OF MILLER PAVING,0.0455,1
GEOSPECTRUM TECHNOLOGIES,-0.1282,3
GESTION AJ,0.1982,7
GESTION SEPTEM,0.5816,4
GETINGE CANADA,1.6858,9
GFL ENVIRONMENTAL,1.8762,25
GFL ENVIRONMENTAL SERVICES,0.5071,3
GHD,0.2145,22
GILMORE REPRODUCTIONS,1.0433,17
GLAMOX CANADA,-0.2252,2
GLASSHOUSE SYSTEMS,0.2951,4
GLAXOSMITHKLINE,2.1782,7
GLENCAIRN EDUCATIONAL SERVICES,4.2963,2
GLOBAL KNOWLEDGE,0.3956,18
GLOBAL LIFE SCIENCES SOLUTIONS,0.0089,9
GLOBAL TOTAL OFFICE,0.477,8
GLOBAL UPHOLSTERY,0.0442,19
GLOBE AND MAIL,1.3252,5
GO DEEP INTERNATIONAL,-0.0081,6
GOLDER ASSOCIATES,1.7353,133
GOOGLE CANADA,18.9448,6
GORDON BARR,0.0749,6
GORDON FOOD SERVICE,0.3871,16
GOSS GILROY,0.5918,20
GOVAN BROWN ASSOCIATES,0.466,3
GOVERNMENT OF ALBERTA,2.9339,13
GOVERNMENT OF NUNAVUT,0.4967,3
GOVERNMENT OF SASKATCHEWAN,1.0908,4
GOVERNMENT OF THE NWT,0.2925,1
GQ LIFE SCIENCES,0.9812,1
GRAEBECK CONSTRUCTION,0.2452,2
GRAHAM CONSTRUCTION,0.1439,5
GRAND TOY,0.2505,15
GRANICUS CANADA HOLDINGS,1.2914,4
GRANITE MANAGEMENT,0.0257,7
GRAW RADIOSONDES,0.071,1
GRAYBAR CANADA,0,3
GRAYBRIDGE INTERNATIONAL CONSULTING,0.8895,217
GRAYMONT NB,0.3039,3
GRAYSHIFT,0.8658,1
GRC ARCHITECTS,0.6812,11
GREAT SLAVE HELICOPTERS,0.7705,25
GREATER TORONTO AIRPORT AUTHORITY,2.4136,5
GREEN LIGHT CONSULTING SOLUTIONS,29.5777,2
GREEN TIMBERS PARTNERSHIP,-0.5151,1
GREENDALE RESOURCES,0.408,8
GREENFIELD CONSTRUCTION,0.0858,13
GREG VAN WYK PROFESSIONAL,1.0033,6
GREY ROCK SERVICES,1.1387,2
GRIFFIN ENGINEERED SYSTEMS,0.2344,3
GRIFFON HOVERWORK,-0.1336,14
GROUPE ABS,1.4719,1
GROUPE EDGENDA,0.5996,6
GROUPE ENERGIE BDL,-0.0788,4
GROUPE ONSCOPE,1.7554,4
GROUPE ROBERT,0.0284,1
GUILLEVIN INTERNATIONAL,0,1
GUNTER LANGKOPF MASCHINENBAU,-0.0642,20
GW REALTY,0.1341,6
H E ARMSTRONG MECHANICAL,0.2244,15
H H CONSTRUCTION,0.4244,10
H J R ASPHALT,0.0174,1
HACKETT CONSULTING,1.2098,15
HALIFAX CITADEL SOCIETY,2.5358,3
HALIFAX CONVENTION CENTRE CORPORATI,0.1644,1
HALIFAX INTERNATIONAL AIRPORT,0.7687,1
HALPENNY INSURANCE BROKERS,17.1662,15
HAMEL CONSTRUCTION,0.0759,4
HAN CHANG MEDIC,2.5332,1
HARBOURSIDE ENGINEERING CONSULTANTS,1.7214,20
HARLED,1.5441,4
HARNOIS ENERGIES,0.1892,28
HARRIS TRANSPORT,0.098,19
HASTINGS PAINTING,0.6883,4
HATCH,0.6367,6
HAUL ALL EQUIPMENT,0.4534,1
HAWBOLDT INDUSTRIES,0.2767,9
HAWORTH,0.2909,12
HAZELWOOD CONSTRUCTION SERVICES,0.2291,1
HCL CANADA,0.5063,2
HDP GROUP,1.8294,10
HEARTZAP SAFETY TRAINING AND EQUIPMENT,1,3
HEAVY METAL MARINE,0.5735,10
HEDDLE MARINE SERVICES,0.5016,31
HEILTSUK HORIZON MARITIME SERVICES,0.823,2
HELI LIFT INTERNATIONAL,1.0817,13
HELITRADES,0.1421,8
HEMMERA ENVIROCHEM,2.2193,6
HEPBURN ENGINEERING,-0.3193,1
HEROLD ENGINEERING,0.921,19
HERRING CONSERVATION AND RESEARCH SOCIETY,0.9689,2
HEWLETT PACKARD,1.8807,25
HEXAGON,2.0604,1
HEYL,1.1941,1
HIGHLANDS FUEL DELIVERY,0.6179,16
HIGHLINE ELECTRIC P A,0.1564,1
HIKE METAL PRODUCTS,0.0616,3
HILL KNOWLTON CANADA,0.321,7
HIPPERSON CONSTRUCTION,0.0594,1
HITACHI DATA SYSTEMS,1.2122,11
HITRAC,-0.898,1
HOLLAND COLLEGE,6.256,1
HOLONICS,1.9824,4
HOMEWOOD HEALTH,0.347,2
HONEYWELL,0.7086,50
HOOTSUITE,11.7446,3
HORIZANT,4.7541,14
HORSESHOE HILL CONSTRUCTION,-0.0362,1
HOSKIN SCIENTIFIC,3.804,16
HOULE ELECTRIC,0.0934,19
HOUSE OF HOPE,4.2033,5
HOVEY INDUSTRIES 2005,0.174,2
HOWARD E LITTLE EXCAVATING,1.0489,3
HOWARD HOUSE ASSOCIATION OF CAPE BRETON,2.8203,3
HR ASSOCIATES,1.6044,35
HUBSPOKE,1.7829,12
HUMAN LOGISTICS,0.1226,2
HUMANSCALE CANADA,0.1971,6
HYPERACTIVE PRODUCTIONS,0.9378,8
HYPERION CONSULTING,0.6735,3
HYPERTEC,0.3191,131
I M P GROUP,4.4653,3
I4C INFORMATION TECHNOLOGY,1.895,22
IBI GROUP ARCHITECTS CANADA,1.1925,5
IBISKA TELECOM,2.1973,186
IBM CANADA,13.3891,228
ICE DEVELOPMENT,0.0607,1
ICEBERG NETWORKS,1.2825,7
ICOR TECHNOLOGY,3.4861,6
ICU MEDICAL CANADA,0,1
IDP GROUP,0.4009,2
IDS SYSTEMS CONSULTANTS,1.1527,9
IFATHOM,1.3279,13
IIC TECHNOLOGIES,0.176,17
ILLUMINA CANADA,0.8644,24
IMAGO MACHINE VISION,0.6111,1
IMP GROUP,1.1221,7
IMPERIAL CLEANERS,2.3473,21
IMPERIAL OIL,1.5101,87
IMTECH MARINE CANADA,0.2427,8
INDAL TECHNOLOGIES,0.0214,3
INDIVIOR UK,2.9975,4
INDUSTRA CONSTRUCTION,0.2883,35
INDUSTRIES OCEAN,0.725,7
INFO TECH RESEARCH GROUP,0.8569,11
INFORMATICA,2,1
INFOSYS,0.7332,1
INKSMITH,9e-4,1
INLAND AUDIO VISUAL,0.1161,4
INMARSAT SOLUTIONS,100.9614,5
INNOCAR,0.6065,1
INNOVASEA MARINE SYSTEMS CANADA,0.0397,14
INSA,1.7747,30
INSIGHT SOFTWARE CANADA,0.7945,7
INSTITUT NATIONAL D OPTIQUE,0.7976,5
INSTITUTE ON GOVERNANCE,0.1858,18
INSTRUX MEDIA,2.37,3
INTEGRA NETWORKS,0.6978,21
INTEGRATED DISTRIBUTION SYSTEMS,1.2632,6
INTER MEDICO,41.7435,5
INTER OUTAOUAIS,0.0613,1
INTERACTIVE AUDIO VISUAL,-0.1015,19
INTERCON MARINE,1.8054,12
INTERFAX SYSTEMS,0.3122,2
INTERNATIONAL REPORTING,0.1739,14
INTERNATIONAL SAFETY RESEARCH,0.8696,11
INTERNATIONAL TRUCK BODY,0.0091,1
INTEROUTE CONSTRUCTION,-0.003,4
INTERWORKS CONTRACTING,0.2683,4
INVENTA SALES AND PROMOTIONS,1.76,1
INVERIS TRAINING SOLUTIONS,0.174,4
IPS INTEGRATED PROJECT SERVICES,0.1787,4
IPSOS,0.3032,9
IPSS,3.0785,54
IQVIA,1.7483,5
IRON MOUNTAIN,1.0349,168
IRONCLAD EARTHWORKS,0.68,4
IRVING OIL,0.0484,79
IRVING SHIPBUILDING,4.8509,9
ISLAND CATERING,2.4361,1
ISLAND TEMPERATURE CONTROLS,0.2876,1
ISOMASS SCIENTIFIC,1.0623,1
ISOPLEX,0,1
IT NET CONSULTANTS,1.2592,50
ITEL NETWORKS,31.0801,1
ITEX,0.2806,101
IVALUA CANADA,0.505,1
IVAN S CAMERA,0.0187,11
J 1 CONTRACTING,0.2292,2
J E ENTERPRISES,0.1232,7
J J LEPERA INFRASTRUCTURES,0.0489,1
J J TRAILERS MANUFACTURERS AND SALES,0.7703,3
J L RICHARDS ASSOCIATES,0.5225,49
J M J HOLDINGS,0.3186,5
J M LEDRESSAY ASSOCIATES,8.2571,1
J O THOMAS ASSOCIATES,2.8729,8
J P GRAVEL CONSTRUCTION,0.2417,8
J STERLING INDUSTRIES,5e-4,1
J W LINDSAY ENTERPRISES,0.2425,2
JACOB BROS CONSTRUCTION,0.5287,1
JAMES E FARENHOLTZ LAW,3.5596,1
JANE S GROUP UK,-0.3087,1
JANKEL TACTICAL SYSTEMS,2.4331,5
JASCO APPLIED SCIENCES CANADA,0.4512,12
JASPER CONCRETE,0.2188,9
JASTRAM ENGINEERING,1.1862,2
JCB,3.9028,3
JCL INVESTMENTS,0.031,1
JEMTEC,0.13,1
JEOL,0.7079,4
JHT DEFENSE,0.1515,19
JIM PATTISON INDUSTRIES,0.1699,23
JIMCOR LINE CONSTRUCTION,-0.2083,3
JJM CONSTRUCTION,0.2485,3
JLR,1.5334,2
JOAN HOLMES ASSOC,0.5841,10
JOHN HOWARD SOCIETY,2.8156,91
JOHN WILEY SONS,0.8312,12
JOHNSON CONTROLS,0.3522,15
JOHNSON CONTROLS CANADA,4.8026,11
JOHNSON S CONSTRUCTION,0.1755,7
JOKINEN LAW PROFESSIONAL,6.6823,1
JONELJIM CONCRETE CONSTRUCTION,0.4255,14
JONES LANG LASALLE,0.6125,14
JOSEPH ELIE,0.2274,9
JOSEPH RIBKOFF,0.087,1
JOWA FAHRZEUGTEILE VERTRIEBS,0.0115,3
JP2G CONSULTANTS,2.2976,34
JSK NAVAL SUPPORT,1.0278,2
JUMEC CONSTRUCTION,0.3908,5
JUMPING ELEPHANTS,0.8717,5
JUNO RISK SOLUTIONS,1.9094,16
K C E CONSTRUCTION,0.5172,1
K L CONSTRUCTION ONTARIO,0.0805,2
K RITE CONSTRUCTION,1.3875,3
KANTER MARINE,8.4668,8
KASIAN ARCHITECTURE INTERIOR DESIGN,1.4575,20
KASIEL SOLUTIONS,2.5563,2
KAYWAY INDUSTRIES,0.2071,4
KEHOE MARINE CONSTRUCTION,0.3154,4
KENN BOREK AIR,0.3086,21
KETZA PACIFIC CONSTRUCTION,0.2559,7
KEYDATA ASSOCIATES,0.6434,10
KEYSIGHT TECHNOLOGIES CANADA,0.4302,8
KEYSTONE ENVIRONMENTAL,-0.0011,10
KEYSTONE SUPPLIES INTERNATIONAL,0.0396,10
KF AEROSPACE,0.5312,15
KFN ENTERPRISES PARTNERSHIP,0.279,1
KIA CANADA,-0.0024,28
KIDA DESIGN,7.1686,6
KILEY PAVING,0.4137,3
KIM CONSTRUCTORS,0.3046,6
KINETIC CONSTRUCTION,22.2819,10
KINETIC MACHINE WORKS,-0.2404,2
KING CONSTRUCTION,-0.3959,2
KING HOE EXCAVATING,0.1335,2
KINGHAVEN PEARDONVILLE HOUSE SOCIETY,2.7206,2
KINGS ENTERPRISES,0.0981,35
KINGSTON CONSTRUCTION,0.197,1
KMS INDUSTRIES,0.4805,4
KMSTANDARDS,9.181,2
KNAPPETT INDUSTRIES,1.1722,4
KNIGHT AEROSPACE,0.0158,1
KNOWLEDGE CIRCLE,0.5631,44
KNOWLEDGE CIRCLE LEARNING SERVICES,1.0401,35
KONE,2.1583,17
KONGSBERG,0.3752,13
KONICA MINOLTA BUSINESS SOLUTIONS,0.3142,146
KONTZAMANIS GRAUMANN SMITH,0.254,23
KORN FERRY CA,0.4916,7
KPMG,1.7724,75
KRAUSS MAFFEI WEGMANN,-0.1151,9
KUBOTA CANADA,0.0031,4
KUDLIK CONSTRUCTION,0.0286,5
KWC ARCHITECTS,1.0456,13
KYNDRYL CANADA,1.0715,15
L A HEBERT,0.0895,4
L AGENCE,9.4755,5
L BREAU AND SONS,0.247,8
L D WATSON E S MACEWEN ALLAN,1.586,9
L P ROYER,0.4325,3
L W DENNIS CONTRACTING,0.2658,2
L3HARRIS,1.5098,40
LABORATOIRES OMEGA,0.9735,1
LAKESHORE HELICOPTERS,0.2294,7
LANDCO CONSTRUCTION,0.125,4
LANDFORM CIVIL INFRASTRUCTURES,0.1892,2
LANGUAGE MARKETPLACE,1.6643,19
LANGUAGE RESEARCH DEVELOPMENT GROUP,1.0396,81
LANNICK CONTRACT SOLUTIONS,1.5091,28
LANSDOWNE TECHNOLOGIES,1.5126,16
LAPORTE,0.467,13
LAPORTE EXPERTS CONSEILS,0.6808,2
LARCH HALF WAY HOUSE OF SUDBURY,4.4602,4
LAREN SOCIETY,9.5123,1
LARRY PENNER ENTERPRISES,-0.1144,3
LAT49 ARCHITECTURE,0.7894,4
LAURENTIAN TECHNOLOGIES,-0.0361,19
LAVAL FORTIN,0.8004,1
LAVERGNE CONSTRUCTION,0.1168,6
LAZY H TRAIL COMPANY,0.4993,2
LE GROUPE GESFOR POIRIER PINCHIN,3.4579,26
LEAN AGILITY,0.5628,7
LEAR CONSTRUCTION,-0.0023,1
LEC ENGINEERING CONTRACTING,0.1014,1
LECO INSTRUMENTS,-0.4727,1
LEDCOR CONSTRUCTION,0.0994,1
LEGD,0.0708,1
LEGER MARKETING,0.5174,10
LEICA GEOSYSTEMS,0.9567,5
LEIGHTON CONTRACTING,0.1341,3
LEMAY,0.9035,5
LEN CORCORAN EXCAVATING,0.0532,1
LENGKEEK VESSEL ENGINEERING,0.5583,10
LEO PISCES SERVICES GROUP,2.4112,23
LEONARDO,2.6426,9
LES AUTOBUS E MENARD ET FILS,2.2798,2
LES CONSTRUCTIONS BELAND,0.1106,2
LES CONSTRUCTIONS BINET,0.2283,4
LES CONSTRUCTIONS DES ILES,0.4558,4
LES ENQUETES HENRI,0.3871,33
LES ENTREPRISES FERVEL,1.21,9
LES ENTREPRISES MICHAUDVILLE,0.195,1
LES ENTREPRISES P E C,0.2061,12
LES ENTREPRISES PREBBEL,3.6213,11
LES ENTREPRISES ROBERT SANFACON,2.6216,3
LES ENTREPRISES SAMSON ENTERPRISES,1.0273,5
LES EQUIPEMENTS CLAUDE PEDNEAULT,0.3701,4
LES HUILES DESROCHES,0.0739,23
LES INSTALLATIONS ELECTRIQUES,0.1192,1
LES TOITURES RAYMOND ET ASSOCIES,0.1398,5
LES TRADUCTEURS REUNIS,1.4537,4
LES TRADUCTIONS TESSIER,0.4976,21
LES TRAITEURS BYTOWN CATERING,1.8742,1
LESAGE DAVID DR,2.4286,6
LESLIE BENN CONTRACTING,0.0274,6
LEVAERO AVIATION,0.4433,9
LEVERAGE TECHNOLOGY RESOURCES,3.0305,8
LEVITT SAFETY,1.1434,11
LEXISNEXIS CANADA,1.7207,19
LIFE TECHNOLOGIES,3.046,36
LIFELABS,0.9718,4
LIFESPEAK,4.6009,4
LIFEWORKS CANADA,0.7323,7
LIFTKING MANUFACTURING,0.7778,2
LIKE 10,3.3429,8
LIMEN GROUP CONST,0.3176,2
LINDE CANADA,0.5992,18
LINDSAY CONSTRUCTION,-0.0239,3
LINOVATI,2.3812,22
LIONBRIDGE,1.2314,157
LLOYD LIBKE LAW ENFORCEMENT SALES,0.5876,3
LLOYD S REGISTER CANADA,0.3531,7
LOCKHEED MARTIN,1.4014,11
LOGISTIK UNICORP,0.5505,21
LOISELLE,0.013,4
LOTEK WIRELESS,2.4285,5
LOUIS TANGUAY INFORMATIQUE,3.7203,4
LOUIS W BRAY CONSTRUCTION,0.2895,8
LOWE MARTIN COMPANY,1.6229,22
LRO STAFFING,1.3845,18
LS TELCOM,0.3068,2
LUCIRA HEALTH,-0.238,1
LUMINA IT,1.2324,181
LUMINULTRA TECHNOLOGIES,75.6308,2
LUXTON CONSTRUCTION,0.118,14
LUXTON CONSTRUCTION PLAINS,0.0938,5
LWG ARCHITECTURAL INTERIORS,0.7559,13
LWTAB COMMUNICATIONS,0.7336,6
LYNLEY CONTRACTING SERVICES,0.4181,7
M 2 GROUP,0.3068,2
M A INDEPENDENT BUILDING SERVICES,4.3196,1
M D CHARLTON,1.4722,10
M D STEELE CONSTRUCTION,0.1158,1
M R ENGINEERING,1.7916,6
M SULLIVAN SON,0.2919,2
MACDONALD DETTWILER AND ASSOCIATES,0.657,64
MACEWEN PETROLEUM,2.4698,16
MACK TRUCKS,0.055,1
MACKINNON AND OLDING,1.4853,16
MACONNERIE DYNAMIQUE,0.3046,6
MACONNERIE RAINVILLE ET FRERES,0.1262,5
MADDOCKS CONSTRUCTION,0.059,5
MADSEN DIESEL TURBINE,0.978,19
MAE ROBOTICS,0.0603,1
MAGAL S3 CANADA,0.2304,4
MAGELLAN AEROSPACE,9.3027,4
MAGNET FORENSICS,1.7709,7
MAHER S CONTRACTING,0.1386,3
MAISON CHARLEMAGNE,2.0711,2
MAISON CROSS ROADS DE LA SOCIETE,2.0991,4
MAISON DECISION HOUSE,1.2377,2
MAISON JEUN AIDE,1.8028,3
MAISON JOINS TOI,4.9674,3
MAISON PAINCHAUD,4.1779,2
MAISON RADISSON,3.6928,2
MAKWA RESOURCING,0.7992,37
MALATEST,0.2363,7
MAN ENERGY SOLUTIONS CANADA,0.1562,1
MANAC WESTERN,-0.0667,3
MANULIFE,0.6166,2
MAPLE REINDERS CONSTRUCTORS,0.4587,4
MAPLESOFT CONSULTING,1.4156,279
MARCO GROUP,0.0825,2
MARINE CONTRACTORS,0.0114,7
MARINE RECYCLING,0.2167,7
MARINENAV,1.9097,23
MARITIME FENCE,0.2568,4
MARITIME FUELS,0.3949,40
MARKIDO,10.2449,10
MARRBECK CONSTRUCTION,0.1825,1
MARSHALL AEROSPACE,0.8018,1
MARTEC,2.6545,5
MARTECH ELECTRICAL SYSTEMS,0.2286,3
MASKIMO CONSTRUCTION,0.1939,3
MASONTECH,0.6939,3
MASUD TRADING COMPANY,0.8972,3
MATANE PRODUCTION,1.2613,1
MATCON ENVIRONMENTAL,0.4415,5
MATCON EXCAVATION SHORING,0.3163,13
MATRIX AVIATION SOLUTIONS,0.0805,2
MAVERIN,3.3204,13
MAVERIN BUSINESS SERVICES,0.9277,11
MAXIM 2000,0.2721,5
MAXIMUS CANADA,0.9726,1
MAXSYS STAFFING AND CONSULTING,1.0144,100
MCAFEE INTERNATIONAL,0.4758,1
MCELHANNEY ASSOCIATES,0.8557,45
MCGILL UNIVERSITY,0.9753,18
MCGREGOR GEOSCIENCE,2.0034,2
MCKESSON CANADA,0.1802,37
MCKINSEY AND COMPANY,2.0538,4
MCKNIGHT ENTERPRISES,0.0688,3
MCMASTER UNIVERSITY,0.6865,7
MCNALLY CONSTRUCTION,-0.0628,6
MCW CONSULTANTS,0.5634,10
MCW CUSTOM ENERGY SOLUTIONS,6.0658,7
MDOS CONSULTING,3.8849,27
MEAD AUTOMATION SOLUTIONS,0.3351,1
MEAL KIT SUPPLY CANADA,1.735,1
MED ENG HOLDINGS,0.4196,4
MEDAVIE,13.2121,5
MEDI SELECT,1.0909,2
MEDIA Q,0.642,34
MEDTRONIC CANADA,3.3391,1
MEEWASINOTA CRF,1.3888,3
MEGA POWER INSTALLATIONS,0.1812,7
MEGA TECH,0.1752,7
MEGALEXIS COMMUNICATIONS,1.7296,50
MELTWATER,1.1301,25
MERCER CANADA,2.6907,4
MERCK FROSST,17.8696,4
MERCURY MARINE,-0.0783,7
MERIDIAN ENGINEERING,0.5318,16
MERIDIAN MEDICAL TECHNOLOGIES,1.6149,4
MESSA COMPUTING,2.1002,27
METALCRAFT MARINE,-0.9314,1
METOCEAN TELEMATICS,4.1106,12
METRO LOGISTICS,0.6875,1
METRO PAVING AND ROAD BUILDING,0.1047,9
METTLER TOLEDO,0.3697,3
MGIS,2.6286,34
MHV SERVICES D HYGIENE,2.9859,33
MICHAEL WAGER CONSULTING,1.4475,42
MICHANIE CONSTRUCTION,0.7012,9
MICHELIN,-0.0361,2
MICRONOSTYX,1.2264,4
MICROSOFT CANADA,5.2078,226
MID CANADA MOD CENTER,0.0825,19
MID VALLEY CONSTRUCTION,0.2287,2
MIKE KELLY SONS,-0.0201,2
MILESTONE ENVIRONMENTAL,0.2018,10
MILITARY TRAVEL,0.3466,2
MILLBROOK TACTICAL,1.229,9
MILLENNIUM LIMOUSINE SERVICE,0.4519,1
MILLER PAVING,0.1324,1
MILLER WASTE SYSTEMS,0.7877,12
MILLIPORE CANADA,-0.0347,3
MILTEX SOLUTIONS CANADA,0.9428,9
MINDWIRE SYSTEMS,1.5378,424
MINE EODCLR,-0.0822,2
MINISTRY OF FINANCE,0.1581,2
MISHKUMI TECHNOLOGIES,0.1738,27
MITSUBISHI MOTOR SALES,0.0012,41
MKDS TRAINING,0.3573,2
MLS OVERSEAS,0.1966,160
MNP,1.4839,43
MOBILE RESOURCE GROUP,1.3262,12
MOBILITY LAB,9.9611,2
MODERN NIAGARA ALBERTA,0.1736,8
MODERN NIAGARA OTTAWA,0.9947,3
MODIS CANADA,2.097,445
MOMENTUM SOLUTIONS,0.303,11
MONERIS,0.2303,2
MOORE CANADA,10.6906,18
MORIYAMA TESHIMA ARCHITECTS,0.8853,2
MORNEAU SHEPELL,1.3364,15
MORPHO CANADA,3.4154,5
MORRISON HERSHFIELD,1.6735,25
MOSS DEVELOPMENT,0.2198,5
MOTOR COACH INDUSTRIES,-0.6273,1
MOTOROLA SOLUTIONS CANADA,0.3271,62
MRS MANAGEMENT AND,1.4673,1
MS CONSTRUCTION,0.1039,128
MSC INDUSTRIAL SUPPLY,2e-4,5
MTC LAW,5.1981,1
MTE LOGISTIX EDMONTON,0.3771,1
MTS ALLSTREAM,2.9854,114
MUFACTOR,0,1
MULTINATIONAL LOGISTIC SERVICES,0.1151,11
MULTISHRED,0.6667,4
MUNICIPAL READY MIX,0.1013,6
MUNICIPALITY OF THE COUNTY OF KINGS,0.0063,2
MURRAYS MILLWOOD MANOR,1.7403,2
MURRAYS WINDERMERE GARDENS,2.1457,3
MUSTANG HELICOPTERS,0.7889,11
MUSTANG SURVIVAL,0.0809,7
MWCO,0.5015,3
N P A,0.164,1
N12 CONSULTING,2.2726,9
"NACRIS",1.3967,4
"NADINE INTERNATIONAL",3.4468,16
"NAHANNI CONSTRUCTION",0.3291,3
"NAILS ENTERPRISES 2007",0.0509,12
"NANOMETRICS",0.0684,1
"NAPPAQ DESIGN CONSTRUCTION",0.1348,1
"NARL MARKETING PARTNERSHIP",0.2092,3
"NARL MARKETING PARTNERSHIP NORTH ATLANTIC",0,1
"NASITTUQ",-0.9779,1
"NATIONAL ARTS CENTRE",1.149,1
"NATIONAL TEST PILOT SCHOOL",2.3365,2
"NATIONS TRANSLATION GROUP",1.0457,135
"NATIVE CLAN ORGANIZATION",1.9931,3
"NATO SEASPARROW SURFACE MISSILE SYSTEM PROJECT",-0.0868,6
"NATTIQ",1.2842,30
"NAUT MAWT TRIBAL COUNCIL",0.1667,1
"NAV CANADA",0.8851,10
"NAVAMAR",0.1979,4
"NAVENCO MARINE",1.3659,1
"NAVPOINT CONSULTING GROUP",2.0225,15
"NAVTECH",2.4866,3
NCL NORTHERN CONTRACTING,0.2768,2
NDL CONSTRUCTION,0.511,2
NELSON ENVIRONMENTAL REMEDIATION,0.3191,6
NEOPRENE CANADA,0.4409,8
NEPTEC DESIGN GROUP,1.0772,3
NEPTUNE SECURITY SERVICES,1.3689,12
NETAGEN COMMUNICATION,0.3032,5
NEUROSCOPE,1.3498000000000001,2
NEVADA AUTOMOTIVE TEST CENTER,1.45,1
NEW BRUNSWICK COMMUNITY COLLEGE,1.6177,6
NEW ENGLAND BIOLABS,0.6298,2
NEW ERA TOOL DIE,0.0766,1
NEWDOCK ST JOHN S DOCKYARD,0.527,31
NEWENERGY COMMUNITY,0.1994,3
NEWFOUND RECRUITING,1.6215,65
