d_vendor_name,mean_original_value,mean_overall_value,n
CSI CONSULTING,102036.62,157518.71,20
CSI LEASING CANADA,255793.13,277812.47,15
CTOMS,62975.44,66897.70,87
CUBE CONSTRUCTION,768216.36,844506.27,7
CUBIC DEFENSE APPLICATIONS,74057383.07,79424664.59,6
CULLEN DIESEL POWER,296909.09,297153.62,46
CUMMINS CANADA,183279.98,193800.36,111
CUSTOM HELICOPTERS,62564.04,76809.81,69
CWP CONSTRUCTORS,1784425.61,1896351.54,10
CYMI CANADA,19676895.00,23012723.22,1
CYTELLIGENCE,11300000.00,11300000.00,1
D BREAU ET FILS,2042347.10,2430244.29,1
D DOYLE INSTALLATIONS,31214.79,40052.37,172
D F BARNES,437926.59,791787.13,3
D F S,459845.86,755181.71,48
D H PARTNERSHIP,278424156.82,619108855.00,2
D MARK BIOSCIENCES,140438.17,148488.91,36
D2L,50683.65,1472103.60,7
D4IS SOLUTIONS,655016.75,915048.09,19
DADS,303580.74,304377.67,203
DAIMLER,161402.30,161402.30,70
DALCON CONSTRUCTORS,1135500.33,940547.34,6
DALHOUSIE UNIVERSITY,176356.67,172596.55,105
DALIAN ENTERPRISES,334786.38,474533.02,148
DANA HOSPITALITY PARTNERSHIP,3384094.54,3384094.54,1
DANIEL CREPEAU,324254.27,401882.33,16
DARE HUMAN RESOURCES,101286.82,126909.69,80
DASCO EQUIPMENT,56413.05,57174.28,222
DASCO STORAGE SOLUTIONS,25255.54,25282.46,152
DATA CENTRE INTELLIGENCE,231173.50,320706.55,21
DATA COMMUNICATIONS MANAGEMENT,335299.37,361544.08,111
DATA REPRO COM,103124.61,208660.65,21
DATIFEX,1048022.17,1068034.57,5
DATUM MARINE SERVICES,1100903.00,2840717.69,2
DAVID S LAFLAMME CONSTRUCTION,4391210.09,4746254.95,3
DAVTAIR INDUSTRIES,443332.83,472677.09,17
DAWSON CONSTRUCTION,4555374.01,5161309.65,6
DBC MARINE SAFETY SYSTEMS,235805.17,245156.61,21
DCL CONSTRUCTION SERVICES,1471114.25,1524015.45,11
DE ANGELIS CONSTRUCTION,8402212.18,17062961.15,1
DEAN CONSTRUCTION COMPANY,1877674.51,1935546.18,4
DECAREL,41113410.00,41113410.00,1
DECISIVE GROUP,524828.82,546177.38,453
DECONTIE MILESTONE,918218.00,1136844.75,2
DEFENCE CONSTRUCTION CANADA,434071.18,447054.37,29
DEFENSE INFORMATION SYSTEMS AGENCY,3538816.50,3637096.00,2
DEFRAN,404390.72,486673.63,16
DELCO AUTOMATION,159229.47,170424.70,124
DELL COMPUTER,157012.70,181879.32,626
DELOITTE,624916.98,1118895.29,786
DELTA PHOTONICS,58449.95,67489.16,42
DETON CHO LOGISTICS,38340.24,38340.24,65
DEVLIN CONSTRUCTION,3830515.61,5297448.66,1
DEW ENGINEERING,1907143.42,1245869.96,74
DEXTER CONSTRUCTION,1602280.46,1660552.82,107
DEXTERRA,453536.03,522407.76,135
DF BARNES SERVICES,336792.81,489309.95,17
DHL EXPRESS CANADA,299317.19,326157.64,47
DIAMOND AND SCHMITT ARCHITECTS,2311007.91,4826221.79,14
DILIGENS,177289.14,253065.95,32
DILLON CONSULTING,83066.66,98684.69,508
DIRECT ENERGY BUSINESS,917750.91,945692.32,70
DISMAS SOCIETY,937628.07,3714734.87,2
DLS TECHNOLOGY,165969.21,176132.54,82
DMTI SPATIAL,98478.10,115553.58,38
DNR CONSULTING GROUP,299831.66,299831.66,75
DO ALL CONSTRUCTION,210858.73,230112.79,21
DOLOMITE NETWORKS,239735.48,481758.90,16
DOLYN CONSTRUCTION,3340280.00,3447900.58,1
DOMINION CONSTRUCTION,511990.60,490295.76,6
DOMUS BUILDING CLEANING,213815.59,782109.56,27
DON SAYWELL DEVELOPMENTS,63250.98,63115.36,129
DONALD J FRASER,540788.50,4543435.85,1
DONALD SERVANT ELECTRIC,567764.06,647357.95,12
DONNA CONA,408685.53,632334.27,426
DR DAVID LESAGE,258864.88,939481.38,7
DR FERNANDO VILLASENOR,461420.88,965030.05,5
DR MANDEEP SAINI,1500000.00,2750000.00,2
DR NADER SHARIFI,578936.25,1107497.40,4
DR S ISKANDER,1273600.00,2440266.67,3
DRAEGER,869615.46,934039.50,22
DRAGAGE IM,1777818.13,1001461.76,9
DRAGAGE OCEAN DSM,5473698.41,5716688.84,14
DRAPEAUX ET BANNIERES L ETENDARD,182370.96,455719.17,11
DRASTIC FISHERIES,672700.00,810700.00,3
DREAM OFFICE,142251.06,214215.85,21
DSS MARINE,351346.65,529531.37,30
DST CONSULTING ENGINEERS,60406.06,69572.86,226
DSV,53469.73,53479.96,109
DUFFERIN CONSTRUCTION COMPANY,1582259.64,1789091.62,2
DWP SOLUTIONS,904514.43,2552851.82,11
DXB PROJECT MANAGEMENT,3589595.40,9300000.00,1
DYMECH ENGINEERING,348558.34,352113.64,18
DYNABOOK CANADA,684255.63,774405.07,109
DYNACARE,877116.64,1513180.47,143
DYNAMIC CONSTRUCTION,726140.23,704589.87,9
DYNAMIC FACILITY SERVICES,709115.50,785513.64,11
DYNAMIC PERSONNEL CONSULTANTS,55326.48,72857.96,192
DYNAMITE CONSTRUCTION,927114.09,1196670.88,2
E CONSTRUCTION,371800.41,382727.94,35
E D BRUNET ET ASSOCIES CANADA,11436563.25,21504668.15,1
EAGLE PROFESSIONAL RESOURCES,841954.16,1405151.38,33
EAST ELGIN CONCRETE FORMING,783143.94,870466.19,6
EASTPOINT ENGINEERING,94318.27,107748.86,127
EASTWAY CONTRACTING,314964.43,313663.06,32
EBC,48440381.17,49090074.47,4
EBERHARD VON HUENE ASSOCIATES,104256.50,107118.65,57
EBSCO CANADA,168635.53,223295.86,282
ECLIPSYS SOLUTIONS,253059.88,341379.94,319
ECO TECHNOLOGIES,197692.72,196775.59,56
ECOLE DE LANGUES ABCE,20644.88,23242.97,515
ECOLE DE LANGUES EAGLE,23084.59,24785.60,155
ECOLE DE LANGUES LA CITE,35883.37,49539.01,323
ECOPIA TECH,975518.90,975518.90,6
EDWARD COLLINS CONTRACTING,347182.92,405857.63,16
EFFIGIS GEO SOLUTIONS,104540.12,108059.67,30
EIFFAGE INNOVATIVE CANADA,10481115.21,10934910.16,8
EKOS RESEARCH ASSOCIATES,101798.70,101733.37,93
ELBIT SYSTEMS,8029077.45,8819794.58,11
ELEMENTAL DATA COLLECTION,235311.74,382916.26,7
ELITE CONSTRUCTION,7696373.50,10394592.54,1
ELITE ENVIRONMENTAL GROUP,35250.93,37217.11,113
ELIZABETH FRY SOCIETY,329817.37,1593084.70,26
ELLICE RECYCLE,2415370.08,2415370.08,2
ELLISDON,10177121.37,32867444.92,26
ELSEVIER,235824.57,297031.44,124
EMCEE CONSTRUCTION AND MANAGEMENT,790412.96,1046189.44,5
EMCON SERVICES,550546.47,605208.90,72
EMERGENCY MEDICAL TECHNOLOGY,4618563.00,7781660.92,1
EMERGENT BIOSOLUTIONS,301615.41,614268.42,77
EMIL ANDERSON CONSTRUCTION,5118172.84,5514502.78,5
EMMANUEL CONSTRUCTION SERVICES,1923769.43,2252583.01,6
EMMONS MITCHELL CONSTRUCTION,1602410.07,1828363.81,16
EMPOWERED NETWORKS,174036.60,380728.42,52
EMS TECHNOLOGIES,13581690.42,57413538.29,3
EMTEC,130139.93,223231.21,34
ENERGERE CONSULTANTS,4629857.02,5818530.77,3
ENGLOBE,161096.14,186393.47,652
ENMAX,885995.67,964491.15,65
ENTREPRISE CLAVEAU,3538049.60,3894828.67,2
ENTREPRISE DE CONSTRUCTION T E Q,21301182.22,23391729.54,2
ENTRUST,425692.04,438153.54,67
ENVELOPPE CONCEPT,262589.77,289304.12,24
ENVIRONICS RESEARCH GROUP,114287.55,118481.34,87
ENVIROSAFE JANITORIAL,321208.77,323928.29,63
ENVIROSERVICES,53182.69,61568.47,57
EPERFORMANCE,124501.54,209204.69,34
EPIK TAAHHUT SANAYI IC VE DIS,2398749.47,2512794.55,1
EQUASION BUSINESS TECHNOLOGIES CONSULTING AND WATERSHED ITS IN CJV,772761.80,2255277.40,2
ERNST YOUNG,292636.96,382084.71,320
ESBE SCIENTIFIC INDUSTRIES,832518.69,845996.79,65
ESRI,121995.01,128553.17,648
ESSEX INDUSTRIES,4120740.00,4120740.00,1
ETHIOPIAN AIRLINES GROUP,645564.74,645564.74,8
EUROVIA QUEBEC CONSTRUCTION,1673489.05,2311963.37,5
EVALUATION PERSONNEL,73714.00,85587.37,41
EVALUATION PERSONNEL SELECTION,44201.27,59503.09,117
EVEREST CONSTRUCTION MANAGEMENT,2696476.48,2990821.23,4
EVOLUTION ROOFING,1776338.88,2081161.99,2
EVOLVECOMP CONSTRUCTION,1028301.85,1159106.25,9
EVRIPOS JANITORIAL SERVICES,383277.66,752190.20,14
EXACT LEGAL TRANSLATIONS,273196.27,309002.48,23
EXCALIBUR ENVIRONMENTAL SERVICES,484943.48,484943.48,8
EXCAVATION LOISELLE,2171717.87,2451228.49,5
EXCAVATION RENE ST PIERRE ENG,9552813.50,10139727.19,2
EXCAVATIONS DARCHE,830949.62,931075.84,3
EXCEL 7,4315965.00,4334948.85,3
EXCEL HUMAN RESOURCES,141692.22,215580.34,1626
EXIT CERTIFIED,33489.50,33980.16,101
EXP ARCHITECTS,225336.37,263733.71,31
EXP SERVICES,80642.05,96123.21,127
EXPRESS SCRIPTS CANADA,180462315.13,257300562.14,2
EXTRON ELECTRONICS RGB SYSTEMS,101976.19,99959.54,43
EXXONMOBIL,36055.75,36065.69,1028
F M INSTALLATIONS,3601000.00,3781641.18,2
FACCA,2238951.73,2552256.08,6
FACTIVA,112518.60,172026.81,63
FAIRBANKS MORSE ENGINE,96904.34,103504.52,278
FARMER CONSTRUCTION,59551.44,60916.87,189
FAST FORWARD FRENCH,19999.81,21457.07,515
FAST TRACK STAFFING,30180.38,32054.17,195
FASTENAL,24655.73,24736.74,275
FCA CANADA,126054.47,129403.85,556
FDF GROUP,41954.38,41747.25,89
FEAST INTERACTIVE,355582.35,650133.76,16
FEDERAL EXPRESS CANADA,1922237.38,1928721.99,48
FEDERAL FLEET SERVICES,620865000.00,691560000.00,1
FELIX TECHNOLOGY,163318.69,174229.93,263
FERENCE COMPANY CONSULTING,121000.56,125285.79,60
FFG,7658666.37,10149912.14,25
FIA GROUP,1940653.93,2292954.96,7
FIDELITY ENGINEERING CONSTRUCTION,648000.25,729980.54,8
FIELD AVIATION COMPANY,69479.20,70261.31,46
FINNING INTERNATIONAL,85693.43,74568.28,78
FIRST AIR,105211.32,206123.27,28
FIRST PEOPLES INFRA,7543652.81,7681529.90,2
FIRSTCHOICE GROUP CANADA,312013.37,309713.23,11
FISH FOOD AND ALLIED WORKERS,420837.32,428267.08,15
FISHER PAYKEL HEALTHCARE,2217902.51,3093444.22,3
FLEETWAY,7975230.03,16234406.38,20
FLEX KNIT,56194.00,54912.84,123
FLIGHT FUELS,61074.59,61078.60,150
FLIGHTSAFETY CANADA,806427.94,1113785.94,10
FLOYD S CONSTRUCTION,700890.87,727050.74,31
FLUID ENERGY GROUP,36748747.28,38671515.36,3
FLYNN CANADA,306419.12,307766.51,22
FMC PROFESSIONALS,138359.50,196650.52,49
FN HERSTAL,698622.49,724580.22,17
FONDATION CARREFOUR NOUVEAU MONDE,1820518.77,3379034.72,2
FORD MOTOR COMPANY,190708.18,195248.52,1900
FORREST GREEN CONSULTING,712360.48,3765835.03,2
FORRESTER RESEARCH,134934.16,135410.34,79
FORT GARRY FIRE TRUCK,747923.24,947153.18,13
FOURNIER CONSTRUCTION INDUSTRIELLE,2656428.25,2720152.42,2
FOWLER BAULD MITCHELL,253242.06,480184.63,9
FOXIT SOFTWARE,956597.10,956597.10,9
FRANCIS CANADA TRUCK CENTRE,662429.39,659981.08,15
FRANNAN INTERNATIONAL,11125922.00,11125922.08,3
FRASER RIVER PILE DREDGE,10208207.30,11357988.69,5
FRECON CONSTRUCTION,281730.43,305543.81,17
FREEBALANCE,78595.18,92043.03,119
FREQUENTIS CANADA,527565.55,701305.17,18
FRESENIUS KABI CANADA,860585.90,1150111.90,6
FROSTI FISHING,1522421.25,1522421.25,4
FSA ARCHITECTURE,328403.90,373884.64,12
FSC,945386.21,949647.32,9
FTI PROFESSIONAL GRADE,237300000.00,237300000.00,1
FTS FOREST TECHNOLOGY SYSTEMS,44926.40,44948.53,87
FUGRO GEOSURVEYS,782747.29,808121.85,12
FUJITSU,1166955.61,2656189.12,53
FUNDY CONTRACTORS,586750.12,631373.17,30
FVB ENERGY,407955.17,480452.05,66
G A L POWER SYSTEMS OTTAWA,134384.70,171592.47,33
G BIRD HOLDINGS,2342546.14,2530879.48,3
G4S SECURITY SERVICES,1261048.72,2139980.48,43
GAB INDUSPAC,22800.00,22810.30,236
GABRIELA OLIVEIRA,5605.03,56258191.97,1
GAGNON LETELLIER CYR RICARD,2185425.26,2517335.56,6
GALA SLACKS,250848.22,547618.34,9
GALENVS SCIENCES,2866285.02,2866285.02,4
GAMBLE TECHNOLOGIES,98421.64,122453.57,57
GANNON BLACKBURN ELECTRIC,175581.38,195172.54,20
GAP WIRELESS,67875.30,64223.58,110
GARDA SECURITY GROUP,2266354.92,2749371.04,75
GARTNER,221521.49,224201.72,1192
GARY PARKER EXCAVATING,176181.79,176181.79,28
GAT INTL LOCALIZATION SERVICES,244497.55,302767.43,19
GATESTONE,2087319.27,3417811.88,18
GATEWAY MECHANICAL SERVICES,88279.96,110678.36,108
GAUDETTE S TRANSIT MIX,839570.35,924738.41,12
GC STRATEGIES,430045.38,682411.27,111
GDI,288715.38,288715.38,15
GDI SERVICES,2368716.22,584561.65,115
GEMALTO COGENT,79912.15,81121.47,42
GEMMA PROPERTY SERVICES,537558.45,620931.38,19
GEMTEC,69009.49,100469.02,242
GEN MEC ACL,8803620.00,8803620.00,1
GENERAL DYNAMICS,16304306.35,18957791.32,390
GENERAL ELECTRIC CANADA,964835.19,2358057.30,91
GENERAL MOTORS,186879.79,191439.13,1219
GENESIS INTEGRATION,62124.82,62217.81,408
GENOME QUEBEC,25843.12,27978.08,266
GENTEX INTERNATIONAL,394658.89,394658.89,15
GEORGE COUREY,3323207.11,3323663.38,12
GEOSPECTRUM TECHNOLOGIES,1130694.63,1113921.68,15
GEOTAB,143776.61,143776.61,24
GESTION AJ,1122035.40,1196018.99,13
GETINGE CANADA,367946.93,571734.73,39
GFL ENVIRONMENTAL,56808.94,81242.01,112
GHD,31748.88,32614.83,268
GILMORE PRINTING SERVICES,83468.39,92685.48,41
GILMORE REPRODUCTIONS,149005.62,192732.90,85
GINO PELLETIER FOREX MALI DIELY MOUSSA KOUYATE GID,7407616.42,7407616.42,1
GLAMOX CANADA,1336335.81,743045.24,13
GLASSHOUSE SYSTEMS,389369.02,389575.64,79
GLAXOSMITHKLINE,6418948.04,6392012.65,26
GLENCAIRN EDUCATIONAL SERVICES,693085.83,1942135.89,5
GLOBAL KNOWLEDGE,36235.76,41981.10,290
GLOBAL LIFE SCIENCES SOLUTIONS,294809.77,300654.65,63
GLOBAL TOTAL OFFICE,51013.19,69666.16,121
GLOBAL UPHOLSTERY,34699.05,34041.97,563
GLOBE AND MAIL,213636.70,439516.24,12
GM DEVELOPPEMENT,2115779.27,2115779.27,4
GO DEEP INTERNATIONAL,96888.43,92247.87,128
GOLDER ASSOCIATES,266527.20,472925.63,395
GOOGLE CANADA,173262.93,188377.09,28
GORDON BARR,1440565.51,1448818.77,8
GORDON FOOD SERVICE,30994.40,31978.25,495
GOSS GILROY,100563.44,109787.16,148
GOVAN BROWN ASSOCIATES,2309918.87,2724113.98,2
GOVERNMENT OF ALBERTA,588796.74,1011135.56,27
GOVERNMENT OF SASKATCHEWAN,764798.13,762794.14,11
GOVERNMENT OF THE NWT,4229250.00,4759000.00,2
GQ LIFE SCIENCES,1080088.97,1496075.56,2
GRAEBECK CONSTRUCTION,926200.00,1330591.89,2
GRAHAM CONSTRUCTION,4930584.06,5772984.31,11
GRAND TOY,32298.87,32309.69,389
GRANITE MANAGEMENT,696964.78,723051.42,13
GRANT CUSTOM,3772876.36,234046.22,10
GRAPHIC OFFICE INTERIOR,1950000.00,2999138.88,1
GRAW RADIOSONDES,5624440.66,6020349.66,2
GRAYBAR CANADA,30399.44,30521.77,121
GRAYBRIDGE INTERNATIONAL CONSULTING,61134.90,122592.36,667
GRAYMONT NB,76740.68,85428.60,59
GRC ARCHITECTS,563689.90,1023700.99,15
GREAT SLAVE HELICOPTERS,95155.16,140426.67,184
GREATER TORONTO AIRPORT AUTHORITY,2116762.12,6299053.09,9
GREEN LIGHT CONSULTING SOLUTIONS,570313.90,1109132.93,5
GREEN TIMBERS PARTNERSHIP,29028493.70,29847343.28,2
GREENDALE RESOURCES,199025.43,215820.50,25
GREENFIELD CONSTRUCTION,5466319.05,5794059.16,15
GREG VAN WYK PROFESSIONAL,600138.82,814922.11,10
GREY ROCK SERVICES,3718435.01,7171393.81,4
GREYTOP COMMERCIAL CONSTRUCTION,1079256.99,1079256.99,4
GRIFFIN ENGINEERED SYSTEMS,1832131.94,1902554.73,8
GRIFFON HOVERWORK,137347.71,129879.16,29
GROUPE ABS,217420.26,305209.33,21
GROUPE EDGENDA,113207.83,161200.16,32
GROUPE ENERGIE BDL,456431.87,452692.77,44
GROUPE GEYSER,15693200.00,15693200.00,3
GROUPE ONSCOPE,1789881.83,3798861.17,8
GROUPE ROBERT,14754244.74,15173560.90,2
GUILLEVIN INTERNATIONAL,27859.85,27910.65,141
GUNTER LANGKOPF MASCHINENBAU,628268.04,622433.65,50
GW REALTY,1214376.99,1324391.04,7
H E ARMSTRONG MECHANICAL,43574.82,44673.70,117
H H CONSTRUCTION,176048.04,182000.87,55
H J R ASPHALT,6038313.75,6143681.25,1
HALIFAX CITADEL SOCIETY,933794.38,1739875.67,3
HALIFAX INTERNATIONAL AIRPORT,1584053.13,2801730.63,1
HALPENNY INSURANCE BROKERS,84089.22,134999.01,31
HAMEL CONSTRUCTION,17142687.71,18011077.46,4
HAN CHANG MEDIC,873112.10,3084901.00,1
HARBOURSIDE ENGINEERING CONSULTANTS,133973.01,203766.58,83
HARLED,326187.73,528360.16,6
HARNOIS ENERGIES,53234.44,53163.12,644
HARRIS TRANSPORT,152351.21,158559.39,133
HASKONING UK,12633075.00,12633075.00,1
HASTINGS PAINTING,512232.07,616824.88,7
HATCH,183634.82,423118.27,23
HAWBOLDT INDUSTRIES,666625.28,1022565.93,36
HAWORTH,54834.20,57133.98,213
HAZELWOOD CONSTRUCTION SERVICES,23031540.95,28307309.53,1
HDP GROUP,102117.60,152220.45,41
HEAVY METAL MARINE,349788.81,520627.62,26
HEDDLE MARINE SERVICES,1096394.93,1248356.48,56
HEILTSUK HORIZON MARITIME SERVICES,232560.00,253115.99,13
HELITRADES,91104.16,91152.11,72
HEMMERA ENVIROCHEM,720325.80,801712.88,35
HENSOLTD SENSORS,5677586.46,5677586.46,2
HEPBURN ENGINEERING,16159000.00,11000000.00,1
HERCULES SLR,51111.04,209161.09,28
HERITAGE RESTORATION,803809.49,1141444.85,6
HEROLD ENGINEERING,91060.88,115993.00,56
HERRING CONSERVATION AND RESEARCH SOCIETY,1131900.00,1833953.62,4
HEWLETT PACKARD,861734.97,7103566.88,115
HEXAGON,139237.05,143033.43,43
HFI PYRO,3232704.00,3232704.00,1
HFI PYROTECHNICS,1975507.40,1975507.40,14
HIGHER STANDARD SALES HSS,2101957.30,2101957.30,1
HIGHLANDS FUEL DELIVERY,154630.91,216090.01,30
HIGHLINE ELECTRIC P A,792791.87,915104.00,4
HIKE METAL PRODUCTS,28019824.44,28917659.05,5
HILTON BROTHERS CONTRACTING,2276820.79,2276820.79,1
HIPPERSON CONSTRUCTION,13980750.00,14161089.15,1
HITACHI DATA SYSTEMS,420673.42,629160.48,99
HITRAC,338331.29,328229.56,41
HOLLAND COLLEGE,348777.44,1609811.93,7
HOLMAN FENWICK WILLAN,144098850.00,144098850.00,1
HOLONICS,293365.18,733109.81,5
HOME COMPLETIONS,936902.50,936902.50,4
HOMEWOOD HEALTH,688526.52,772536.66,8
HONEY CONSTRUCTION,314063.16,420011.22,10
HONEYWELL,298526.23,361287.32,444
HOOTSUITE,89550.05,1779691.39,6
HORIZANT,70298.21,170527.49,66
HORSESHOE HILL CONSTRUCTION,7538229.88,7265059.68,1
HOSKIN SCIENTIFIC,37430.23,43926.22,557
HOULE ELECTRIC,247614.84,252432.13,70
HOUSE OF HOPE,484424.64,2251119.00,5
HOWARD HOUSE ASSOCIATION OF CAPE BRETON,551563.00,1928164.48,3
HOWDEN ROOTS,1027870.49,1047186.28,2
HR ASSOCIATES,32775.18,55906.06,52
HUBSPOKE,308035.66,527468.11,24
HUMAN LOGISTICS,732776.59,761526.59,9
HUMANSCALE CANADA,31667.17,32245.13,229
HUMANSYSTEMS,1474637.97,1474637.97,10
HYPERION CONSULTING,168634.96,248030.37,22
HYPERTEC,146108.66,159238.88,733
I M P GROUP,26401165.96,321751623.68,7
I4C INFORMATION TECHNOLOGY,315364.50,570734.05,47
IBI GROUP ARCHITECTS CANADA,1152889.14,1754670.18,12
IBISKA TELECOM,991129.08,1397954.32,312
IBM CANADA,3222535.00,3899849.55,1026
ICE DEVELOPMENT,4914000.00,5025466.20,1
ICEBERG NETWORKS,221475.42,264126.17,28
ICU MEDICAL CANADA,6439913.22,6439913.22,1
IDN CANADA,38618.88,38636.03,78
IDP GROUP,1807721.64,1893843.55,6
IDS SYSTEMS CONSULTANTS,227495.74,357782.01,26
IFATHOM,571926.09,604002.87,45
IHS GLOBAL,73219.35,82585.70,79
IIC TECHNOLOGIES,300391.33,301505.75,74
ILLUMINA CANADA,58055.79,60473.04,722
IMA NORTH AMERICA,2261978.89,2261978.89,1
IMP GROUP,608046.14,779167.92,24
IMPERIAL CLEANERS,286424.32,686695.98,77
IMPERIAL OIL,130491.88,118408.33,1456
IMTECH MARINE CANADA,173323.77,179834.95,66
INDAL TECHNOLOGIES,492958.16,492932.99,38
INDIVIOR UK,58738.92,101438.42,166
INDUSTRA CONSTRUCTION,562323.09,608585.11,87
INDUSTRA LIARD CONSTRUCTION,2025525.29,2241757.76,1
INDUSTRIES OCEAN,10426956.72,10313630.37,12
INFO TECH RESEARCH GROUP,68820.20,69486.27,245
INFORMATICA,2642446.32,2778062.14,5
INFOSYS,80264218.00,133383358.72,1
INKSMITH,56529832.00,56579411.42,1
INLAND AUDIO VISUAL,42251.40,42516.81,103
INMARSAT SOLUTIONS,4147703.98,33295623.29,6
INNOCAR,2062806.00,3313816.00,1
INNOVASEA MARINE SYSTEMS CANADA,59085.67,59241.57,258
INSA,668550.31,967672.54,227
INSIGHT SOFTWARE CANADA,32473.09,37854.46,119
INSTITUT NATIONAL D OPTIQUE,595812.23,633419.35,12
INSTITUTE ON GOVERNANCE,28712.46,30553.53,180
INSTRUX MEDIA,92299.08,127518.47,66
INTEGRA NETWORKS,131165.68,158394.94,191
INTEGRATED DISTRIBUTION SYSTEMS,418720.64,431347.39,29
INTER MEDICO,84952.68,532816.03,36
INTER OUTAOUAIS,1687778.56,1688643.01,17
INTERACTIVE AUDIO VISUAL,48790.13,48335.67,199
INTERCON MARINE,168369.94,351940.12,21
INTERCONTINENTAL TRUCK BODY,185142.01,251840.67,12
INTERFAX SYSTEMS,90247.32,100479.90,48
INTERNATIONAL CUSTOM PRODUCTS ICP,5731360.00,5731360.00,1
INTERNATIONAL REPORTING,114217.48,130286.73,63
INTERNATIONAL SAFETY RESEARCH,617386.85,757604.30,24
INTEROUTE CONSTRUCTION,4140831.23,4356421.27,5
INTERWORKS CONTRACTING,1163774.80,1213295.69,8
INUKSHUK CONSTRUCTION,3326767.50,4393836.96,2
INVENTA SALES AND PROMOTIONS,1164298.89,3153098.88,2
INVERIS TRAINING SOLUTIONS,3367477.63,2817301.70,19
IPS INTEGRATED PROJECT SERVICES,713902.75,941766.98,4
IPSOS,178828.03,219384.40,40
IPSS,455229.02,531301.13,298
IQVIA,241746.42,315494.47,36
IRON MOUNTAIN,191139.88,204216.45,576
IRONCLAD EARTHWORKS,1015644.76,1744027.72,10
IRVCON,484751.94,499298.81,8
IRVING OIL,156760.15,149073.47,1972
IRVING SHIPBUILDING,198685519.05,312508318.45,18
ISLAND CATERING,335082.72,1114642.72,5
ISLAND TEMPERATURE CONTROLS,45569.56,48143.07,79
ISLAND WEST COAST DEVELOPMENTS,10436091.75,10436091.75,1
ISM INFORMATION SYSTEMS MANAGEMENT,46492986.73,46492986.73,1
ISOMASS SCIENTIFIC,110232.88,129366.09,41
ISOPLEX,113565000.00,113565000.00,1
IT NET CONSULTANTS,522816.30,746974.71,96
ITEX,171035.58,195776.40,903
IVALUA,1969976.88,2067476.88,2
IVAN S CAMERA,45637.32,45762.43,184
IWC EXCAVATION,1484531.79,1795237.31,5
J 1 CONTRACTING,14062764.42,18898017.37,2
J D G CONSTRUCTION MANAGEMENT,5230312.50,5545961.36,1
J E ENTERPRISES,222852.76,234543.46,21
J J LEPERA INFRASTRUCTURES,7486250.00,7851956.35,1
J J TRAILERS MANUFACTURERS AND SALES,504195.30,523269.38,16
J L RICHARDS ASSOCIATES,87100.14,108857.76,119
J M J HOLDINGS,5979438.80,6148407.28,5
J M LEDRESSAY ASSOCIATES,1549528.34,11814732.77,1
J N A LEBLANC ELECTRIQUE,4712790.76,5619000.01,1
J O THOMAS ASSOCIATES,142969.06,380203.23,22
J P GRAVEL CONSTRUCTION,499719.72,542863.03,11
J STERLING INDUSTRIES,48816000.00,48840242.00,1
J W LINDSAY ENTERPRISES,2381246.23,3076591.14,10
JACOB BROS CONSTRUCTION,3319050.00,4065812.18,1
JANKEL TACTICAL SYSTEMS,311966.24,913483.14,38
JASCO APPLIED SCIENCES CANADA,304944.99,290407.48,71
JASPER CONCRETE,347192.54,372246.37,16
JASTRAM ENGINEERING,641419.68,1006696.84,11
JAVELIN TECHNOLOGIES,36786.63,38605.35,65
JCB,427489.54,430199.13,11
JEAN DAOUST CONSTRUCTION,3490570.00,4922316.50,1
JEMTEC,3166930.51,4070588.33,3
JEOL,201874.19,204727.31,19
JERRY BERGEN MEDICAL,1147359.90,1585482.50,2
JHT DEFENSE,41380.89,41510.56,390
JIM PATTISON INDUSTRIES,83228.33,85812.44,195
JJM CONSTRUCTION,5546336.25,5164664.66,4
JOAN HOLMES ASSOC,80046.10,88948.14,46
JOHN HOWARD SOCIETY,486039.70,1279596.00,136
JOHN WILEY SONS,239110.48,266356.11,40
JOHNSON CONTROLS CANADA,454195.89,918482.95,60
JOHNSON S CONSTRUCTION,4624145.77,4744050.37,7
JOKINEN LAW PROFESSIONAL,769137.63,4918879.49,1
JONELJIM CONCRETE CONSTRUCTION,2251359.20,2979141.36,31
JONES LANG LASALLE,1026322.06,1118653.43,25
JOSEPH ELIE,220313.49,220692.85,130
JOSEPH RIBKOFF,45122052.60,49048335.01,1
JOWA FAHRZEUGTEILE VERTRIEBS,1749830.23,1752246.82,13
JP2G CONSULTANTS,75029.78,104257.23,91
JSK NAVAL SUPPORT,122315.21,123686.13,71
JULIAN SIMON GROUP,4942620.00,4942620.00,1
JUMEC CONSTRUCTION,513545.46,693692.05,14
JUMPING ELEPHANTS,84965.17,87804.10,59
JUNO RISK SOLUTIONS,37691.88,47787.89,78
JWK CONTRACTING,278303.47,278303.47,9
JWT JUNGENTHAL WEHRTECHNIK,3182720.43,6000000.00,1
K C E CONSTRUCTION,1592885.63,2417759.97,5
K L CONSTRUCTION ONTARIO,1628725.50,1775933.69,2
K RITE CONSTRUCTION,1327381.17,1544496.90,5
KANIYASIHK CULTURE CAMPS,1568663.79,1569209.17,8
KANTER MARINE,1076724.50,1864061.94,10
KASIAN ARCHITECTURE INTERIOR DESIGN,235234.10,370598.90,32
KATHRYN E BARNARD,1443111.20,1443111.20,2
