,Unnamed: 0,economic_object_code,description_en,category_x,category_y
409,409,44,Training and educational services,9_human_capital,9_human_capital
410,409,44,Training and educational services,9_human_capital,9_human_capital
411,410,035,Communications Professional Services,2_professional_services,
412,411,525,RENTAL OF COMPUTER EQUIPMENT,3_information_technology,3_information_technology
413,412,3142,COMMISSION AND REMUNERATION ON BONDS,2_professional_services,
414,413,449,LANGUAGE TRAINING - INDIVIDUAL,9_human_capital,9_human_capital
415,414,1281,DIGITAL COMMUNICATIONS/NETWORKING EQUIPMENT,3_information_technology,3_information_technology
416,415,588,RENTAL OF COMPUTERS - CLIENT COMPUTING DOMAIN,3_information_technology,3_information_technology
417,416,406,Material Services - Storage Capacity and Adhoc Services,2_professional_services,2_professional_services
418,417,211,Transportation of Things not Elsewhere Specified,5_transportation_and_logistics,5_transportation_and_logistics
419,418,0407,Acquisition Services - Procurement Specialist,2_professional_services,
420,419,0406,Material Services - Alternate Format Materials,2_professional_services,
421,420,3459,Amortization of Other Assets Accounts,,
422,421,481,Consultants en technologie de l’information et télécommunications,3_information_technology,3_information_technology
423,422,479,Consultants en technologie de l’information et télécommunications,3_information_technology,3_information_technology
424,423,476,Consultants en technologie de l’information et télécommunications,3_information_technology,3_information_technology
425,424,477,Consultants en technologie de l’information et télécommunications,3_information_technology,3_information_technology
426,425,480,Consultants en technologie de l’information et télécommunications,3_information_technology,3_information_technology
427,426,478,Consultants en technologie de l’information et télécommunications,3_information_technology,3_information_technology
428,427,222,Enhanced Telecommunications Services,3_information_technology,3_information_technology
429,428,482,0582 – License/Maintenance fees for Client Software related to Distributed Computing Environment (DCE),3_information_technology,3_information_technology
430,429,816,Service provider fees related to loan administration,2_professional_services,2_professional_services
431,430,2434,Assistance to non-profit organizations to encourage employment,9_human_capital,
432,431,856,Provincial/Territorial Administrative Costs,2_professional_services,2_professional_services
433,432,3252,"Interest, Administration or Service Charges, and Other Penalty Charges",,
434,433,4561,Telecommunication Services,3_information_technology,3_information_technology
435,434,101,Civilian Regular Time-Continuing Employment,9_human_capital,9_human_capital
436,435,2103,Payments Under Agricultural Income Disaster Assistance (AIDA),9_human_capital,
437,436,6003,Contributions by Government Employees for Past Services or in Arrears,9_human_capital,9_human_capital
438,437,102,"Civilian Regular Time-Part-time, Seasonal, Casual and Student",9_human_capital,9_human_capital
439,438,252,Public Servant Travel-Stakeholder engagement,7_travel,7_travel
440,439,1123,1123 Aviation fuel,5_transportation_and_logistics,5_transportation_and_logistics
441,440,1244,1244 Radar equipment and parts,11_defence,6_industrial_products_and_services
442,441,0222,0222 Enhanced telecommunications services,3_information_technology,
443,442,1257,1257 Ships and boats parts,5_transportation_and_logistics,5_transportation_and_logistics
444,443,0120,0120 Civilian allowances to compensate employees for certain expenses,9_human_capital,
445,444,0675,0675 Repair - Ships and boats - Repair & Maintenance,5_transportation_and_logistics,
446,445,0566,0566 Rental of ships,5_transportation_and_logistics,
447,446,7099,7099 Net Increase or Decrease in Other Transactions,,
448,447,0601,0601 Repair / Maintenance - Marine installations,1_facilities_and_construction,
449,448,0701,0701 Electricity,1_facilities_and_construction,
450,449,0635,0635 Repair - Industrial buildings,1_facilities_and_construction,
451,450,0101,0101 Civilian Regular Time-Continuing Employment,9_human_capital,
452,451,0855,0855 Acquisition and contract charges,2_professional_services,
453,452,0676,0676 Repair - Aircraft,5_transportation_and_logistics,
454,453,2041,2041 Transfer Payments to persons for research and development ( incl. Scholarships ),9_human_capital,
455,454,3472,3472 Incremental recoveries  from other appropriations (credit),,
456,455,1127,1127 Lubricating fuel and greases,5_transportation_and_logistics,5_transportation_and_logistics
457,456,4843,4843 Sales of surplus Crown assets,,
458,457,0646,0646 Repair - Residential buildings,1_facilities_and_construction,
459,458,4566,4566 Engineering and scientific fees,2_professional_services,2_professional_services
460,459,8225,8225 Payments,,
461,460,1250,1250 Aircraft - Acquisition,5_transportation_and_logistics,5_transportation_and_logistics
462,461,4527,4527 Rental of machinery and equipment,1_facilities_and_construction,6_industrial_products_and_services
463,462,1310,1310 Marine installations - Acquisition,1_facilities_and_construction,1_facilities_and_construction
464,463,0501,0501 Rental of land,1_facilities_and_construction,
465,464,1280,1280 Analog Communications / Networking,3_information_technology,3_information_technology
466,465,0666,0666 NOT USED 2013-14 Repair and Maintenance of Analog Communications/Networking Equipment,3_information_technology,
467,466,1251,1251 Aircraft Parts,5_transportation_and_logistics,5_transportation_and_logistics
468,467,0125,0125 Civilian isolated post allowance,9_human_capital,
469,468,2319,2319 Payments to other international organizations,,
470,469,0254,0254 Public Servant Travel-Employee training,7_travel,
471,470,0592,0592 Rental of Computers - Client Computing Domain,3_information_technology,
472,471,0591,0591 Rental of Computers - Client Computing Domain,3_information_technology,
473,472,0208,0208 Employee relocation outside Canada and or return,7_travel,
474,473,566,Rental of ships,5_transportation_and_logistics,5_transportation_and_logistics
475,474,405,Real Property Services,1_facilities_and_construction,3_information_technology
476,475,601,Marine installations,5_transportation_and_logistics,5_transportation_and_logistics
477,476,0227,Other Communications Services,2_professional_services,
478,477,0012,Miscellaneous Manufactured Articles,6_industrial_products_and_services,
479,478,0910,Other Office Equipment and Parts,10_office_management,
480,479,1210,Office Building,1_facilities_and_construction,1_facilities_and_construction
481,480,0425,Other Professional Services,3_information_technology,
482,481,1214,CommVault Upgrade,3_information_technology,3_information_technology
483,482,0504,Storage of furniture,1_facilities_and_construction,
484,483,0309,Promotional Items: Helix Pens & Pads,10_office_management,
485,484,1360,"Buildings or installations for telecommunications, computer and/or office systems",1_facilities_and_construction,1_facilities_and_construction
486,485,0497,Services Related to the Care and Maintenance of Contaminated Sites,1_facilities_and_construction,
487,486,0619,Repair of Engineering works - Electric power installations,1_facilities_and_construction,
488,487,0510,Rental of residential buildings,1_facilities_and_construction,
489,488,1335,"Bridges, trestles, culverts, overpasses and viaducts",1_facilities_and_construction,1_facilities_and_construction
490,489,XXXX,Default - deleted line object (system requirement),,
491,490,1301,Acquisition of Land,1_facilities_and_construction,1_facilities_and_construction
492,491,2449,Other transfer payments to non-profit institutions,9_human_capital,
493,492,0102,"Salaries and Wages - Civilian regular time - part-time, seasonal, and casual",9_human_capital,
494,493,676,Aircraft,5_transportation_and_logistics,5_transportation_and_logistics
495,494,5299,Net increase or decrease in cash account,,
496,495,2139,Other non-recoverable subsidies to industry,5_transportation_and_logistics,
497,496,0521,Rental of data (message/text and computer) communications equipment,3_information_technology,
498,497,3251,Damage and other claims against the Crown,,
499,498,555,Capital Lease - Purchase of All Types of Assets,3_information_technology,3_information_technology
500,499,2032,Payments to Aboriginal people,9_human_capital,
501,500,7,#,,
502,501,0634,Commercial buildings,1_facilities_and_construction,
503,502,208,Employee relocation outside Canada and/or return,7_travel,7_travel
504,503,2329,Other transfer payments outside Canada to or on behalf of international organizations and foreign countries,2_professional_services,
505,504,5399,Net Increase or Decrease in Accounts receivable,,
506,505,0124,Civilian-Foreign service allowance,9_human_capital,
507,506,2303,Payments for development assistance to Canadian non-government organizations,,
508,507,0186,Other supplementary personnel costs,9_human_capital,
509,508,1163,Cutlery,10_office_management,10_office_management
510,509,0126,Other civilian allowances and benefits,9_human_capital,
511,510,1288,Security Software,3_information_technology,3_information_technology
512,511,0113,Other salaries and wages,9_human_capital,
513,512,0631,Office buildings,1_facilities_and_construction,
514,513,5030,Acquisition of other advances with cash,,
515,514,2304,Other Payments for Development Assistance to Foreign Countries,,
516,515,0892,Recreational services,2_professional_services,
517,516,6081,Deposits received,,
518,517,0174,Employer contribution to hospital and medical plans,9_human_capital,
519,518,2301,Purchase of goods for development assistance,2_professional_services,
520,519,0173,Employer contribution to other pension programs including Judges Act,9_human_capital,
521,520,2330,Other transfer payments outside Canada,2_professional_services,
522,521,2431,Payments to national organizations,9_human_capital,
523,522,124,Civilian - Foreign service allowance,9_human_capital,9_human_capital
524,523,186,Other supplementary personnel costs,9_human_capital,9_human_capital
525,524,174,Employer contribution to hospital and medical plans,9_human_capital,9_human_capital
526,525,253,Public servant travel -Â Internal governance,7_travel,7_travel
527,526,173,Employer contribution to other pension programs including Judges Act,9_human_capital,9_human_capital
528,527,2035,Assistance to immigrants and refugees,7_travel,2_professional_services
529,528,524,Rental of computer software,3_information_technology,3_information_technology
530,529,323,Other Professional Services and Related Costs,2_professional_services,2_professional_services
531,530,416,Management Consulting,2_professional_services,2_professional_services
532,531,924,Acquisition of Server Operating System and Utility Software,3_information_technology,3_information_technology
533,532,327,Data and Database Access Services,9_human_capital,9_human_capital
534,533,408,Management Consulting,2_professional_services,2_professional_services
535,534,324,Other Professional Services and Related Costs,2_professional_services,2_professional_services
536,535,470,Other Professional Services and Related Costs,2_professional_services,2_professional_services
537,536,411,Information Technology Specialists,2_professional_services,2_professional_services
538,537,920,Data and Database Access Services,9_human_capital,3_information_technology
539,538,462,Other Professional Services and Related Costs,2_professional_services,2_professional_services
540,539,434,Other Professional Services and Related Costs,2_professional_services,2_professional_services
541,540,521,Renewal of Annual Licenses/Maintenance for Software - Application Sofware,3_information_technology,3_information_technology
542,541,715,Other Miscellaneous Products and Goods,10_office_management,10_office_management
543,542,911,Acquisition of Computer Equipment related to Distributed Computing Environment,3_information_technology,3_information_technology
544,543,409,Program Evaluation and Program Audit,2_professional_services,2_professional_services
545,544,326,Electronic-Web Services Subscriptions and Publications,9_human_capital,9_human_capital
546,545,915,"Acquisition of Computer Equipment related to Production and Operations (P&O) environment - Servers, Storage (includes related parts and peripherals)",3_information_technology,3_information_technology
547,546,507,Rental of AV and interpreting equipment,1_facilities_and_construction,1_facilities_and_construction
548,547,502,Rental of Meeting Room and Office Space,1_facilities_and_construction,1_facilities_and_construction
549,548,400,Research Services,2_professional_services,2_professional_services
550,549,040,Business Services,2_professional_services,
551,550,608,"Runways, landing fields and tarmac",1_facilities_and_construction,1_facilities_and_construction
552,551,459,Miscellaneous,4_medical,
553,552,681,Road motor vehicles-Military,11_defence,11_defence
554,553,045,Health and Welfare Services,4_medical,
555,554,1112,"Meat, fish and their preparations",10_office_management,10_office_management
556,555,1114,"Vegetables and fruits, edible products, fats and preparations",10_office_management,10_office_management
557,556,513,Rental of institutional buildings,1_facilities_and_construction,1_facilities_and_construction
558,557,1357,"Hospitals, sanatoria, clinics and first-aid stations",1_facilities_and_construction,1_facilities_and_construction
559,558,1363,"Armouries, barracks, drill halls, etc.",1_facilities_and_construction,1_facilities_and_construction
560,559,030,ADVERTISING SERVICES,2_professional_services,
561,560,1175,Precious metals &amp; stones and its products,6_industrial_products_and_services,6_industrial_products_and_services
562,561,070,Utility Services,10_office_management,
563,562,7229,7229 V1 MESS/GALLEY UTENSILS CUTLERY GLASSWARE,6_industrial_products_and_services,
564,563,9235,9235 V1 PLUMBING SUPPLIES,6_industrial_products_and_services,
565,564,7219,7219 V1 CONSTRUCTION ENGIN MAT NOT ELSEWHERE SPECIFIED,6_industrial_products_and_services,
566,565,7232,"7232 V1 FABRICATED MATERIAL TEXTILE, INSUL, PROTECT",6_industrial_products_and_services,
567,566,7410,7410 V1 TOOLS & EQP'T INCLUDING HAND TOOLS & CUTTING INS,6_industrial_products_and_services,
568,567,7202,7202 V1 LUMBER AND GENERAL WOOD PRODUCTS,6_industrial_products_and_services,
569,568,9130,"9130 - Liquid Propellants and Fuels, Petroleum Base",5_transportation_and_logistics,
570,569,5999,5999 - Miscellaneous Electrical and Electronic Components,1_facilities_and_construction,
571,570,086,Temporary Help Services,2_professional_services,
572,571,048,MANAGEMENT CONSULTING,2_professional_services,
573,572,6012,Contributions by government-As employer,9_human_capital,9_human_capital
574,573,8295,Other payments,,
575,574,667,Digital Communications/Networking Equipment (Inclu,3_information_technology,3_information_technology
576,575,890,Other administrative service that is designated by order of the Governor in Council,2_professional_services,2_professional_services
577,576,3254,Removal of low value amounts related to program expenditures,,
578,577,35,Public relations services,2_professional_services,
579,578,7035,Information Technology and Telecommunications Consultants,3_information_technology,3_information_technology
580,579,0001,Accounting and Audit services,2_professional_services,
581,580,0427,Information technology and telecommunications consultants,3_information_technology,
582,581,810,Temporary Help Services,2_professional_services,2_professional_services
583,582,053,"Rental of Machinery, Office Furniture and Fixtures and Other Equipment",10_office_management,
584,583,057,Rental Other,1_facilities_and_construction,
585,584,8481,Safety Equipment,6_industrial_products_and_services,6_industrial_products_and_services
586,585,4608,temporary help services,2_professional_services,2_professional_services
587,586,881,Construction services,1_facilities_and_construction,1_facilities_and_construction
588,587,1362,"Passenger terminals-Air, bus, boat, train and other",1_facilities_and_construction,1_facilities_and_construction
589,588,3253,Interest and service charges paid to financial institutions,,
590,589,3433,Reallocation of expenditures/costs within revolving funds,,
591,590,7029,Other allowances,,
592,591,4519,Other Revenue from Rights and Royalties,,
593,592,E199,Environmental Services,1_facilities_and_construction,
594,593,E108,Northern Contaminated Site Environmental Clean-up Work/Services,1_facilities_and_construction,
595,594,D302,Informatics Professional Services,3_information_technology,
596,595,R019,"Human Resource Services, Business Consulting/Change Management; Project Management Services",2_professional_services,
597,596,C119,Engineering Services - Buildings,,
598,597,3429,Other,,
599,598,127,Military and Royal Canadian Mounted Police (RCMP) members-Allowances and benefits,9_human_capital,9_human_capital
600,599,3421,General administrative services charged by other departments or by other programs within a department,,
601,600,27,27 monitor,3_information_technology,
602,601,666,666 Repair/Maint Analog Communication/ Networking Eqpt,3_information_technology,3_information_technology
603,602,3451,Amortization expenses for capital assets,3_information_technology,
604,603,40,Business Services,2_professional_services,2_professional_services
605,604,284,Client software related to Distributed Computing Environment (DCE),3_information_technology,3_information_technology
606,605,624,Repair of office equipment,1_facilities_and_construction,1_facilities_and_construction
607,606,962,Assets - Purchased Application Software (including COTS) and Application Development and Delivery Software > $10K,3_information_technology,3_information_technology
608,607,746,Purchase of Computer Equipment related to Distributed Computing Environment (DCE) - Desktop/Personal/Portable < $10K,3_information_technology,3_information_technology
609,608,424,IT Consultants - IT Security Services,3_information_technology,3_information_technology
610,609,737,Writing instruments,10_office_management,10_office_management
611,610,300,ADVERTISING SERVICES,2_professional_services,2_professional_services
612,611,961,PURCHASE OF SOFTWARE > $10K - ASSETS,3_information_technology,3_information_technology
613,612,427,Computer Services - IT Solutions / Deliverables - Application / Database Development and Maintenance (ADDM),3_information_technology,3_information_technology
614,613,9015,Office furniture and funishing,10_office_management,10_office_management
615,614,467,Real estate broker service,2_professional_services,2_professional_services
616,615,484,Building maintenance services,1_facilities_and_construction,1_facilities_and_construction
617,616,632,Roof renovation works,1_facilities_and_construction,1_facilities_and_construction
618,617,798,Book edition,10_office_management,10_office_management
619,618,685,Building demolition works,1_facilities_and_construction,1_facilities_and_construction
620,619,1373,Security cameras,1_facilities_and_construction,1_facilities_and_construction
621,620,768,Manufacturing of street lights,1_facilities_and_construction,1_facilities_and_construction
622,621,625,Arboriculture works,1_facilities_and_construction,1_facilities_and_construction
623,622,779,Lightning equipment,1_facilities_and_construction,1_facilities_and_construction
624,623,0787,Network Switchs,3_information_technology,
625,624,662,"Sprinkler Systems, Installation and Repair",1_facilities_and_construction,1_facilities_and_construction
626,625,0768,Update of the parking meters doors,1_facilities_and_construction,
627,626,1265,Tree equipment,1_facilities_and_construction,1_facilities_and_construction
628,627,4567,Simulator and flight training fees,5_transportation_and_logistics,5_transportation_and_logistics
629,628,0106,Flight school services,5_transportation_and_logistics,
630,629,2321,Management consulting services,2_professional_services,
631,630,0498,Media Monitoring:,2_professional_services,
632,631,0853,YEAR 1 Microsoft Volume Licensing  Assurance Renewal,3_information_technology,
633,632,299,Usage of inventory,5_transportation_and_logistics,
634,633,051,Rental of other buildings,1_facilities_and_construction,
635,634,0608,"Runways, landing fields and tarmac",1_facilities_and_construction,
636,635,054,Rental of motor and other vehicles,5_transportation_and_logistics,
637,636,034,Communications Research Services,2_professional_services,
638,637,130,Acquisition of land,1_facilities_and_construction,
639,638,3249,Court awards to industry,,
640,639,026,Travel - non-public servants,7_travel,
641,640,2639,Rental or License/Maintenance Fees for Application Security Software and Application Development and Delivery Security Software,3_information_technology,3_information_technology
642,641,7870,Computer Software,3_information_technology,3_information_technology
643,642,858,858  OTHER BUSINESS SERVICES NOT ELSEWHERE SPECIFIED,2_professional_services,
644,643,820,820  NON-PROFESSIONAL PERSONAL SERVICE CONTRACTS NOT ELSEWHERE SPECIFIED,2_professional_services,
645,644,814,814 TEMPORARY HELP SERVICES - NURSING,4_medical,
646,645,0449,0499 OTHER PROFESSIONAL SERVCS,2_professional_services,
647,646,049,0499 OTHER PROFESSIONAL SERVCS,2_professional_services,
648,647,0553,"0553 - RENTAL OF MACHINERY, OFFOCE FURNITURE AND FIXTURES AND OTHER EQUIPMENT",10_office_management,
649,648,581,License/Maintenance fees for client software related to Distributed Computing Environment (DCE),3_information_technology,3_information_technology
650,649,003,Amendment 003 issued to increase the volume of work,,
651,,1,,,2_professional_services
652,,1,,,2_professional_services
653,,12,,,6_industrial_products_and_services
654,,25,,,5_transportation_and_logistics
655,,49,,,2_professional_services
656,,89,,,2_professional_services
657,,100,,,5_transportation_and_logistics
658,,106,,,5_transportation_and_logistics
659,,113,,,9_human_capital
660,,119,,,5_transportation_and_logistics
661,,120,,,9_human_capital
662,,125,,,8_security_and_protection
663,,126,,,9_human_capital
664,,150,,,6_industrial_products_and_services
665,,200,,,8_security_and_protection
666,,302,,,3_information_technology
667,,309,,,2_professional_services
668,,315,,,2_professional_services
669,,353,,,2_professional_services
670,,425,,,3_information_technology
671,,443,,,9_human_capital
672,,466,,,2_professional_services
673,,500,,,5_transportation_and_logistics
674,,504,,,1_facilities_and_construction
675,,553,,,10_office_management
676,,579,,,3_information_technology
677,,600,,,1_facilities_and_construction
678,,631,,,1_facilities_and_construction
679,,700,,,1_facilities_and_construction
680,,743,,,3_information_technology
681,,787,,,3_information_technology
682,,853,,,2_professional_services
683,,860,,,2_professional_services
684,,899,,,2_professional_services
685,,910,,,10_office_management
686,,2013,,,3_information_technology
687,,2014,,,5_transportation_and_logistics
688,,8905,,,10_office_management
689,,8910,,,10_office_management
690,,8915,,,10_office_management
691,,8920,,,10_office_management
692,,8940,,,10_office_management
693,,8955,,,10_office_management
694,,8960,,,10_office_management
695,,8970,,,10_office_management
