d_vendor_name,contracts,contracts_with_amendments,has_amendments_percentage
SUNCOR ENERGY,159,7,0.044
SUPER CHANNEL INTERNATIONAL,13,0,0
SUPREMEX,8,0,0
SUTHERLAND EXCAVATING,62,1,0.0161
SYNERSOLUTIONS TECHNOLOGIES,6,0,0
SYSTEMATIX SOLUTIONS,2,1,0.5
SYSTEMS FOR RESEARCH,3,1,0.3333
SYSTEMSCOPE,2,1,0.5
TACS,32,5,0.1562
TAG HR,24,6,0.25
TAI,9,0,0
TANKATEK,8,0,0
TAURUS CONTRACTORS,6,2,0.3333
TEAM CERTAS,1,0,0
TECHNO FEU,22,3,0.1364
TEKNION,130,1,0.0077
TEKSYSTEMS CANADA,6,0,0
TELECOM COMPUTER SERVICES,84,2,0.0238
TELECOMMUNICATION SUPPORT SERVICES,3,0,0
TELEDYNE,4,1,0.25
TELEPHONICS,3,1,0.3333
TELESAT,2,0,0
TELUS CANADA,38,3,0.0789
TENAQUIP,195,6,0.0308
TERAMACH TECHNOLOGIES,27,3,0.1111
TERVITA,8,0,0
TES CONTRACT SERVICES,2,0,0
TESTFORCE SYSTEMS,92,2,0.0217
TETRA TECH,3,0,0
THALES,59,6,0.1017
THE AIM GROUP,11,6,0.5455
THE BOEING COMPANY,1,1,1
THE HALIFAX COMPUTER CONSULTING GROUP,2,2,1
THE HALIFAX GROUP,1,0,0
THE IT BROKER,6,0,0
THE MASHA KRUPP TRANSLATION GROUP,1,0,0
THE MATHWORKS,35,4,0.1143
THE RIGHT DOOR CONSULTING,32,10,0.3125
THE STEVENS COMPANY,3,0,0
THE VCAN GROUP,8,1,0.125
THERMO FISHER SCIENTIFIC,96,8,0.0833
THOMAS SCHMIDT,16,6,0.375
THOMSON REUTERS,9,2,0.2222
THORNHILL MEDICAL,1,0,0
THYSSENKRUPP ELEVATOR,23,5,0.2174
TIREE,2,0,0
TITAN AEX,2,2,1
TOP ACES,366,33,0.0902
TOPFLIGHT ELITE TRAINING AND CHARTER SERVICES,1,1,1
TOROMONT,28,1,0.0357
TORONTO INDUSTRIES,1,0,0
TOSHIBA CANADA,20,3,0.15
TOTEM OFFISOURCE,1,0,0
TOURE CLEANING SERVICES,3,0,0
TOYOTA,111,10,0.0901
TPG TECHNOLOGY CONSULTANTS,3,1,0.3333
TRAINOR MECHANICAL CONTRACTORS,9,1,0.1111
TRANSPOLAR TECHNOLOGY,8,0,0
TRANSWEST AIR,3,0,0
TRM TECHNOLOGIES,9,3,0.3333
TROY LIFE FIRE SAFETY,8,3,0.375
TULMAR SAFETY SYSTEMS,12,0,0
TUNDRA TECHNICAL SOLUTIONS,11,2,0.1818
TURNER TOWNSEND,3,1,0.3333
TURTLE ISLAND STAFFING,37,18,0.4865
TYCO INTEGRATED FIRE SECURITY,34,3,0.0882
TYR TACTICAL,23,3,0.1304
ULTIMATE CONSTRUCTION,6,4,0.6667
ULTRA ELECTRONICS,9,0,0
UNISOURCE,340,4,0.0118
UNISYS CANADA,1,1,1
UNITED RENTALS OF CANADA,95,2,0.0211
UNITED STATES DEPARTMENT OF DEFENCE,1,0,0
UNITED STATES DEPARTMENT OF THE AIR FORCE,8,1,0.125
UNITED STATES DEPARTMENT OF THE ARMY,4,0,0
UNITED STATES DEPARTMENT OF THE NAVY,18,1,0.0556
UNIVERSAL HELICOPTERS,10,0,0
UNIVERSAL WEATHER AND AVIATION,36,0,0
UNIVERSITE LAVAL,11,3,0.2727
UNIVERSITY OF ALBERTA,6,0,0
UNIVERSITY OF BRITISH COLUMBIA,17,0,0
UNIVERSITY OF CALGARY,13,0,0
UNIVERSITY OF GUELPH,3,1,0.3333
UNIVERSITY OF NEW BRUNSWICK,6,3,0.5
UNIVERSITY OF OTTAWA,26,1,0.0385
UNIVERSITY OF SASKATCHEWAN,5,0,0
UNIVERSITY OF TORONTO,18,1,0.0556
UNIVERSITY OF WATERLOO,16,0,0
UNIVERSITY OF WESTERN ONTARIO,7,0,0
UQSUQ,266,0,0
UTILITIES KINGSTON,52,30,0.5769
UVAIR,124,0,0
VAISALA CANADA,8,0,0
VALARD CONSTRUCTION,5,2,0.4
VALCOM CONSULTING,118,55,0.4661
VALUE MASTER BUILDERS,79,2,0.0253
VAN HORNE CONSTRUCTUION,1,0,0
VAN KAPPEL INTERNATIONAL,19,4,0.2105
VANCOUVER SHIPYARDS,2,1,0.5
VCI CONTROLS,18,9,0.5
VERITAAQ TECHNOLOGY HOUSE,6,3,0.5
VFA CANADA,1,0,0
VISIONTEC,5,0,0
VMWARE,96,1,0.0104
VWR INTERNATIONAL,17,0,0
W S MORGAN CONSTRUCTION,3,2,0.6667
WADE GENERAL CONTRACTING,19,4,0.2105
WAHL CONSTRUCTION,77,16,0.2078
WAJAX,101,6,0.0594
WARTSILA,46,1,0.0217
WASTE CONNECTIONS OF CANADA,70,12,0.1714
WASTE MANAGEMENT OF CANADA,92,13,0.1413
WATERS,1,0,0
WEATHERHAVEN CANADA,30,0,0
WEBSTER ELECTRIC,50,12,0.24
WESCO DISTRIBUTION CANADA,90,2,0.0222
WESTBURY NATIONAL SHOW SYSTEMS,41,5,0.122
WESTCO CONSTRUCTION,2,0,0
WESTOWER COMMUNICATIONS,1,1,1
WILCO CONTRACTORS SOUTHWEST,1,0,0
WILLS TRANSFER,3,0,0
WOLTERS KLUWER,6,0,0
WOODWARD S OIL,70,0,0
WORLD FUEL SERVICES,2757,20,0.0073
WORLDREACH SOFTWARE,1,0,0
WSP,37,8,0.2162
XEROX,170,19,0.1118
XTECH EXPLOSIVE DECONTAMINATION,2,2,1
YAMAHA MOTORS CANADA,5,0,0
YAMNUSKA,11,2,0.1818
ZAYO CANADA,2,0,0
ZENITH PAVING,3,0,0
ZERNAM ENTERPRISE,11,2,0.1818
ZODIAC HURRICANE TECHNOLOGIES,8,1,0.125
ZOLL MEDICAL CANADA,13,1,0.0769
ZYCOM,24,1,0.0417
