d_vendor_name,max_years,n
MEGALEXIS COMMUNICATIONS,0.02,1
MELTWATER,0.5,1
MERCEDES BENZ CANADA,2.81,101
MERCER CANADA,2.96,1
MERCURY MARINE,0.89,7
MERIDIAN MEDICAL TECHNOLOGIES,5.3,5
MESSA COMPUTING,3,9
METAK DISTRIBUTING,4.99,1
METALCRAFT MARINE,5.01,2
METOCEAN TELEMATICS,0.34,1
METTLER TOLEDO,0.17,2
MGIS,5.02,12
MICHAEL WAGER CONSULTING,6.09,27
MICHELIN,2,56
MICRONOSTYX,0.18,1
MICROSOFT CANADA,3,65
MID VALLEY CONSTRUCTION,2,40
MIL AERO ELECTRONICS ATLANTIC,1.7,8
MILITARY TRAVEL,2.1,10
MILLBROOK TACTICAL,2,62
MILLER PAVING,2.29,6
MILLER WASTE SYSTEMS,4.04,43
MILRAIL,1.64,12
MILTEX SOLUTIONS CANADA,4.01,71
MINDWIRE SYSTEMS,5.26,14
MINE EODCLR,1.08,4
MINSTER OF FINACE FINANCIAL PROPERTY MANAGEMENT,1,1
MISHKUMI TECHNOLOGIES,4.01,65
MITSUBISHI MOTOR SALES,0.61,13
MKDS TRAINING,1.15,11
MLS OVERSEAS,11.18,485
MNP,2.49,15
MOBILE RESOURCE GROUP,2.87,16
MOBILE VALVE,2.47,65
MOBILITY LAB,1.11,41
MODERN NIAGARA ALBERTA,1.5,10
MODIS CANADA,6.01,58
MOMENTUM SOLUTIONS,0.25,53
MONTREAL BRONZE,1.13,57
MORGAN ADVANCED MATERIALS COMPOSITES AND DEFENCE SYSTEMS,7.01,1
MORNEAU SHEPELL,1.05,1
MORPHO CANADA,1.29,1
MORRISON HERSHFIELD,1.87,1
MOTOR COACH INDUSTRIES,1.99,3
MOTOROLA SOLUTIONS CANADA,2,217
MS CONSTRUCTION,2,162
MSC INDUSTRIAL SUPPLY,1.66,111
MTS ALLSTREAM,3.04,2
MULDER MEATS,0,217
MULTINATIONAL LOGISTIC SERVICES,0.1,76
MULTISHRED,5.58,14
MUNICIPALITY OF THE COUNTY OF KINGS,1,6
MUSTANG SURVIVAL,4.01,35
MWCO,4.78,6
N P A,0.11,4
"NACRIS",0.26,6
"NAILS ENTERPRISES 2007",1.11,96
"NAMMO PERRY",0.48,1
"NANOMETRICS",0.2,1
"NARL MARKETING PARTNERSHIP",1.01,13
"NASITTUQ",10.99,5
"NATCO PHARMA CANADA",1.06,2
"NATIONAL ARTS CENTRE",1,1
"NATIONAL TEST PILOT SCHOOL",2.09,4
"NATO SEASPARROW SURFACE MISSILE SYSTEM PROJECT",7.84,14
"NATTIQ",1.55,9
"NAV CANADA",6.36,20
"NAVAMAR",3.35,1
"NAVPOINT CONSULTING GROUP",0.92,3
NELSON ENVIRONMENTAL REMEDIATION,0.25,2
NEOPRENE CANADA,2.04,4
NEPTEC DESIGN GROUP,0.5,1
NEPTUNE SECURITY SERVICES,2.13,10
NETAGEN COMMUNICATION,0.17,1
NEVADA AUTOMOTIVE TEST CENTER,3.4,1
NEW ENGLAND BIOLABS,0.08,9
NEW ERA TOOL DIE,0.75,4
NEWFOUND RECRUITING,2.55,14
NEWFOUNDLAND HELICOPTERS,0.05,5
NEWROCKET CANADA,0.83,1
NEXTER SYSTEMS,2.76,2
NIKON CANADA,4.88,60
NIMBLE INFORMATION STRATEGIES,0.14,3
NISHA TECHONOLOGIES,6.31,525
NISSAN CANADA,0.76,30
NITAM SOLUTIONS,0.33,6
NKE INSTRUMENTATION,0.24,1
NOKIA CANADA,2.01,19
NOLINOR AVIATION,0.01,4
NORDLYS ENVIRONMENTAL,3.25,3
NORDLYS ENVIRONMENTAL PARTNERSHIP,4,3
NORR,0.55,2
NORTAK SOFTWARE,3.03,1
NORTH ATLANTIC PETROLEUM,0.98,27
NORTH BAY HYDRO,2,31
NORTH CARIBOO AIR,0.01,3
NORTH COUNTRY LOGISTICS,1.38,1
NORTHERN MICRO,5.09,769
NORTHROP GRUMMAN,10.01,10
NORTHSIDE DEVELOPMENT,4.84,3
NORTRAX CANADA,1.14,18
NOTRA,2.25,24
NOVA NETWORKS,1.41,60
NOVA SCOTIA COMMUNITY COLLEGE,3.01,9
NOVA SCOTIA POWER,1.17,21
NOVIPRO,1,3
NP AEROSPACE CANADA,1.94,4
NU VIEW HOMES,2.36,2
NUA OFFICE,0.27,5
NUIX USG,1,1
NUMBER TEN ARCHITECTURAL GROUP,4.53,7
NUNA EAST,0.82,1
NUR CONSTRUCTION,1.46,137
O HANLON PAVING,1.17,84
OCR CANADA,0.06,1
OMNITECH ELECTRONICS,3,22
ONIX NETWORKING CANADA,3,2
ONX ENTERPRISE SOLUTIONS,4,23
OPEN STORAGE SOLUTIONS,5.09,10
OPENFRAME TECHNOLOGIES,5.16,19
OPENTEXT,3.51,27
OPROMA,0.27,3
OPSIS,3.32,14
OPTIMUM SOLUTIONS,0.01,154
OPTIV CANADA FEDERAL,1,5
ORACLE CANADA,1.01,23
ORANGUTECH,4.47,16
ORBIS RISK CONSULTING,0.59,4
OSHKOSH,1,1
OSI,7.98,1
OSI MARITIME SYSTEMS,19.01,7
OSPREY ELECTRIC,0.79,3
OTIS ELEVATOR,5.01,6
OTTAWA BUSINESS INTERIORS,0.21,2
OXFORD NANOPORE TECHNOLOGIES,0.62,3
OXFORD UNIVERSITY PRESS,3.01,46
P C MCNEILL CONTRACTING,1.73,16
PACIFIC INDUSTRIAL MARINE,1.85,2
PACIFIC SAFETY PRODUCTS,5.01,8
PAL AEROSPACE,2.22,38
PALADIN GROUP,3,32
PALFINGER MARINE,0.19,2
PANASONIC,1,14
PARKER JOHNSTON INDUSTRIES,0.7,3
PARKLAND,1,257
PARKLAND REFINING,0.98,41
PARLEVIEW,4.01,1
PARSONS CANADA,0.06,1
PATLON AIRCRAFT INDUSTRIES,10.01,95
PATTISON SIGN GROUP,0.43,5
PCL CONSTRUCTORS,4.51,6
PEERLESS GARMENTS,6.04,17
PENNANT CANADA,4.89,4
PENNECON,9.01,5
PEPCO,1,143
PERSISTENT SYSTEMS,6.76,19
PETRO AIR,3,1
PETRO AIR SERVICES,3.16,51
PETROVALUE PRODUCTS,1,109
PFIZER CANADA,4.93,2
PHASELOCK SYSTEMS INTERNATIONAL,3.08,20
PHILSON,1.23,2
PIONEER CONSTRUCTION,0.52,1
PITNEY BOWES,5.04,20
PIVOTAL POWER,4,7
PLANET LABS,0.28,6
PLEIAD CANADA,2.86,7
PME,1.21,5
PODOLINSKY EQUIPMENT,3.02,20
POLARIS INDUSTRIES,2,22
POMERLEAU,5.32,12
PORTS 79,0.19,6
PRA,0.4,1
PRECISIONIT,3.05,7
PREMISE DATA,2,1
PRICEWATERHOUSE COOPERS,5.02,22
PRIMEX PROJECT MANAGEMENT,8.57,41
PRINTERS PLUS,6.01,75
PROCOM CONSULTANTS,3.67,23
PROLOGIC SYSTEMS,1.38,7
PROMAXIS,6.29,173
PROQUEST,3.12,68
PROSCI CANADA,0.84,10
PROTAK CONSULTING GROUP,3.03,23
PURELOGIC,5.28,243
PURESPIRIT SOLUTIONS,3,117
PURKINJE,3,2
PUROLATOR,1.02,6
PYLON ELECTRONICS,5,1
QIAGEN,3.22,2
QINETIQ,4.23,31
QM ENVIRONMENTAL,1.07,10
QMR,2.65,55
QUAD PRO CONSTRUCTION,2,3
QUADBRIDGE,0.23,2
QUANTUM MANAGEMENT SERVICES,1.38,30
QUEEN S UNIVERSITY,5.02,43
QUINAN CONSTRUCTION,0.85,3
QUINTET CONSULTING,0.9,21
R J MACISAAC CONSTRUCTION,1.63,1
R R INTERNATIONAL TRANSLATION,1,7
R2I,0.09,1
RACEROCKS 3D,2,4
RADIATION SOLUTIONS,3.08,3
RAFA LABORATORIES,4.22,3
RAINHOUSE MANUFACTURING CANADA,1.25,1
RALMAX,0.99,66
RAMPART INTERNATIONAL,6.01,70
RANDSTAD,5.27,34
RAYMOND CHABOT GRANT THORNTON,3.71,9
RAYTHEON,15.96,26
REACH TECHNOLOGIES,2.3,4
REGINA BUSINESS SYSTEMS,3,1
RENK,5.25,1
REPUBLIC ARCHITECTURE,5.23,102
REVISION MILITARY,5.01,10
REVOLUTION EVENTS,0.5,106
RGT CLOUTHIER,2,39
RHEA,1,8
RHEINMETALL,8.05,89
RICOH,7.12,294
RIGHTWAY SANITATION,2.41,49
RIGHTWAY SANITATION SERVICES,4,177
RIKJAK CONSTRUCTION,0.82,15
RISK SCIENCES INTERNATIONAL,0.84,1
RMS SOFTWARE,7.2,3
ROBERTSON MARTIN ARCHITECTS,3.47,7
ROCHE DIAGNOSTICS,1,7
ROCKWELL COLLINS CANADA,2,7
ROGERS,2,7
ROHDE SCHWARZ CANADA,5.01,17
ROLLING TIDES CONSTRUCTION,1.92,10
ROLLS ROYCE CANADA,7.03,1
RONA,0.1,9
ROOF TILE MANAGEMENT,1.44,1
ROSBOROUGH BOATS,2.3,4
ROSCOE CONSTRUCTION,2.52,22
RUSH TRUCK CENTRES OF CANADA,1,8
RUSSEL METALS,0.33,116
S C A,0.43,20
S P GLOBAL MARKET INTELLIGENCE,5,7
SAAB,12.96,38
SABA SOFTWARE,2.96,2
SABB CANADA,1.01,2
SAFFCO,0.81,24
SALESFORCE CANADA,1,5
SALISH SEA INDUSTRIAL SERVICES,1.17,2
SAMSON ASSOCIES,4.08,23
SANDOZ CANADA,4.09,2
SANEXEN ENVIRONMENTAL SERVICES,1,1
SANEXEN SERVICES ENVIRONMENTAUX,3.01,5
SANI SPORT,0.32,2
SANOFI PASTEUR,9.85,1
SANTE MONTFORT,22.5,1
SAP,6.76,26
SAPPER LABS CYBER SOLUTIONS,2.02,1
SAS INSTITUTE,1.04,5
SCA SHIPPING CONSULTANTS ASSOCIATED,3.04,449
SCOTIA PALLETS,3,99
SDL INTERNATIONAL CANADA,0.94,2
SEAMLESS MECHANICAL SOLUTIONS,0.67,1
SEASPAN VICTORIA SHIPYARDS,13.8,10
SECURE ENERGY,0.99,4
SED SYSTEMS,0.25,1
SEGUIN MORRIS,0.9,1
SELECT GLOBAL INTERNATIONAL,5,7
SENSUS COMMUNICATION SOLUTIONS,0,1
SERCO,10.01,4
SERVICE STAR BUILDING CLEANING,5.11,11
SETANTA CONTRACTING,3.59,163
SGS AXYS ANALYTICAL SERVICES,0.63,6
SGS CANADA,2,3
SHARP ELECTRONICS,5.09,14
SHAW CABLE,3,1
SHELL CANADA PRODUCTS,11.01,2072
SHI CANADA,1,20
SI SYSTEMS,6.09,46
SIEMENS,1.5,38
SIERRA SYSTEMS GROUP,9.67,10
SIKORSKY AIRCRAFT,21.37,1
SIMEX DEFENCE,5.37,1063
SIMO MANAGEMENT,3.27,42
SIMPLEX GRINNELL,2.03,9
SIMPSON BUILDING CONTRACTORS,0.55,2
SITE ENERGY SERVICES,3.3,1
SKOR CULINARY CONCEPTS,1.15,92
SLR CONSULTING CANADA,2,20
SMITHS DETECTION,10.91,3
SNAP ON TOOLS,2,195
SNC LAVALIN,12.51,165
SOFTCHOICE,6.38,96
SOFTSIM TECHNOLOGIES,3.52,30
SOLANA NETWORKS,5.01,2
SOLID CADDGROUP,1.01,1
SOLIDCAD,2.16,6
SOLOTECH,7.51,103
SOLOTECH QUEBEC,0.68,16
SOMOS,1,34
SONOBUOY TECH SYSTEMS STS,1.25,1
SOUCY INTERNATIONAL,2.71,8
SOUTHMEDIC,0.04,1
SOUTHWEST RESEARCH INSTITUTE,7.93,3
SOVO TECHNOLOGIES,1.01,5
SPEARHEAD MANAGEMENT CANADA,2.08,5
SPRINGCREST,3.61,5
SRA STAFFING SOLUTIONS,1.09,2
SSCL,3,7
ST GELAIS MONTMINY ASSOCIES,2.17,2
ST JOHN AMBULANCE,7.01,7
ST JOSEPH PRINT GROUP,0.57,10
ST OPS TACTICAL TRAINING CANADA,3.02,26
STAG CONSTRUCTION SOLUTIONS,1.3,16
STANLEY CONSTRUCTION,2.27,8
STANTEC,6.73,280
STEEPLE,2.48,63
STERICYCLE,5.01,23
STERIS CANADA,4.06,4
STERLING FUELS,1,59
STIFF SENTENCES,0.49,2
STOEGER CANADA,3.1,4
STONEWORKDS TECHNOLOGIES,0.14,2
STONEWORKS TECHNOLOGIES,5.18,166
STOPS TACTICAL TRAINING,6.03,2
STRONG BROS GENERAL CONTRACTING,2.8,27
STRONGCO,0.31,7
STRYKER CANADA,2.03,4
STS MAINTENANCE 4527984 CANADA,2,2
STURGEON COUNTY,10.76,5
SUBARU CANADA,0.68,27
SUER AND POLLON MECHANICAL,3.06,1
SUER POLLON MECHANICAL,1.9,4
SUMMIT CANADA DISTRIBUTORS,0.48,5
SUN LIFE ASSURANCE COMPANY,15.13,6
SUNCOR ENERGY,1,193
SUNCOR ENERGY PRODUCTS,0.4,25
SUPER CHANNEL INTERNATIONAL,2,15
SUPERIOR PROPANE,4,73
SUPREMEX,0.32,11
SUSE SOFTWARE SOLUTIONS CANADA,1,1
SUSTEMA,0.25,4
SUTHERLAND EXCAVATING,3,75
SYNERSOLUTIONS TECHNOLOGIES,1.69,9
SYSCO,2.02,701
SYSTEMATIX SOLUTIONS,3.01,3
SYSTEMS FOR RESEARCH,4.16,7
SYSTEMSCOPE,2.51,3
T J NOLAN CONSTRUCTION,5,160
T LANE TRANSPORTATION AND LOGISTICS,0.13,70
TACS,0.23,32
TAG HR,4.27,78
TAI,0.23,9
TANKATEK,1.12,14
TANKATEK 6854265 CANADA,0.09,1
TAURUS CONTRACTORS,0.37,6
TAYLOR FRANCIS,1.23,10
TCI INTERNATIONAL,4.01,5
TEAM CERTAS,7.28,1
TECHNO FEU,1.6,34
TECHNOMICS,3.01,2
TECSIS,0.91,1
TEEL TECHNOLOGIES CANADA,3.01,13
TEKNION,1.53,160
TEKSYSTEMS CANADA,1,8
TELECOM COMPUTER SERVICES,5.03,114
TELECOMMUNICATION SUPPORT SERVICES,3.01,5
TELEDYNE,2,5
TELEPHONICS,5.06,7
TELESAT,10.01,5
TELFLEX TECHNOLOGIE,0.86,7
TELUS CANADA,2,46
TENAQUIP,3,257
TERAMACH TECHNOLOGIES,5.18,32
TERRA SENSE ANALYTICS,3.01,7
TERRAGON ENVIRONMENTAL TECHNOLOGIES,1.09,2
TERVITA,0.79,8
TES CONTRACT SERVICES,5,4
TESTFORCE SYSTEMS,5.02,109
TETRA TECH,3,4
TEXTILES MONTEREY 1996,4,2
THALES,8.34,86
THALES DEFENSE AND SECURITY,0.41,3
THE AIM GROUP,6.47,23
THE BOEING COMPANY,24.02,3
THE CANNINGTON ABORIGINAL VENTURE,0.1,2
THE DELTIC GROUP,7,7
THE HALIFAX COMPUTER CONSULTING GROUP,6.01,3
THE HALIFAX GROUP,5,3
THE IT BROKER,1,6
THE MASHA KRUPP TRANSLATION GROUP,0.04,1
THE MATHWORKS,2.85,51
THE RIGHT DOOR CONSULTING,2.35,37
THE STEVENS COMPANY,5.83,7
THE UNIVERSITY OF BRITISH COLUMBIA,1.12,8
THE VCAN GROUP,7.39,10
THERMO FISHER SCIENTIFIC,3.01,119
THINKON,1,1
THINKPOINT,2.21,14
THOMAS SCHMIDT,3.44,20
THOMSON REUTERS,2,10
THORNHILL MEDICAL,3,1
THYSSENKRUPP ELEVATOR,3.91,25
TIREE,0.92,2
TITAN AEX,6.01,2
TLD CANADA,3,2
TOMLINSON ENVIRONMENTAL SERVICES,1,10
TOP ACES,8.5,366
TOROMONT,21.6,44
TORONTO INDUSTRIES,3.01,1
TOSHIBA CANADA,2.01,20
TOTEM OFFISOURCE,0.09,1
TOURE CLEANING,1.01,11
TOURE CLEANING SERVICES,4.13,6
TOYOTA,1.45,132
TPG TECHNOLOGY CONSULTANTS,6.01,5
TR PETROLEUM,1,93
TRACKGEN SOLUTIONS,2,9
TRAINOR MECHANICAL CONTRACTORS,1.22,13
TRANE CANADA,1,14
TRANSPOLAR TECHNOLOGY,11.01,9
TRANSWEST AIR,4,4
TREMCAR INDUSTRIES,3.04,7
TRI STAR INDUSTRIES,1.5,5
TRM TECHNOLOGIES,5.9,15
TROY LIFE FIRE SAFETY,5.01,11
TRUGENOMIX,0.27,3
TRUMPF,0.29,1
TSI,0.58,7
TULMAR SAFETY SYSTEMS,3.01,19
TUNDRA TECHNICAL SOLUTIONS,2.42,11
TURNER TOWNSEND,0.72,4
TURTLE ISLAND STAFFING,4.01,49
TWENTY20 INSIGHT,3.01,19
TWENTY20INSIGHT,1,2
TYCO INTEGRATED FIRE AND SECURITY CANADA,0.95,2
TYCO INTEGRATED FIRE SECURITY,3.73,43
TYR TACTICAL,4.04,25
ULTIMATE CONSTRUCTION,1.79,6
ULTRA ELECTRONICS,8.02,18
ULTRA ELECTRONICS MARITIMES SYSTEM,0.12,2
UNCHARTED SOFTWARE,1.36,3
UNIFORM WORKS,0.58,5
UNISOURCE,3.53,458
UNISYS CANADA,3,1
UNITED RENTALS,2.77,233
UNITED STATES DEPARTMENT OF DEFENCE,5.01,3
UNITED STATES DEPARTMENT OF THE AIR FORCE,16.41,41
UNITED STATES DEPARTMENT OF THE ARMY,10.68,26
UNITED STATES DEPARTMENT OF THE NAVY,17.66,70
UNIVERSAL HELICOPTERS,0.05,10
UNIVERSAL WEATHER AND AVIATION,0,36
UNIVERSITE DE MONTREAL,1.99,5
UNIVERSITE DE SHERBROOKE,2,7
UNIVERSITE LAVAL,2,14
UNIVERSITE QUEBEC INSTITUT NAT RECHERCHE SCIENTIFIQUE,5,1
UNIVERSITE SAINTE ANNE,1.39,10
UNIVERSITY OF ALBERTA,1.43,6
UNIVERSITY OF BRITISH COLUMBIA,1.13,18
UNIVERSITY OF CALGARY,1.18,15
UNIVERSITY OF GUELPH,0.68,3
UNIVERSITY OF MANITOBA,1.02,5
UNIVERSITY OF NEW BRUNSWICK,3.53,6
UNIVERSITY OF OTTAWA,7.01,38
UNIVERSITY OF SASKATCHEWAN,1,6
UNIVERSITY OF TORONTO,3,26
UNIVERSITY OF WATERLOO,2.32,16
UNIVERSITY OF WESTERN ONTARIO,1.08,7
UQSUQ,0.17,269
URLACHER CONSTRUCTION,1,109
UTILITIES KINGSTON,1.18,56
UVAIR,0.08,125
VAISALA CANADA,2,11
VALARD CONSTRUCTION,1.24,5
VALCOM CONSULTING,11.13,203
VALLEY REFRIGERATION,1.87,28
VALUE MASTER BUILDERS,1.01,97
VAN HORNE CONSTRUCTION,2.09,2
VAN KAPPEL INTERNATIONAL,2.09,19
VANCOUVER SHIPYARDS,9.01,7
VCI CONTROLS,1.25,19
VECTOR AEROSPACE,2.01,1
VERITAAQ TECHNOLOGY HOUSE,5,14
VERSATIL BPI,1,1
VFA CANADA,3.01,10
VIDCRUITER,1.54,4
VIKING FIRE PROTECTION,3.01,4
VISIONTEC,5.01,6
VMWARE,2.17,107
VOYAGEUR AVIATION,0.02,2
VWR INTERNATIONAL,0.47,20
W S MORGAN CONSTRUCTION,1.02,6
W8482 217946 001 DMARP4,0.21,1
WADE GENERAL CONTRACTING,1.48,27
WAHL CONSTRUCTION,3,101
WAJAX,5.67,114
WAJAX SYSTEMES DE PUISSANCE,1.95,1
WARTSILA,7.01,72
WASTE CONNECTIONS OF CANADA,3,78
WASTE MANAGEMENT OF CANADA,5,96
WASTE PROCESSING TECHNOLOGIES,5.01,1
WATERS,0.34,1
WATERSHED INFORMATION TECHNOLOGY,1.41,9
WEATHERHAVEN CANADA,5,34
WEBSTER ELECTRIC,0.94,57
WEIR CANADA,12.76,1
WESCO DISTRIBUTION CANADA,2.43,100
WESTBURY NATIONAL SHOW SYSTEMS,1.04,42
WESTCO CONSTRUCTION,0.96,3
WESTERN MECHANICAL ELECTRICAL,0.62,3
WESTERN PACIFIC ENTERPRISES,1.98,2
WESTERN PETROLEUM,0.98,5
WESTJET,0.16,1
WESTOWER COMMUNICATIONS,0.48,1
WHOLESOME CRAVINGS,0.02,94
WILCO CONTRACTORS SOUTHWEST,2.48,3
WILDROSE DISPOSAL,4.19,30
WILEY SUBSCRIPTION SERVICES,2.03,1
WILLS TRANSFER,1,3
WINMAR,0.3,9
WINTERSTEIGER,0.04,1
WOLTERS KLUWER,1.58,7
WOOD,3.22,24
WOOD E I SOLUTIONS,0.99,5
WOODWARD,0.18,160
WOODWARD AVIATION,0,117
WOODWARD S OIL,1.01,70
WORKDYNAMICS TECHNOLOGIES,1,1
WORLD FUEL SERVICES,1.59,2788
WORLDREACH SOFTWARE,0.84,1
WORLEY PARSONS,0.7,1
WSP,7.96,66
XAV SOLUTION,0.14,1
XEROX,7.08,321
XTECH EXPLOSIVE DECONTAMINATION,4.01,4
XTRACT TECHNOLOGIES,1.11,14
YAMAHA MOTORS CANADA,0.81,6
YAMNUSKA,3,13
YELLOWHEAD HELICOPTERS,0.03,13
ZAYO CANADA,4,2
ZENITH PAVING,0.49,4
ZERNAM ENTERPRISE,3,11
ZIGHRA,1.01,1
ZODIAC HURRICANE TECHNOLOGIES,5.03,12
ZOLL MEDICAL CANADA,4.08,19
ZYCOM,5.12,53
