d_vendor_name,mean_original_value,mean_overall_value,n
"NATIONAL TEST PILOT SCHOOL",1358070.18,4358070.18,4
"NATO SEASPARROW SURFACE MISSILE SYSTEM PROJECT",4985500.50,5204308.79,14
"NATTIQ",84609.42,84609.42,7
"NAV CANADA",3186400.02,3277590.87,18
"NAVAMAR",11701704.83,11792366.24,1
"NAVPOINT CONSULTING GROUP",101227.20,118216.83,3
NELSON ENVIRONMENTAL REMEDIATION,39714.26,85482.61,2
NEPTEC DESIGN GROUP,198488.47,198488.47,1
NEPTUNE SECURITY SERVICES,578483.52,586778.43,9
NEWFOUND RECRUITING,116096.48,142763.49,13
NEXTER SYSTEMS,3807916.00,4484253.50,2
NISHA TECHONOLOGIES,158657.46,189294.93,466
NISSAN CANADA,45339.79,45339.79,30
NITAM SOLUTIONS,28367.84,28367.84,5
NOKIA CANADA,493211.11,539033.82,14
NOLINOR AVIATION,48803.68,48803.68,4
NORDLYS ENVIRONMENTAL PARTNERSHIP,5136823.70,5136823.70,3
NORR,45399.13,65131.19,2
NORTH ATLANTIC PETROLEUM,84662.72,84662.72,20
NORTH BAY HYDRO,216860.42,239751.96,31
NORTH CARIBOO AIR,74297.74,74297.74,1
NORTHROP GRUMMAN,9379429.43,10129269.83,9
NORTRAX CANADA,466660.07,470958.31,18
NOTRA,1058156.87,836543.52,21
NOVA NETWORKS,33644.58,35598.14,52
NOVA SCOTIA POWER,1110380.09,1113774.10,16
NU VIEW HOMES,1087964.50,2677806.67,2
NUA OFFICE,26966.19,26966.19,5
NUMBER TEN ARCHITECTURAL GROUP,59957.87,159739.65,7
NUNA EAST,96702.62,96702.62,1
OGILVY MONTREAL,29662.50,29662.50,1
OMNITECH ELECTRONICS,336826.03,336826.03,17
ONIX NETWORKING CANADA,965282.35,965282.35,2
ONX ENTERPRISE SOLUTIONS,162579.15,172744.97,21
OPENFRAME TECHNOLOGIES,125761.50,174425.34,17
OPENTEXT,83576.54,93283.74,16
OPROMA,20126.27,20126.27,3
OPSIS,1071248.61,1102183.91,14
OPTIMUM SOLUTIONS,51981.99,51981.99,141
OPTIV CANADA FEDERAL,139092.91,139092.91,4
ORACLE CANADA,1855416.25,1855416.25,20
ORANGUTECH,83987.41,108005.30,13
OSI,7475000.00,9200000.00,1
OTIS ELEVATOR,103800.90,103800.90,5
PACIFIC INDUSTRIAL MARINE,2167707.79,2240466.79,2
PACIFIC SAFETY PRODUCTS,1756377.97,1756377.97,8
PAL AEROSPACE,42028.25,42028.82,35
PALADIN GROUP,71259.62,89890.27,27
PALFINGER MARINE,18107.25,18107.25,2
PANASONIC,35907.54,35907.54,6
PARKER JOHNSTON INDUSTRIES,2860664.00,2860664.00,3
PARKLAND REFINING,1183672.89,1182011.38,41
PARSONS CANADA,38279.85,38279.85,1
PATLON AIRCRAFT INDUSTRIES,242559.00,398613.92,78
PATTISON SIGN GROUP,27544.50,27920.47,5
PCL CONSTRUCTORS,2189828.17,2378828.17,6
PEERLESS GARMENTS,1735855.96,1905136.10,15
PENNANT CANADA,9870398.66,12441755.74,4
PENNECON,482703.23,1122703.23,3
PEPCO,35700.88,33103.59,143
PERSISTENT SYSTEMS,522007.92,555341.25,18
PETRO AIR SERVICES,334393.44,359024.35,36
PETROVALUE PRODUCTS,84273.51,84258.81,107
PHASELOCK SYSTEMS INTERNATIONAL,33497.17,33497.17,18
PIONEER CONSTRUCTION,299700.00,299700.00,1
PITNEY BOWES,22564.22,22564.22,18
PLEIAD CANADA,79237.49,120048.24,6
PODOLINSKY EQUIPMENT,200679.16,200679.16,14
POLARIS INDUSTRIES,192831.51,209520.05,20
POMERLEAU,42314756.76,42314756.76,11
PRA,42205.50,42205.50,1
PRECISIONIT,212668.26,282051.87,7
PRICEWATERHOUSE COOPERS,1510868.55,2921021.07,17
PRIMEX PROJECT MANAGEMENT,518415.05,734675.92,32
PRINTERS PLUS,36701.03,36747.11,70
PROCOM CONSULTANTS,573771.14,867494.20,21
PROLOGIC SYSTEMS,127748.08,142925.11,7
PROMAXIS,412688.86,580150.05,149
PROQUEST,158992.69,162974.91,55
PROSCI CANADA,43858.27,43858.27,8
PROTAK CONSULTING GROUP,258621.59,295066.43,18
PURELOGIC,493289.04,497977.95,184
PURESPIRIT SOLUTIONS,232393.64,237828.54,85
PYLON ELECTRONICS,63373490.45,63373490.45,1
QIAGEN,121373.05,121373.05,2
QINETIQ,2591394.10,2762999.85,28
QM ENVIRONMENTAL,1724534.38,1774606.95,8
QMR,114257.88,125087.44,47
QUAD PRO CONSTRUCTION,10411476.00,10564037.89,3
QUANTUM MANAGEMENT SERVICES,33985.67,34828.77,27
QUEEN S UNIVERSITY,760647.12,762261.25,35
QUINAN CONSTRUCTION,1341583.33,1346764.12,3
QUINTET CONSULTING,40934.57,40760.65,16
R J MACISAAC CONSTRUCTION,10828950.00,10828950.00,1
R R INTERNATIONAL TRANSLATION,35932.06,35932.06,7
RACEROCKS 3D,87432.52,1684632.59,3
RADIATION SOLUTIONS,873348.18,1175644.97,3
RAMPART INTERNATIONAL,123484.92,146314.10,57
RANDSTAD,81154.38,263600.47,32
RAYMOND CHABOT GRANT THORNTON,194353.48,194353.48,6
RAYTHEON,48564250.25,48967423.85,18
RENK AKTIENGECELLSCHAFT,7383992.13,7383992.13,2
REPUBLIC ARCHITECTURE,106843.08,125793.69,91
REVISION MILITARY,626083.13,3286902.53,8
RGT CLOUTHIER CONSTRUCTION,837638.95,867336.51,20
RHEA,303360.87,303360.87,4
RHEINMETALL,3320431.99,4842020.95,75
RIGHTWAY SANITATION SERVICES,46734.83,46735.86,175
RIKJAK CONSTRUCTION,540439.40,540439.40,13
RISK SCIENCES INTERNATIONAL,225219.17,225219.17,1
ROBERTSON MARTIN ARCHITECTS,41111.14,81188.13,7
ROCHE DIAGNOSTICS,22014.17,22014.17,6
ROCKWELL COLLINS CANADA,1020975.64,1020975.64,7
ROGERS,169815.54,169815.54,7
ROHDE SCHWARZ CANADA,344208.16,343914.05,15
ROLLING TIDES CONSTRUCTION,500747.14,502680.49,10
ROOF TILE MANAGEMENT,3092547.00,5846945.25,1
ROSBOROUGH BOATS,724693.21,730278.98,4
ROSCOE CONSTRUCTION,1034582.32,1034582.32,20
RUSH TRUCK CENTRES OF CANADA,682961.40,682961.40,7
RUSSEL METALS,23892.05,23686.22,86
SAAB,4353476.36,6440000.95,36
SABA SOFTWARE,86650.73,2027269.20,2
SANEXEN SERVICES ENVIRONMENTAUX,5716482.78,6753465.01,5
SANTE MONTFORT,185000000.00,260647300.00,1
SAP,7908598.82,9703529.42,20
SAPPER LABS CYBER SOLUTIONS,7475000.00,8025942.38,1
SAS INSTITUTE,39483.36,39800.66,5
SCA SHIPPING CONSULTANTS ASSOCIATED,145224.74,193187.03,376
SCALAR DECISIONS,429009.37,450196.87,9
SDL INTERNATIONAL CANADA,47432.88,47432.88,1
SEASPAN VICTORIA SHIPYARDS,61174836.03,134516779.86,10
SED SYSTEMS,56170.60,56170.60,1
SELECT GLOBAL INTERNATIONAL,3936567.43,5720034.18,5
SERCO,230953970.95,249549319.07,4
SERVICE STAR BUILDING CLEANING,580372.73,555781.33,11
SETANTA CONTRACTING,65312.14,73564.48,134
SGS AXYS ANALYTICAL SERVICES,29881.98,29881.98,6
SHARP ELECTRONICS,28266.78,28266.78,14
SHAW CABLE,253260.00,253260.00,1
SHELL CANADA PRODUCTS,66929.43,65794.78,1806
SHI CANADA,29280.56,29280.56,16
SI SYSTEMS,3000926.65,3367078.66,36
SIEMENS,52794.34,54112.26,33
SIERRA SYSTEMS GROUP,3157682.85,5045825.06,9
SIKORSKY AIRCRAFT,1485452.00,2342493108.00,1
SIMEX DEFENCE,111233.60,114605.86,910
SIMO MANAGEMENT,279856.29,280124.26,42
SIMPLEX GRINNELL,13847.34,15867.85,8
SITE ENERGY SERVICES,32274920.00,32274920.00,1
SLR CONSULTING CANADA,131596.50,151345.49,18
SMITHS DETECTION,19845.45,2921953.85,3
SNC LAVALIN,4217503.62,9011433.25,138
SOFTCHOICE,39374.10,41523.13,84
SOFTSIM TECHNOLOGIES,122523.72,188171.12,25
SOLOTECH,45923.97,45923.97,67
SOMOS,136517.74,135361.90,34
SONOBUOY TECH SYSTEMS,7994826.00,7994826.00,1
SOUCY INTERNATIONAL,4368987.62,4368987.62,8
SOUTHWEST RESEARCH INSTITUTE,30459794.79,30459794.79,3
ST GELAIS MONTMINY ASSOCIES,24758.50,24758.50,2
ST JOHN AMBULANCE,674743.00,674743.00,6
ST JOSEPH PRINT GROUP,19357.34,19830.24,9
STANLEY CONSTRUCTION,1661402.04,1764229.48,7
STANTEC,86636.96,99325.12,253
STERIS CANADA,159720.19,159720.19,3
STERLING FUELS,296102.75,286936.33,59
STIFF SENTENCES,131566.62,136792.88,2
STONEWORKS TECHNOLOGIES,446075.14,446075.14,131
STOPS TACTICAL TRAINING,5585460.10,5585460.10,2
STRONG BROS GENERAL CONTRACTING,519689.70,585492.71,27
STRYKER CANADA,195564.38,195564.38,4
SUBARU CANADA,49061.45,49061.45,27
SUMMIT CANADA DISTRIBUTORS,43075.26,43075.26,5
SUN LIFE ASSURANCE COMPANY,9225133.59,9211411.68,5
SUNCOR ENERGY,46680.15,46449.91,159
SUPER CHANNEL INTERNATIONAL,77734.02,77806.66,14
SUPREMEX,39344.85,39344.85,9
SUTHERLAND EXCAVATING,29024.16,30222.10,63
SYNERSOLUTIONS TECHNOLOGIES,179169.73,183192.53,7
SYSTEMATIX SOLUTIONS,7211697.15,8176480.68,3
SYSTEMS FOR RESEARCH,103157.50,106030.13,5
SYSTEMSCOPE,215712.00,217237.33,3
TACS,302367.85,309457.71,32
TAG HR,50199.64,73006.99,34
TAI,665571.25,665571.25,9
TANKATEK,42748.39,42748.39,8
TAURUS CONTRACTORS,216463.34,216463.34,6
TEAM CERTAS,81616788.06,81616788.06,1
TECHNO FEU,264832.86,369508.18,22
TECSIS,24102.90,24102.90,1
TEKNION,18732.49,18732.49,130
TEKSYSTEMS CANADA,193029.31,193029.31,6
TELECOM COMPUTER SERVICES,208170.64,251777.45,88
TELECOMMUNICATION SUPPORT SERVICES,1287249.64,1587249.64,5
TELEDYNE,18739.34,31161.78,4
TELEPHONICS,1633124.86,1605865.86,5
TELESAT,2325313.22,2777313.22,5
TELUS CANADA,67955.84,77629.73,39
TENAQUIP,28561.61,28575.77,198
TERAMACH TECHNOLOGIES,194624.51,194850.04,30
TERVITA,16063.98,16063.98,8
TES CONTRACT SERVICES,318003.02,1191883.13,4
TESTFORCE SYSTEMS,107683.27,115267.64,98
TETRA TECH,79071.30,79071.30,3
THALES,16588502.14,17079353.36,74
THE AIM GROUP,231420.83,398457.78,16
THE BOEING COMPANY,139604433.33,139782305.07,3
THE HALIFAX COMPUTER CONSULTING GROUP,3194137.08,5650186.11,3
THE HALIFAX GROUP,1605904.69,2333588.69,2
THE IT BROKER,153425.30,153425.30,6
THE MASHA KRUPP TRANSLATION GROUP,12712.50,12712.50,1
THE MATHWORKS,92296.92,104108.45,45
THE RIGHT DOOR CONSULTING,171207.13,180469.18,32
THE STEVENS COMPANY,90955.05,192897.92,6
THE VCAN GROUP,210663.54,690689.04,9
THERMO FISHER SCIENTIFIC,37504.66,38172.49,96
THOMAS SCHMIDT,236317.14,261906.20,16
THOMSON REUTERS,67681.57,98174.55,9
THORNHILL MEDICAL,768089.27,768089.27,1
THYSSENKRUPP ELEVATOR,71450.97,95981.11,25
TIREE,146966.00,146966.00,2
TITAN AEX,6919500.00,19886666.67,2
TOP ACES,1836245.34,1836768.60,366
TOPFLIGHT ELITE TRAINING AND CHARTER SERVICES,1673300.00,8929387.67,1
TOROMONT,4016370.61,4021422.22,35
TORONTO INDUSTRIES,11368805.96,11368805.96,1
TOSHIBA CANADA,325237.68,409690.73,20
TOTEM OFFISOURCE,179661.81,179661.81,1
TOURE CLEANING SERVICES,1767388.18,1767388.18,5
TOYOTA,96103.31,96103.31,112
TPG TECHNOLOGY CONSULTANTS,3195538.04,4367445.00,5
TRAINOR MECHANICAL CONTRACTORS,398390.68,401054.32,10
TRANSPOLAR TECHNOLOGY,20192.68,20192.68,9
TRANSWEST AIR,2060004.16,2060004.16,4
TRM TECHNOLOGIES,987541.63,1490630.14,12
TROY LIFE FIRE SAFETY,998749.78,1070477.56,9
TULMAR SAFETY SYSTEMS,717536.10,739371.40,17
TUNDRA TECHNICAL SOLUTIONS,88076.33,118296.96,11
TURNER TOWNSEND,59788.77,67322.10,3
TURTLE ISLAND STAFFING,75078.74,93698.53,43
TYCO INTEGRATED FIRE SECURITY,222818.02,210032.54,37
TYR TACTICAL,287171.44,318484.75,25
ULTIMATE CONSTRUCTION,819502.58,693292.01,6
ULTRA ELECTRONICS,2091077.87,3469152.20,14
UNISOURCE,100040.45,100847.74,381
UNISYS CANADA,636479.69,967600.59,1
UNITED RENTALS OF CANADA,56944.28,57264.83,103
UNITED STATES DEPARTMENT OF DEFENCE,24933672.12,24933672.12,1
UNITED STATES DEPARTMENT OF THE AIR FORCE,4823729.41,5615180.16,36
UNITED STATES DEPARTMENT OF THE ARMY,4362662.48,4590552.38,21
UNITED STATES DEPARTMENT OF THE NAVY,8026414.37,8325675.35,51
UNIVERSAL HELICOPTERS,26786.02,26786.02,10
UNIVERSAL WEATHER AND AVIATION,105060.54,105060.54,36
UNIVERSITE LAVAL,95727.56,100878.97,12
UNIVERSITY OF ALBERTA,105319.17,105319.17,6
UNIVERSITY OF BRITISH COLUMBIA,186587.20,186587.20,17
UNIVERSITY OF CALGARY,314065.98,314065.98,14
UNIVERSITY OF GUELPH,99316.50,99316.50,3
UNIVERSITY OF NEW BRUNSWICK,790800.90,914688.62,6
UNIVERSITY OF OTTAWA,266629.60,266169.85,26
UNIVERSITY OF SASKATCHEWAN,169032.11,169032.11,5
UNIVERSITY OF TORONTO,1087828.92,1089773.36,18
UNIVERSITY OF WATERLOO,605186.68,605186.68,16
UNIVERSITY OF WESTERN ONTARIO,299823.20,299823.20,7
UQSUQ,18558.20,18558.20,266
UTILITIES KINGSTON,726160.54,718516.59,56
UVAIR,44909.61,44909.61,125
VAISALA CANADA,472257.86,472257.86,9
VALARD CONSTRUCTION,670079.01,732866.48,5
VALCOM CONSULTING,349301.92,505412.49,179
VALUE MASTER BUILDERS,110246.27,109841.81,80
VAN HORNE CONSTRUCTUION,10551267.00,10551267.00,1
VAN KAPPEL INTERNATIONAL,958093.89,958541.00,19
VANCOUVER SHIPYARDS,412488173.02,544722758.13,7
VCI CONTROLS,157644.62,202455.18,19
VERITAAQ TECHNOLOGY HOUSE,3055184.30,3340312.50,8
VFA CANADA,318310.50,318310.50,4
VISIONTEC,577307.03,689862.56,6
VMWARE,679086.13,694438.05,96
VWR INTERNATIONAL,21183.71,21183.71,17
W S MORGAN CONSTRUCTION,258937.33,283011.43,3
WADE GENERAL CONTRACTING,409621.42,421139.00,20
WAHL CONSTRUCTION,152301.94,146836.19,83
WAJAX,250270.28,250550.65,107
WARTSILA,444110.71,852704.46,64
WASTE CONNECTIONS OF CANADA,96601.21,95579.24,70
WASTE MANAGEMENT OF CANADA,34433.76,34229.47,95
WATERS,752495.63,752495.63,1
WEATHERHAVEN CANADA,5345952.29,5345952.29,34
WEBSTER ELECTRIC,39090.05,40265.67,51
WEIR CANADA,63000000.00,530460000.00,1
WESCO DISTRIBUTION CANADA,28259.63,28259.63,91
WESTBURY NATIONAL SHOW SYSTEMS,93885.40,93885.40,42
WESTCO CONSTRUCTION,458244.15,458244.15,2
WESTOWER COMMUNICATIONS,494208.88,535338.68,1
WILCO CONTRACTORS SOUTHWEST,625422.08,625422.08,3
WILLS TRANSFER,61162.87,61162.87,3
WOLTERS KLUWER,29583.33,29583.33,6
WOODWARD S OIL,44213.70,44213.70,70
WORKDYNAMICS TECHNOLOGIES,2558972.89,2558972.89,1
WORLD FUEL SERVICES,34650.75,34533.30,2758
WORLDREACH SOFTWARE,224220.25,224220.25,1
WSP,58716.27,106536.38,45
XEROX,36304.65,38151.15,276
XTECH EXPLOSIVE DECONTAMINATION,1553333.33,2865332.88,3
YAMAHA MOTORS CANADA,65605.76,65605.76,5
YAMNUSKA,282251.89,564231.31,12
ZAYO CANADA,31206.26,31206.26,2
ZENITH PAVING,1153770.97,1153770.97,3
ZERNAM ENTERPRISE,195022.52,216947.22,11
ZODIAC HURRICANE TECHNOLOGIES,5920617.50,6417904.02,10
ZOLL MEDICAL CANADA,293395.03,375031.06,14
ZYCOM,296414.53,297542.72,25
