d_vendor_name,max_overall_value,n
MEDIA Q,101700.00,1
MEGA POWER INSTALLATIONS,59000.00,94
MEGA TECH,33338.71,7
MEGALEXIS COMMUNICATIONS,15242.55,1
MELTWATER,24860.00,1
MERCEDES BENZ CANADA,2982154.83,100
MERCER CANADA,923775.00,1
MERCURY MARINE,1600000.00,7
MERIDIAN MEDICAL TECHNOLOGIES,8412495.12,4
MESSA COMPUTING,578108.00,8
METALCRAFT MARINE,21852662.00,2
METOCEAN TELEMATICS,158976.00,1
MGIS,992366.00,10
MICHAEL WAGER CONSULTING,9396469.40,26
MICHELIN,3000000.00,35
MICRONOSTYX,46986.00,1
MICROSOFT CANADA,7759678.58,51
MID VALLEY CONSTRUCTION,2267800.00,36
MIL AERO ELECTRONICS ATLANTIC,2657532.00,7
MILLBROOK TACTICAL,2192980.94,53
MILLER PAVING,26290559.00,6
MILLER WASTE SYSTEMS,596642.27,40
MILTEX SOLUTIONS CANADA,4997238.75,55
MINDWIRE SYSTEMS,11007574.44,13
MINE EODCLR,2188727.05,3
MIREMS,239560.00,2
MISHKUMI TECHNOLOGIES,375611.83,65
MITSUBISHI MOTOR SALES,1430532.99,13
MKDS TRAINING,3343649.90,11
MLS OVERSEAS,403519.74,463
MNP,167466.00,14
MOBILE RESOURCE GROUP,635936.00,11
MOBILE VALVE,1794561.69,55
MOBILITY LAB,1812180.92,33
MODERN NIAGARA ALBERTA,1020408.11,10
MODIS CANADA,19103606.04,43
MOMENTUM SOLUTIONS,8413634.80,39
MONTREAL BRONZE,508212.50,44
MORGAN ADVANCED MATERIALS COMPOSITES AND DEFENCE SYSTEMS,9450000.00,1
MORNEAU SHEPELL,34000.00,1
MORPHO CANADA,2281000.00,1
MORRISON HERSHFIELD,29265.00,1
MOTOR COACH INDUSTRIES,9829048.10,3
MOTOROLA SOLUTIONS CANADA,2374006.85,211
MTS ALLSTREAM,76594.21,2
MULDER MEATS,99990.34,147
MULTINATIONAL LOGISTIC SERVICES,283046.04,76
MULTISHRED,2583999.60,10
MUNICIPALITY OF THE COUNTY OF KINGS,914020.00,5
MUSTANG SURVIVAL,1507537.50,35
MWCO,5148149.00,6
N P A,59994.93,4
"NAMMO PERRY",2913120.00,1
"NANOMETRICS",28738.50,1
"NASITTUQ",591565976.07,4
"NATCO PHARMA CANADA",6833757.05,2
"NATIONAL ARTS CENTRE",15000.00,1
"NATIONAL TEST PILOT SCHOOL",15000000.00,4
"NATO SEASPARROW SURFACE MISSILE SYSTEM PROJECT",36644920.00,14
"NATTIQ",234927.00,7
"NAV CANADA",25830753.85,19
"NAVAMAR",11792366.24,1
"NAVPOINT CONSULTING GROUP",191026.50,3
NELSON ENVIRONMENTAL REMEDIATION,87567.55,2
NEPTEC DESIGN GROUP,198488.47,1
NEPTUNE SECURITY SERVICES,1775974.36,9
NEVADA AUTOMOTIVE TEST CENTER,6678550.00,1
NEW ENGLAND BIOLABS,21914.55,9
NEW TECHNOLOGIES,2260000.00,9
NEWFOUND RECRUITING,432022.43,13
NEWFOUNDLAND HELICOPTERS,65809.52,5
NEXTER SYSTEMS,8259757.00,2
NIKON CANADA,399975.98,48
NISHA TECHONOLOGIES,16496239.70,479
NISSAN CANADA,217113.68,30
NITAM SOLUTIONS,59913.52,5
NKE INSTRUMENTATION,19145.22,1
NOKIA CANADA,1747760.76,14
NOLINOR AVIATION,136223.99,4
NORDLYS ENVIRONMENTAL,6733962.98,2
NORDLYS ENVIRONMENTAL PARTNERSHIP,10623450.00,3
NORR,73848.26,2
NORTAK SOFTWARE,430665.60,1
NORTH ATLANTIC PETROLEUM,425460.30,20
NORTH BAY HYDRO,2939127.88,31
NORTH CARIBOO AIR,74297.74,1
NORTH COUNTRY LOGISTICS,3777900.00,1
NORTHERN MICRO,22885307.46,667
NORTHROP GRUMMAN,50170738.00,9
NORTHSIDE DEVELOPMENT,4781093.93,3
NORTHWEST FUELS,45568.42,2
NORTRAX CANADA,1546410.78,18
NOTRA,7500000.00,21
NOVA NETWORKS,165404.88,52
NOVA SCOTIA POWER,3451165.58,17
NOVIPRO,43569.00,2
NP AEROSPACE CANADA,1136025.00,4
NU VIEW HOMES,4890614.35,2
NUA OFFICE,68519.81,5
NUMBER TEN ARCHITECTURAL GROUP,514713.25,7
NUNA EAST,96702.62,1
NUR CONSTRUCTION,1898927.95,103
OCLC CANADA,28299.00,1
OGILVY MONTREAL,29662.50,1
OMNITECH ELECTRONICS,1714046.25,17
ONIX NETWORKING CANADA,992457.62,2
ONX ENTERPRISE SOLUTIONS,999580.00,21
OPEN STORAGE SOLUTIONS,385641.00,7
OPENFRAME TECHNOLOGIES,613025.00,17
OPENTEXT,156684.60,20
OPROMA,21100.00,3
OPSIS,6189418.00,14
OPTIMUM SOLUTIONS,113556.35,141
OPTIV CANADA FEDERAL,204680.29,4
ORACLE CANADA,8966730.21,20
ORANGUTECH,582232.50,13
ORBIS RISK CONSULTING,142674.00,3
OSHKOSH,2453197.05,1
OSI,9200000.00,1
OTIS ELEVATOR,300000.00,5
OTTAWA BUSINESS INTERIORS,19135.99,2
OXFORD NANOPORE TECHNOLOGIES,24130.81,3
OXFORD UNIVERSITY PRESS,75957.31,38
P C MCNEILL CONTRACTING,1879305.77,15
PACIFIC GEOMATICS,138139.11,20
PACIFIC INDUSTRIAL MARINE,3536499.00,2
PACIFIC SAFETY PRODUCTS,12505896.00,8
PAD CAR MECHANICAL,790311.47,10
PAL AEROSPACE,150000.00,35
PALADIN GROUP,824571.21,27
PALFINGER MARINE,23677.50,2
PANASONIC,55942.46,6
PARKER JOHNSTON INDUSTRIES,3243992.00,3
PARKLAND,996075.44,104
PARKLAND REFINING,6053136.94,39
PARLEVIEW,4520000.00,1
PARSONS CANADA,38279.85,1
PATLON AIRCRAFT INDUSTRIES,7715165.71,79
PATTISON SIGN GROUP,40706.67,5
PCL CONSTRUCTORS,8694000.00,6
PEERLESS GARMENTS,6349014.00,15
PENNANT CANADA,28249500.00,4
PENNECON,3300000.00,3
PEPCO,517500.00,143
PERSISTENT SYSTEMS,1830000.00,18
PETRO AIR SERVICES,4783527.00,36
PETROVALUE PRODUCTS,4995900.00,107
PFIZER CANADA,1083000.00,2
PHASELOCK SYSTEMS INTERNATIONAL,120029.20,18
PIONEER CONSTRUCTION,299700.00,1
PITNEY BOWES,56185.84,18
PIVOTAL POWER,1520571.63,7
PLANET LABS,70297.93,6
PLEIAD CANADA,565282.50,6
PODOLINSKY EQUIPMENT,627338.25,14
POLARIS INDUSTRIES,2325577.00,20
POMERLEAU,238238060.23,11
PRA,42205.50,1
PRECISIONIT,694231.32,7
PRICEWATERHOUSE COOPERS,22430000.00,19
PRIMEX PROJECT MANAGEMENT,5043319.72,33
PRINTERS PLUS,423662.00,74
PROCOM CONSULTANTS,7068243.63,23
PROLOGIC SYSTEMS,333398.00,7
PROMAXIS,7857713.43,154
PROQUEST,973375.81,55
PROSCI CANADA,91290.44,8
PROTAK CONSULTING GROUP,735969.00,18
PURELOGIC,4562099.28,184
PURESPIRIT SOLUTIONS,1999206.09,85
PUROLATOR,11634.68,3
PV SERVICES,30934.13,5
PYLON ELECTRONICS,63373490.45,1
QIAGEN,227386.91,2
QINETIQ,50788101.06,28
QM ENVIRONMENTAL,8660387.33,8
QMR,736036.80,47
QUAD PRO CONSTRUCTION,27635069.00,3
QUADBRIDGE,23750.02,2
QUANTUM MANAGEMENT SERVICES,82505.72,27
QUEEN S UNIVERSITY,11250000.00,35
QUINAN CONSTRUCTION,2565100.00,3
QUINTET CONSULTING,87970.50,16
R D CONSTRUCTION,925000.00,2
R J MACISAAC CONSTRUCTION,10828950.00,1
R R INTERNATIONAL TRANSLATION,75000.00,7
RACEROCKS 3D,5000000.00,3
RADIATION SOLUTIONS,2224632.00,3
RAINHOUSE MANUFACTURING CANADA,3620837.43,1
RAMPART INTERNATIONAL,2122421.84,58
RANDSTAD,3997185.36,33
RAYMOND CHABOT GRANT THORNTON,392143.90,6
RAYTHEON,346540078.00,19
RENK,14192846.29,1
RENOKREW,4512483.75,1
REPUBLIC ARCHITECTURE,1234391.49,90
REVISION MILITARY,21909068.20,9
REVOLUTION EVENTS,104960.05,80
RGT CLOUTHIER,5176094.35,36
RHEA,452055.67,4
RHEINMETALL,70082666.37,79
RICOH,445037.00,213
RIGHTWAY SANITATION SERVICES,684292.06,176
RIKJAK CONSTRUCTION,1329000.00,13
RISK SCIENCES INTERNATIONAL,225219.17,1
RMS SOFTWARE,1600285.17,3
ROBERTSON MARTIN ARCHITECTS,237658.89,7
ROCHE DIAGNOSTICS,36780.02,6
ROCKWELL COLLINS CANADA,3757250.00,7
ROGERS,633542.00,7
ROHDE SCHWARZ CANADA,1500000.00,15
ROLLING TIDES CONSTRUCTION,1948867.00,10
ROLLS ROYCE CANADA,5055000.00,1
RONA,21099.74,7
ROOF TILE MANAGEMENT,5846945.25,1
ROSBOROUGH BOATS,1984780.00,4
ROSCOE CONSTRUCTION,3799000.00,20
RUSH TRUCK CENTRES OF CANADA,2868534.91,7
RUSSEL METALS,191591.15,86
S P GLOBAL MARKET INTELLIGENCE,126322.54,5
SAAB,55000000.00,36
SABA SOFTWARE,3992245.41,2
SAFFCO,1898378.00,22
SALISH SEA INDUSTRIAL SERVICES,1077164.42,2
SAMSON ASSOCIES,497200.00,18
SANDOZ CANADA,70000.00,1
SANEXEN SERVICES ENVIRONMENTAUX,16331785.61,5
SANI SPORT,24949.25,2
SANTE MONTFORT,260647300.00,1
SAP,153420049.60,21
SAPPER LABS CYBER SOLUTIONS,8025942.38,1
SAS INSTITUTE,48753.00,5
SCA SHIPPING CONSULTANTS ASSOCIATED,11130000.00,376
SDL INTERNATIONAL CANADA,47432.88,1
SEAFIRST CONSTRUCTION,640000.00,7
SEASPAN VICTORIA SHIPYARDS,768944394.00,10
SED SYSTEMS,56170.60,1
SEGUIN MORRIS,1470237.88,1
SELECT GLOBAL INTERNATIONAL,28514579.76,5
SENSORS UNLIMITED,2087250.00,1
SENSTAR,10029.09,1
SERCO,695284006.90,4
SERVICE STAR BUILDING CLEANING,3037619.00,11
SETANTA CONTRACTING,1752647.92,134
SGS AXYS ANALYTICAL SERVICES,36907.50,6
SHARP ELECTRONICS,73396.58,14
SHAW CABLE,253260.00,1
SHELL CANADA PRODUCTS,5916192.00,1806
SHI CANADA,121565.97,16
SI SYSTEMS,19135096.09,36
SIEMENS,669925.00,33
SIERRA SYSTEMS GROUP,17579862.00,9
SIGNAL ELECTRIC,2178633.19,3
SIKORSKY AIRCRAFT,2342493108.00,1
SIMEX DEFENCE,6177468.00,911
SIMO,2023173.07,3
SIMO MANAGEMENT,5260185.00,42
SIMPLEX GRINNELL,27984.58,8
SIMPSON BUILDING CONTRACTORS,2028700.00,2
SITE ENERGY SERVICES,32274920.00,1
SKOR CULINARY CONCEPTS,45023.38,92
SLR CONSULTING CANADA,1495000.00,18
SMITHS DETECTION,8734960.00,3
SNAP ON TOOLS,256726.50,170
SNC LAVALIN,760838423.17,138
SOFTCHOICE,464800.00,85
SOFTSIM TECHNOLOGIES,626708.60,25
SOLANA NETWORKS,3000000.00,2
SOLOTECH,305493.92,67
SOMOS,398875.86,34
SONOBUOY TECH SYSTEMS,7994826.00,1
SOUCY INTERNATIONAL,11197076.08,8
SOUTHMEDIC,14650.20,1
SOUTHWEST RESEARCH INSTITUTE,57544740.15,3
SOVO TECHNOLOGIES,24916.50,5
SPEARHEAD MANAGEMENT CANADA,275268.00,3
SPRINGCREST,1545930.30,5
SRA STAFFING SOLUTIONS,73088.40,1
SSCL,2132427.54,6
ST GELAIS MONTMINY ASSOCIES,30438.00,2
ST JOHN AMBULANCE,3972422.00,7
ST JOSEPH PRINT GROUP,38119.42,9
ST OPS TACTICAL TRAINING CANADA,8000000.00,23
STANLEY CONSTRUCTION,4662645.62,7
STANTEC,1811975.00,253
STEDFAST,1345518.46,5
STERIS CANADA,439950.00,3
STERLING FUELS,1968884.07,59
STIFF SENTENCES,221323.25,2
STONEWORKS TECHNOLOGIES,1999999.43,133
STOPS TACTICAL TRAINING,11122070.00,2
STRONG BROS GENERAL CONTRACTING,2356520.34,27
STRYKER CANADA,725550.00,4
SUBARU CANADA,243794.25,27
SUMMIT CANADA DISTRIBUTORS,149485.66,5
SUN LIFE ASSURANCE COMPANY,21770706.73,5
SUNCOR ENERGY,189000.00,158
SUPER CHANNEL INTERNATIONAL,276624.00,14
SUPREMEX,124384.05,9
SUTHERLAND EXCAVATING,345000.00,63
SYNERSOLUTIONS TECHNOLOGIES,836019.20,7
SYSCO,550000.00,551
SYSTEMATIX SOLUTIONS,11976792.69,3
SYSTEMS FOR RESEARCH,225678.00,5
SYSTEMSCOPE,584436.00,3
T J NOLAN CONSTRUCTION,575000.00,125
TACS,1638546.00,32
TAG HR,648317.93,71
TAI,2692054.60,9
TANKATEK,124460.44,8
TAURUS CONTRACTORS,1079484.00,6
TAYLOR FRANCIS,253412.32,8
TEAM CERTAS,81616788.06,1
TECHNO FEU,4417425.47,22
TECHNOMICS,746250.00,2
TECSIS,24102.90,1
TEEL TECHNOLOGIES CANADA,470125.90,11
TEKNION,101603.39,130
TEKSYSTEMS CANADA,310524.00,6
TELECOM COMPUTER SERVICES,7586363.24,91
TELECOMMUNICATION SUPPORT SERVICES,2391760.00,5
TELEDYNE,77470.00,4
TELEPHONICS,3053218.00,7
TELESAT,5085000.00,5
TELUS CANADA,410544.66,39
TENAQUIP,1101512.00,198
TERAMACH TECHNOLOGIES,1102629.94,30
TERRA SENSE ANALYTICS,8976341.08,6
TERVITA,22790.55,8
TES CONTRACT SERVICES,2449774.54,4
TESTFORCE SYSTEMS,1439239.44,98
TESTVONICS,3244335.00,2
TETRA TECH,173211.00,3
THALES,920000000.00,76
THE AIM GROUP,1650754.61,17
THE BOEING COMPANY,416930300.00,3
THE CANNINGTON ABORIGINAL VENTURE,1487009.91,2
THE DELTIC GROUP,2260000.00,5
THE HALIFAX COMPUTER CONSULTING GROUP,14764040.54,3
THE HALIFAX GROUP,3962694.00,2
THE IT BROKER,544660.00,6
THE MASHA KRUPP TRANSLATION GROUP,12712.50,1
THE MATHWORKS,1304969.72,45
THE RIGHT DOOR,264420.00,3
THE RIGHT DOOR CONSULTING,487700.00,32
THE STEVENS COMPANY,820086.20,6
THE UNIVERSITY OF WESTERN ONTARIO,229724.00,9
THE VCAN GROUP,5198910.91,9
THERMO FISHER SCIENTIFIC,1138536.10,102
THINKPOINT,637843.47,9
THOMAS SCHMIDT,1092262.50,16
THOMPSON BOILER WORKS,31003.92,7
THOMSON REUTERS,305612.72,9
THORNHILL MEDICAL,768089.27,1
THYSSENKRUPP ELEVATOR,1164040.12,25
TIREE,241500.00,2
TITAN AEX,28000000.00,2
TLD CANADA,1240382.92,2
TOP ACES,471978846.00,366
TOROMONT,67475452.36,35
TORONTO INDUSTRIES,11368805.96,1
TORONTO METROPOLITAN UNIVERSITY,853132.60,3
TOSHIBA CANADA,3900260.17,20
TOTEM OFFISOURCE,179661.81,1
TOURE CLEANING SERVICES,8142127.09,5
TOYOTA,992839.54,112
TPG TECHNOLOGY CONSULTANTS,10665755.59,5
TRAINOR MECHANICAL CONTRACTORS,1693000.00,10
TRANE CANADA,563046.90,9
TRANSPOLAR TECHNOLOGY,40780.71,9
TRANSWEST AIR,7836833.00,4
TREMCAR INDUSTRIES,3051000.00,7
TRI STAR INDUSTRIES,4755565.76,3
TRI WAVE CONSTRUCTION,356713.77,20
TRM TECHNOLOGIES,4976943.75,12
TROY LIFE FIRE SAFETY,6250000.00,9
TRUMPF,23000.00,1
TSI,110215.88,6
TULMAR SAFETY SYSTEMS,3051000.00,17
TUNDRA TECHNICAL SOLUTIONS,455455.77,11
TURNER TOWNSEND,113000.00,3
TURTLE ISLAND STAFFING,317555.04,41
TYCO INTEGRATED FIRE SECURITY,3062005.54,37
TYR TACTICAL,1064618.84,25
ULTIMATE CONSTRUCTION,2520531.23,6
ULTRA ELECTRONICS,9807610.53,14
UNCHARTED SOFTWARE,2641145.09,3
UNIFORM WORKS,23346.67,3
UNISOURCE,8812520.27,381
UNISYS CANADA,967600.59,1
UNITED RENTALS,595000.00,197
UNITED STATES DEPARTMENT OF DEFENCE,24933672.12,3
UNITED STATES DEPARTMENT OF THE AIR FORCE,68204305.00,41
UNITED STATES DEPARTMENT OF THE ARMY,13716255.00,24
UNITED STATES DEPARTMENT OF THE NAVY,70389300.00,57
UNIVERSAL HELICOPTERS,49454.34,10
UNIVERSAL WEATHER AND AVIATION,246125.94,36
UNIVERSITE DE MONTREAL,155000.00,5
UNIVERSITE DE SHERBROOKE,620000.00,7
UNIVERSITE LAVAL,286412.78,12
UNIVERSITE SAINTE ANNE,61824.00,5
UNIVERSITY OF ALBERTA,290000.00,6
UNIVERSITY OF BRITISH COLUMBIA,977500.00,17
UNIVERSITY OF CALGARY,967022.87,14
UNIVERSITY OF GUELPH,152100.00,3
UNIVERSITY OF MANITOBA,430448.66,5
UNIVERSITY OF NEW BRUNSWICK,1754350.00,6
UNIVERSITY OF OTTAWA,977500.00,33
UNIVERSITY OF SASKATCHEWAN,382954.72,5
UNIVERSITY OF TORONTO,14999689.90,21
UNIVERSITY OF WATERLOO,2703759.48,16
UNIVERSITY OF WESTERN ONTARIO,862500.00,7
UQSUQ,135895.28,266
URLACHER CONSTRUCTION,320242.50,88
URTHECAST,1128970.57,4
UTILITIES KINGSTON,9977192.95,56
UVAIR,174221.27,125
VAISALA CANADA,2276950.00,9
VALARD CONSTRUCTION,2094107.06,5
VALCOM CONSULTING,4673097.00,180
VALLEY REFRIGERATION,1545788.34,24
VALUE MASTER BUILDERS,2196312.00,80
VAN HORNE CONSTRUCTION,10551267.00,2
VAN KAPPEL INTERNATIONAL,8233701.00,19
VANCOUVER SHIPYARDS,2447262476.00,7
VCI CONTROLS,1725020.05,19
VECTOR AEROSPACE,200000.00,1
VENASSE BUILDING GROUP,1600987.29,8
VERITAAQ TECHNOLOGY HOUSE,10411543.56,8
VERSATERM,1663841.38,5
VERSATIL BPI,115949.19,1
VFA CANADA,1204242.00,4
VIDCRUITER,36386.00,3
VISIONTEC,1421133.20,6
VMWARE,9293435.72,96
VWR INTERNATIONAL,68523.21,17
W S MORGAN CONSTRUCTION,383209.60,3
W8482 217946 001 DMARP4,3333739.82,1
WADE GENERAL CONTRACTING,2035600.00,20
WAHL CONSTRUCTION,1582985.64,83
WAJAX,19400000.00,107
WARTSILA,26450000.00,64
WASTE CONNECTIONS OF CANADA,2997851.10,70
WASTE MANAGEMENT OF CANADA,735522.00,96
WASTE PROCESSING TECHNOLOGIES,5233650.00,1
WATERS,752495.63,1
WATERSHED INFORMATION TECHNOLOGY,330855.53,8
WATERWORKS CONSTRUCTION,396750.00,40
WEATHERHAVEN CANADA,153777223.75,34
WEBSTER ELECTRIC,487023.20,51
WEIR CANADA,530460000.00,1
WESCO DISTRIBUTION CANADA,149760.00,92
WESTBURY NATIONAL SHOW SYSTEMS,1265348.00,42
WESTCO CONSTRUCTION,626688.30,2
WESTERN MATERIALS HANDLING EQUIPMENT,2279382.00,28
WESTERN MECHANICAL ELECTRICAL,775206.72,3
WESTERN PETROLEUM,114533.73,4
WESTJET,725380.58,1
WESTOWER COMMUNICATIONS,535338.68,1
WILCO CONTRACTORS SOUTHWEST,1082146.47,3
WILDROSE DISPOSAL,1464835.00,26
WILLS TRANSFER,95532.78,3
WINMAR,1204669.72,9
WOLTERS KLUWER,37500.00,6
WOOD,120980.56,23
WOOD ENVIRONMENT INFRASTRUCTURE,385151.42,12
WOODWARD AVIATION,68992.19,95
WOODWARD S OIL,598588.70,70
WORKDYNAMICS TECHNOLOGIES,2558972.89,1
WORLD FUEL SERVICES,2386342.00,2758
WORLDREACH SOFTWARE,224220.25,1
WORLEY PARSONS,31500.00,1
WSP,1767440.85,45
XEROX,1725386.78,303
XTECH EXPLOSIVE DECONTAMINATION,6195998.63,3
XTRACT TECHNOLOGIES,1149931.00,14
YAMAHA MOTORS CANADA,85489.53,5
YAMNUSKA,3200292.92,12
YELLOWHEAD HELICOPTERS,25491.07,11
ZAYO CANADA,34266.39,2
ZENITH PAVING,2858374.71,3
ZERNAM ENTERPRISE,401008.35,11
ZODIAC HURRICANE TECHNOLOGIES,37226379.04,10
ZOLL MEDICAL CANADA,2167344.66,14
ZYCOM,2027844.89,30
