d_vendor_name,mean_amendment_increase_percentage,n
WAHL CONSTRUCTION,0.6678,16
WAJAX,-0.0193,7
WARTSILA,0.1333,4
WASTE CONNECTIONS OF CANADA,-0.0613,12
WASTE MANAGEMENT OF CANADA,-0.005,13
WASTE PROCESSING TECHNOLOGIES,0,1
WATERWORKS CONSTRUCTION,0.0526,4
WEBSTER ELECTRIC,0.0697,12
WEIR CANADA,2.8862,1
WESCO DISTRIBUTION CANADA,0,2
WESTBURY NATIONAL SHOW SYSTEMS,0.0095,5
WESTERN MATERIALS HANDLING EQUIPMENT,0.9193,4
WESTERN MECHANICAL ELECTRICAL,0,1
WESTOWER COMMUNICATIONS,0.0832,1
WILDROSE DISPOSAL,1.4648,3
WINMAR,0.1138,3
WOOD,0.5026,4
WOOD ENVIRONMENT INFRASTRUCTURE,0.4299,4
WORLD FUEL SERVICES,-0.1202,20
WORLEY PARSONS,-0.5385,1
WSP,6.7161,10
XEROX,0.2079,45
XTECH EXPLOSIVE DECONTAMINATION,1.316,2
XTRACT TECHNOLOGIES,0.15,1
YAMNUSKA,1.8095,3
YELLOWHEAD HELICOPTERS,0.0124,4
ZERNAM ENTERPRISE,0.7746,2
ZODIAC HURRICANE TECHNOLOGIES,-0.3413,2
ZOLL MEDICAL CANADA,0.751,2
ZYCOM,0.0035,4
