category,d_description_en
10_office_management,Information technology and telecommunications consultants
10_office_management,"Printed matter, including books, newspapers, pictu"
10_office_management,Digital photocopiers
10_office_management,Educational services
10_office_management,Photocopying machine
10_office_management,Informatics professional
10_office_management,Util services waste disposal
10_office_management,Office stationery and supplies
10_office_management,"Accommodation and food services, n.e.s."
10_office_management,Bakery and cereal products
10_office_management,Bakery and cereal products (replaced by gsin n8920z)
10_office_management,Beverage concentrate with rental dispensers
10_office_management,"Beverages, non-alcoholic (replaced by gsin n8960z)"
10_office_management,Bread and rolls
10_office_management,Bread and rolls (replaced by gsin n8920zj)
10_office_management,Coffee
10_office_management,"Coffee, tea and cocoa"
10_office_management,Dry cleaning services
10_office_management,"Fish, food"
10_office_management,Flat printing
10_office_management,Flat printing / loose leaf printing
10_office_management,"Frozen products, various"
10_office_management,Fruits and vegetables
10_office_management,"Juice, concentrate"
10_office_management,Laundry and dry cleaning services
10_office_management,Laundry services
10_office_management,Linen supply service
10_office_management,"Lunches, boxed (replaced by gsin n8970zb)"
10_office_management,Meals
10_office_management,Miscellaneous office machines maintenance only
10_office_management,Office and stationers paper supplies
10_office_management,Office devices and accessories - lease
10_office_management,Offset printing and variable imaging
10_office_management,Other business services - outside government paper shredding service
10_office_management,Photographic developing and finishing equipment
10_office_management,Photographic equipment and accessories
10_office_management,Photographic equipment and accessories - repair and overhaul
10_office_management,Photographic supplies
10_office_management,"Plotters, on line"
10_office_management,Printing of envelopes
10_office_management,"Printing, duplicating and bookbinding equipment"
10_office_management,"Printing, duplicating and bookbinding equipment - photocopiers"
10_office_management,"Printing, duplicating and bookbinding equipment maintenance only"
10_office_management,"Printing, duplicating and bookbinding equipment, leasing"
10_office_management,Publishing services
10_office_management,Publishing support services
10_office_management,Recreational and gymnastic equipment
10_office_management,Recreational and gymnastic equipment - rental
10_office_management,Recreational and gymnastic equipment - repair
10_office_management,"Rental machinery, office furniture/fixtures & other"
10_office_management,"Rentl of mach, office furnt & fixtrs & oth eqpmt"
10_office_management,Retrofit boardroom
10_office_management,Services of individuals - cook (chef)
10_office_management,Soft drinks
10_office_management,Tableware
10_office_management,"Toner, cartridge, virgin, for various types of printers and facsimile machines"
10_office_management,"Water, potable, bulk (replaced by gsin n8960zf)"
11_defence,Radar equipment and parts
11_defence,Road motor vehicles-military
11_defence,Road motor vehicles - military
11_defence,"Trucks and truck tractors, wheeled - repair"
11_defence,Studs
11_defence,Ground effect vehicles
11_defence,"Vehicular components, miscellaneous"
11_defence,"Radar equipment, except airborne"
11_defence,"Guns, through 30mm - repair"
11_defence,"Combat, assault, and tactical vehicles, tracked"
11_defence,Motor vehicle maintenance and repair shop specialized equipment
11_defence,Tanks and tracked self-propelled weapons and vehicles w/wo amphibian capabilities
11_defence,Miscellaneous hardware - repair
11_defence,"Buses, repairs and service"
11_defence,Power and hand pumps
11_defence,"Engines, gasoline (except aircraft, marine and outboard motors)"
11_defence,"Shears, hand, workshop tools"
11_defence,Acoustical analysis/technology (r&d)
11_defence,Airborne combat support training - fighter and trainer aircraft only
11_defence,Airborne satellite communication system
11_defence,Aircraft (military) navigational instruments - repair and overhaul
11_defence,"Aircraft air conditioning, heating and pressurizing equipment"
11_defence,Aircraft and glider dry leases
11_defence,"Aircraft arresting barrier and barricade equipment, n.e.s."
11_defence,Aircraft ground servicing equipment
11_defence,"Aircraft hydraulic, vacuum and de-icing system components"
11_defence,Aircraft landing equipment - repair
11_defence,Aircraft landing gear components
11_defence,Aircraft maintenance and repair shop specialized equipment
11_defence,Aircraft propellers and components
11_defence,Aircraft wheel and brake systems
11_defence,Aircraft wheel and brake systems (civilian) - repair
11_defence,"Aircraft, fixed wing"
11_defence,"Aircraft, fixed wing - (military) repair and overhaul"
11_defence,"Aircraft, fixed wing - repair and overhaul (military)"
11_defence,"Aircraft, rotary wing (military) - repair and overhaul"
11_defence,Airfield specialized trucks and trailers
11_defence,Airframe structural components
11_defence,Airframe structural components - production design
11_defence,Ammunition (r&d)
11_defence,"Ammunition and nuclear ordnance boxes, packages and special containers"
11_defence,"Ammunition, 75mm through 125mm"
11_defence,"Ammunition, over 125mm"
11_defence,"Ammunition, over 30mm up to 75mm"
11_defence,"Ammunition, through 30mm"
11_defence,Amplifiers
11_defence,"Amplifiers, radio frequency"
11_defence,"Antenna, systems - lf"
11_defence,"Antennas, waveguides and related equipment"
11_defence,"Antennas, waveguides and related equipment - repair and overhaul"
11_defence,Armament training devices
11_defence,Armament training devices - repair
11_defence,"Armament training devices, electronic, accessories and spares"
11_defence,"Armament training devices, refer to parent weapon system"
11_defence,"Armor, personal"
11_defence,Bombs
11_defence,Bulk explosives
11_defence,"Cameras and accessories, still picture, aircraft"
11_defence,Camouflage and deception equipment
11_defence,Cartridge and propellant actuated devices and components
11_defence,"Centrifugals, separators, and pressure and vacuum filters"
11_defence,"Centrifuge accessories (includes rotors, shields, tubes)"
11_defence,Combat ships and landing vessels
11_defence,"Combat, assault and tactical vehicles, wheeled"
11_defence,"Combat, assault, and tactical vehicles, wheeled - repair"
11_defence,Conveyors - repair and overhaul
11_defence,"Conveyors, towlines and monorail"
11_defence,Data recorders (airborne)
11_defence,Deck machinery
11_defence,Decontaminating and impregnating equipment
11_defence,Degaussing and minesweeping equipment
11_defence,"Electronic countermeasures, counter-countermeasures and quick reaction capability equipment"
11_defence,Electronic modules
11_defence,Electronic specialties
11_defence,"Engine fuel system components, aircraft (military) - repair and overhaul"
11_defence,"Engine fuel system components, aircraft and missile prime movers"
11_defence,"Engineering and technical services - aerospace related, military"
11_defence,Engineering and technical services - ammunition related
11_defence,Engineering and technical services - combat vehicles related
11_defence,Engineering and technical services - weapon systems related
11_defence,Equipment & materials testing
11_defence,Equipment and materials testing
11_defence,Explosive ordnance disposal
11_defence,Explosive ordnance disposal services
11_defence,"Explosive ordnance disposal tools, surface"
11_defence,Fire control directors
11_defence,"Fire control maintenance and repair shop specialized equipment, unless installed in a vehicle, aircraft, or ship"
11_defence,"Fire control radar equipment, except airborne"
11_defence,"Fire control systems, complete"
11_defence,Firearm training
11_defence,Flight instruments
11_defence,Flying training
11_defence,"Gas turbines and jet engines, aircraft, prime moving and components"
11_defence,Ground effect vehicles (civilian) - repair and overhaul
11_defence,Ground effect vehicles (military) - repair and overhaul
11_defence,Guided missiles
11_defence,"Guns, 75 mm through 125 mm, unless installed in a vehicle, aircraft, ship"
11_defence,"Guns, through 30 mm, unless installed in a vehicle, aircraft, ship"
11_defence,Hazard-detecting instruments and apparatus
11_defence,Hazard-detecting instruments and apparatus - repair and overhaul
11_defence,"Helicopter rotor blades, drive, mechanisms and components"
11_defence,Helicopters (military) repair and overhaul
11_defence,"Launchers, grenade, rocket and pyrotechnic"
11_defence,"Launchers, torpedo and depth charges, unless installed in a vehicle, aircraft, ship"
11_defence,Logistics support for u.s. Manufactured military equipment currently operated by canadian armed forces (colog)
11_defence,Marine architect and engineering services
11_defence,Marine consulting
11_defence,Marine hardware and hull items
11_defence,Marine hardware and hull items - repair
11_defence,Marine life saving and diving equipment
11_defence,Marine radar equipment
11_defence,Marine systems and engineering
11_defence,Materials handling equipment/nonself -propelled
11_defence,Miscellaneous aircraft accessories and components
11_defence,Miscellaneous aircraft accessories and components (miliatry) - repair and overhaul
11_defence,Miscellaneous ammunition
11_defence,"Miscellaneous engine accessories, aircraft (miliatry) - repair and overhaul"
11_defence,Miscellaneous weapons
11_defence,Naval architecture
11_defence,Naval architecture - consulting services
11_defence,Naval architecture - design services
11_defence,Navigational instruments
11_defence,"Navigational instruments, airborne"
11_defence,"Night vision equipment, emitted and reflected radiation"
11_defence,Operation training devices
11_defence,"Operation training devices, electronic, simulators, marine"
11_defence,Optical sighting and ranging equipment
11_defence,Other defense (r&d)
11_defence,Parachute operations
11_defence,Parachutes and associated equipment
11_defence,"Parachutes, aerial pick-up delivery, recovery systems, and cargo tie down equipment"
11_defence,"Pilot training services, aircraft"
11_defence,Pyrotechnics
11_defence,Radar defence systems (r&d)
11_defence,"Radar equipment (military), except airborne - repair and overhaul"
11_defence,"Radar equipment, airborne"
11_defence,"Radar equipment, except airborne, production design"
11_defence,Radar technology (r&d)
11_defence,"Radio and television communications data and telemetry equipment, airborne"
11_defence,"Radio and television communications equipment, airborne"
11_defence,"Radio and television communications equipment, except airborne"
11_defence,"Radio navigation equipment, airborne"
11_defence,"Radio navigation equipment, except airborne"
11_defence,Radio television services
11_defence,"Radio transceivers and transmitter-receiver, hf (except airborne)"
11_defence,Ranges
11_defence,Refrigeration systems and components (marine)
11_defence,"Rigid wall shelters, portable (military application)"
11_defence,"Rockets, rocket ammunition and rocket components"
11_defence,Ship and boat propulsion components
11_defence,Ship and marine
11_defence,Ship and marine miscellaneous equipment - repair
11_defence,Ship mooring services
11_defence,Shipboard alarm and signal systems
11_defence,Ships and vessels - non destructive testing
11_defence,"Ships and vessels - sand blasting, repainting, and refinishing"
11_defence,"Ships and vessels deck coverings - repair, overhaul, and maintenance"
11_defence,Small craft
11_defence,Specialized ammunition handling and servicing equipment
11_defence,Submarines
11_defence,"Tires and tubes, pneumatic, aircraft"
11_defence,"Tractors, wheeled, aircraft towing"
11_defence,Underwater sound equipment
11_defence,Underwater sound equipment - repair
11_defence,Unmanned aircraft
11_defence,"Vessels, miscellaneous"
11_defence,"Weapons maintenance and repair shop specialized equipment, excludes airborne weapons maintenance and repair shop equipment"
11_defence,Weapons systems specific vehicular accessories
2_professional_services,Legal services
2_professional_services,Communications professional services not elsewhere specified
2_professional_services,Public relations services
2_professional_services,Communications research services
2_professional_services,0494 - translation services
2_professional_services,0481 - storage/warehousing
2_professional_services,0351 - communication prof. Services
2_professional_services,4073 other business services
2_professional_services,Other professional servs not elsewh.specified
2_professional_services,Comm. prof. services not elsewhere specified
2_professional_services,Communications professional services not elsewhere specified - french proofreading services
2_professional_services,Communications professional services not elsewhere specified - french comparative editing services
2_professional_services,Communications professional services not elsewhere specified - english editing services
2_professional_services,Research contracts
2_professional_services,Management consulting - media relations training
2_professional_services,Other business services not elsewhere specified - warehousing services
2_professional_services,Management consulting
2_professional_services,Scientific consultants (specify)
2_professional_services,Accounting and audit services
2_professional_services,Management consulting services
2_professional_services,Comm. Prof. Services
2_professional_services,Other business services
2_professional_services,"Management consulting , except other depts or prog"
2_professional_services,0230 voice communications services (includes analog and/or digital voice communication services)
2_professional_services,Scientific services
2_professional_services,Advertising services
2_professional_services,Translation services
2_professional_services,Acquisition and contract charges
2_professional_services,Services related to the assessment of potentially contaminated sites
2_professional_services,Communications professional services
2_professional_services,Portrait painting
2_professional_services,Communications professional services not elsewhere
2_professional_services,Exposition services
2_professional_services,0813 - temporary help services
2_professional_services,Other business services - outside government
2_professional_services,"Management consulting, except other depts."
2_professional_services,"Communications professional services not elsewhere specified services including public affairs, technical writing, speech writing services, text editing, design of graphics, art work, media relations, media monitoring, etc."
2_professional_services,Translation services services for language translation.
2_professional_services,"Other business services not elsewhere specified business services which cannot be classified under any other object code under the object other services in standard object 04. It includes forestry, agricultural, and surveying and mapping services not classified elsewhere, and services such as court reporting, library, cultural and photography services, storage and warehousing, etc. It excludes printing services as well as printed matter or publications. Notes: 1. Printing or publishing services will be classified in standard object 03, while those for printed matter or publications will be classified in standard object 07."
2_professional_services,"Voice communications services voice communications services charged by service providers (including common carriers), such as local telephone service, long-distance service, cellular services, teleconferences, wide area telephone service (wats) or 800 services, telephone directories, local circuits, dedicated intercity circuits and credit card services. It includes line, equipment and usage charges directly associated with providing these services, as well as installation and relocation charges, but excludes equipment purchased or rented from a third party. It includes enhanced voice services such as voice messaging service. Notes: 1. Charges for smart phone (e.g. Blackberry) usage that combine voice and data services are to be classified under object 0231."
2_professional_services,Other professional services not elsewhere specified all other professional services that are not classified under objects 0351 or 0401 to 0494 inclusive.
2_professional_services,Interpretation services
2_professional_services,Banking services
2_professional_services,Personal services
2_professional_services,Purchase of services for development assistance
2_professional_services,Voice communications services
2_professional_services,Other professional services not otherwise specified
2_professional_services,Other professional services not elsewhere specified - technical advisor
2_professional_services,Other professional services not elsewhere specified - technical architect
2_professional_services,Communications professional services not elsewhere specified - work description drafting services
2_professional_services,Other professional services not elsewhere specified - english coaching services
2_professional_services,Temporary help services - project administration planning
2_professional_services,Management consulting - senior business analyst
2_professional_services,Other professional services not elsewhere specified - coaching services
2_professional_services,Other professional services not elsewhere specified - senior business analyst_x000d_ information architect
2_professional_services,Financial management services - data storage services
2_professional_services,Other professional services not elsewhere specified - first aid cpr-aed training sessions
2_professional_services,Other business services not elsewhere specified - warehousing
2_professional_services,Communications professional services not elsewhere specified - communication specialist
2_professional_services,Accounting and audit services - audit committee
2_professional_services,Other professional services not elsewhere specified - field personnel job descriptions
2_professional_services,Other professional services not elsewhere specified - focus group consultant
2_professional_services,Other professional services not elsewhere specified - insurance services
2_professional_services,Other professional services not elsewhere specified - secondary-level educational expertise
2_professional_services,License and maintenance fees for application software
2_professional_services,Other business services not elsewhere specified.
2_professional_services,Feasibility study on the egg industry supply chain
2_professional_services,Other professional services not otherwise specifie
2_professional_services,Accounting and audit services (purchased from outs
2_professional_services,Other professional serv. Not elsewhere specified
2_professional_services,Collection agency fees and charges
2_professional_services,"3053 – communications services including design of graphics, art work, media relations"
2_professional_services,Other professional services not elswhere specified
2_professional_services,Voice communications services (includes analog and/or digital voice communication services)
2_professional_services,0499 other professional services not elsewhere specified
2_professional_services,Transl. Serv. - operating expenses
2_professional_services,Electronic map production using existing and new data.
2_professional_services,Editing services
2_professional_services,Media control systems
2_professional_services,0499 other professional servcs - work description writer
2_professional_services,0859 other business services - informatics training
2_professional_services,0499 other professional servcs - security equipment
2_professional_services,0859 other business services - transcription services
2_professional_services,0859 other business services - technical writer
2_professional_services,0859 other business services - temporary help services
2_professional_services,0499 other professional servcs - organizational design consultant
2_professional_services,0859 other business services - consultant
2_professional_services,0859 other business services - graphic design
2_professional_services,0301 advertising services
2_professional_services,0859 other business services - calligraphy service
2_professional_services,Professional services
2_professional_services,Communication services
2_professional_services,Graphic and exhibit design
2_professional_services,To provide legal opinions to the rules committee
2_professional_services,Translation & revision services
2_professional_services,Miscellaneous
2_professional_services,Other professional service - not elsewhere specified
2_professional_services,0351 - communication professional services
2_professional_services,0311 - publishing services
2_professional_services,0491 - management consulting
2_professional_services,Other professional services not elsewhere specifie
2_professional_services,Installation and modifications to workstations
2_professional_services,Management of logistics - ucenet conference
2_professional_services,Glass or glass products
2_professional_services,Services de conseillers en gestion - directeur de projet
2_professional_services,Services d’approvisionnement - spécialité en approvisionnement pour effectuer des évaluations
2_professional_services,Autres services professionnels non précisés ailleurs - ingénieur de transformation de processus
2_professional_services,Services de conseillers en gestion - coorganisateur d'une séance de discussion
2_professional_services,Services de comptabilité et de vérification - vérification du processus de retour des candidats
2_professional_services,Services de conseillers en gestion - coordonateur et gestionnaire d'événement
2_professional_services,Services d'aide temporaire - adjoint exécutif
2_professional_services,Autres services professionnels non précisés ailleurs - services de conseils pour un centre opérationnel de sécurité informatique
2_professional_services,Autres services professionnels non précisés ailleurs - services en matière de modes alternatifs de résolution des conflits
2_professional_services,Research contracts (specify)
2_professional_services,Relocation services
2_professional_services,Accounting & audit services
2_professional_services,0499 - other professional services not elsewhere specified
2_professional_services,0341 - communication research services
2_professional_services,Conference fees
2_professional_services,Other prof. Services
2_professional_services,0410 legal services
2_professional_services,Transl. Serv. / Operating expenses
2_professional_services,Training consultants
2_professional_services,Other equipment and parts
2_professional_services,Speech writing services
2_professional_services,0859 other business services - editing
2_professional_services,0859 other business services - physician
2_professional_services,0859 other business services - security equipment and install
2_professional_services,0491 management consulting - consultant
2_professional_services,0813 temp help services
2_professional_services,0499 other professional servcs - consultant
2_professional_services,0859 other business services - outreach
2_professional_services,0859 other business services - public opinion research
2_professional_services,0859 other business services - conference pl anning
2_professional_services,0859 other business services - video production
2_professional_services,0859 other business services - printing
2_professional_services,0859 other business services
2_professional_services,All other professional services that are not classified under objects 0351 or 0401 to 0494 inclusive.
2_professional_services,"Temporary help services acquired for general office help, secretarial, stenographic, technical or other temporary help, etc."
2_professional_services,Financial management services
2_professional_services,Auditing services
2_professional_services,Translation/revision services
2_professional_services,Court usher services - vancouver
2_professional_services,Data entry person - senior - ths
2_professional_services,Internal audit - pass
2_professional_services,Translation services - various internal and external documents
2_professional_services,Operation of the national do not call list
2_professional_services,Digital client services strategy
2_professional_services,Por - focus groups and choicebook on the future of av programming
2_professional_services,Media monitoring - amendment to increase the value
2_professional_services,Analysis of economic shortfall/surplus from tv production
2_professional_services,Information products - media & entertainment module
2_professional_services,Crtc wide license to access the kagan information platform.
2_professional_services,Communications services
2_professional_services,Management consulting - business process consultant
2_professional_services,Other professional services not elsewhere specified - performance management consultant
2_professional_services,Other professional services not elsewhere specified - procurement advisor
2_professional_services,Other professional services not elsewhere specified - professional coaching services
2_professional_services,Communications professional services not elsewhere specified - english proofreading services
2_professional_services,Other business services not elsewhere specified - catering services
2_professional_services,Temporary help services - advanced project administrator
2_professional_services,Other professional services not elsewhere specified - facilitation services
2_professional_services,Management consulting - project review advisory
2_professional_services,Other professional services not elsewhere specified - business analysts
2_professional_services,Other professional services not elsewhere specified - security operation specialist
2_professional_services,Accounting and audit services - internal audit services
2_professional_services,Accounting and audit services - audit of internal processes
2_professional_services,Management consulting - contract management services
2_professional_services,Communications professional services not elsewhere specified - client journey mapping
2_professional_services,Advertisement for governor in council positions with fpcc
2_professional_services,Communication research services
2_professional_services,Acquisition of other machinery and parts
2_professional_services,Accounting and audit services (internal audit services)
2_professional_services,Public relation services
2_professional_services,Promotional items
2_professional_services,0491 management consulting
2_professional_services,Other professional services not elsewhere specified. Coaching and team building
2_professional_services,Other business
2_professional_services,Diesel fuel
2_professional_services,Road motor vehicles
2_professional_services,Lawyer service
2_professional_services,0859 other business services - career transition services
2_professional_services,0859 other business services - communications consultants
2_professional_services,0859 other business services- investigative services
2_professional_services,0499 other professional servcs - temporary help services
2_professional_services,0859 other business services - temporary help
2_professional_services,0859 other business services - audiovisual production
2_professional_services,"Accounting and audit services including financial administration and bookkeeping services, financial control, accounting and audit services, budget control systems, tax studies and other financial and related services. Note: this object should be used for financial and accounting operations and object 0491 should be used for consulting work where a consultant review processes in place and make recommendations."
2_professional_services,"Business services which cannot be classified under any other object under the object other services in standard object 04. It includes forestry, agricultural, and surveying and mapping services not classified elsewhere, and services such as court reporting, library, culutural and photography services, storage and warehousing, etc. It excludes printing services as well as printed matter or publications. Notes: printing or publishing services will be classified in standard object 03, while those for printed matter or publications will be classified in standard object 07."
2_professional_services,Project management training
2_professional_services,Inuktitut language training - nunavut
2_professional_services,Shredding services
2_professional_services,Professional services for a strategic advisor
2_professional_services,Promotional safety and damage prevention items
2_professional_services,Audience segmentation market research report
2_professional_services,Data visualization initiative coordinator
2_professional_services,Opr construction safety manual
2_professional_services,0813 temporary help services
2_professional_services,0401 accounting and audit services
2_professional_services,0492 research contracts
2_professional_services,Information/records management specialist
2_professional_services,Training
2_professional_services,"Ths - economics, senior level"
2_professional_services,"Ths - program and advisory services, statistics, senior level"
2_professional_services,Creation of an asset safeguarding policy
2_professional_services,Advertising campaign - fraud
2_professional_services,Database administrator services
2_professional_services,Production of interactive graphics for a digital report
2_professional_services,Ex work description writing
2_professional_services,Consultant services for telecommunications and cybercrime
2_professional_services,Acquisition of camera and accessories
2_professional_services,Provision of a report and presentation detailing canadian's consumption of audio & video content on a variety of platforms in canada
2_professional_services,0499 – other professional services not elsewhere specified - facilitation services
2_professional_services,0341 – communications research services
2_professional_services,0351 – communications professional services not elsewhere specified - french comparative editing services
2_professional_services,0492 – research contracts
2_professional_services,0491 – management consulting - coaching services
2_professional_services,0491 – management consulting - business process consultant
2_professional_services,0351 – communications professional services not elsewhere specified - english editing services
2_professional_services,0813 – temporary help services - advanced project administrator
2_professional_services,0813 – temporary help services - wireless telecommunication analyst
2_professional_services,0499 – other professional services not elsewhere specified - insurance services
2_professional_services,0499 – other professional services not elsewhere specified - advisory group on disability issues
2_professional_services,0301 – advertising services
2_professional_services,0491 – management consulting - consultant for workshop management
2_professional_services,0499 – other professional services not elsewhere specified - senior procurement specialist
2_professional_services,0499 – other professional services not elsewhere specified - independent reviewer services
2_professional_services,0499 – other professional services not elsewhere specified - it facilitator
2_professional_services,0859 – other business services not elsewhere specified - catering services
2_professional_services,Other prof serv not othrws spi
2_professional_services,Other professional services not elsewhere specified - change management consultant - workplace renewal
2_professional_services,Communications professional services - graphic design services
2_professional_services,Voice communication services
2_professional_services,Communication professional services
2_professional_services,Professional services not elsewhere specified
2_professional_services,Research contract
2_professional_services,Management consulting - confederation bridge
2_professional_services,Sas compatible with window 10 pro services
2_professional_services,0859 other business services - security equipment
2_professional_services,0859 other business services - organizational review
2_professional_services,0859 other business services - investigative services
2_professional_services,0499 other professional servcs - temporary help
2_professional_services,0859 other business services - communication services
2_professional_services,0859 other business services - conference planning
2_professional_services,0499 other professional servcs - language training
2_professional_services,0499 other professional servcs - office furniture
2_professional_services,Acquistion and contract charges
2_professional_services,Court usher - vancouver
2_professional_services,Court registrar serivces
2_professional_services,Technical architect
2_professional_services,Tbips - programmer/analyst - intermediate - amd 002
2_professional_services,Chief audit executive - pass-sa - amd 001
2_professional_services,Pass-sa internal audit - amd 002
2_professional_services,Proservices - programmer analyst - amd 001
2_professional_services,Proservices - programmer analyst - amd 002
2_professional_services,Pses results analysis and action plan - amd 001
2_professional_services,Checkpoint firewall installation and configuration - proservices - amd 002
2_professional_services,Assistance to immigrants and refugees
2_professional_services,0481 - warehousing storage
2_professional_services,Speech writing services for commission's executives
2_professional_services,Translation and revision services
2_professional_services,Services for drafting speaking notes for various crtc executives
2_professional_services,One-on-one executive coaching
2_professional_services,Review and development of executive job descriptions
2_professional_services,Services for interior moves and station reconfigurations
2_professional_services,Management consulting - senior management advisor
2_professional_services,Communications professional services not elsewhere specified - work description writing services
2_professional_services,Communications professional services not elsewhere specified - english writing services
2_professional_services,Accounting and audit services - it security audit
2_professional_services,Accounting and audit services - internal controls audit
2_professional_services,Acquisition services - intermediate procurement specialist
2_professional_services,Management consulting - indigenous education expertise
2_professional_services,Management consulting - web accessibility evaluator
2_professional_services,Other professional services not elsewhere specified - business analyst
2_professional_services,Other professional services not elsewhere specified - investigation services
2_professional_services,Other professional services not elsewhere specified - survey result analyst
2_professional_services,Other professional services not elsewhere specified - graphic design services
2_professional_services,Other professional services not elsewhere specified - team building and individual coaching services
2_professional_services,Temporary help services - advanced risk management consultants
2_professional_services,Other business services not elsewhere specified - asset management services
2_professional_services,Consultation services and governance training
2_professional_services,0351 - communications professional services not elsewhere specified
2_professional_services,Other professional services - fingerprinting services
2_professional_services,Other professional services - credit monitoring
2_professional_services,Other professional services - investigative services
2_professional_services,Other professional services - consultant
2_professional_services,Other business services - equipment installation
2_professional_services,Other business services - consultant
2_professional_services,Other professional services - language training
2_professional_services,Other professional servcs - language training
2_professional_services,"Management consulting, except other depts or programs"
2_professional_services,Provision of consulting services
2_professional_services,Shredding services - pink road
2_professional_services,Subject matter expert
2_professional_services,Court usher - montreal
2_professional_services,Court usher - calgary
2_professional_services,Translation/revision services - call-up
2_professional_services,Occupational health and safety training services
2_professional_services,Shredding - toronto - file purge
2_professional_services,Annual report
2_professional_services,Guarding minds at work
2_professional_services,"Court usher services, toronto"
2_professional_services,"Court usher services, montreal"
2_professional_services,Audio technica pro42 microphones
2_professional_services,Newspaper delivery renewal
2_professional_services,2017-2018 car fleet insurance
2_professional_services,Court usher - toronto
2_professional_services,Data entry - senior
2_professional_services,Data centre services
2_professional_services,The wire report is the leading news service covering canada's rapidly converging telecom and media sectors.
2_professional_services,Advertising - digital advertising campaign on the wireless code
2_professional_services,Consultation on canada's large telecommunications carriers' sales pratices - online survey and focus groups.
2_professional_services,"Expositions, design and fabrication services"
2_professional_services,Safety training courses
2_professional_services,Acquisitions services
2_professional_services,Personal services - job description writers
2_professional_services,Other professional services not elsewhere specified - online recruitment services
2_professional_services,Other professional services not elsewhere specified - it technical writer
2_professional_services,Management consulting - senior strategic business consultant
2_professional_services,Management consulting - expert advice services on literacy
2_professional_services,Temporary help services - intermediate strategist
2_professional_services,Other professional services not elsewhere specified - survey analyst
2_professional_services,Temporary help services - plain language consultant
2_professional_services,Management consulting - information retrieval services
2_professional_services,Other professional services not elsewhere specified - writing and revision of work description
2_professional_services,Other professional services not elsewhere specified - strategic analyst
2_professional_services,Other professional services not elsewhere specified - writing and editing services
2_professional_services,Management consulting - literacy audit services
2_professional_services,Temporary help services - project administrator
2_professional_services,Management consulting - project manager
2_professional_services,Other professional services not elsewhere specified - financial system analyst
2_professional_services,Human resources consultant
2_professional_services,Consultant for fpcc strategic planning 2018-2019
2_professional_services,0859 other business services not elsewhere specified
2_professional_services,0401 - accounting and audit services
2_professional_services,Other professionnal services not elsewhere specified
2_professional_services,0499 other professional servcs
2_professional_services,0491 other professional servcs- consultant
2_professional_services,0499 other professional servcs - learninmg program
2_professional_services,0859 other business services - training
2_professional_services,Other professional services not elsewhere specified (specify
2_professional_services,Inventory taking methodology
2_professional_services,Court usher - st john's
2_professional_services,Court usher - winnipeg
2_professional_services,Research and development - book for federal court's 50th
2_professional_services,Hr assistant - junior
2_professional_services,Knowledge management consultant - proservices
2_professional_services,Optical character recognition (ocr) hyperlinks
2_professional_services,Proservices - business process re-engineering consultant
2_professional_services,Learning advisor
2_professional_services,Simulated phishing program - proservices
2_professional_services,Court reporting - saskatchewan - amd 001
2_professional_services,0351 communications professional services not elsewhere specified
2_professional_services,0493 interpretation services
2_professional_services,Executive coaching - change of name and addition of 30 hours
2_professional_services,Por - public opinion research - wireless code survey
2_professional_services,Accounting and audit services - internal controls audit services
2_professional_services,Accounting and audit services - certified auditor services
2_professional_services,Accounting and audit services - it security audit services
2_professional_services,Temporary help services - advanced risk management resources
2_professional_services,Other professional services not elsewhere specified - monthly inspection of aed pads and batteries
2_professional_services,Temporary help services - analysts
2_professional_services,Other professional services not elsewhere specified - student parallel election program
2_professional_services,Other professional services not elsewhere specified - collection services
2_professional_services,Other professional services not elsewhere specified - security operations and intelligence business consultant
2_professional_services,Management consulting - senior knowledge management consultant
2_professional_services,Other professional services not elsewhere specified - senior atip policy and advisory consultant
2_professional_services,Other professional services not elsewhere specified - financial system trainor
2_professional_services,Management consulting - learning materials developer
2_professional_services,Other professional services not elsewhere specified - audio visual services
2_professional_services,Management consulting - staffing consultant
2_professional_services,Other professional services not elsewhere specified - procurement specialist
2_professional_services,Communications professional services not elsewhere specified - expert graphic recording services
2_professional_services,Management consulting - work plan developer
2_professional_services,Management consulting - privacy impact assessment consultant
2_professional_services,Management consulting - specialized education programming and outreach services
2_professional_services,Management consulting - voice response system review
2_professional_services,Other professional services not elsewhere specified - staffing consultant
2_professional_services,Management consulting and training services
2_professional_services,Bilingual editing services
2_professional_services,Photographer
2_professional_services,"Services including public affairs, technical writing, speech writing services, text editing, design of graphics, art work, media relations, media monitoring, etc."
2_professional_services,"Communications services including design of graphics, art work, media relations"
2_professional_services,0311 - publishing / design services
2_professional_services,0410 - legal services
2_professional_services,Courier services
2_professional_services,Rental of ships
2_professional_services,World wide web www site design services
2_professional_services,0499 other professional servcs - training
2_professional_services,0859 other business services - digitization
2_professional_services,0499 other professional servcs- research
2_professional_services,0499 other professional servcs - writing
2_professional_services,0859 other business services - research
2_professional_services,0460 protection services
2_professional_services,0859 other business services - display stand
2_professional_services,0859 other business services - photography
2_professional_services,0859 other business services - events management
2_professional_services,0859 other business services - writer
2_professional_services,0499 other professional services - investigative services
2_professional_services,Pass-sa stream 3 & 6
2_professional_services,Proservices - hr consultant - senior
2_professional_services,Sound testing - sparks
2_professional_services,Transcription service - winnipeg
2_professional_services,Proservices - financial specialist
2_professional_services,Consultant for budget management framework
