d_vendor_name,mean_years,n
L D WATSON E S MACEWEN ALLAN,2.38,11
L P ROYER,2.92,5
L W DENNIS CONTRACTING,2.18,3
L3HARRIS,0.81,78
LABORATOIRES OMEGA,1.11,3
LANDCO CONSTRUCTION,0.53,11
LANDFORM CIVIL INFRASTRUCTURES,2.74,2
LANGUAGE RESEARCH DEVELOPMENT GROUP,0.98,212
LANNICK CONTRACT SOLUTIONS,1.09,38
LANSDOWNE TECHNOLOGIES,0.74,78
LAPORTE EXPERTS CONSEILS,2.36,2
LARCH HALF WAY HOUSE OF SUDBURY,3.87,5
LARRY PENNER ENTERPRISES,0.54,23
LAURENTIAN TECHNOLOGIES,2.76,31
LAVAL FORTIN,2.39,1
LE GROUPE DRUMCO CONSTRUCTION,1.81,1
LEAR CONSTRUCTION,3.13,1
LEC ENGINEERING CONTRACTING,3.51,1
LEDCOR CONSTRUCTION,4,1
LEEWAY YACHTS,1.24,3
LEMAY,1.42,9
LENGKEEK VESSEL ENGINEERING,0.55,57
LEO PISCES SERVICES GROUP,1.72,29
LEONARDO,2.21,6
LES CONSTRUCTIONS BELAND,1.25,3
LES CONSTRUCTIONS BINET,1.72,5
LES CONSTRUCTIONS DES ILES,1.12,8
LES ENTREPRISES FERVEL,3.34,8
LES ENTREPRISES MICHAUDVILLE,2.48,1
LES ENTREPRISES P E C,0.74,23
LES EQUIPEMENTS CLAUDE PEDNEAULT,1.15,11
LES HUILES DESROCHES,0.13,110
LES INSTALLATIONS ELECTRIQUES,0.59,8
LES TRADUCTEURS REUNIS,0.47,57
LES TRADUCTIONS TESSIER,1,104
LES TRAITEURS BYTOWN CATERING,0.98,5
LESAGE DAVID DR,2.89,8
LESLIE BENN CONTRACTING,1.25,7
LEVAERO AVIATION,0.1,225
LEVITT SAFETY,0.67,51
LEXISNEXIS CANADA,1.5,72
LIEBHERR CANADA,0.62,9
LIFE TECHNOLOGIES,0.51,435
LIFELABS,0.98,9
LIFESPEAK,3.87,4
LIKE 10,1.28,18
LINOVATI,0.92,46
LIONBRIDGE,0.96,473
LLOYD LIBKE LAW ENFORCEMENT SALES,0.92,6
LLOYD S REGISTER CANADA,0.2,29
LOCKHEED MARTIN,0.21,9
LOGISTIK UNICORP,3.19,12
LOUIS W BRAY CONSTRUCTION,2.13,10
LOWE MARTIN COMPANY,0.72,73
LRO STAFFING,0.82,27
LS TELCOM,4,3
LUMINA IT,1.11,315
LUMINULTRA TECHNOLOGIES,0.99,3
LUXTON CONSTRUCTION,0.84,19
M D CHARLTON,0.21,227
M D STEELE CONSTRUCTION,1.79,1
M R ENGINEERING,1.8,13
M SULLIVAN SON,0.92,3
MACDONALD DETTWILER AND ASSOCIATES,0.92,202
MACEWEN PETROLEUM,0.26,71
MACK TRUCKS,0,1
MACKINNON AND OLDING,0.26,6
MACONNERIE DYNAMIQUE,1.43,11
MACONNERIE RAINVILLE ET FRERES,1.57,7
MADSEN DIESEL TURBINE,0.21,256
MAGAL S3 CANADA,0.95,6
MAGELLAN AEROSPACE,2.02,7
MAISON CHARLEMAGNE,1.94,4
MAISON CROSS ROADS DE LA SOCIETE,2.79,4
MAISON DECISION HOUSE,1.8,4
MAISON JEUN AIDE,2.33,3
MAISON JOINS TOI,4.67,3
MAISON PAINCHAUD,3.5,2
MAKWA RESOURCING,1.09,77
MAN ENERGY SOLUTIONS CANADA,0.06,1
MANIFEST COMMUNICATIONS,1.44,6
MANITOBA HYDRO,2.27,6
MANPOWER SERVICES CANADA,1.82,16
MANULIFE,2.37,10
MAPLE REINDERS CONSTRUCTORS,6.44,6
MAPLESOFT CONSULTING,1.49,370
MARINE CONTRACTORS,0.4,11
MARINE RECYCLING,0.54,15
MARINENAV,0.6,83
MARITIME FENCE,1.08,8
MARITIME FUELS,0.42,99
MARRBECK CONSTRUCTION,2.53,1
MARTEC,0.47,1
MARTECH ELECTRICAL SYSTEMS,2.49,4
MASKIMO CONSTRUCTION,1.78,7
MASONTECH,2.55,4
MATCON ENVIRONMENTAL,0.72,20
MAVERIN,1.4,17
MAXIM 2000,2.4,5
MAXIMUS CANADA,0.58,1
MAXSYS STAFFING AND CONSULTING,0.86,186
MCAFEE INTERNATIONAL,1.47,3
MCCARTHY TETRAULT,0.49,7
MCCOLMAN SONS DEMOLITION,1.41,2
MCELHANNEY ASSOCIATES,1.17,143
MCGREGOR GEOSCIENCE,0.96,3
MCKESSON CANADA,0.05,3340
MCKINSEY AND COMPANY,0.91,12
MCKNIGHT ENTERPRISES,0.72,10
MCNALLY CONSTRUCTION,0.94,14
MCW CUSTOM ENERGY SOLUTIONS,2.36,17
MDOS CONSULTING,1.55,58
MEAL KIT SUPPLY CANADA,0.07,1
MED ENG HOLDINGS,0.31,27
MEDAVIE,9.08,3
MEDIA Q,1.06,107
MEDTRONIC CANADA,0.86,7
MEEWASINOTA CRF,2.33,3
MEGA TECH,0.13,280
MEGALEXIS COMMUNICATIONS,1.18,94
MEGGITT,0.94,3
MERCK FROSST,0.3,75
MERCURY MARINE,0.28,107
MERIDIAN MEDICAL TECHNOLOGIES,0.84,5
MESSA COMPUTING,1.47,39
METALCRAFT MARINE,0.78,3
METOCEAN TELEMATICS,1.26,32
METRO LOGISTICS,2.99,1
METRO PAVING AND ROAD BUILDING,0.92,12
METRO SUPPLY CHAIN,2.12,1
MGIS,1.63,58
MICHAEL WAGER CONSULTING,1.85,40
MICHANIE CONSTRUCTION,0.61,34
MICHEL BASTARACHE SOCIETE PROFESSIONNELLE,3,1
MICHELIN,0.25,6
MICRONOSTYX,1.15,6
MICROSOFT CANADA,1.52,948
MID CANADA MOD CENTER,0.04,115
MID VALLEY CONSTRUCTION,0.38,5
MIKE KELLY SONS,1.35,2
MILESTONE ENVIRONMENTAL,0.83,19
MILLBROOK TACTICAL,0.32,60
MINDWIRE SYSTEMS,1.2,594
MINISTRY OF FINANCE,2.63,36
MISHKUMI TECHNOLOGIES,0.4,140
MITSUBISHI MOTOR SALES,0.42,187
MNP,0.92,236
MOBILE RESOURCE GROUP,0.9,48
MODERN CONSTRUCTION,0.86,5
MODIS CANADA,1.45,535
MOERAE SOLUTIONS,1.69,16
MOMENTUM SOLUTIONS,0.45,4
MONERIS,7.51,2
MOORE CANADA,0.66,66
MORIYAMA TESHIMA ARCHITECTS,4.01,3
MORNEAU SHEPELL,2.63,31
MORPHO CANADA,0.76,67
MORRISON HERSHFIELD,0.85,95
MOSS DEVELOPMENT,1.51,4
MOTOROLA SOLUTIONS CANADA,0.39,728
MTC LAW,8.03,1
MTM 2 CONTRACTING,1.15,6
MTS ALLSTREAM,2.11,210
MUFACTOR,1,1
MUNICIPAL READY MIX,0.49,14
MURRAYS WINDERMERE GARDENS,1.75,4
MUSTANG HELICOPTERS,0.5,40
MUSTANG SURVIVAL,0.28,66
MWCO,0.64,1
N P A,1.06,2
N12 CONSULTING,1.65,17
"NADINE INTERNATIONAL",1.14,34
"NAHANNI CONSTRUCTION",2.74,4
"NANOMETRICS",0.58,20
"NAPPAQ DESIGN CONSTRUCTION",0.67,2
"NATCO PHARMA CANADA",0.52,3
"NATIONAL ARTS CENTRE",0.4,17
"NATIONAL STRUCTURES",1.35,3
"NATIONS TRANSLATION GROUP",0.88,378
"NATIVE CLAN ORGANIZATION",2.33,3
"NATTIQ",0.92,90
"NAUT MAWT TRIBAL COUNCIL",0.39,9
"NAV CANADA",1.58,23
"NAVAMAR",0.73,12
"NAVPOINT CONSULTING GROUP",1.45,23
"NAVTECH",1.4,13
NDL CONSTRUCTION,2.23,2
NELSON ENVIRONMENTAL REMEDIATION,0.42,6
NEPTEC DESIGN GROUP,1.66,12
NEPTUNE SECURITY SERVICES,1.29,13
NEUROSCOPE,2.41,3
NEWDOCK ST JOHN S DOCKYARD,0.19,37
NEWFOUND RECRUITING,1.37,82
NFOE,2.71,9
NICHE TECHNOLOGY,3,2
NIMBLE INFORMATION STRATEGIES,1.01,60
NISHA TECHONOLOGIES,0.34,1440
NISSAN CANADA,0.36,156
NITAM SOLUTIONS,0.38,205
NITRO CONSTRUCTION,1.59,5
NOKIA CANADA,0.31,1
NOLINOR AVIATION,0.07,42
NORDMEC CONSTRUCTION,3.93,2
NORR,2.02,57
NORTAC DEFENCE,2.82,3
NORTH AMERICA CONSTRUCTION,6.37,1
NORTH ATLANTIC PETROLEUM,0.35,154
NORTH CARIBOO AIR,0.22,86
NORTH COUNTRY MAINTENANCE,2.68,2
NORTHEAST TREE TRIMMING,2.94,2
NORTHERN CONSTRUCTION,0.48,22
NORTHERN CONTRACTING,1.86,1
NORTHERN MICRO,0.82,2001
NORTHFIELD METAL PRODUCTS,0.36,112
NORTHROP GRUMMAN,0.04,3
NORTHWEST MARINE TECHNOLOGY,0.27,17
NORTHWESTEL,2.51,25
NORTRAX CANADA,0.41,30
NOTRA,2.08,5
NOVA CONSTRUCTION,1.52,2
NOVA NETWORKS,0.27,151
NOVA SCOTIA POWER,1.13,36
NRNS,1.96,14
NUA OFFICE,0.47,106
NUCTECH COMPANY,6.62,4
NUIX NORTH AMERICA,1.07,39
NUMBER TEN ARCHITECTURAL GROUP,1.11,76
NUNA EAST,8.28,2
OEI KRUEGER,0.35,476
OGILVY MONTREAL,1.19,9
OKANAGAN AGGREGATES,0.78,24
OKANAGAN HALFWAY HOUSE SOCIETY CRF,2.63,5
OLIN,1.22,14
OMNITECH ELECTRONICS,0.19,1
ONIX NETWORKING CANADA,4.68,3
ONLINE CONSTRUCTORS,0.46,30
ONTARIO DENTAL ASSOCIATION,0.2,228
ONX ENTERPRISE SOLUTIONS,2.54,269
OPENFRAME TECHNOLOGIES,1.87,26
OPENTEXT,1.04,291
OPROMA,1.67,38
OPSIS,0.16,56
OPTIV CANADA FEDERAL,1.08,88
ORACLE CANADA,0.98,450
ORANGUTECH,1.1,165
OSKAR CONSTRUCTION,0.53,22
OTIS ELEVATOR,3.3,76
OTTAWA GREENBELT CONSTRUCTION,0.55,5
OTTAWA MARRIOTT HOTELS INNVEST HOTELS GP,0.04,130
OXFORD ECONOMICS USA,1.18,17
P B ENTREPRISES,0.49,7
P K WELDING FABRICATORS,2.35,2
PACIFIC INDUSTRIAL MARINE,0.53,42
PACIFIC SAFETY PRODUCTS,0.59,93
PACWILL ENVIRONMENTAL,0.88,22
PAL AEROSPACE,0.53,49
PALADIN GROUP,0.48,340
PALFINGER MARINE,0.28,71
PANASONIC,0.14,215
PARKER JOHNSTON INDUSTRIES,0.75,1
PARKLAND INDUSTRIES,0.38,269
PARKLAND REFINING,0.03,318
PARSONS CANADA,1.94,55
PATLON AIRCRAFT INDUSTRIES,0.3,8
PATTISON SIGN GROUP,0.43,133
PAVEX,4.44,1
PCL CONSTRUCTORS,1.82,75
PEERLESS GARMENTS,1.35,15
PENN CONSTRUCTION CANADA,2.37,3
PENNECON,0.31,87
PEPCO,0.31,79
PEPIN FORTIN CONSTRUCTION,0.72,1
PERCEPTICS,2.47,4
PERSISTENT SYSTEMS,0.18,4
PETER J KINDREE ARCHITECT,2.13,15
PETER KIEWIT SONS,1.18,3
PETERS CONSTRUCTION,0.43,17
PETRO AIR SERVICES,0.19,1
PETROVALUE PRODUCTS,0.22,69
PHASELOCK SYSTEMS INTERNATIONAL,0.43,244
PHOENIX DRUG ALCOHOL RECOVERY,1.59,5
PIDHERNEY S,0.95,3
PIONEER CONSTRUCTION,3.88,1
PITNEY BOWES,2.67,184
PLEIAD CANADA,0.96,101
PMB ELECTRICAL SERVICES,1.41,30
PMG TECHNOLOGIES,0.65,122
PODOLINSKY EQUIPMENT,0.44,91
POINT HOPE MARITIME,0.53,8
POLARIS INDUSTRIES,0.26,233
POMERLEAU,3.35,21
PORT OF SPAIN HOLDINGS,0.61,17
PORTAGE PERSONNEL,1.05,68
POSTMEDIA NETWORK,0.75,33
PR3 MEDIAS,0.85,5
PRA,0.95,103
PRAGMATIC CONFERENCING,1.67,3
PRECISION ADM,1.05,1
PRECISIONIT,1.72,79
PRICEWATERHOUSE COOPERS,1.06,719
PRIMED MEDICAL PRODUCTS,0.81,3
PRIMEX PROJECT MANAGEMENT,0.2,3
PRINCE GEORGE ACTIVATOR,1.17,6
PRINTERS PLUS,1.15,314
PROCOM CONSULTANTS,1.53,176
PROLINE ADVANTAGE,0.99,1
PROLOGIC SYSTEMS,0.79,78
PROMAXIS,1.1,62
PRONEX EXCAVATION,2.94,2
PROOF EXPERIENCES,1.43,13
PROQUEST,0.76,81
PROSCI CANADA,0.3,272
PROTAK CONSULTING GROUP,1.03,147
PROVENCHER ROY ASSOCIES,2.58,19
PURELOGIC,1.09,172
PURESPIRIT SOLUTIONS,0.56,279
PYLON ELECTRONICS,1.71,5
QATAR AIRWAYS,0.61,6
QIAGEN,0.54,83
QINETIQ,0.83,2
QM ENVIRONMENTAL,0.56,26
QMR,0.82,805
QUANTUM MANAGEMENT SERVICES,0.66,140
QUARTZ NATURE,1.54,1
QUEEN S UNIVERSITY,0.85,61
QUINAN CONSTRUCTION,1.68,11
QUINTET CONSULTING,0.64,165
QUOREX CONSTRUCTION SERVICES,1.62,9
QUORUM,4.78,3
R C M MODULAIRE,3.11,2
R E GILMORE INVESTMENTS,1.12,58
R J MACISAAC CONSTRUCTION,0.45,3
R LAMBA FORENSIC PSYCH SERVICE,3,2
R R INTERNATIONAL TRANSLATION,0.96,192
R W TOMLINSON,0.71,8
R2I,3.24,9
RACEROCKS 3D,0.89,1
RACING FORENSICS,3.83,2
RADIATION SOLUTIONS,0.68,30
RAMPART INTERNATIONAL,0.31,187
RANDSTAD,1.31,656
RAPISCAN SYSTEMS,2.52,11
RATIO ARCHITECTURE INTERIOR DESIGN,1.65,20
RAYMOND CHABOT GRANT THORNTON,1.06,364
RAYTHEON,0.59,6
REACTOR ENGINEERING GROUP,0.64,1
REDACTED,0.57,7
REFORMAR,0.74,7
REGENT CONSTRUCTION,1.02,9
REPARATIONS NAVALES ET INDUSTRIELLES OCEAN,0.35,144
REPUBLIC ARCHITECTURE,1.41,71
RESIDENCE CARPEDIEM,2.8,5
RESOLVE SALVAGE FIRE AMERICAS,0.25,1
REVISION MILITARY,0.09,2
RGB MEDIA,0.2,61
RHEA,0.5,77
RHEINMETALL,2.81,4
RICOH,3.54,1163
RIGGS ENGINEERING,1.28,30
RIKJAK CONSTRUCTION,1.04,1
RISK SCIENCES INTERNATIONAL,0.79,104
RJG CONSTRUCTION,0.83,44
ROBERTSON GEOCONSULTANTS,0.93,6
ROBERTSON MARTIN ARCHITECTS,1.68,24
ROCHE DIAGNOSTICS,0.76,61
ROCKWELL COLLINS CANADA,0.04,8
ROGERS,3.25,86
ROHDE SCHWARZ CANADA,0.43,29
ROLLING TIDES CONSTRUCTION,0.46,2
RONDAR,1.03,28
ROSBOROUGH BOATS,0.99,25
ROSCOE CONSTRUCTION,1.11,6
ROSS AND ANGLIN,1.48,4
ROUDEL MEDICAL AND SURGICAL,1.24,2
ROXBORO EXCAVATION,4.11,3
RUSH TRUCK CENTRES OF CANADA,0.93,3
RUSSEL METALS,0.31,163
RUSSELL CHERNOFF RAND THOMPSON,2.3,27
RYCOM,3.67,14
S P GLOBAL MARKET INTELLIGENCE,1.4,33
S W WEEKS CONSTRUCTION,0.92,1
SAAB,0.32,3
SABA SOFTWARE,6.26,4
SALESFORCE CANADA,0.66,84
SALVATION ARMY,2.82,59
SAMSON AND ASSOCIATES,1.02,34
SAMSON ASSOCIES,0.95,471
SANEXEN SERVICES ENVIRONMENTAUX,0.79,32
SANI SABLE LB,1.44,14
SAP,1.49,201
SAS INSTITUTE,0.96,202
SASKTEL,4.8,19
SCA SHIPPING CONSULTANTS ASSOCIATED,0.33,4
SCANSA CONSTRUCTION,1.4,6
SCHOELER HEATON ARCHITECTS,1.9,30
SDL INTERNATIONAL CANADA,1.05,36
SEACOAST MARINE ELECTRONICS,0.2,34
SEAGATE CONSTRUCTION,0.94,13
SEASPAN VICTORIA SHIPYARDS,0.55,5
SEAWATCH,1.73,6
SEAWAVES DEVELOPMENT SERVICES,0.79,2
SECURE ENERGY ONSITE SERVICES,0.36,2
SECUREKEY TECHNOLOGIES,2.08,8
SECURIGUARD SERVICES,4.33,1
SED SYSTEMS,5.09,1
SEEGENE CANADA,0.31,3
SELEX,3.49,2
SEPW ARCHITECTURE,2.04,30
SEQIRUS CANADA,3.36,2
SERCO,1.61,6
SERVICE STAR BUILDING CLEANING,1.96,13
SERVICES D AIDE EN PREVENTION DE LA CRIMINALITE,3.5,4
SETANTA CONTRACTING,0.71,4
SEYEM,1.22,1
SGS AXYS ANALYTICAL SERVICES,0.43,88
SHARP ELECTRONICS,3.91,461
SHAW CABLE,5.54,4
SHELL CANADA PRODUCTS,1.26,16
SHELTER NOVA SCOTIA,4.67,3
SHI CANADA,0.93,171
SHM CANADA CONSULTING,0.84,92
SHRMA ARCHITECTS IN JOINT VENTURE,2.55,2
SI SYSTEMS,1.43,1041
SIEMENS,1.2,354
SIERRA SYSTEMS GROUP,1,100
SIGNATURE SUR LE SAINT LAURENT,34.82,1
SILLIKER,0.38,73
SIMEX DEFENCE,0.37,51
SIMPLEX GRINNELL,0.96,130
SKILLSOFT CANADA,0.98,27
SKY CANOE,1.16,1
SLR CONSULTING CANADA,0.97,128
SMITHS DETECTION,0.76,134
SMITHS MEDICAL CANADA,0.2,1
SNC LAVALIN,1.19,461
SOCIETE ELIZABETH FRY DU QUEBEC,4.06,3
SOCIETE EMMANUEL GREGOIRE,2.78,10
SOFTCHOICE,0.89,890
SOFTSIM TECHNOLOGIES,1.23,44
SOLOTECH,0.5,142
SOLUDOC,1.7,32
SOMOS,2.53,12
SOUTHWEST RESEARCH INSTITUTE,0.33,12
SPARTAN BIOSCIENCE,1.01,1
SPERRA CONSTRUCTION,0.69,8
SPRINGER VERLAG,0.17,14
SPRINGHILL CONSTRUCTION,5.41,1
SQUAMISH INDIAN BAND,1,3
SRA STAFFING SOLUTIONS,1.05,32
ST AIRBORNE SYSTEMS,0.24,13
ST DENIS THOMPSON,1.52,7
ST GELAIS MONTMINY ASSOCIES,2.58,22
ST JOHN AMBULANCE,1.38,13
ST JOSEPH PRINT GROUP,0.64,117
ST LEONARD S COMMUNITY SERVICES,4.67,6
ST LEONARD S SOCIETY HAMILTON,2.47,10
ST LEONARDS HOUSE WINDSOR,1.88,7
ST LEONARDS PLACE PEEL,2,7
ST OPS TACTICAL TRAINING CANADA,0.14,18
STANFIELDS,1.57,1
STANLEY CONSTRUCTION,1.98,1
STANTEC,0.96,1569
STEPPED CARE SOLUTIONS,2.33,1
STERIS CANADA,1.13,97
STERLING FUELS,0.05,232
STIFF SENTENCES,0.77,28
STONEWORKS TECHNOLOGIES,3.21,391
STRATOS,0.58,181
STRONG BROS GENERAL CONTRACTING,0.3,1
STRYKER CANADA,0.72,20
SUBARU CANADA,0.38,163
SUMMIT CANADA DISTRIBUTORS,0.41,102
SUN LIFE ASSURANCE COMPANY,2.47,14
SUNCOR ENERGY,0.23,443
SUPER CHANNEL INTERNATIONAL,0.87,46
SUPERMAX HEALTHCARE CANADA,0.73,2
SUPREMEX,0.35,117
SUSE SOFTWARE SOLUTIONS CANADA,1.22,8
SUTHERLAND EXCAVATING,0.32,273
SWITCH HEALTH,0.4,7
SYM COMMUNICATIONS,1.21,41
SYMCOR,6,1
SYNERSOLUTIONS TECHNOLOGIES,0.97,9
SYSTEMATIX SOLUTIONS,2.11,143
SYSTEMS FOR RESEARCH,0.37,9
SYSTEMSCOPE,0.96,147
TAG HR,0.89,79
TALIGENT CONSULTING,1.46,81
TANGLE RIDGE CUSTOM CRUSHING,0.48,9
TANKATEK,0.41,39
TAURUS CONTRACTORS,0.69,21
TDI INTERNATIONAL,1.61,4
TECHNE SEATING COMPONENT,0.35,87
TECHNOREM,1.5,30
TECSIS,1.01,16
TEKNION,0.38,1404
TEKSYSTEMS CANADA,1.46,407
TELECOM COMPUTER SERVICES,1.51,439
TELEDYNE,0.44,70
TELESAT,2.6,50
TELUS CANADA,1.55,642
TENAQUIP,0.3,65
TERAMACH TECHNOLOGIES,3.09,758
TERLIN CONSTRUCTION,1.74,6
TERVITA,0.6,35
TES CONTRACT SERVICES,1.45,114
TESTFORCE SYSTEMS,0.25,247
TETRA TECH,1.22,197
THALES,0.72,55
THE AIM GROUP,1.14,473
THE CALGARY AIRPORT AUTHORITY,1.88,2
THE CANADA LIFE ASSURANCE COMPANY,1.85,8
THE HALIFAX COMPUTER CONSULTING GROUP,1.37,15
THE HALIFAX GROUP,1.47,21
THE IT BROKER,1.68,35
THE KTL GROUP,1.03,34
THE MASHA KRUPP TRANSLATION GROUP,0.82,197
THE MATHWORKS,0.75,160
THE RIGHT DOOR CONSULTING,0.81,229
THE STEVENS COMPANY,0.38,28
THE VCAN GROUP,1.92,29
THERMO FISHER SCIENTIFIC,0.43,1372
THG THE HISTORY GROUP,0.78,100
THINKON,1.4,7
THOMAS SCHMIDT,1.19,26
THOMSON REUTERS,0.94,144
THORNHILL MEDICAL,1.03,1
THRIVE HEALTH,1.63,2
THYSSENKRUPP ELEVATOR,2.2,92
TIREE,1.54,179
TISSEUR,1.68,9
TITAN BOATS,0.69,28
TITANIUM CONSTRUCTION,1.23,8
TOFCON CONSTRUCTION,1.49,2
TOROMONT,0.43,442
TORONTO BAIL PROGRAM,4.55,2
TORONTO STAMP,0.99,1
TOSHIBA CANADA,0.68,82
TOTEM OFFISOURCE,0.32,356
TOURE CLEANING SERVICES,1.3,31
TOYOTA,0.43,474
TPG TECHNOLOGY CONSULTANTS,1.66,425
TRACK24 CANADA,4.25,2
TRADUCTIONS PIERRE CLOUTIER,0.44,4
TRADUCTIONS SCRIPTIS,1.35,12
TRAINOR MECHANICAL CONTRACTORS,0.96,13
TRANSCONTINENTAL PRINTING,0.29,1
TRANSPOLAR TECHNOLOGY,1.77,79
TRANSTEC,5,3
TRANSWEST AIR,0.48,29
TRAUGOTT BUILDING CONTRACTORS,1.04,2
TRAYTOWN BUILDERS,1.02,12
TRIDENT CONSTRUCTION,1.44,3
TRIPLEWELL CANADA,1.48,1
TRM TECHNOLOGIES,1.15,151
TROY LIFE FIRE SAFETY,1.18,55
TRUDELL HEALTHCARE SOLUTIONS,1.81,1
TSUU T INA CONTRACTING GP,1.75,1
TULMAR SAFETY SYSTEMS,0.1,6
TUNDRA TECHNICAL SOLUTIONS,0.94,41
TURNER TOWNSEND,2.6,13
TURTLE ISLAND STAFFING,0.69,168
TYCO INTEGRATED FIRE SECURITY,1.54,144
TYR TACTICAL,0.33,2
UBIQUS CANADA,0.95,106
ULTIMATE CONSTRUCTION,0.64,4
ULTRA ELECTRONICS,1.47,6
UNISOFT INTERNATIONAL,4,2
UNISOURCE,0.41,20
UNISYNC GROUP,0.07,4
UNISYS CANADA,3.6,3
UNITED CHURCH HALFWAY HOMES,2.34,3
UNITED RENTALS OF CANADA,0.45,24
UNIVERSAL HELICOPTERS,0.48,36
UNIVERSITE LAVAL,0.53,109
UNIVERSITY OF ALBERTA,0.82,170
UNIVERSITY OF BRITISH COLUMBIA,0.71,104
UNIVERSITY OF CALGARY,1.02,66
UNIVERSITY OF GUELPH,0.96,117
UNIVERSITY OF NEW BRUNSWICK,0.99,70
UNIVERSITY OF OTTAWA,0.73,241
UNIVERSITY OF REGINA,0.53,34
UNIVERSITY OF SASKATCHEWAN,1.07,74
UNIVERSITY OF TORONTO,0.76,118
UNIVERSITY OF WATERLOO,0.87,112
UNIVERSITY OF WESTERN ONTARIO,1.01,53
UQSUQ,4.02,2
URBAN VALLEY TRANSPORT,1.51,1
UTILITIES KINGSTON,0.46,1
VAISALA CANADA,0.84,48
VALARD CONSTRUCTION,0.22,3
VALCOM CONSULTING,1.66,17
VANCOUVER AIRPORT AUTHORITY,0.92,1
VANCOUVER DRYDOCK COMPANY,0.48,6
VANCOUVER PILE DRIVING,0.98,11
VANCOUVER SHIPYARDS,2.21,16
VANRX PHARMASYSTEMS,0.91,5
VCI CONTROLS,3.46,21
VECTOR AEROSPACE,0.05,65
VERITAAQ TECHNOLOGY HOUSE,1.49,1168
VERITAS TECHNOLOGIES,1.4,9
VERREAULT NAVIGATION,0.32,10
VFA CANADA,1.45,12
VFS GLOBAL,5.45,11
VIA TRAVAIL,1.07,15
VIRTUAL POSSIBILITIES DIVISION,1,1
VISA SERVICES,5.68,1
VISIONTEC,1.04,17
VMWARE,0.86,115
VOYAGEUR TRANSPORTATION,1.06,2
VVI CONSTRUCTION,1.54,7
VWR INTERNATIONAL,0.25,604
W S MORGAN CONSTRUCTION,1.35,5
WAINWRIGHT MARINE SERVICES,0.35,14
WAJAX,0.31,401
WAMPUM RECORDS,0.9,55
WARTSILA,0.27,385
WASTE CONNECTIONS OF CANADA,2.19,27
WASTE MANAGEMENT OF CANADA,1.9,23
WATCHGUARD VIDEO,0.16,39
WATERS,0.74,295
WAZANA CLOTHING,1.51,1
WCG INTERNATIONAL CONSULTANTS,5.79,3
WEATHERHAVEN CANADA,0.28,4
WEBSTER ELECTRIC,0.38,40
WEIR CANADA,0.69,7
WESCO DISTRIBUTION CANADA,0.38,98
WEST COAST TUG BARGE,0.58,12
WEST WIND AVIATION,0.81,7
WESTBURY NATIONAL SHOW SYSTEMS,0.28,57
WESTCO CONSTRUCTION,1.64,5
WESTCOAST GENESIS SOCIETY,2.74,7
WESTCOMB OUTERWEAR,1.6,1
WESTJET,0.4,2
WESTOWER COMMUNICATIONS,0.51,103
WHITE BEAR INDUSTRIES,0.91,7
WHOOSHH INNOVATIONS,0.25,2
WILCO CONTRACTORS SOUTHWEST,1.37,10
WILD STONE ENGINEERING,1.16,4
WILDLIFE COMPUTERS,0.19,87
WILDSTONE CONSTRUCTION,1.73,10
WILLIAM J BARKER CLINICAL,1.57,4
WILLS TRANSFER,1.11,49
WINMAR CANADA INTERNATIONAL,0.34,1
WINTERSTEIGER,0.36,74
WM M 1993,0.81,6
WOLTERS KLUWER,1.06,104
WOOD CANADA,0.88,338
WOODWARD S OIL,0.25,49
WOOLLY MAMMOTH OUTERWEAR,2.15,2
WORKDYNAMICS TECHNOLOGIES,1.17,130
WORKPLACE HEALTH AND COST SOLUTIONS,2.56,16
WORLD FUEL SERVICES,1.98,4
WORLD UNIVERSITY CONSORTIUM,5.19,1
WORLD UNIVERSITY SERVICE OF CANADA,4.71,8
WORLDREACH SOFTWARE,1.98,11
WPP GROUP CANADA COMMUNICATIONS,0.56,64
WRIGHT CONSTRUCTION WESTERN,5.89,1
WSP,1.27,1011
WYSSEN AVALANCHE CONTROL,1.6,8
XEROX,3.94,1368
XPERA RISK MITIGATION INVESTIGATION,0.08,2
YAMAHA MOTORS CANADA,0.24,256
ZAYO CANADA,2.76,85
ZENITH PAVING,0.87,5
ZERNAM ENTERPRISE,1.1,41
ZODIAC HURRICANE TECHNOLOGIES,0.95,16
ZOLL MEDICAL CANADA,0.46,10
ZUTPHEN CONTRACTOR,0.79,23
ZYCOM,1.94,67
