d_vendor_name,mean_number_of_amendments,n
HOOTSUITE,11,1
HORIZANT,3.33,9
HORSESHOE HILL CONSTRUCTION,3,1
HOSKIN SCIENTIFIC,1.58,12
HOULE ELECTRIC,3.3,10
HOUSE OF HOPE,2.4,5
HOWARD HOUSE ASSOCIATION OF CAPE BRETON,3,2
HOWDEN ROOTS,2,1
HR ASSOCIATES,2.32,31
HUBSPOKE,2.25,4
HUMANSCALE CANADA,1,2
HYPERTEC,1.49,43
I M P GROUP,1,2
I4C INFORMATION TECHNOLOGY,2,20
IBI GROUP ARCHITECTS CANADA,3,5
IBISKA TELECOM,2.51,115
IBM CANADA,2.62,188
ICE DEVELOPMENT,5,1
ICEBERG NETWORKS,1.57,7
ICU MEDICAL CANADA,1,1
IDP GROUP,1,2
IDS SYSTEMS CONSULTANTS,1,2
IFATHOM,1.5,10
IHS GLOBAL,1.62,8
IHS MARKIT CANADA,1,2
IIC TECHNOLOGIES,1.88,16
ILLUMINA CANADA,1.21,24
IMP GROUP,1.33,6
IMPERIAL CLEANERS,4.14,7
IMPERIAL OIL,1.49,69
IMTECH MARINE CANADA,1,8
INDIVIOR UK,5.5,2
INDUSTRA CONSTRUCTION,1.64,22
INDUSTRA LIARD CONSTRUCTION,1,1
INDUSTRIES OCEAN,2.17,6
INFO TECH RESEARCH GROUP,1.33,3
INFORMATICA,2,1
INFOSYS,4,1
INKSMITH,2,1
INLAND AUDIO VISUAL,1,1
INMARSAT SOLUTIONS,3.8,5
INNOVASEA MARINE SYSTEMS CANADA,1.1,10
INSA,1.96,23
INSIGHT SOFTWARE CANADA,1.2,5
INSTITUT NATIONAL D OPTIQUE,1.67,3
INSTITUTE ON GOVERNANCE,1.14,7
INSTRUX MEDIA,3.33,3
INTEGRA NETWORKS,1.2,5
INTEGRATED DISTRIBUTION SYSTEMS,1.25,4
INTER MEDICO,1.8,5
INTER OUTAOUAIS,1,1
INTERACTIVE AUDIO VISUAL,1.25,12
INTERCON MARINE,1.64,11
INTERCONTINENTAL TRUCK BODY,1.33,3
INTERNATIONAL REPORTING,1.08,13
INTERNATIONAL SAFETY RESEARCH,2,4
INTEROUTE CONSTRUCTION,2.5,4
INTERWORKS CONTRACTING,2.25,4
INUKSHUK CONSTRUCTION,3.5,2
INVENTA SALES AND PROMOTIONS,2,1
IPS INTEGRATED PROJECT SERVICES,2,2
IPSOS,1.25,8
IPSS,3.32,28
IQVIA,1,1
IQVIA SOLUTIONS CANADA,1.5,2
IRON MOUNTAIN,1.57,134
IRONCLAD EARTHWORKS,2.75,4
IRVING OIL,1.23,26
IRVING SHIPBUILDING,4,3
ISLAND TEMPERATURE CONTROLS,1,1
ISOMASS SCIENTIFIC,1,1
ISOPLEX,1,1
IT NET CONSULTANTS,2.11,44
ITEX,1.4,35
IVAN S CAMERA 2017,1.8,5
IWC EXCAVATION,1.33,3
J 1 CONTRACTING,3,2
J D G CONSTRUCTION MANAGEMENT,3,1
J E ENTERPRISES,1.33,6
J J LEPERA INFRASTRUCTURES,3,1
J J TRAILERS MANUFACTURERS AND SALES,4,1
J L RICHARDS ASSOCIATES,1.85,27
J M J HOLDINGS,1.4,5
J M LEDRESSAY ASSOCIATES,3,1
J N A LEBLANC ELECTRIQUE,4,1
J O THOMAS ASSOCIATES,3.43,7
J P GRAVEL CONSTRUCTION,1.83,6
J STERLING INDUSTRIES,1,1
J W LINDSAY ENTERPRISES,7,2
JACOB BROS CONSTRUCTION,4,1
JANKEL TACTICAL SYSTEMS,3,3
JASCO APPLIED SCIENCES CANADA,2,11
JASPER CONCRETE,1.75,8
JASTRAM ENGINEERING,2,2
JAVELIN TECHNOLOGIES,1,2
JCB,1,1
JEAN DAOUST CONSTRUCTION,4,1
JEMTEC,1,1
JEOL CANADA,1,4
JERRY BERGEN MEDICAL,1,1
JIM PATTISON INDUSTRIES,1.22,23
JJM CONSTRUCTION,3,3
JOAN HOLMES ASSOC,1.56,9
JOHN HOWARD SOCIETY,2.95,76
JOHN WILEY SONS,1,7
JOHNSON CONTROLS CANADA,1.88,8
JOHNSON S CONSTRUCTION,2.43,7
JOKINEN LAW PROFESSIONAL,3,1
JONELJIM CONCRETE CONSTRUCTION,3.27,11
JONES LANG LASALLE,2.73,11
JOSEPH ELIE,1,6
JOSEPH RIBKOFF,2,1
JP2G CONSULTANTS,1,7
JUMEC CONSTRUCTION,1.6,5
JUMPING ELEPHANTS,1.67,3
JUNO RISK SOLUTIONS,1,8
K C E CONSTRUCTION,6,1
K L CONSTRUCTION ONTARIO,2.5,2
K RITE CONSTRUCTION,6,1
KANTER MARINE,3.12,8
KASIAN ARCHITECTURE INTERIOR DESIGN,1.78,18
KAYWAY INDUSTRIES,1,4
KEHOE MARINE CONSTRUCTION,1.25,4
KENN BOREK AIR,1.63,19
KETZA PACIFIC CONSTRUCTION,1.57,7
KEYDATA ASSOCIATES,2.5,4
KEYSIGHT TECHNOLOGIES CANADA,2,2
KEYSTONE ENVIRONMENTAL,4.12,8
KEYSTONE SUPPLIES INTERNATIONAL,1.3,10
KF AEROSPACE,1.18,11
KFN ENTERPRISES PARTNERSHIP,1,1
KGS GROUP CONSULTING ENGINEERS,7,3
KIA CANADA,1.25,8
KILEY PAVING,1,1
KINETIC CONSTRUCTION,4,3
KINETIC MACHINE WORKS,4,2
KING HOE EXCAVATING,1.5,2
KINGHAVEN PEARDONVILLE HOUSE SOCIETY,3,2
KINGSVIEW CONSTRUCTION,1,1
KLEYSEN GROUP,1,1
KMS INDUSTRIES,1.25,4
KNOLL NORTH AMERICA,1.12,8
KNOWLEDGE CIRCLE,1.31,32
KONE,2.14,14
KONGSBERG,1.33,12
KONICA MINOLTA BUSINESS EQUIPMENT,1,9
KONICA MINOLTA BUSINESS SOLUTIONS,2.42,89
KONTZAMANIS GRAUMANN SMITH,1.38,21
KORN FERRY CA,1.6,5
KPMG,1.95,55
KROMAR PRINTING,1,4
KUBOTA CANADA,1,4
KUDLIK CONSTRUCTION,3.8,5
KWC ARCHITECTS,2.08,13
KYNDRYL CANADA,1,4
L A HEBERT,2.75,4
L AGENCE,2,4
L BREAU AND SONS,1.4,5
L D WATSON E S MACEWEN ALLAN,2.29,7
L P ROYER,2.5,2
L W DENNIS CONTRACTING,5.5,2
L3HARRIS,1.12,8
LABO S M GROUPE ABS,3,1
LABORATOIRES OMEGA,1,1
LAKESHORE HELICOPTERS,1.29,7
LANDAUER INLIGHT,1.5,2
LANDCO CONSTRUCTION,1.5,4
LANDFORM CIVIL INFRASTRUCTURES,5,2
LANGUAGE MARKETPLACE,1.44,16
LANGUAGE RESEARCH DEVELOPMENT GROUP,1.63,49
LANNICK CONTRACT SOLUTIONS,2.83,24
LANSDOWNE TECHNOLOGIES,1.29,7
LAPORTE,1.3,10
LAPORTE EXPERTS CONSEILS,2,2
LARCH HALF WAY HOUSE OF SUDBURY,4,4
LARRY PENNER ENTERPRISES,1,3
LAVAL FORTIN,3,1
LAVERGNE CONSTRUCTION 1988,1.6,5
LE GROUPE DRUMCO CONSTRUCTION,2,1
LEAN AGILITY,1.17,6
LEAR CONSTRUCTION,6,1
LEC ENGINEERING CONTRACTING,10,1
LEDCOR CONSTRUCTION,4,1
LEGER MARKETING,1.67,9
LEMAY,1.75,4
LENGKEEK VESSEL ENGINEERING,3.67,9
LEO PISCES SERVICES GROUP,2.18,11
LEONARDO,4.67,3
LES AUTOBUS E MENARD ET FILS,1,1
LES CONSTRUCTIONS BELAND,1.5,2
LES CONSTRUCTIONS BINET,3,4
LES CONSTRUCTIONS DES ILES,3.75,4
LES COUVERTURES ST LEONARD,4,1
LES ENQUETES HENRI,1.23,22
LES ENTREPRISES FERVEL,3.17,6
LES ENTREPRISES MICHAUDVILLE,6,1
LES ENTREPRISES P E C,2.82,11
LES ENTREPRISES PREBBEL,2.45,11
LES ENTREPRISES ROBERT SANFACON,2,2
LES ENTREPRISES SAMSON ENTERPRISES,1.2,5
LES ENTREPRISES SIFEC NORD,1,1
LES EQUIPEMENTS CLAUDE PEDNEAULT,3.67,3
LES HUILES DESROCHES,1.17,6
LES INSTALLATIONS ELECTRIQUES,3,1
LES TRADUCTEURS REUNIS,1.5,4
LES TRADUCTIONS TESSIER,1.14,21
LES TRAITEURS BYTOWN CATERING,2,1
LESAGE DAVID DR,1.6,5
LESLIE BENN CONTRACTING,2,5
LEVAERO AVIATION,1,9
LEVERAGE TECHNOLOGY RESOURCES,3,6
LEVITT SAFETY,1.56,9
LEXISNEXIS CANADA,2.57,14
LIFE TECHNOLOGIES,1.85,26
LIFELABS,1.33,3
LIFESPEAK,3.25,4
LIKE 10,3.2,5
LINDSAY CONSTRUCTION,3.33,3
LINOVATI,2.82,22
LIONBRIDGE,1.81,122
LLOYD LIBKE LAW ENFORCEMENT SALES,1.33,3
LLOYD S REGISTER CANADA,1,6
LOCKHEED MARTIN,1,1
LOGISTIK UNICORP,2.2,5
LOISELLE,1.5,2
LOTEK WIRELESS,1.4,5
LOUIS W BRAY CONSTRUCTION,5,8
LOWE MARTIN COMPANY,1.5,12
LRO STAFFING,1.5,10
LS TELCOM,2,2
LUCIRA HEALTH,1.5,2
LUMINA IT,1.63,133
LUMINULTRA TECHNOLOGIES,1.5,2
LUXTON CONSTRUCTION,1.44,9
LWG ARCHITECTURAL INTERIORS,1.8,10
M 2 GROUP,3.5,2
M A INDEPENDENT BUILDING SERVICES,7,1
M D CHARLTON,1.5,8
M D STEELE CONSTRUCTION,3,1
M R ENGINEERING,3.6,5
M SULLIVAN SON,2,2
MACDONALD DETTWILER AND ASSOCIATES,3.06,34
MACEWEN PETROLEUM,1.55,11
MACONNERIE DYNAMIQUE,3,6
MACONNERIE RAINVILLE ET FRERES,5.4,5
MADSEN DIESEL TURBINE,1.11,18
MAGAL S3 CANADA,1.25,4
MAGELLAN AEROSPACE,2,2
MAGNET FORENSICS,2,6
MAISON CHARLEMAGNE,2,2
MAISON CROSS ROADS DE LA SOCIETE,2.75,4
MAISON DECISION HOUSE,2.5,2
MAISON JEUN AIDE,2.5,2
MAISON JOINS TOI,6.5,2
MAISON PAINCHAUD,4,2
MAISON RADISSON,3.5,2
MAKWA RESOURCING,2.86,29
MALLEN GOWING BERZINS,1.67,6
MANIFEST COMMUNICATIONS,4.33,3
MANPOWER SERVICES CANADA,1.7,10
MAPLE REINDERS CONSTRUCTORS,5.25,4
MAPLESOFT CONSULTING,1.98,245
MARCO MARITIMES,2,1
MARINE CONTRACTORS,1.43,7
MARINE RECYCLING,1.29,7
MARINENAV,2.04,23
MARITECH CONSTRUCTION,2.33,3
MARITIME FENCE,3.67,3
MARITIME FUELS,1.1,10
MARKIDO,2.2,10
MARRBECK CONSTRUCTION,7,1
MARTECH ELECTRICAL SYSTEMS,4.33,3
MASKIMO CONSTRUCTION,5.33,3
MASONTECH,7,3
MATANE PRODUCTION,3,1
MATCON ENVIRONMENTAL,1.4,5
MATCON EXCAVATION SHORING,2.29,14
MATRIX AVIATION SOLUTIONS,1,2
MAVERIN,2.12,8
MAVERIN BUSINESS SERVICES,3,1
MAXIM 2000,6.6,5
MAXSYS STAFFING AND CONSULTING,1.56,63
MCAFEE INTERNATIONAL,2,1
MCCOLMAN SONS DEMOLITION,2,1
MCDONALD BROS CONSTRUCTION,5,1
MCELHANNEY ASSOCIATES,2.11,37
MCGILL UNIVERSITY,1.5,12
MCGREGOR GEOSCIENCE,3,2
MCKESSON CANADA,1,21
MCKINSEY AND COMPANY,1.25,4
MCKNIGHT ENTERPRISES,2,3
MCMASTER UNIVERSITY,1.33,3
MCNALLY CONSTRUCTION,1.83,6
MCW CONSULTANTS,1,6
MCW CUSTOM ENERGY SOLUTIONS,2,4
MDOS CONSULTING,2.05,22
MED ENG HOLDINGS,1,2
MEDALLION MILK,1,1
MEDAVIE,3.33,3
MEDI SELECT,1,1
MEDIA Q,1.21,28
MEDTRONIC CANADA,2,1
MEEWASINOTA CRF,1.33,3
MEGA POWER INSTALLATIONS,1,1
MEGA TECH,1.17,6
MEGALEXIS COMMUNICATIONS,1.71,34
MEGGITT,1,1
MELTWATER NEWS CANADA,1.55,11
MERCER CANADA,2.33,3
MERCK FROSST,1.67,3
MERCURY MARINE,1.33,6
MERIDIAN ENGINEERING,2,14
MESSA COMPUTING,2.67,21
METOCEAN TELEMATICS,2.92,12
METRO LOGISTICS,4,1
METRO PAVING AND ROAD BUILDING,2,9
MGIS,1.96,25
MHV SERVICES D HYGIENE,1.52,23
MICHAEL WAGER CONSULTING,2.1,20
MICHANIE CONSTRUCTION,2,9
MICRONOSTYX,2.5,2
MICROSOFT CANADA,2.36,137
MID CANADA MOD CENTER,1.11,18
MID VALLEY CONSTRUCTION,1.5,2
MIKE KELLY SONS,2.5,2
MILESTONE ENVIRONMENTAL,2.67,9
MILLBROOK TACTICAL,1.8,5
MILLENNIUM LIMOUSINE SERVICE,3,1
MILLER WASTE SYSTEMS,1,3
MILLIPORE CANADA,2,3
MILTEX SOLUTIONS CANADA,1.5,2
MINDWIRE SYSTEMS,2.28,366
MINISTRY OF FINANCE,1,2
MIREMS,1.56,9
MISHKUMI TECHNOLOGIES,1.08,13
MITSUBISHI MOTOR SALES,1.82,39
MNP,1.94,34
MOBILE RESOURCE GROUP,2.4,5
MODERN CONSTRUCTION,1.5,2
MODIS CANADA,2.16,354
MOERAE SOLUTIONS,2.08,13
MOMENTUM SOLUTIONS,1.67,3
MONERIS,1,2
MOORE CANADA,2.06,16
MORIYAMA TESHIMA ARCHITECTS,6.5,2
MORNEAU SHEPELL,3.54,13
MORPHO CANADA,3.75,4
MORRISON HERSHFIELD,1.32,22
MOSS DEVELOPMENT,3.67,3
MOTOROLA SOLUTIONS CANADA,1.42,38
MOUNTAIN ROCK STABILIZATION,1,4
MRS MANAGEMENT AND,1,1
MTC LAW,3,1
MTE LOGISTIX EDMONTON,2,1
MTM 2 CONTRACTING,2.25,4
MTS ALLSTREAM,1.27,94
MUFACTOR,1,1
MULTISHRED,1,3
MUNICIPAL READY MIX,2,6
MURRAYS MILLWOOD MANOR,2,1
MURRAYS WINDERMERE GARDENS,2,2
MUSTANG HELICOPTERS,1.44,9
MUSTANG SURVIVAL,1.43,7
MWCO,1,1
N P A,1,1
N12 CONSULTING,3.38,8
"NADINE INTERNATIONAL",1.53,15
"NAHANNI CONSTRUCTION",5.67,3
"NANOMETRICS",2,1
"NAPPAQ DESIGN CONSTRUCTION",3,1
"NATIONAL ARTS CENTRE",4,1
"NATIONAL STRUCTURES",2.67,3
"NATIONS TRANSLATION GROUP",1.5,88
"NATIVE CLAN ORGANIZATION",1.67,3
"NATTIQ",1.73,26
"NAUT MAWT TRIBAL COUNCIL",1,1
"NAV CANADA",1.25,4
"NAVAMAR",2,3
"NAVPOINT CONSULTING GROUP",2.5,10
"NAVTECH",6.33,3
NDL CONSTRUCTION,6,2
NELSON ENVIRONMENTAL REMEDIATION,1,4
NEOPOST CANADA,1,1
NEPTEC DESIGN GROUP,1.67,3
NEPTUNE SECURITY SERVICES,2.33,3
NEUROSCOPE,6,1
NEW ENGLAND BIOLABS,1,2
NEWDOCK ST JOHN S DOCKYARD,1.61,31
NEWFOUND RECRUITING,1.51,43
NEWFOUNDLAND HELICOPTERS,1,4
NFOE,2.67,6
NICHE TECHNOLOGY,1,1
NIMBLE INFORMATION STRATEGIES,1.6,10
NISHA TECHONOLOGIES,1.6,136
NISSAN CANADA,1.69,13
NITAM SOLUTIONS,1,9
NITRO CONSTRUCTION,2.6,5
NKE INSTRUMENTATION,1,3
NMC DYNAPLAS,1,1
NORDMEC CONSTRUCTION,2,2
NORR,2.57,23
NORTAC DEFENCE,1.33,3
NORTAK SOFTWARE,1.89,9
NORTH AMERICA CONSTRUCTION,5,1
NORTH ATLANTIC PETROLEUM,1,3
NORTH CARIBOO AIR,1.58,24
NORTH COUNTRY MAINTENANCE,1,1
NORTHEAST TREE TRIMMING,5,2
NORTHERN CONSTRUCTION,2,6
NORTHERN CONTRACTING,4,1
NORTHERN MICRO,1.64,143
NORTHFIELD METAL PRODUCTS,1,2
NORTHWEST HYDRAULIC CONSULTANTS,1.33,3
NORTHWEST MARINE TECHNOLOGY,1,1
NORTHWESTEL,1.89,9
NORTRAX CANADA,1.2,5
NOTRA,1,2
NOVA CONSTRUCTION,3,2
NOVA NETWORKS,1.1,10
NOVA SCOTIA POWER,1.25,4
NOVIPRO,2,1
NOYE AND NOYE,2,2
NP AEROSPACE CANADA,2.5,2
NRNS,2,11
NUA OFFICE,1,11
NUCTECH COMPANY,1.5,2
NUIX NORTH AMERICA,2.5,4
NUMBER TEN ARCHITECTURAL GROUP,2.18,17
NUNA EAST,5.5,2
NUNAVUT ARCTIC SERVICES,1,1
OCEAN NAVIGATION,1,2
OCEAN PACIFIC MARINE SUPPLY,1.33,3
OCLC CANADA,5,2
OEI KRUEGER,1.08,25
OGILVY MONTREAL,3,4
OKANAGAN AGGREGATES,2.06,16
OKANAGAN HALFWAY HOUSE SOCIETY CRF,2,4
OLIN,1.83,6
ONICA TECHNOLOGIES CANADA,1,1
ONIX NETWORKING CANADA,5.5,2
ONLINE CONSTRUCTORS,1.46,13
ONTARIO DENTAL ASSOCIATION,1.45,64
ONX ENTERPRISE SOLUTIONS,1.18,11
OPEN GEOSPATIAL CONSORTIUM,1.4,5
OPEN STORAGE SOLUTIONS,1,3
OPENFRAME TECHNOLOGIES,1.79,14
OPENTEXT,1.46,59
OPROMA,2.31,13
OPSIS,1,4
OPSIS GESTION INFRASTRUCTURES,1,2
OPTIV CANADA FEDERAL,1,5
ORACLE CANADA,2.6,30
ORANGUTECH,1.56,41
ORBIS RISK CONSULTING,1.25,12
OSKAR CONSTRUCTION,1.57,7
OTIS ELEVATOR,2.13,15
OTTAWA BUSINESS INTERIORS OBI,1,2
OTTAWA CONVENTION CENTRE,1,2
OTTAWA GREENBELT CONSTRUCTION,2,2
OTTAWA MARRIOTT HOTELS INNVEST HOTELS GP,1,15
OUTLAW EAGLE MANUFACTURING,1,2
OVID TECHNOLOGIES,1.33,3
OXFORD ECONOMICS USA,1.5,2
OXFORD NANOPORE TECHNOLOGIES,1.5,2
P B ENTREPRISES,1,1
P K WELDING FABRICATORS,5,1
PACIFIC INDUSTRIAL MARINE,1.6,20
PACIFIC SAFETY PRODUCTS,1.86,14
PACWILL ENVIRONMENTAL,2,4
PAGEAU MOREL ASSOCIES,2.3,10
PAL AEROSPACE,4.31,13
PALADIN GROUP,1.7,30
PALFINGER MARINE,1.33,9
PAN AMERICAN DEVELOPMENT FOUNDATION,1,1
PANASONIC,1,9
PARKLAND,2.73,11
PARKLAND FUEL,1,1
PARKLAND INDUSTRIES,2.22,9
PARKLAND REFINING,1.5,8
PARSONS CANADA,2.77,26
PATLON AIRCRAFT INDUSTRIES,1,1
PATTISON SIGN GROUP,1,14
PAVEX,2,1
PCL CONSTRUCTORS,2.49,39
PEERLESS GARMENTS,1.33,3
PENN CONSTRUCTION CANADA,4.67,3
PENNECON,1.71,14
PEPCO,1.11,9
PEPIN FORTIN CONSTRUCTION,1,1
PERCEPTICS,8.67,3
PETER J KINDREE ARCHITECT,2.17,12
PETER KIEWIT SONS,3,1
PETERS CONSTRUCTION,1.5,4
PETROVALUE PRODUCTS,1,7
PFIZER CANADA,1,1
PHASELOCK SYSTEMS INTERNATIONAL,1,1
PHOENIX DRUG ALCOHOL RECOVERY,2.33,3
PHOENIX STRATEGIC PERSPECTIVES,1.33,3
PIDHERNEY S,2.5,2
PILITAK ENTERPRISES,2,2
PIONEER CONSTRUCTION,5,1
PIPE QUEST PROJECTS,6,1
PITNEY BOWES,2.3,27
PLANET LABS GEOMATICS,1,2
PLEIAD CANADA,1.28,18
PMB ELECTRICAL SERVICES,2.42,24
PMG TECHNOLOGIES,2.03,33
PODOLINSKY EQUIPMENT,1,4
POINT HOPE MARITIME,1.6,5
POLARIS INDUSTRIES,1.14,14
POMERLEAU,4.31,16
PORT OF SPAIN HOLDINGS,1.29,7
PORTAGE PERSONNEL,1.56,39
POSTMEDIA NETWORK,1.4,5
POWER AUCTIONS,1.75,4
PR3 MEDIAS,2.5,2
PRA,1.69,16
PRAGMATIC CONFERENCING,4,1
PRECISIONIT,1.62,48
PRICEWATERHOUSE COOPERS,2.13,358
PRINCE GEORGE ACTIVATOR,4,1
PRINTERS PLUS,1.91,22
PRISM ENGINEERING,1,3
PROCOM CONSULTANTS,2.52,120
PROLINE ADVANTAGE,1,1
PROLOGIC SYSTEMS,1.27,30
PROMAXIS,1.71,24
PRONEX EXCAVATION,3,2
PROOF EXPERIENCES,2.14,7
PROQUEST,1,6
PROSCI CANADA,1.3,10
PROTAK CONSULTING GROUP,1.92,51
PROVENCHER ROY ASSOCIES,1.67,12
PURELOGIC,1,2
PURESPIRIT SOLUTIONS,1.29,14
PUROLATOR,1.53,19
PYLON ELECTRONICS,1.5,2
QATAR AIRWAYS,3.6,5
QIAGEN,2,3
QINETIQ,2,1
QM ENVIRONMENTAL,1.53,15
QMR,1.49,165
QUADBRIDGE,1,1
QUANTUM MANAGEMENT SERVICES,1.69,45
QUARTZ NATURE,1,1
QUEEN S UNIVERSITY,1.14,7
QUINAN CONSTRUCTION,2.33,9
QUINTET CONSULTING,1.24,46
QUOREX CONSTRUCTION SERVICES,3.38,8
QUORUM,5.5,2
QUORUS CONSULTING GROUP,1.18,11
R A MALATEST ASSOCIATES,1.2,5
R C M MODULAIRE,9,1
R D CONSTRUCTION,3.5,2
R E GILMORE INVESTMENTS,1.6,15
R GUILBEAULT CONSTRUCTION,3,1
R J MACISAAC CONSTRUCTION,1,1
R LAMBA FORENSIC PSYCH SERVICE,1,1
R R INTERNATIONAL TRANSLATION,1.26,38
R W TOMLINSON,2.83,6
RACEROCKS 3D,1,1
RACING FORENSICS,1,1
RADIATION SOLUTIONS,3.67,3
RAMPART INTERNATIONAL,1.83,6
RANDSTAD,2.16,435
RAPISCAN SYSTEMS,3.25,4
RATIO ARCHITECTURE INTERIOR DESIGN,2.46,13
RAYMOND CHABOT GRANT THORNTON,1.38,87
RAYTHEON,1,1
REDACTED,1,2
REDI FORM CONSTRUCTION,1.6,5
REDMANGO MEDIA,2,2
REDWOOD PERFORMANCE GROUP,1,2
REFORMAR,2.5,2
REGENT CONSTRUCTION,6.67,3
REHAB,3,4
REPARATIONS NAVALES ET INDUSTRIELLES OCEAN,1.43,46
REPUBLIC ARCHITECTURE,1.86,28
RESIDENCE CARPEDIEM,3,4
RESIDENCE LAFLEUR,1.67,3
RGB MEDIA,1.33,9
RHEA,1.09,11
RHEINMETALL,4,4
RICOH,1.63,254
RIGGS ENGINEERING,1.56,9
RISK SCIENCES INTERNATIONAL,1.5,18
RJG CONSTRUCTION,1.92,26
RMS SOFTWARE,1.43,7
ROBERT ALLAN,2.33,3
ROBERTSON GEOCONSULTANTS,1,2
ROBERTSON MARTIN ARCHITECTS,3.44,9
ROBIN ELECTRIC,3,2
ROCHE DIAGNOSTICS,1.33,9
ROCKWELL COLLINS CANADA,1,1
ROGERS,3.46,26
ROHDE SCHWARZ CANADA,2,2
ROLLING TIDES CONSTRUCTION,1,1
RONA,1,5
RONALD J POIRIER PROFESSIONAL,3,1
RONDAR,1.67,3
ROSBOROUGH BOATS,2.2,10
ROSCOE CONSTRUCTION,2.8,5
ROSS AND ANGLIN,2.5,2
ROUDEL MEDICAL AND SURGICAL,1.5,2
ROXBORO EXCAVATION,5,3
ROYS CHEVROLET BUICK GMC,2,1
RPL ARCHITECTS,3,1
RTG PROTECH,1.25,12
RUSSEL METALS,1,5
RUSSELL CHERNOFF RAND THOMPSON,1.67,12
RYCOM,4.22,9
S P GLOBAL MARKET INTELLIGENCE,1.62,8
S W WEEKS CONSTRUCTION,1,1
SAAB,2,1
SABA SOFTWARE,5.5,4
SALESFORCE CANADA,1.14,7
SALISH SEA INDUSTRIAL SERVICES,1.5,6
SALVATION ARMY,3.39,36
SAMSON AND ASSOCIATES,1.5,2
SAMSON ASSOCIATES CPA CONSULTING,1.33,6
SAMSON ASSOCIES,1.43,107
SANDOZ CANADA,1.5,4
SANEXEN SERVICES ENVIRONMENTAUX,1.25,8
SANI SABLE LB,3.09,11
SANI SPORT,1,1
SAP,2.35,40
SARTORIUS STEDIM NORTH AMERICA,1.4,5
SAS AIR,1.29,7
SAS INSTITUTE,2.23,13
SASKTEL,2.11,9
SCA SHIPPING CONSULTANTS ASSOCIATED,1,1
SCANSA CONSTRUCTION,2,5
SCHOELER HEATON ARCHITECTS,1.79,14
SDL INTERNATIONAL CANADA,1.5,4
SEACOAST MARINE ELECTRONICS,1.29,7
SEAFIRST CONSTRUCTION,2,1
SEAGATE CONSTRUCTION,2.58,12
SEALITE USA,1.17,6
SEASONS CULINARY SERVICES,1,2
SEAWATCH,1.75,4
SEAWAVES DEVELOPMENT SERVICES,3,2
SEAWAY CONSTRUCTION MANAGEMENT IN,2.5,2
SECURE ENERGY ONSITE SERVICES,2,1
SECUREKEY TECHNOLOGIES,1.5,2
SECURIGUARD SERVICES,1,1
SED SYSTEMS,3,1
SEEGENE CANADA,2,1
SEGUIN MORRIS,1.8,10
SEMANTIC CONSULTING,2.17,6
SENSTAR,1.29,7
SENSUS COMMUNICATION SOLUTIONS,3.6,5
SEPW ARCHITECTURE,2.1,10
SEQIRUS CANADA,1.5,2
SERCO,2,2
SERVICE STAR BUILDING CLEANING,3.57,7
SERVICES D AIDE EN PREVENTION DE LA CRIMINALITE,6,2
SERVICES LINGUISTIQUES VERSACOM,1.4,5
SETANTA CONTRACTING,3,1
SEYEM,1,1
SGS AXYS ANALYTICAL SERVICES,1.5,4
SHARP ELECTRONICS,1.5,107
SHAW CABLE,2,3
SHELL CANADA PRODUCTS,2,6
SHELTER NOVA SCOTIA,5,3
SHI CANADA,1.14,7
SHM CANADA CONSULTING,1.53,19
SHOULDICE MECHANICAL,1.5,2
SHRMA ARCHITECTS IN JOINT VENTURE,7,1
SI SYSTEMS,2.37,695
SIEMENS,1.49,49
SIERRA SYSTEMS GROUP,2.47,17
SIFEC NORTH,3,6
SIGMA SAFETY,5,1
SIGN LANGUAGE INTERPRETING,2.68,22
SIGNATURE SUR LE SAINT LAURENT,3,1
SILLIKER,1,7
SIMEX DEFENCE,1.6,5
SIMONSON CONSTRUCTION,1,2
SIMPLEX GRINNELL,2.03,29
SIMPSON BUILDING CONTRACTORS,1,2
SKILLSOFT CANADA,7,1
SKRETTING,1,3
SKY CANOE,2,1
SLR CONSULTING CANADA,1.68,53
SMITHS DETECTION,2.3,27
SNAP ON TOOLS OF CANADA,1,1
SNC LAVALIN,2.01,162
SOCIETE ELIZABETH FRY DU QUEBEC,4.33,3
SOCIETE EMMANUEL GREGOIRE,2,8
SOFTCHOICE,2.35,62
SOFTSIM TECHNOLOGIES,1.73,22
SOFTWARE ENGINEERING OF AMERICA,1,1
SOLACE,1.25,4
SOLANA NETWORKS,1.67,3
SOLOTECH,1.73,22
SOLUDOC,2.08,13
SOLUTIONS MOERAE,1.88,17
SOMOS,2,7
SOUTHWEST RESEARCH INSTITUTE,1,2
SOVO TECHNOLOGIES,4,1
SPACE STRATEGIES CONSULTING,1,2
SPARTAN BIOSCIENCE,1,1
SPEARHEAD MANAGEMENT CANADA,1.33,6
SPECIALTY BUILDING SERVICES,3,5
SPERRA CONSTRUCTION,2,6
SPRINGER VERLAG,1,1
SPRINGHILL CONSTRUCTION,9,1
SRA STAFFING SOLUTIONS,2.08,13
ST AIRBORNE SYSTEMS,1.33,3
ST DENIS THOMPSON,5.67,3
ST GELAIS MONTMINY ASSOCIES,3.11,9
ST ISIDORE ASPHALTE,3,1
ST JOHN AMBULANCE,2.33,3
ST JOSEPH PRINT GROUP,1.33,12
ST LEONARD S COMMUNITY SERVICES,4.8,5
