d_vendor_name,total_amendment_increase_value,n
FREEBALANCE,1750434.93,17
FREQUENTIS CANADA,2695715.62,7
FRESENIUS KABI CANADA,1697517.63,2
FSA ARCHITECTURE,628841.70,5
FSC,38349.94,1
FTI CONSULTING,41378145.85,1
FTS FOREST TECHNOLOGY SYSTEMS,-824670.00,3
FUGRO GEOSURVEYS,-404926.91,5
FUJITSU,81119524.04,27
FUNDY CONTRACTORS,1179361.17,3
FVB ENERGY,4946855.44,40
G BIRD HOLDINGS,565000.02,1
G C M CONSULTANTS,174824.16,2
G PLUS INDUSTRIES,1866824.21,2
G4S SECURITY SERVICES,28939880.25,19
GAGNON LETELLIER CYR RICARD,-2470743.47,4
GALAXY BROADBAND COMMUNICATIONS,2670506.86,3
GAMBLE TECHNOLOGIES,1505261.95,4
GARDA SECURITY GROUP,49588748.45,49
GARDNER ELECTRIC,167790.21,1
GARDON CONSTRUCTION,369496.39,4
GARTNER,428370.31,85
GAT INTL LOCALIZATION SERVICES,385844.37,2
GATESTONE,42593867.00,5
GATEWAY MECHANICAL SERVICES,2359387.32,11
GAUDETTE S TRANSIT MIX,905189.52,9
GC STRATEGIES,26429501.19,37
GDI SERVICES,-208793281.24,33
GEMMA PROPERTY SERVICES,2575783.86,8
GEMTEC,7962843.12,47
GENERAL DYNAMICS,10374570.54,13
GENERAL ELECTRIC CANADA,1622838.11,5
GENERAL MOTORS,5539110.94,93
GENESIS INTEGRATION,149505.29,19
GENOME QUEBEC,626188.76,15
GEORGE COUREY,5475.27,2
GESTION AJ,961786.67,7
GESTION SEPTEM,1109494.26,4
GETINGE CANADA,6636068.03,8
GFL ENVIRONMENTAL,783057.57,18
GFL ENVIRONMENTAL SERVICES,-62822.73,3
GHD,72719.40,22
GILMORE REPRODUCTIONS,6487300.97,11
GLAMOX CANADA,-11050801.07,1
GLASSHOUSE SYSTEMS,66055.95,4
GLAXOSMITHKLINE,570524.88,7
GLENCAIRN EDUCATIONAL SERVICES,6245250.30,2
GLOBAL KNOWLEDGE,1013720.95,14
GLOBAL LIFE SCIENCES SOLUTIONS,243966.52,9
GLOBAL TOTAL OFFICE,2380667.28,7
GLOBAL UPHOLSTERY,-26026.79,14
GLOBE AND MAIL,4943050.76,5
GO DEEP INTERNATIONAL,-593991.20,6
GOLDER ASSOCIATES,147928013.84,112
GOOGLE CANADA,795771.90,6
GORDON FOOD SERVICE,628507.79,9
GOSS GILROY,1460913.23,20
GOVAN BROWN ASSOCIATES,2737335.53,3
GOVERNMENT OF ALBERTA,11560416.50,13
GOVERNMENT OF NUNAVUT,285030.94,3
GOVERNMENT OF SASKATCHEWAN,135728.07,3
GOVERNMENT OF THE NWT,1059500.00,1
GQ LIFE SCIENCES,786699.62,1
GRAEBECK CONSTRUCTION,808783.78,2
GRAHAM CONSTRUCTION,8969481.04,5
GRAND TOY,157836.33,11
GRANICUS CANADA HOLDINGS,497303.18,4
GRANITE MANAGEMENT,339126.27,7
GRAW RADIOSONDES,791818.00,1
GRAYBAR CANADA,0.00,1
GRAYBRIDGE INTERNATIONAL CONSULTING,42749394.88,192
GRAYMONT NB,454613.03,3
GRAYSHIFT,1291224.16,1
GRC ARCHITECTS,7683379.25,11
GREAT SLAVE HELICOPTERS,9915074.63,25
GREATER TORONTO AIRPORT AUTHORITY,45693090.36,5
GREEN LIGHT CONSULTING SOLUTIONS,3415272.77,2
GREEN TIMBERS PARTNERSHIP,-29877239.79,1
GREENDALE RESOURCES,864842.77,7
GREENFIELD CONSTRUCTION,7679616.95,13
GREG VAN WYK PROFESSIONAL,2373727.20,6
GREY ROCK SERVICES,13811835.19,2
GRIFFIN ENGINEERED SYSTEMS,3457914.70,3
GRIFFON HOVERWORK,-268049.51,14
GROUPE ABS,3187856.83,1
GROUPE EDGENDA,335097.99,6
GROUPE ENERGIE BDL,-188727.12,1
GROUPE ONSCOPE,13947880.38,2
GROUPE ROBERT,838632.33,1
GW REALTY,1112873.75,6
H J R ASPHALT,105367.50,1
HACKETT CONSULTING,213901.48,12
HALIFAX CITADEL SOCIETY,3501189.28,3
HALIFAX CONVENTION CENTRE CORPORATI,292810.25,1
HALIFAX INTERNATIONAL AIRPORT,1217677.50,1
HALPENNY INSURANCE BROKERS,2864775.56,13
HAMEL CONSTRUCTION,4831362.46,4
HAN CHANG MEDIC,2211788.90,1
HARBOURSIDE ENGINEERING CONSULTANTS,5958468.92,20
HARNOIS ENERGIES,352292.94,18
HASTINGS PAINTING,337573.61,2
HATCH,5126723.13,6
HAUL ALL EQUIPMENT,24796.80,1
HAWBOLDT INDUSTRIES,194381.08,7
HAWORTH,374305.38,11
HAZELWOOD CONSTRUCTION SERVICES,5275768.58,1
HCL CANADA,57297.09,2
HDP GROUP,1639198.57,6
HEARTZAP SAFETY TRAINING AND EQUIPMENT,65905.21,3
HEAVY METAL MARINE,4261667.28,10
HEDDLE MARINE SERVICES,8361985.49,31
HEILTSUK HORIZON MARITIME SERVICES,246671.88,2
HELI LIFT INTERNATIONAL,681115.45,13
HELITRADES,22518.98,8
HEMMERA ENVIROCHEM,1697289.76,3
HEROLD ENGINEERING,1584111.11,17
HERRING CONSERVATION AND RESEARCH SOCIETY,2808214.50,2
HEWLETT PACKARD,330705929.82,15
HEXAGON,121317.91,1
HIGHLANDS FUEL DELIVERY,901108.72,7
HIGHLINE ELECTRIC P A,489248.53,1
HIKE METAL PRODUCTS,4592299.31,3
HILL KNOWLTON CANADA,80747.95,7
HIPPERSON CONSTRUCTION,830389.21,1
HITACHI DATA SYSTEMS,22602783.14,10
HOLLAND COLLEGE,13488608.81,1
HOLONICS,2820223.17,4
HOMEWOOD HEALTH,1841896.06,2
HONEYWELL,14370292.00,48
HOOTSUITE,12450635.55,1
HORIZANT,8173470.50,14
HORSESHOE HILL CONSTRUCTION,-273170.20,1
HOSKIN SCIENTIFIC,5400842.92,15
HOULE ELECTRIC,591600.53,12
HOUSE OF HOPE,10956018.28,5
HOVEY INDUSTRIES 2005,667342.37,2
HOWARD E LITTLE EXCAVATING,517500.00,1
HOWARD HOUSE ASSOCIATION OF CAPE BRETON,5305977.00,3
HR ASSOCIATES,1762773.13,33
HUBSPOKE,2417492.78,4
HUMANSCALE CANADA,125027.96,4
HYPERACTIVE PRODUCTIONS,532502.24,7
HYPERTEC,10235907.55,62
I M P GROUP,45200.00,2
I4C INFORMATION TECHNOLOGY,10575152.54,21
IBI GROUP ARCHITECTS CANADA,7186982.45,5
IBISKA TELECOM,118058052.99,141
IBM CANADA,321065171.84,201
ICE DEVELOPMENT,298169.69,1
ICEBERG NETWORKS,1247919.97,7
ICOR TECHNOLOGY,4163393.31,6
ICU MEDICAL CANADA,0.00,1
IDP GROUP,515963.03,2
IDS SYSTEMS CONSULTANTS,1942496.18,3
IFATHOM,2315339.15,12
IIC TECHNOLOGIES,-186027.71,17
ILLUMINA CANADA,1658877.78,24
IMP GROUP,2008800.83,6
IMPERIAL CLEANERS,3550552.19,8
IMPERIAL OIL,2071890.66,79
IMTECH MARINE CANADA,429737.86,8
INDIVIOR UK,7106475.09,4
INDUSTRA CONSTRUCTION,6199218.34,28
INDUSTRIES OCEAN,1601398.48,6
INFO TECH RESEARCH GROUP,298864.07,5
INFORMATICA,678079.06,1
INFOSYS,58853180.94,1
INKSMITH,49579.42,1
INLAND AUDIO VISUAL,31132.08,1
INMARSAT SOLUTIONS,225741556.84,5
INNOVASEA MARINE SYSTEMS CANADA,40088.03,14
INSA,89349982.58,26
INSIGHT SOFTWARE CANADA,756143.42,6
INSTITUT NATIONAL D OPTIQUE,974486.81,3
INSTITUTE ON GOVERNANCE,343073.00,18
INSTRUX MEDIA,2350930.18,3
INTEGRA NETWORKS,4458916.97,5
INTEGRATED DISTRIBUTION SYSTEMS,190771.39,5
INTER MEDICO,13073539.50,3
INTER OUTAOUAIS,14695.65,1
INTERACTIVE AUDIO VISUAL,-140140.58,17
INTERCON MARINE,3666901.91,11
INTERNATIONAL REPORTING,583549.91,14
INTERNATIONAL SAFETY RESEARCH,167240.02,4
INTERNATIONAL TRUCK BODY,86734.29,1
INTEROUTE CONSTRUCTION,1075955.22,4
INTERWORKS CONTRACTING,336589.74,4
INVENTA SALES AND PROMOTIONS,3977600.00,1
INVERIS TRAINING SOLUTIONS,141971.10,1
IPS INTEGRATED PROJECT SERVICES,917852.19,4
IPSOS,1480270.51,9
IPSS,29562256.03,41
IQVIA,2241116.18,5
IRON MOUNTAIN,3010769.05,162
IRONCLAD EARTHWORKS,1989945.93,4
IRVING OIL,1515786.60,31
IRVING SHIPBUILDING,27821154.96,4
ISLAND TEMPERATURE CONTROLS,196297.51,1
ISOMASS SCIENTIFIC,718399.50,1
ISOPLEX,0.00,1
IT NET CONSULTANTS,13835639.19,46
ITEL NETWORKS,1229920.75,1
ITEX,20803662.55,36
IVALUA CANADA,1082574.70,1
IVAN S CAMERA,19915.55,8
J 1 CONTRACTING,9670505.89,2
J E ENTERPRISES,249361.16,7
J J LEPERA INFRASTRUCTURES,365706.35,1
J J TRAILERS MANUFACTURERS AND SALES,153633.00,1
J L RICHARDS ASSOCIATES,3029310.41,38
J M J HOLDINGS,1560083.68,5
J M LEDRESSAY ASSOCIATES,12794540.78,1
J O THOMAS ASSOCIATES,5219151.65,8
J P GRAVEL CONSTRUCTION,736560.24,8
J STERLING INDUSTRIES,24242.00,1
J W LINDSAY ENTERPRISES,6864632.88,2
JACOB BROS CONSTRUCTION,1754762.18,1
JAMES E FARENHOLTZ LAW,6307957.69,1
JANE S GROUP UK,-24826.26,1
JANKEL TACTICAL SYSTEMS,23261950.28,4
JASCO APPLIED SCIENCES CANADA,-67982.90,11
JASPER CONCRETE,422447.69,9
JASTRAM ENGINEERING,4018048.72,2
JCB,29805.48,1
JCL INVESTMENTS,205284.58,1
JEMTEC,450973.46,1
JEOL,66844.18,4
JIM PATTISON INDUSTRIES,177087.57,23
JJM CONSTRUCTION,-1526686.36,3
JLR,2843536.24,2
JOAN HOLMES ASSOC,547358.48,10
JOHN HOWARD SOCIETY,135257458.04,91
JOHN WILEY SONS,2523494.09,9
JOHNSON CONTROLS,296420.42,14
JOHNSON CONTROLS CANADA,35229466.54,8
JOHNSON S CONSTRUCTION,839332.23,7
JOKINEN LAW PROFESSIONAL,5139618.03,1
JONELJIM CONCRETE CONSTRUCTION,28027407.97,14
JONES LANG LASALLE,2299298.93,14
JOSEPH ELIE,67529.49,9
JOSEPH RIBKOFF,3926282.41,1
JP2G CONSULTANTS,610150.59,9
JUMEC CONSTRUCTION,1773510.41,5
JUMPING ELEPHANTS,230460.97,5
JUNO RISK SOLUTIONS,82957.14,13
K C E CONSTRUCTION,4079174.04,1
K L CONSTRUCTION ONTARIO,294416.36,2
K RITE CONSTRUCTION,1175744.04,2
KANTER MARINE,7873374.36,8
KASIAN ARCHITECTURE INTERIOR DESIGN,5107278.45,20
KASIEL SOLUTIONS,1072326.09,2
KAYWAY INDUSTRIES,55708.80,4
KEHOE MARINE CONSTRUCTION,622572.13,4
KENN BOREK AIR,19055878.49,21
KETZA PACIFIC CONSTRUCTION,323897.22,7
KEYDATA ASSOCIATES,5774665.17,10
KEYSIGHT TECHNOLOGIES CANADA,268846.20,2
KEYSTONE ENVIRONMENTAL,4084800.90,10
KEYSTONE SUPPLIES INTERNATIONAL,-907466.13,10
KF AEROSPACE,2916652.26,13
KFN ENTERPRISES PARTNERSHIP,1401794.98,1
KIA CANADA,-67086.58,21
KIDA DESIGN,1757760.68,6
KILEY PAVING,840520.82,2
KIM CONSTRUCTORS,587718.71,3
KINETIC CONSTRUCTION,5106301.64,3
KINETIC MACHINE WORKS,547290.73,2
KING CONSTRUCTION,-84909.17,2
KING HOE EXCAVATING,2333781.88,2
KINGHAVEN PEARDONVILLE HOUSE SOCIETY,6755680.78,2
KINGSTON CONSTRUCTION,409746.75,1
KMS INDUSTRIES,1860755.41,4
KMSTANDARDS,1864521.63,2
KNOWLEDGE CIRCLE,565492.70,42
KNOWLEDGE CIRCLE LEARNING SERVICES,379824.60,30
KONE,1040101.36,15
KONGSBERG,297258.22,13
KONICA MINOLTA BUSINESS SOLUTIONS,4900582.15,122
KONTZAMANIS GRAUMANN SMITH,3275297.56,23
KORN FERRY CA,1091302.53,6
KPMG,70176263.86,63
KUBOTA CANADA,4196.09,4
KUDLIK CONSTRUCTION,2536234.84,5
KWC ARCHITECTS,3208794.27,13
KYNDRYL CANADA,117877929.87,13
L A HEBERT,746032.36,4
L AGENCE,111730316.33,5
L BREAU AND SONS,1502498.17,8
L D WATSON E S MACEWEN ALLAN,3250109.33,9
L P ROYER,3063252.59,2
L W DENNIS CONTRACTING,2046203.73,2
L3HARRIS,1893610.10,9
LABORATOIRES OMEGA,653761.50,1
LAKESHORE HELICOPTERS,215801.78,7
LANDCO CONSTRUCTION,686092.26,4
LANDFORM CIVIL INFRASTRUCTURES,1387405.31,2
LANGUAGE MARKETPLACE,2154625.94,19
LANGUAGE RESEARCH DEVELOPMENT GROUP,17250291.29,77
LANNICK CONTRACT SOLUTIONS,3925147.93,24
LANSDOWNE TECHNOLOGIES,1591082.10,8
LAPORTE,1628475.89,13
LAPORTE EXPERTS CONSEILS,2510023.57,2
LARCH HALF WAY HOUSE OF SUDBURY,8357371.54,4
LAREN SOCIETY,5079549.78,1
LARRY PENNER ENTERPRISES,-204234.49,3
LAT49 ARCHITECTURE,1792126.62,4
LAVAL FORTIN,3071278.59,1
LAVERGNE CONSTRUCTION,342177.55,6
LE GROUPE GESFOR POIRIER PINCHIN,1577153.71,26
LEAN AGILITY,394609.11,6
LEAR CONSTRUCTION,-22534.05,1
LEC ENGINEERING CONTRACTING,2459062.38,1
LECO INSTRUMENTS,-10683.89,1
LEDCOR CONSTRUCTION,672790.48,1
LEGD,139881.65,1
LEGER MARKETING,508094.44,10
LEICA GEOSYSTEMS,104697.60,3
LEMAY,751439.72,5
LENGKEEK VESSEL ENGINEERING,1019863.22,10
LEO PISCES SERVICES GROUP,5762112.71,18
LEONARDO,109308835.05,3
LES AUTOBUS E MENARD ET FILS,3361730.17,2
LES CONSTRUCTIONS BELAND,605796.50,2
LES CONSTRUCTIONS BINET,3128122.65,4
LES CONSTRUCTIONS DES ILES,3919805.78,4
LES ENQUETES HENRI,272719.76,33
LES ENTREPRISES FERVEL,4072511.11,6
LES ENTREPRISES MICHAUDVILLE,973924.95,1
LES ENTREPRISES P E C,7358886.04,12
LES ENTREPRISES PREBBEL,6438200.94,11
LES ENTREPRISES ROBERT SANFACON,1472384.29,2
LES ENTREPRISES SAMSON ENTERPRISES,588676.15,5
LES EQUIPEMENTS CLAUDE PEDNEAULT,1009820.56,4
LES HUILES DESROCHES,-57025.10,8
LES INSTALLATIONS ELECTRIQUES,1125700.99,1
LES TOITURES RAYMOND ET ASSOCIES,426463.60,5
LES TRADUCTEURS REUNIS,4473510.06,4
LES TRADUCTIONS TESSIER,712253.50,21
LES TRAITEURS BYTOWN CATERING,3943280.13,1
LESAGE DAVID DR,5312124.39,6
LESLIE BENN CONTRACTING,334893.44,6
LEVAERO AVIATION,422213.00,9
LEVERAGE TECHNOLOGY RESOURCES,3861928.25,8
LEVITT SAFETY,1688008.81,9
LEXISNEXIS CANADA,3315003.46,17
LIFE TECHNOLOGIES,19378473.28,31
LIFELABS,52936809.07,4
LIFESPEAK,7196455.44,4
LIFEWORKS CANADA,1198311.61,6
LIKE 10,3341536.59,6
LINDE CANADA,120760.86,17
LINDSAY CONSTRUCTION,749999.40,3
LINOVATI,6272983.04,22
LIONBRIDGE,22422183.87,155
LLOYD LIBKE LAW ENFORCEMENT SALES,3684544.54,3
LLOYD S REGISTER CANADA,3774.26,6
LOCKHEED MARTIN,77913.06,1
LOGISTIK UNICORP,-60415262.18,7
LOISELLE,-84550.31,4
LOTEK WIRELESS,893804.78,5
LOUIS TANGUAY INFORMATIQUE,754849.97,1
LOUIS W BRAY CONSTRUCTION,10182328.64,8
LOWE MARTIN COMPANY,3907107.77,17
LRO STAFFING,1436994.32,12
LS TELCOM,16760115.21,2
LUCIRA HEALTH,-913411.58,1
LUMINA IT,34531854.59,171
LUMINULTRA TECHNOLOGIES,103179749.24,2
LUXTON CONSTRUCTION,878854.48,10
LWG ARCHITECTURAL INTERIORS,1099768.45,12
LWTAB COMMUNICATIONS,876214.95,6
M 2 GROUP,953994.98,2
M A INDEPENDENT BUILDING SERVICES,4801957.86,1
M D CHARLTON,1587763.56,10
M D STEELE CONSTRUCTION,4493663.23,1
M R ENGINEERING,4803228.42,6
M SULLIVAN SON,1959790.55,2
MACDONALD DETTWILER AND ASSOCIATES,407657420.49,36
MACEWEN PETROLEUM,478789.61,12
MACONNERIE DYNAMIQUE,5356658.63,6
MACONNERIE RAINVILLE ET FRERES,2584403.58,5
MADSEN DIESEL TURBINE,1448226.40,19
MAE ROBOTICS,197750.00,1
MAGAL S3 CANADA,671589.24,4
MAGELLAN AEROSPACE,989045.89,2
MAGNET FORENSICS,1412438.66,7
MAHER S CONTRACTING,38931.53,3
MAISON CHARLEMAGNE,6677635.09,2
MAISON CROSS ROADS DE LA SOCIETE,10097750.96,4
MAISON DECISION HOUSE,2612454.00,2
MAISON JEUN AIDE,8812997.21,3
MAISON JOINS TOI,9620692.49,3
MAISON PAINCHAUD,8372338.87,2
MAISON RADISSON,5895807.58,2
MAKWA RESOURCING,6869702.34,34
MALATEST,221493.10,7
MANAC WESTERN,233910.00,1
MANULIFE,11403.14,2
MAPLE REINDERS CONSTRUCTORS,171524345.74,4
MAPLESOFT CONSULTING,117743782.41,273
MARCO GROUP,2891466.52,2
MARINE CONTRACTORS,35239.48,7
MARINE RECYCLING,3488718.58,7
MARINENAV,709066.89,23
MARITIME FENCE,3342427.76,3
MARITIME FUELS,240880.82,14
MARKIDO,1714353.31,10
MARRBECK CONSTRUCTION,1329643.69,1
MARTECH ELECTRICAL SYSTEMS,1511051.59,3
MASKIMO CONSTRUCTION,3029393.52,3
MASONTECH,4025872.71,3
MASUD TRADING COMPANY,5843266.10,2
MATANE PRODUCTION,1972139.83,1
MATCON ENVIRONMENTAL,197083.24,5
MATCON EXCAVATION SHORING,293029.00,13
MATRIX AVIATION SOLUTIONS,33352.32,2
MAVERIN,7690787.25,11
MAVERIN BUSINESS SERVICES,217430.49,1
MAXIM 2000,10171188.07,5
MAXSYS STAFFING AND CONSULTING,8689563.95,75
MCAFEE INTERNATIONAL,6212711.36,1
MCELHANNEY ASSOCIATES,8933636.57,45
MCGILL UNIVERSITY,2372915.00,16
MCGREGOR GEOSCIENCE,3860597.51,2
MCKESSON CANADA,67900.17,33
MCKINSEY AND COMPANY,13314719.94,4
MCKNIGHT ENTERPRISES,963758.46,3
MCMASTER UNIVERSITY,917527.42,5
MCNALLY CONSTRUCTION,1919269.44,6
MCW CONSULTANTS,265403.74,8
MCW CUSTOM ENERGY SOLUTIONS,16214431.56,3
MDOS CONSULTING,18151188.67,24
MED ENG HOLDINGS,39548.25,2
MEDAVIE,238723469.71,3
MEDI SELECT,1273.51,1
MEDIA Q,399138.35,32
MEDTRONIC CANADA,14432450.40,1
MEEWASINOTA CRF,7503544.95,3
MEGA POWER INSTALLATIONS,20026.47,1
MEGA TECH,95425.78,7
MEGALEXIS COMMUNICATIONS,13742757.21,49
MELTWATER,1134772.59,22
MERCER CANADA,1002300.84,3
MERCK FROSST,12329472.31,4
MERCURY MARINE,-70390.16,7
MERIDIAN ENGINEERING,1020070.95,16
MERIDIAN MEDICAL TECHNOLOGIES,36339011.99,1
MESSA COMPUTING,6177054.97,22
METOCEAN TELEMATICS,37216354.78,12
METRO LOGISTICS,61427127.05,1
METRO PAVING AND ROAD BUILDING,3254879.95,9
METTLER TOLEDO,52228.20,3
MGIS,27994575.45,29
MHV SERVICES D HYGIENE,2334823.04,33
MICHAEL WAGER CONSULTING,8465255.87,23
MICHANIE CONSTRUCTION,3510202.40,9
MICRONOSTYX,253308.26,3
MICROSOFT CANADA,630251693.88,185
MID CANADA MOD CENTER,367757.74,19
MID VALLEY CONSTRUCTION,209216.10,2
MIKE KELLY SONS,-227878.66,2
MILESTONE ENVIRONMENTAL,8189529.37,10
MILLBROOK TACTICAL,253259.96,6
MILLENNIUM LIMOUSINE SERVICE,1118468.54,1
MILLER WASTE SYSTEMS,135383.03,4
MILLIPORE CANADA,178482.01,3
MILTEX SOLUTIONS CANADA,760073.12,3
MINDWIRE SYSTEMS,66442100.57,414
MINISTRY OF FINANCE,256499.99,2
MISHKUMI TECHNOLOGIES,2362014.99,13
MITSUBISHI MOTOR SALES,1908.10,40
MNP,16667223.34,41
MOBILE RESOURCE GROUP,1535772.47,10
MODERN NIAGARA OTTAWA,804917.75,3
MODIS CANADA,101891465.87,411
MOMENTUM SOLUTIONS,2718412.87,3
MONERIS,85267000.00,2
MOORE CANADA,9992679.59,18
MORIYAMA TESHIMA ARCHITECTS,21013547.30,2
MORNEAU SHEPELL,11700947.57,13
MORPHO CANADA,5396524.79,5
MORRISON HERSHFIELD,6524355.49,24
MOSS DEVELOPMENT,2293116.95,5
MOTOROLA SOLUTIONS CANADA,25612579.04,43
MRS MANAGEMENT AND,6162831.86,1
MTC LAW,9552642.33,1
MTE LOGISTIX EDMONTON,1018533.13,1
MTS ALLSTREAM,55391852.65,113
MUFACTOR,0.00,1
MULTISHRED,97298.65,3
MUNICIPAL READY MIX,1413843.42,6
MURRAYS MILLWOOD MANOR,5239946.87,2
MURRAYS WINDERMERE GARDENS,9420352.79,3
MUSTANG HELICOPTERS,2585440.36,11
MUSTANG SURVIVAL,3333883.11,7
MWCO,46258.17,1
N P A,1170351.00,1
N12 CONSULTING,4253142.09,9
"NACRIS",7887743.42,3
"NADINE INTERNATIONAL",2265819.48,16
"NAHANNI CONSTRUCTION",16895932.53,3
"NANOMETRICS",361249.70,1
"NAPPAQ DESIGN CONSTRUCTION",684332.16,1
"NARL MARKETING PARTNERSHIP NORTH ATLANTIC",0.00,1
"NATIONAL ARTS CENTRE",3505554.76,1
"NATIONS TRANSLATION GROUP",9492921.35,135
"NATIVE CLAN ORGANIZATION",9304137.15,3
"NATTIQ",3737574.98,28
"NAUT MAWT TRIBAL COUNCIL",1130000.00,1
"NAV CANADA",10946125.03,4
"NAVAMAR",629423.90,3
"NAVENCO MARINE",4939269.64,1
"NAVPOINT CONSULTING GROUP",8017368.50,12
"NAVTECH",109302.79,3
NCL NORTHERN CONTRACTING,42311.55,2
NDL CONSTRUCTION,6319853.83,2
NELSON ENVIRONMENTAL REMEDIATION,-266152.16,4
NEOPRENE CANADA,213322.77,7
NEPTEC DESIGN GROUP,2493754.86,3
NEPTUNE SECURITY SERVICES,1188957.40,8
NETAGEN COMMUNICATION,101422.33,5
NEUROSCOPE,3614792.90,2
NEW BRUNSWICK COMMUNITY COLLEGE,2954436.33,6
NEW ENGLAND BIOLABS,-566744.80,2
NEWDOCK ST JOHN S DOCKYARD,36117405.59,31
NEWENERGY COMMUNITY,72443.29,3
NEWFOUND RECRUITING,11366215.76,59
NEWFOUNDLAND HELICOPTERS,399980.98,8
NEWROCKET CANADA,894960.00,2
NEWS CANADA,-3271.35,8
NFOE,5818007.98,6
NICHE TECHNOLOGY,2681631.07,1
NIELSEN,3807732.38,16
NIMBLE INFORMATION STRATEGIES,3022094.73,14
NISHA TECHONOLOGIES,47524296.97,158
NISSAN CANADA,-45734.02,13
NITAM SOLUTIONS,864983.66,19
NITRO CONSTRUCTION,536660.61,6
NKE INSTRUMENTATION,297474.76,3
NMC DYNAPLAS,0.00,1
NOLINOR AVIATION,0.00,1
NORDMEC CONSTRUCTION,2331886.76,2
NORR,35707752.14,27
NORTAC DEFENCE,19839741.07,3
NORTAK SOFTWARE,2909291.16,12
NORTH AMERICA CONSTRUCTION,5859274.42,1
NORTH ATLANTIC PETROLEUM,28513.47,3
NORTH CARIBOO AIR,-632525.21,43
NORTH COUNTRY MAINTENANCE,2992071.87,1
NORTHEAST TREE TRIMMING,920546.35,2
NORTHERN CONSTRUCTION,637540.13,6
NORTHERN CONTRACTING,-586135.17,1
NORTHERN MICRO,114710697.19,154
NORTHFIELD METAL PRODUCTS,0.00,2
NORTHWEST MARINE TECHNOLOGY,-423589.62,2
NORTHWESTEL,28294142.91,10
NORTRAX CANADA,156705.29,5
NOTRA,10107079.06,2
NOVA CONSTRUCTION,-1417752.16,2
NOVA NETWORKS,31971.13,11
NOVA SCOTIA POWER,1381370.50,4
NOVIPRO,177836.01,1
NP AEROSPACE CANADA,59286.38,2
NRNS,6848403.14,12
NUA OFFICE,125215.06,13
NUCTECH COMPANY,496236.54,2
NUIX NORTH AMERICA,3355701.98,4
NUIX USG,21769.68,2
NUMBER TEN ARCHITECTURAL GROUP,3282075.82,19
NUNA EAST,39661100.33,2
NUNAVUT ARCTIC SERVICES,-72461.57,1
OCEAN NAVIGATION,369200.92,2
OCEAN PACIFIC MARINE SUPPLY,150172.27,3
OCR CANADA,68537.93,4
OEI KRUEGER,60209.48,26
OKANAGAN AGGREGATES,16126384.27,18
OKANAGAN HALFWAY HOUSE SOCIETY CRF,9158296.27,5
OLIN,4197062.18,6
ONIX NETWORKING CANADA,5831116.16,2
ONLINE CONSTRUCTORS,1275892.24,14
ONTARIO CLEAN WATER AGENCY,2083678.04,3
ONTARIO DENTAL ASSOCIATION,1074097.68,64
ONX ENTERPRISE SOLUTIONS,686979.20,12
OPEN GEOSPATIAL CONSORTIUM,901185.90,5
OPEN STORAGE SOLUTIONS,29747.85,3
OPENFRAME TECHNOLOGIES,2161899.35,16
OPENTEXT,93298309.16,63
OPROMA,3856846.80,14
OPSIS,4034504.15,8
OPTIV CANADA FEDERAL,643622.26,7
ORACLE CANADA,241033800.66,34
ORANGUTECH,20382758.92,51
ORBIS RISK CONSULTING,1067855.87,24
OSKAR CONSTRUCTION,1813188.87,7
OTIS ELEVATOR,1453926.92,19
OTTAWA BUSINESS INTERIORS,40755.60,6
OTTAWA MARRIOTT HOTELS INNVEST HOTELS GP,38841.00,14
OTTAWA MOVING LOGISTICS 2013,-456597.56,14
OUTLAW EAGLE MANUFACTURING,901380.34,4
OXFORD ECONOMICS USA,2853125.42,4
OXFORD NANOPORE TECHNOLOGIES,-682872.71,14
P B ENTREPRISES,22111.99,1
P C MCNEILL CONTRACTING,25822.88,1
P K WELDING FABRICATORS,1212333.17,1
PACIFIC INDUSTRIAL MARINE,1493512.60,22
PACIFIC SAFETY PRODUCTS,9439168.73,14
PACWILL ENVIRONMENTAL,3554003.47,4
PAGEAU MOREL ASSOCIES,3301053.53,15
PAL AEROSPACE,13059006.20,14
PALADIN GROUP,28836341.49,38
PALFINGER MARINE,1858916.71,9
PAN AMERICAN DEVELOPMENT FOUNDATION,799999.00,1
PANASONIC,-191902.58,9
PARKLAND,2164784.37,36
PARKLAND INDUSTRIES,276014.63,16
PARKLAND REFINING,-10215.41,8
PARSONS CANADA,1011808513.88,28
PATLON AIRCRAFT INDUSTRIES,253428.01,1
PATTISON SIGN GROUP,225102.09,15
PAVEX,-950322.62,1
PCL CONSTRUCTORS,1264857529.28,49
PECHERIES VILO,2536763.55,2
PEERLESS GARMENTS,900780.93,3
PEMCO CONSTRUCTION,337680.84,1
PENN CONSTRUCTION CANADA,9968746.65,3
PENNECON,1190754.58,15
PEPCO,184540.10,9
PEPIN FORTIN CONSTRUCTION,356358.00,1
PERCEPTICS,19222380.07,3
PETER J KINDREE ARCHITECT,997491.42,13
PETER KIEWIT SONS,55002356.19,1
PETERS CONSTRUCTION,17450400.86,4
PETROVALUE PRODUCTS,0.00,7
PFIZER CANADA,-530258.60,1
PHASELOCK SYSTEMS INTERNATIONAL,2231.75,1
PHOENIX DRUG ALCOHOL RECOVERY,5837099.72,3
PHOENIX STRATEGIC PERSPECTIVES,67814.48,4
PIDHERNEY S,851725.93,2
