d_vendor_name,max_overall_value,n
FINNING INTERNATIONAL,448326.37,76
FIRST AIR,3436417.31,28
FIRST PEOPLES INFRA,7811745.07,2
FIRSTCHOICE GROUP CANADA,2516629.50,3
FISH FOOD AND ALLIED WORKERS,1269748.97,15
FISHER PAYKEL HEALTHCARE,4638650.00,3
FLEETWAY,147561.75,10
FLEX KNIT,2002403.11,123
FLIGHT FUELS,288750.00,93
FLIGHTSAFETY CANADA,3510465.80,6
FLOYD S CONSTRUCTION,4649861.29,31
FLUID ENERGY GROUP,106157504.22,3
FLYNN CANADA,275079.29,17
FMC PROFESSIONALS,1602622.50,36
FONDATION CARREFOUR NOUVEAU MONDE,5104455.39,2
FORD MOTOR COMPANY,4963046.70,1379
FORREST GREEN CONSULTING,4310021.97,2
FORRESTER RESEARCH,734220.00,77
FORT GARRY FIRE TRUCK,15750.00,2
FOURNIER CONSTRUCTION INDUSTRIELLE,5204780.00,2
FOWLER BAULD MITCHELL,2968803.80,9
FOXIT SOFTWARE,3805016.23,9
FRANCIS CANADA TRUCK CENTRE,1633800.00,10
FRANNAN INTERNATIONAL,13320379.23,3
FRASER RIVER PILE DREDGE,53043584.59,5
FRECON CONSTRUCTION,593267.47,2
FREEBALANCE,1008822.92,95
FREQUENTIS CANADA,4177794.74,12
FRESENIUS KABI CANADA,2805258.35,4
FROSTI FISHING,2100000.00,4
FSA ARCHITECTURE,1685320.67,12
FSC,7910000.00,7
FTI PROFESSIONAL GRADE,237300000.00,1
FTS FOREST TECHNOLOGY SYSTEMS,266250.60,87
FUGRO GEOSURVEYS,1649910.17,12
FUJITSU,52591544.97,48
FUNDY CONTRACTORS,5665023.50,30
FVB ENERGY,1770613.27,66
G A L POWER SYSTEMS OTTAWA,555400.24,32
G BIRD HOLDINGS,7278736.82,3
G4S SECURITY SERVICES,25285742.76,43
GABRIELA OLIVEIRA,56258191.97,1
GAGNON LETELLIER CYR RICARD,12207195.85,6
GALA SLACKS,1321154.22,9
GALENVS SCIENCES,10182375.00,4
GAMBLE TECHNOLOGIES,1544676.10,43
GANNON BLACKBURN ELECTRIC,1346903.18,20
GAP WIRELESS,273294.60,39
GARDA SECURITY GROUP,59495222.92,74
GARTNER,4497200.35,1019
GAT INTL LOCALIZATION SERVICES,805917.28,19
GATESTONE,32404725.24,18
GATEWAY MECHANICAL SERVICES,7966909.30,82
GAUDETTE S TRANSIT MIX,1822533.21,12
GC STRATEGIES,9247787.61,104
GDI SERVICES,4924295.55,59
GEMALTO COGENT,312000.00,42
GEMMA PROPERTY SERVICES,4066761.21,19
GEMTEC,2449497.02,215
GENERAL DYNAMICS,7315768.61,114
GENERAL ELECTRIC CANADA,5575475.35,65
GENERAL MOTORS,10870600.00,908
GENESIS INTEGRATION,2549501.05,326
GENOME QUEBEC,319861.98,262
GEORGE COUREY,39664078.02,4
GEOSPECTRUM TECHNOLOGIES,1150000.00,3
GEOTAB,349881.91,24
GESTION AJ,4238853.44,13
GETINGE CANADA,9773944.04,37
GFL ENVIRONMENTAL,198975.00,50
GHD,163558.06,265
GILMORE PRINTING SERVICES,229950.00,24
GILMORE REPRODUCTIONS,3492411.90,55
GINO PELLETIER FOREX MALI DIELY MOUSSA KOUYATE GID,7407616.42,1
GLAMOX CANADA,47588.15,12
GLASSHOUSE SYSTEMS,4999760.50,78
GLAXOSMITHKLINE,104029608.00,26
GLENCAIRN EDUCATIONAL SERVICES,4603300.04,5
GLOBAL KNOWLEDGE,1149210.00,174
GLOBAL LIFE SCIENCES SOLUTIONS,2821601.95,63
GLOBAL TOTAL OFFICE,3308316.26,112
GLOBAL UPHOLSTERY,1078893.26,355
GLOBE AND MAIL,4634085.48,11
GM DEVELOPPEMENT,2162578.58,4
GO DEEP INTERNATIONAL,904000.00,128
GOLDER ASSOCIATES,40007461.69,338
GOOGLE CANADA,790463.89,22
GORDON FOOD SERVICE,652984.43,131
GOSS GILROY,2260000.00,141
GOVAN BROWN ASSOCIATES,4837730.77,2
GOVERNMENT OF ALBERTA,7058604.94,25
GOVERNMENT OF SASKATCHEWAN,137864.84,7
GOVERNMENT OF THE NWT,4836000.00,2
GQ LIFE SCIENCES,2190402.71,2
GRAEBECK CONSTRUCTION,2510264.36,2
GRAHAM CONSTRUCTION,21165947.29,11
GRAND TOY,2320658.40,206
GRANITE MANAGEMENT,2306568.80,13
GRAW RADIOSONDES,11950760.06,2
GRAYBAR CANADA,140703.55,68
GRAYBRIDGE INTERNATIONAL CONSULTING,25063229.28,605
GRAYMONT NB,936445.00,59
GRC ARCHITECTS,9339325.70,15
GREAT SLAVE HELICOPTERS,3484373.90,183
GREATER TORONTO AIRPORT AUTHORITY,42370651.22,8
GREEN LIGHT CONSULTING SOLUTIONS,2751928.55,5
GREEN TIMBERS PARTNERSHIP,59635545.37,2
GREENDALE RESOURCES,1235418.56,23
GREENFIELD CONSTRUCTION,15925675.51,15
GREG VAN WYK PROFESSIONAL,1988437.50,10
GREY ROCK SERVICES,19460944.71,4
GRIFFIN ENGINEERED SYSTEMS,6307149.74,4
GRIFFON HOVERWORK,334985.65,29
GROUPE ABS,4995055.33,21
GROUPE EDGENDA,1204026.30,26
GROUPE ENERGIE BDL,2759400.00,32
GROUPE ONSCOPE,14885474.28,2
GROUPE ROBERT,30333669.73,1
GUILLEVIN INTERNATIONAL,203880.90,44
GW REALTY,2618918.24,7
H H CONSTRUCTION,38777.45,2
H J R ASPHALT,6143681.25,1
HALIFAX CITADEL SOCIETY,2512004.64,3
HALIFAX INTERNATIONAL AIRPORT,2801730.63,1
HALPENNY INSURANCE BROKERS,1125654.97,28
HAMEL CONSTRUCTION,52002087.86,4
HAN CHANG MEDIC,3084901.00,1
HARBOURSIDE ENGINEERING CONSULTANTS,2489712.06,83
HARNOIS ENERGIES,477750.00,127
HASKONING UK,12633075.00,1
HASTINGS PAINTING,1101750.00,3
HATCH,6713083.46,20
HAWBOLDT INDUSTRIES,3233156.00,32
HAWORTH,1189573.18,187
HAZELWOOD CONSTRUCTION SERVICES,28307309.53,1
HDP GROUP,1465681.91,33
HEAVY METAL MARINE,2707264.83,26
HEDDLE MARINE SERVICES,11610831.08,56
HEILTSUK HORIZON MARITIME SERVICES,743086.58,13
HELITRADES,3041860.73,72
HEMMERA ENVIROCHEM,4285714.29,29
HERCULES SLR,4666283.99,14
HERITAGE RESTORATION,2464261.38,5
HEROLD ENGINEERING,1017526.05,53
HERRING CONSERVATION AND RESEARCH SOCIETY,2940000.00,4
HEWLETT PACKARD,390135614.47,80
HEXAGON,533970.64,15
HIGHLANDS FUEL DELIVERY,702834.35,13
HIGHLINE ELECTRIC P A,3617907.28,4
HIKE METAL PRODUCTS,39293114.32,5
HILTON BROTHERS CONTRACTING,2276820.79,1
HIPPERSON CONSTRUCTION,14161089.15,1
HITACHI DATA SYSTEMS,16304333.34,94
HITRAC,1673572.94,25
HOLLAND COLLEGE,10983345.86,5
HOLMAN FENWICK WILLAN,144098850.00,1
HOLONICS,1999998.30,5
HOMEWOOD HEALTH,3057971.56,8
HONEY CONSTRUCTION,4075112.75,10
HONEYWELL,34633919.26,428
HOOTSUITE,10426500.67,4
HORIZANT,5933696.54,65
HORSESHOE HILL CONSTRUCTION,7265059.68,1
HOSKIN SCIENTIFIC,3360414.46,523
HOULE ELECTRIC,3281229.15,40
HOUSE OF HOPE,4821280.15,5
HOWARD HOUSE ASSOCIATION OF CAPE BRETON,4840403.20,3
HOWDEN ROOTS,2034865.58,2
HR ASSOCIATES,143094.44,48
HUBSPOKE,2037390.00,14
HUMAN LOGISTICS,1812614.37,3
HUMANSCALE CANADA,575402.73,218
HUMANSYSTEMS,168367.80,2
HYPERION CONSULTING,10518.32,3
HYPERTEC,5703250.19,518
I M P GROUP,618379.15,6
I4C INFORMATION TECHNOLOGY,6692425.00,43
IBI GROUP ARCHITECTS CANADA,13516766.00,12
IBISKA TELECOM,32230000.01,241
IBM CANADA,660504148.04,925
ICE DEVELOPMENT,5025466.20,1
ICEBERG NETWORKS,1014262.74,27
ICU MEDICAL CANADA,6439913.22,1
IDN CANADA,149948.41,41
IDP GROUP,5633544.32,5
IDS SYSTEMS CONSULTANTS,1870790.00,13
IFATHOM,7739690.49,41
IHS GLOBAL,415921.09,71
IIC TECHNOLOGIES,2542963.96,73
ILLUMINA CANADA,19277959.70,716
IMA NORTH AMERICA,2261978.89,1
IMP GROUP,2253220.00,14
IMPERIAL CLEANERS,1433689.71,11
IMPERIAL OIL,908600.40,576
IMTECH MARINE CANADA,1030818.15,66
INDAL TECHNOLOGIES,452932.95,1
INDIVIOR UK,7711222.69,166
INDUSTRA CONSTRUCTION,7764188.48,75
INDUSTRA LIARD CONSTRUCTION,2241757.76,1
INDUSTRIES OCEAN,16347917.92,11
INFO TECH RESEARCH GROUP,368922.29,195
INFORMATICA,12600000.00,5
INFOSYS,133383358.72,1
INKSMITH,56579411.42,1
INLAND AUDIO VISUAL,254923.98,43
INMARSAT SOLUTIONS,138039861.52,6
INNOVASEA MARINE SYSTEMS CANADA,976420.73,258
INSA,39632605.52,194
INSIGHT SOFTWARE CANADA,949200.00,93
INSTITUT NATIONAL D OPTIQUE,1205799.15,3
INSTITUTE ON GOVERNANCE,279625.28,169
INSTRUX MEDIA,1997997.81,65
INTEGRA NETWORKS,5085744.97,123
INTEGRATED DISTRIBUTION SYSTEMS,250871.20,25
INTER MEDICO,12819975.00,34
INTER OUTAOUAIS,1460751.50,3
INTERACTIVE AUDIO VISUAL,375865.53,163
INTERCON MARINE,2659962.01,18
INTERCONTINENTAL TRUCK BODY,963556.25,10
INTERFAX SYSTEMS,331606.29,31
INTERNATIONAL REPORTING,1457351.71,55
INTERNATIONAL SAFETY RESEARCH,191250.00,11
INTEROUTE CONSTRUCTION,11813607.60,5
INTERWORKS CONTRACTING,6961560.39,8
INUKSHUK CONSTRUCTION,8199708.52,2
INVENTA SALES AND PROMOTIONS,6237600.00,2
INVERIS TRAINING SOLUTIONS,1314716.10,5
IPS INTEGRATED PROJECT SERVICES,2913987.97,4
IPSOS,1851554.15,35
IPSS,10180532.01,233
IQVIA,1777557.80,36
IRON MOUNTAIN,8500000.00,546
IRONCLAD EARTHWORKS,6968633.75,5
IRVING OIL,2352703.10,1005
IRVING SHIPBUILDING,46143347.40,10
ISLAND TEMPERATURE CONTROLS,878797.51,11
ISLAND WEST COAST DEVELOPMENTS,10436091.75,1
ISM INFORMATION SYSTEMS MANAGEMENT,46492986.73,1
ISOMASS SCIENTIFIC,1394670.60,41
ISOPLEX,113565000.00,1
IT NET CONSULTANTS,9853302.52,85
ITEX,23103419.09,499
IVALUA,2439953.76,2
IVAN S CAMERA,141376.20,99
IWC EXCAVATION,5188354.99,5
J 1 CONTRACTING,30818352.23,2
J D G CONSTRUCTION MANAGEMENT,5545961.36,1
J E ENTERPRISES,1485170.95,21
J J LEPERA INFRASTRUCTURES,7851956.35,1
J J TRAILERS MANUFACTURERS AND SALES,1849692.48,9
J L RICHARDS ASSOCIATES,1100000.00,104
J M J HOLDINGS,27224607.00,5
J M LEDRESSAY ASSOCIATES,11814732.77,1
J N A LEBLANC ELECTRIQUE,5619000.01,1
J O THOMAS ASSOCIATES,4215917.73,22
J P GRAVEL CONSTRUCTION,2895298.50,11
J STERLING INDUSTRIES,48840242.00,1
J W LINDSAY ENTERPRISES,27554958.25,10
JACOB BROS CONSTRUCTION,4065812.18,1
JANKEL TACTICAL SYSTEMS,16342320.13,34
JASCO APPLIED SCIENCES CANADA,8247720.85,68
JASPER CONCRETE,2407331.04,16
JASTRAM ENGINEERING,5711777.47,9
JAVELIN TECHNOLOGIES,82530.22,50
JCB,467353.75,8
JEAN DAOUST CONSTRUCTION,4922316.50,1
JEMTEC,5275882.99,3
JEOL,1529522.83,19
JERRY BERGEN MEDICAL,2000000.00,2
JHT DEFENSE,72069.02,8
JIM PATTISON INDUSTRIES,2528335.18,193
JJM CONSTRUCTION,18657505.65,4
JOAN HOLMES ASSOC,397112.53,46
JOHN HOWARD SOCIETY,6725429.20,136
JOHN WILEY SONS,1754341.12,32
JOHNSON CONTROLS CANADA,30071781.52,45
JOHNSON S CONSTRUCTION,7977444.76,7
JOKINEN LAW PROFESSIONAL,4918879.49,1
JONELJIM CONCRETE CONSTRUCTION,70455681.44,25
JONES LANG LASALLE,20000000.00,25
JOSEPH ELIE,2008227.54,128
JOSEPH RIBKOFF,49048335.01,1
JP2G CONSULTANTS,378507.06,22
JSK NAVAL SUPPORT,24673.06,6
JUMEC CONSTRUCTION,2918002.12,14
JUMPING ELEPHANTS,769078.00,57
JUNO RISK SOLUTIONS,230520.00,67
K C E CONSTRUCTION,11966574.04,5
K L CONSTRUCTION ONTARIO,2392527.48,2
K RITE CONSTRUCTION,6544150.68,2
KANIYASIHK CULTURE CAMPS,12407775.96,8
KANTER MARINE,6637615.83,10
KASIAN ARCHITECTURE INTERIOR DESIGN,1499939.59,32
KATHRYN E BARNARD,2849430.40,2
KAYWAY INDUSTRIES,288237.60,105
KEHOE MARINE CONSTRUCTION,1481147.80,10
KENN BOREK AIR,11506442.52,70
KETZA PACIFIC CONSTRUCTION,2760074.93,9
KEYDATA ASSOCIATES,8734446.44,15
KEYSIGHT TECHNOLOGIES CANADA,7595916.50,65
KEYSTONE ENVIRONMENTAL,7142857.14,42
KEYSTONE SUPPLIES INTERNATIONAL,1867065.10,62
KF AEROSPACE,1503445.64,36
KFN ENTERPRISES PARTNERSHIP,6426204.49,1
KGS GROUP CONSULTING ENGINEERS,2478200.09,5
KIA CANADA,1398741.44,53
KILEY PAVING,2630623.05,5
KINETIC CONSTRUCTION,12724272.54,5
KINETIC MACHINE WORKS,4828288.54,2
KING HOE EXCAVATING,14855956.29,3
KINGHAVEN PEARDONVILLE HOUSE SOCIETY,4101687.58,2
KINGSTON CONSTRUCTION,2079765.45,2
KINGSVIEW CONSTRUCTION,295946.63,5
KLEYSEN GROUP,72419.55,2
KMS INDUSTRIES,3782393.10,11
KNOLL NORTH AMERICA,1428046.65,51
KNOWLEDGE CIRCLE,394859.51,224
KONE,3862271.46,60
KONGSBERG,3312357.65,108
KONICA MINOLTA BUSINESS SOLUTIONS,2997925.47,467
KONTZAMANIS GRAUMANN SMITH,5659840.05,38
KORN FERRY CA,1128107.25,39
KPMG,30593999.68,213
KRAKEN ROBOTIC SYSTEMS,1145853.10,4
KROMAR PRINTING,405139.92,72
KUBOTA CANADA,690800.14,39
KUDLIK CONSTRUCTION,18785085.71,9
KURT J LESKER CANADA,150629.10,107
KWC ARCHITECTS,964674.22,40
KYNDRYL CANADA,21742347.38,37
L A HEBERT,6109645.93,4
L AGENCE,30000000.00,4
L BREAU AND SONS,3948061.26,19
L D WATSON E S MACEWEN ALLAN,3725064.23,11
L P ROYER,2849552.64,5
L W DENNIS CONTRACTING,5358269.38,3
L3HARRIS,13101222.26,78
LABORATOIRES OMEGA,4993750.00,3
LAKESHORE HELICOPTERS,418818.75,50
LANDAUER,4520000.00,8
LANDAUER INLIGHT,681164.00,19
LANDCO CONSTRUCTION,3594646.84,11
LANDFORM CIVIL INFRASTRUCTURES,4540233.96,2
LANGUAGE MARKETPLACE,781056.00,73
LANGUAGE RESEARCH DEVELOPMENT GROUP,9198000.00,212
LANNICK CONTRACT SOLUTIONS,2457873.83,38
LANSDOWNE TECHNOLOGIES,932601.78,78
LAPORTE,1732739.36,16
LAPORTE EXPERTS CONSEILS,7072859.59,2
LARCH HALF WAY HOUSE OF SUDBURY,4349128.71,5
LARRY PENNER ENTERPRISES,613039.12,23
LAURENTIAN TECHNOLOGIES,2059486.15,31
LAVAL FORTIN,6908278.59,1
LAVAL LAB,4082219.57,7
LAVERGNE CONSTRUCTION,1196000.94,13
LE GROUPE DRUMCO CONSTRUCTION,5046990.31,1
LEAN AGILITY,159104.00,117
LEAR CONSTRUCTION,9845365.95,1
LEC ENGINEERING CONTRACTING,26704487.43,1
LEDCOR CONSTRUCTION,7442140.48,1
LEEWAY YACHTS,6012700.00,3
LEGER MARKETING,300084.75,36
LEMAY,6317945.76,9
LENGKEEK VESSEL ENGINEERING,4034167.46,57
LEO PISCES SERVICES GROUP,2000000.00,29
LEONARDO,124836769.00,6
LES AUTOBUS E MENARD ET FILS,1490810.00,3
LES CONSTRUCTIONS BELAND,4802064.23,3
LES CONSTRUCTIONS BINET,7080781.70,5
LES CONSTRUCTIONS DES ILES,5795020.77,8
LES COUVERTURES ST LEONARD,3867164.08,1
LES ENQUETES HENRI,106748.39,145
LES ENTREPRISES FERVEL,2402554.04,8
LES ENTREPRISES MICHAUDVILLE,5967749.10,1
LES ENTREPRISES P E C,12044455.01,23
LES ENTREPRISES PREBBEL,1129915.82,12
LES ENTREPRISES ROBERT SANFACON,928628.37,2
LES ENTREPRISES SAMSON ENTERPRISES,399548.71,18
LES EQUIPEMENTS CLAUDE PEDNEAULT,2502583.57,11
LES HUILES DESROCHES,310937.25,110
LES INSTALLATIONS ELECTRIQUES,10570251.08,8
LES TRADUCTEURS REUNIS,3241209.00,57
LES TRADUCTIONS TESSIER,2299500.00,104
LES TRAITEURS BYTOWN CATERING,6047276.51,5
LESAGE DAVID DR,2142303.90,8
LESLIE BENN CONTRACTING,5001881.76,7
LEVAERO AVIATION,1290154.23,225
LEVERAGE TECHNOLOGY RESOURCES,1071680.76,16
LEVITT SAFETY,4769636.49,51
LEXISNEXIS CANADA,1659042.39,72
LIEBHERR CANADA,139101.11,9
LIFE TECHNOLOGIES,19372626.94,438
LIFELABS,102637500.00,9
LIFESPEAK,7411763.79,4
LIKE 10,1998405.00,18
LINDSAY CONSTRUCTION,2414298.46,18
LINOVATI,1502505.87,46
LIONBRIDGE,5320139.29,473
LLOYD LIBKE LAW ENFORCEMENT SALES,5402509.20,6
LLOYD S REGISTER CANADA,259900.00,29
LOCKHEED MARTIN,154223.85,9
LOGISTIK UNICORP,126408165.55,12
LOISELLE,2261579.37,3
LOTEK WIRELESS,845097.96,88
LOUIS W BRAY CONSTRUCTION,24529557.89,10
LOWE MARTIN COMPANY,3749999.47,73
LRO STAFFING,995289.22,27
LS TELCOM,43463952.88,3
LUCIRA HEALTH,2923771.04,4
LUMINA IT,3749905.00,315
LUMINULTRA TECHNOLOGIES,102717540.07,3
LUXTON CONSTRUCTION,1434600.99,19
LWG ARCHITECTURAL INTERIORS,1082786.38,20
M 2 GROUP,3599123.60,2
M A INDEPENDENT BUILDING SERVICES,4856729.05,3
M D CHARLTON,2288702.00,227
M D STEELE CONSTRUCTION,40044370.23,1
M R ENGINEERING,4899691.92,13
M SULLIVAN SON,7174092.26,3
MACDONALD DETTWILER AND ASSOCIATES,829883896.60,202
MACEWEN PETROLEUM,169852.21,71
MACK TRUCKS,198690.86,1
MACKINNON AND OLDING,50824.25,6
MACONNERIE DYNAMIQUE,10170130.28,11
MACONNERIE RAINVILLE ET FRERES,4930759.46,7
MADSEN DIESEL TURBINE,969739.97,256
MAGAL S3 CANADA,3341073.29,6
MAGELLAN AEROSPACE,1961168.82,7
MAGNET FORENSICS,1460275.18,18
MAISON CHARLEMAGNE,4956931.57,4
MAISON CROSS ROADS DE LA SOCIETE,4317942.93,4
MAISON DECISION HOUSE,5136458.20,4
MAISON JEUN AIDE,5702581.03,3
MAISON JOINS TOI,4986366.32,3
MAISON PAINCHAUD,5250041.86,2
MAISON RADISSON,4699006.55,2
MAKWA RESOURCING,8274600.00,77
MALATEST,578917.51,56
MALLEN GOWING BERZINS,1018427.81,13
MAN ENERGY SOLUTIONS CANADA,79629.73,1
MANIFEST COMMUNICATIONS,2902405.00,6
MANITOBA HYDRO,56100.00,6
MANPOWER SERVICES CANADA,1916967.88,16
MANULIFE,6286856.50,10
MAPLE REINDERS CONSTRUCTORS,237635245.53,6
MAPLESOFT CONSULTING,30000000.00,370
MARCO GROUP,20519253.73,2
MARINE CONTRACTORS,8297985.24,11
MARINE RECYCLING,3990057.90,15
MARINENAV,835030.45,83
MARITECH CONSTRUCTION,2307355.77,5
MARITIME FENCE,7011888.07,8
MARITIME FUELS,476860.00,99
MARKIDO,830639.24,71
MARRBECK CONSTRUCTION,8616643.69,1
MARTEC,62150.00,1
MARTECH ELECTRICAL SYSTEMS,3290457.94,4
MASKIMO CONSTRUCTION,8446078.04,7
MASONTECH,6905404.28,4
MATANE PRODUCTION,3535734.47,1
MATCON ENVIRONMENTAL,6853212.29,20
MATCON EXCAVATION SHORING,360235.58,41
MATRIX AVIATION SOLUTIONS,1451864.60,10
MAVERIN,12439680.00,17
MAVERIN BUSINESS SERVICES,412840.79,2
MAXIM 2000,17608208.74,5
MAXIMUS CANADA,4268195.32,1
MAXSYS STAFFING AND CONSULTING,2250000.00,186
MCAFEE INTERNATIONAL,19271418.36,3
MCCARTHY TETRAULT,5320766.60,7
MCCOLMAN SONS DEMOLITION,932470.78,2
MCDONALD BROS CONSTRUCTION,2124170.57,2
MCELHANNEY ASSOCIATES,3174614.08,143
MCGILL UNIVERSITY,2010855.27,83
MCGREGOR GEOSCIENCE,3867656.44,3
MCKESSON CANADA,439646.43,3340
MCKINSEY AND COMPANY,24848700.00,12
MCKNIGHT ENTERPRISES,5185647.18,10
MCMASTER UNIVERSITY,630000.00,55
MCNALLY CONSTRUCTION,34138101.20,14
MCW CONSULTANTS,330937.81,22
MCW CUSTOM ENERGY SOLUTIONS,20406752.88,17
MDOS CONSULTING,3537804.00,58
MEAL KIT SUPPLY CANADA,13439.04,1
MED ENG HOLDINGS,235600.48,27
MEDALLION MILK,46944.00,227
MEDAVIE,228014807.00,3
MEDI SELECT,1186076.25,16
MEDIA Q,466647.06,107
MEDTRONIC CANADA,18754700.40,7
MEEWASINOTA CRF,5176085.34,3
MEGA POWER INSTALLATIONS,96207.30,21
MEGA TECH,1050000.00,280
MEGALEXIS COMMUNICATIONS,2079740.00,94
MELTWATER,309507.00,129
MERCER CANADA,1250000.00,41
MERCK FROSST,12196262.36,75
MERCURY MARINE,454598.55,107
MERIDIAN ENGINEERING,450196.25,72
MERIDIAN MEDICAL TECHNOLOGIES,22179175.99,5
MESSA COMPUTING,1943170.60,39
METALCRAFT MARINE,6937995.47,3
METOCEAN TELEMATICS,17957709.82,32
METRO LOGISTICS,146074204.55,1
METRO PAVING AND ROAD BUILDING,8798619.38,12
METRO SUPPLY CHAIN,20014657.76,1
MGIS,22511647.79,58
MHV SERVICES D HYGIENE,291593.85,47
MICHAEL WAGER CONSULTING,3750000.00,40
MICHANIE CONSTRUCTION,8708072.27,34
MICHEL BASTARACHE SOCIETE PROFESSIONNELLE,6885497.06,1
MICHELIN,67874.35,6
MICRONOSTYX,16385000.00,6
MICROSOFT CANADA,1079396751.45,950
MID CANADA MOD CENTER,1071262.15,115
MID VALLEY CONSTRUCTION,770767.75,5
MIKE KELLY SONS,5432087.84,2
MILESTONE ENVIRONMENTAL,42767968.34,19
MILLBROOK TACTICAL,403639.44,60
MILLENNIUM LIMOUSINE SERVICE,2684685.53,1
MILLER WASTE SYSTEMS,113973.35,23
MILLIPORE CANADA,931986.30,41
MILTEX SOLUTIONS CANADA,587600.00,11
MINDWIRE SYSTEMS,7684164.62,594
MINISTRY OF FINANCE,4349500.00,36
MIREMS,1044120.00,17
MISHKUMI TECHNOLOGIES,4167314.57,140
MITSUBISHI MOTOR SALES,603678.54,187
MKDS TRAINING,70238.00,4
MNP,2867677.71,236
MOBILE RESOURCE GROUP,1711681.47,48
MODERN CONSTRUCTION,3503234.65,5
MODIS CANADA,19444946.21,535
MOMENTUM SOLUTIONS,4249820.00,4
MONERIS,393843000.00,2
MOORE CANADA,11959000.00,66
MORIYAMA TESHIMA ARCHITECTS,28335002.23,3
MORNEAU SHEPELL,12536499.96,31
MORPHO CANADA,5333048.33,67
MORRISON HERSHFIELD,2957986.60,95
MOSS DEVELOPMENT,4772355.67,4
MOTOROLA SOLUTIONS CANADA,33420600.83,728
MOUNTAIN ROCK STABILIZATION,1252712.58,8
MQM QUALITY MANUFACTURING,4664058.46,1
MRS MANAGEMENT AND,7000000.00,1
MTC LAW,10051798.65,1
MTE LOGISTIX EDMONTON,3719651.83,4
MTM 2 CONTRACTING,1752477.07,6
MTS ALLSTREAM,51262961.15,210
MUFACTOR,256160830.00,1
MULTISHRED,147783.87,26
MUNICIPAL READY MIX,8476347.22,14
MURRAYS MILLWOOD MANOR,4504272.98,2
MURRAYS WINDERMERE GARDENS,5659214.64,4
MUSTANG HELICOPTERS,4226234.54,40
MUSTANG SURVIVAL,23652030.00,66
MWCO,138839.50,1
MYTICAS CONSULTING,14913.18,1
N P A,8306536.48,2
N12 CONSULTING,1892603.10,17
"NADINE INTERNATIONAL",1499950.70,34
"NAHANNI CONSTRUCTION",29927002.44,4
"NANOMETRICS",5640553.20,20
"NAPPAQ DESIGN CONSTRUCTION",5676050.82,2
"NATCO PHARMA CANADA",1467644.00,3
"NATIONAL ARTS CENTRE",6556554.76,17
"NATIONAL STRUCTURES",3639288.79,3
"NATIONS TRANSLATION GROUP",7283720.25,378
"NATIVE CLAN ORGANIZATION",4917320.05,3
"NATTIQ",1698796.80,91
"NAUT MAWT TRIBAL COUNCIL",7910000.00,9
"NAV CANADA",14999999.00,23
"NAVAMAR",2850340.80,12
"NAVPOINT CONSULTING GROUP",3749855.74,23
"NAVTECH",541405777.50,13
NDL CONSTRUCTION,14528441.67,2
NELSON ENVIRONMENTAL REMEDIATION,2375122.88,6
NEOPOST CANADA,2825000.00,26
NEPTEC DESIGN GROUP,16116081.40,12
NEPTUNE SECURITY SERVICES,48830300.68,14
NEUROSCOPE,4785924.00,3
NEW ENGLAND BIOLABS,3951775.02,9
NEWDOCK ST JOHN S DOCKYARD,22823359.55,37
NEWFOUND RECRUITING,2599917.32,82
NEWFOUNDLAND HELICOPTERS,454589.25,64
NFOE,6654677.77,9
NICHE TECHNOLOGY,6244785.89,2
NIELSEN,1265967.13,61
NIKON CANADA,141658.95,76
NIMBLE INFORMATION STRATEGIES,5085000.00,60
NISHA TECHONOLOGIES,22695464.91,1443
NISSAN CANADA,1878844.33,156
NITAM SOLUTIONS,1316369.90,205
NITRO CONSTRUCTION,2873176.42,5
NKE INSTRUMENTATION,620171.12,21
NMC DYNAPLAS,2504984.00,1
NOKIA CANADA,23661.38,1
NOLINOR AVIATION,257957.11,42
NORDMEC CONSTRUCTION,14462575.67,2
NORR,43838344.38,57
NORTAC DEFENCE,16788270.84,3
NORTAK SOFTWARE,2414353.04,21
NORTH AMERICA CONSTRUCTION,29453441.65,1
NORTH ATLANTIC PETROLEUM,525928.97,154
NORTH CARIBOO AIR,499999.50,86
NORTH COUNTRY MAINTENANCE,38991190.62,2
NORTHEAST TREE TRIMMING,9521118.13,2
NORTHERN CONSTRUCTION,6092344.59,22
NORTHERN CONTRACTING,8634311.83,1
NORTHERN MICRO,38629844.45,2002
NORTHFIELD METAL PRODUCTS,879712.26,112
NORTHROP GRUMMAN,52419.30,3
NORTHWEST FUELS,331253.75,54
NORTHWEST HYDRAULIC CONSULTANTS,965679.75,20
NORTHWEST MARINE TECHNOLOGY,1899198.14,17
NORTHWESTEL,21108445.79,25
NORTRAX CANADA,425447.40,30
NOTRA,17256637.17,5
NOVA CONSTRUCTION,4862602.46,2
NOVA NETWORKS,214067.54,151
NOVA SCOTIA POWER,2137581.75,36
NOVIPRO,325187.02,26
NOYE AND NOYE,1301000.68,7
NP AEROSPACE CANADA,284730.99,2
NRNS,2404963.76,14
NUA OFFICE,349640.55,106
NUCTECH COMPANY,4000000.00,4
NUIX NORTH AMERICA,3305256.88,39
NUMBER TEN ARCHITECTURAL GROUP,4971484.83,76
NUNA EAST,62821491.26,2
NUNAVUT ARCTIC SERVICES,12890496.89,1
OCEAN NAVIGATION,633153.99,11
OCEAN PACIFIC MARINE SUPPLY,22326842.69,9
OCLC CANADA,4398632.28,3
