d_vendor_name,contracts,contracts_with_amendments,has_amendments_percentage
EXP ARCHITECTS,31,10,0.3226
EXP SERVICES,111,31,0.2793
EXPRESS SCRIPTS CANADA,2,0,0
EXTRON ELECTRONICS RGB SYSTEMS,43,2,0.0465
FACCA,6,2,0.3333
FACTIVA,53,8,0.1509
FAIRBANKS MORSE ENGINE,278,40,0.1439
FARMER CONSTRUCTION,1,1,1
FAST FORWARD FRENCH,474,76,0.1603
FAST TRACK STAFFING,187,21,0.1123
FASTENAL CANADA,9,0,0
FCA CANADA,369,35,0.0949
FDF GROUP,5,1,0.2
FEAST INTERACTIVE,16,7,0.4375
FEDERAL EXPRESS CANADA,46,12,0.2609
FELIX TECHNOLOGY,114,11,0.0965
FERENCE COMPANY CONSULTING,60,9,0.15
FIA GROUP,7,5,0.7143
FIDELITY ENGINEERING CONSTRUCTION,2,2,1
FIELD AVIATION COMPANY,29,2,0.069
FINNING INTERNATIONAL,76,9,0.1184
FIRST AIR,28,3,0.1071
FIRST PEOPLES INFRA,2,2,1
FIRSTCHOICE GROUP CANADA,1,0,0
FISH FOOD AND ALLIED WORKERS,15,5,0.3333
FISHER PAYKEL HEALTHCARE,3,2,0.6667
FLEETWAY,10,3,0.3
FLEX KNIT,123,2,0.0163
FLIGHT FUELS,93,2,0.0215
FLIGHTSAFETY CANADA,6,2,0.3333
FLOYD S CONSTRUCTION,31,9,0.2903
FLUID ENERGY GROUP,3,1,0.3333
FLYNN CANADA,17,1,0.0588
FMC PROFESSIONALS,36,14,0.3889
FONDATION CARREFOUR NOUVEAU MONDE,2,2,1
FORD MOTOR COMPANY,1379,183,0.1327
FORREST GREEN CONSULTING,2,2,1
FORRESTER RESEARCH,77,9,0.1169
FORT GARRY FIRE TRUCK,2,0,0
FOURNIER CONSTRUCTION INDUSTRIELLE,2,1,0.5
FOWLER BAULD MITCHELL,9,6,0.6667
FOXIT SOFTWARE,9,0,0
FRANCIS CANADA TRUCK CENTRE,10,2,0.2
FRANNAN INTERNATIONAL,3,0,0
FRASER RIVER PILE DREDGE,5,5,1
FRECON CONSTRUCTION,2,1,0.5
FREEBALANCE,95,12,0.1263
FREQUENTIS CANADA,12,6,0.5
FRESENIUS KABI CANADA,4,2,0.5
FROSTI FISHING,4,0,0
FSA ARCHITECTURE,12,5,0.4167
FSC,7,1,0.1429
FTI PROFESSIONAL GRADE,1,0,0
FTS FOREST TECHNOLOGY SYSTEMS,87,2,0.023
FUGRO GEOSURVEYS,12,5,0.4167
FUJITSU,48,26,0.5417
FUNDY CONTRACTORS,30,3,0.1
FVB ENERGY,66,36,0.5455
G A L POWER SYSTEMS OTTAWA,32,12,0.375
G BIRD HOLDINGS,3,1,0.3333
G J CAHILL COMPANY 1979 LIMI,3,2,0.6667
G4S SECURITY SERVICES,43,19,0.4419
GABRIELA OLIVEIRA,1,0,0
GAGNON LETELLIER CYR RICARD,6,4,0.6667
GALA SLACKS,9,7,0.7778
GALENVS SCIENCES,4,0,0
GAMBLE TECHNOLOGIES,43,3,0.0698
GANNON BLACKBURN ELECTRIC,20,4,0.2
GAP WIRELESS,39,0,0
GARDA SECURITY GROUP,74,21,0.2838
GARTNER,1019,67,0.0658
GAT INTL LOCALIZATION SERVICES,19,1,0.0526
GATESTONE,18,4,0.2222
GATEWAY MECHANICAL SERVICES,82,10,0.122
GAUDETTE S TRANSIT MIX,12,8,0.6667
GC STRATEGIES,104,34,0.3269
GDI SERVICES,59,30,0.5085
GEMALTO COGENT,42,3,0.0714
GEMMA PROPERTY SERVICES,19,7,0.3684
GEMTEC,215,35,0.1628
GENERAL DYNAMICS,114,12,0.1053
GENERAL ELECTRIC CANADA,65,5,0.0769
GENERAL MOTORS,793,79,0.0996
GENESIS INTEGRATION,326,18,0.0552
GENOME QUEBEC,262,14,0.0534
GEORGE COUREY,4,2,0.5
GEOSPECTRUM TECHNOLOGIES,3,0,0
GEOTAB,24,0,0
GESTION AJ,13,7,0.5385
GETINGE CANADA,37,5,0.1351
GFL ENVIRONMENTAL,50,16,0.32
GFS ATLANTIC,11,8,0.7273
GHD,265,20,0.0755
GILMORE PRINTING SERVICES,24,4,0.1667
GILMORE REPRODUCTIONS,55,9,0.1636
GINO PELLETIER FOREX MALI DIELY MOUSSA KOUYATE GID,1,0,0
GLAMOX CANADA,12,1,0.0833
GLASSHOUSE SYSTEMS,78,2,0.0256
GLAXOSMITHKLINE,26,6,0.2308
GLENCAIRN EDUCATIONAL SERVICES,5,2,0.4
GLOBAL KNOWLEDGE,174,14,0.0805
GLOBAL LIFE SCIENCES SOLUTIONS,63,7,0.1111
GLOBAL TOTAL OFFICE,112,3,0.0268
GLOBAL UPHOLSTERY,355,10,0.0282
GM DEVELOPPEMENT,4,0,0
GO DEEP INTERNATIONAL,128,6,0.0469
GOLDER ASSOCIATES,338,101,0.2988
GOOGLE CANADA,22,5,0.2273
GOSS GILROY,141,18,0.1277
GOVAN BROWN ASSOCIATES,2,1,0.5
GOVERNMENT OF THE NWT,2,1,0.5
GQ LIFE SCIENCES,2,0,0
GRAEBECK CONSTRUCTION,2,2,1
GRAHAM CONSTRUCTION,11,5,0.4545
GRAND TOY,206,11,0.0534
GRANITE MANAGEMENT,13,7,0.5385
GRAW RADIOSONDES,2,1,0.5
GRAYBAR CANADA,68,1,0.0147
GRAYBRIDGE INTERNATIONAL CONSULTING,605,148,0.2446
GRAYMONT NB,59,2,0.0339
GRC ARCHITECTS,15,11,0.7333
GREAT SLAVE HELICOPTERS,183,20,0.1093
GREATER TORONTO AIRPORT AUTHORITY,8,4,0.5
GREEN LIGHT CONSULTING SOLUTIONS,5,1,0.2
GREEN TIMBERS PARTNERSHIP,2,1,0.5
GREENDALE RESOURCES,23,6,0.2609
GREENFIELD CONSTRUCTION,15,10,0.6667
GREG VAN WYK PROFESSIONAL,10,4,0.4
GREY ROCK SERVICES,4,2,0.5
GRIFFIN ENGINEERED SYSTEMS,4,2,0.5
GRIFFON HOVERWORK,29,10,0.3448
GROUPE EDGENDA,14,5,0.3571
GROUPE ENERGIE BDL,32,1,0.0312
GROUPE ONSCOPE,2,2,1
GROUPE ROBERT,1,1,1
GUILLEVIN INTERNATIONAL,44,0,0
GW REALTY,7,5,0.7143
H H CONSTRUCTION,2,0,0
H J R ASPHALT,1,1,1
HALIFAX CITADEL SOCIETY,3,2,0.6667
HALIFAX COMPUTER CONSULTING GROUP THE,1,0,0
HALIFAX INTERNATIONAL AIRPORT,1,1,1
HALPENNY INSURANCE BROKERS,28,10,0.3571
HAMEL CONSTRUCTION,4,4,1
HAN CHANG MEDIC,1,1,1
HARBOURSIDE ENGINEERING CONSULTANTS,83,19,0.2289
HARNOIS ENERGIES,127,11,0.0866
HASKONING UK,1,0,0
HASTINGS PAINTING,3,2,0.6667
HATCH,20,3,0.15
HAWBOLDT INDUSTRIES,32,7,0.2188
HAWORTH,187,11,0.0588
HAZELWOOD CONSTRUCTION SERVICES,1,1,1
HDP GROUP,33,4,0.1212
HEAVY METAL MARINE,26,10,0.3846
HEDDLE MARINE SERVICES,56,31,0.5536
HEILTSUK HORIZON MARITIME SERVICES,13,3,0.2308
HELITRADES,72,7,0.0972
HEMMERA ENVIROCHEM,29,4,0.1379
HERCULES SLR,14,2,0.1429
HERITAGE RESTORATION,5,3,0.6
HEROLD ENGINEERING,53,14,0.2642
HERRING CONSERVATION AND RESEARCH SOCIETY,4,2,0.5
HEWLETT PACKARD,80,9,0.1125
HEXAGON,15,1,0.0667
HIGHLANDS FUEL DELIVERY,13,6,0.4615
HIGHLINE ELECTRIC P A,4,1,0.25
HIKE METAL PRODUCTS,5,2,0.4
HILTON BROTHERS CONTRACTING,1,0,0
HIPPERSON CONSTRUCTION,1,1,1
HITACHI DATA SYSTEMS,94,9,0.0957
HITRAC,25,0,0
HOLLAND COLLEGE,5,1,0.2
HOLMAN FENWICK WILLAN,1,0,0
HOLONICS,5,4,0.8
HOMEWOOD HEALTH,8,1,0.125
HONEY CONSTRUCTION,10,1,0.1
HONEYWELL,428,39,0.0911
HOOTSUITE,4,1,0.25
HORIZANT,65,9,0.1385
HORSESHOE HILL CONSTRUCTION,1,1,1
HOSKIN SCIENTIFIC,523,12,0.0229
HOULE ELECTRIC,40,10,0.25
HOUSE OF HOPE,5,5,1
HOWARD HOUSE ASSOCIATION OF CAPE BRETON,3,2,0.6667
HOWDEN ROOTS,2,1,0.5
HR ASSOCIATES,48,31,0.6458
HUBSPOKE,14,4,0.2857
HUMAN LOGISTICS,3,0,0
HUMANSCALE CANADA,155,2,0.0129
HUMANSYSTEMS,2,0,0
HYPERTEC,518,43,0.083
I M P GROUP,6,2,0.3333
I4C INFORMATION TECHNOLOGY,43,20,0.4651
IBI GROUP ARCHITECTS CANADA,12,5,0.4167
IBISKA TELECOM,241,115,0.4772
IBM CANADA,925,188,0.2032
ICE DEVELOPMENT,1,1,1
ICEBERG NETWORKS,27,7,0.2593
ICU MEDICAL CANADA,1,1,1
IDN CANADA,41,0,0
IDP GROUP,5,2,0.4
IDS SYSTEMS CONSULTANTS,13,2,0.1538
IFATHOM,41,10,0.2439
IHS GLOBAL,71,8,0.1127
IHS MARKIT CANADA,113,2,0.0177
IIC TECHNOLOGIES,73,16,0.2192
ILLUMINA CANADA,716,24,0.0335
IMA NORTH AMERICA,1,0,0
IMP GROUP,14,6,0.4286
IMPERIAL CLEANERS,11,7,0.6364
IMPERIAL OIL,576,69,0.1198
IMTECH MARINE CANADA,66,8,0.1212
INDAL TECHNOLOGIES,1,0,0
INDIVIOR UK,166,2,0.012
INDUSTRA CONSTRUCTION,75,22,0.2933
INDUSTRA LIARD CONSTRUCTION,1,1,1
INDUSTRIES OCEAN,11,6,0.5455
INFO TECH RESEARCH GROUP,195,3,0.0154
INFORMATICA,5,1,0.2
INFOSYS,1,1,1
INKSMITH,1,1,1
INLAND AUDIO VISUAL,43,1,0.0233
INMARSAT SOLUTIONS,6,5,0.8333
INNOVASEA MARINE SYSTEMS CANADA,258,10,0.0388
INSA,194,23,0.1186
INSIGHT SOFTWARE CANADA,93,5,0.0538
INSTITUT NATIONAL D OPTIQUE,3,3,1
INSTITUTE ON GOVERNANCE,141,7,0.0496
INSTRUX MEDIA,65,3,0.0462
INTEGRA NETWORKS,123,5,0.0407
INTEGRATED DISTRIBUTION SYSTEMS,25,4,0.16
INTER MEDICO,34,5,0.1471
INTER OUTAOUAIS,3,1,0.3333
INTERACTIVE AUDIO VISUAL,163,12,0.0736
INTERCON MARINE,18,11,0.6111
INTERCONTINENTAL TRUCK BODY,10,3,0.3
INTERFAX SYSTEMS,31,0,0
INTERNATIONAL REPORTING,55,13,0.2364
INTERNATIONAL SAFETY RESEARCH,11,4,0.3636
INTEROUTE CONSTRUCTION,5,4,0.8
INTERWORKS CONTRACTING,8,4,0.5
INUKSHUK CONSTRUCTION,2,2,1
INVENTA SALES AND PROMOTIONS,2,1,0.5
IPS INTEGRATED PROJECT SERVICES,4,2,0.5
IPSOS,35,8,0.2286
IPSS,233,28,0.1202
IQVIA,13,1,0.0769
IQVIA SOLUTIONS CANADA,18,2,0.1111
IRON MOUNTAIN,546,134,0.2454
IRONCLAD EARTHWORKS,5,4,0.8
IRVING OIL,1005,26,0.0259
IRVING SHIPBUILDING,10,3,0.3
ISLAND TEMPERATURE CONTROLS,11,1,0.0909
ISLAND WEST COAST DEVELOPMENTS,1,0,0
ISM INFORMATION SYSTEMS MANAGEMENT,1,0,0
ISOMASS SCIENTIFIC,41,1,0.0244
ISOPLEX,1,1,1
IT NET CONSULTANTS,85,44,0.5176
ITEX,499,35,0.0701
IVALUA,2,0,0
IVAN S CAMERA 2017,55,5,0.0909
IWC EXCAVATION,5,3,0.6
J 1 CONTRACTING,2,2,1
J D G CONSTRUCTION MANAGEMENT,1,1,1
J E ENTERPRISES,21,6,0.2857
J J LEPERA INFRASTRUCTURES,1,1,1
J J TRAILERS MANUFACTURERS AND SALES,9,1,0.1111
J L RICHARDS ASSOCIATES,104,27,0.2596
J M J HOLDINGS,5,5,1
J M LEDRESSAY ASSOCIATES,1,1,1
J N A LEBLANC ELECTRIQUE,1,1,1
J O THOMAS ASSOCIATES,22,7,0.3182
J P GRAVEL CONSTRUCTION,11,6,0.5455
J STERLING INDUSTRIES,1,1,1
J W LINDSAY ENTERPRISES,10,2,0.2
JACOB BROS CONSTRUCTION,1,1,1
JANKEL TACTICAL SYSTEMS,34,3,0.0882
JASCO APPLIED SCIENCES CANADA,68,11,0.1618
JASPER CONCRETE,16,8,0.5
JASTRAM ENGINEERING,9,2,0.2222
JAVELIN TECHNOLOGIES,50,2,0.04
JCB,8,1,0.125
JEAN DAOUST CONSTRUCTION,1,1,1
JEMTEC,3,1,0.3333
JEOL CANADA,19,4,0.2105
JERRY BERGEN MEDICAL,2,1,0.5
JHT DEFENSE,8,0,0
JIM PATTISON INDUSTRIES,193,23,0.1192
JJM CONSTRUCTION,4,3,0.75
JOAN HOLMES ASSOC,46,9,0.1957
JOHN HOWARD SOCIETY,136,76,0.5588
JOHN WILEY SONS,32,7,0.2188
JOHNSON CONTROLS CANADA,45,8,0.1778
JOHNSON S CONSTRUCTION,7,7,1
JOKINEN LAW PROFESSIONAL,1,1,1
JONELJIM CONCRETE CONSTRUCTION,25,11,0.44
JONES LANG LASALLE,25,11,0.44
JOSEPH ELIE,128,6,0.0469
JOSEPH RIBKOFF,1,1,1
JP2G CONSULTANTS,22,7,0.3182
JSK NAVAL SUPPORT,6,0,0
JUMEC CONSTRUCTION,14,5,0.3571
JUMPING ELEPHANTS,57,3,0.0526
JUNO RISK SOLUTIONS,67,8,0.1194
K C E CONSTRUCTION,5,1,0.2
K L CONSTRUCTION ONTARIO,2,2,1
K RITE CONSTRUCTION,2,1,0.5
KANIYASIHK CULTURE CAMPS,8,0,0
KANTER MARINE,10,8,0.8
KASIAN ARCHITECTURE INTERIOR DESIGN,32,18,0.5625
KATHRYN E BARNARD,2,0,0
KAYWAY INDUSTRIES,105,4,0.0381
KEHOE MARINE CONSTRUCTION,10,4,0.4
KENN BOREK AIR,70,19,0.2714
KETZA PACIFIC CONSTRUCTION,9,7,0.7778
KEYDATA ASSOCIATES,15,4,0.2667
KEYSIGHT TECHNOLOGIES CANADA,65,2,0.0308
KEYSTONE ENVIRONMENTAL,42,8,0.1905
KEYSTONE SUPPLIES INTERNATIONAL,62,10,0.1613
KF AEROSPACE,36,11,0.3056
KFN ENTERPRISES PARTNERSHIP,1,1,1
KGS GROUP CONSULTING ENGINEERS,5,3,0.6
KIA CANADA,53,8,0.1509
KILEY PAVING,5,1,0.2
KINETIC CONSTRUCTION,5,3,0.6
KINETIC MACHINE WORKS,2,2,1
KING HOE EXCAVATING,3,2,0.6667
KINGHAVEN PEARDONVILLE HOUSE SOCIETY,2,2,1
KINGSTON CONSTRUCTION,2,0,0
KINGSVIEW CONSTRUCTION,5,1,0.2
KLEYSEN GROUP,2,1,0.5
KMS INDUSTRIES,11,4,0.3636
KNOLL NORTH AMERICA,51,8,0.1569
KNOWLEDGE CIRCLE,224,32,0.1429
KONE,60,14,0.2333
KONGSBERG,108,12,0.1111
KONICA MINOLTA BUSINESS EQUIPMENT,74,9,0.1216
KONICA MINOLTA BUSINESS SOLUTIONS,380,89,0.2342
KONTZAMANIS GRAUMANN SMITH,38,21,0.5526
KORN FERRY CA,39,5,0.1282
KPMG,213,55,0.2582
KRAKEN ROBOTIC SYSTEMS,4,0,0
KROMAR PRINTING,72,4,0.0556
KUBOTA CANADA,39,4,0.1026
KUDLIK CONSTRUCTION,9,5,0.5556
KURT J LESKER CANADA,107,0,0
KWC ARCHITECTS,40,13,0.325
KYNDRYL CANADA,37,4,0.1081
L A HEBERT,4,4,1
L AGENCE,4,4,1
L BREAU AND SONS,19,5,0.2632
L D WATSON E S MACEWEN ALLAN,11,7,0.6364
L P ROYER,5,2,0.4
L W DENNIS CONTRACTING,3,2,0.6667
L3HARRIS,78,8,0.1026
LABO S M GROUPE ABS,1,1,1
LABORATOIRES OMEGA,3,1,0.3333
LAKESHORE HELICOPTERS,50,7,0.14
LANDAUER,8,0,0
LANDAUER INLIGHT,19,2,0.1053
LANDCO CONSTRUCTION,11,4,0.3636
LANDFORM CIVIL INFRASTRUCTURES,2,2,1
LANGUAGE MARKETPLACE,73,16,0.2192
LANGUAGE RESEARCH DEVELOPMENT GROUP,212,49,0.2311
LANNICK CONTRACT SOLUTIONS,38,24,0.6316
LANSDOWNE TECHNOLOGIES,78,7,0.0897
LAPORTE,16,10,0.625
LAPORTE EXPERTS CONSEILS,2,2,1
LARCH HALF WAY HOUSE OF SUDBURY,5,4,0.8
LARRY PENNER ENTERPRISES,23,3,0.1304
LAURENTIAN TECHNOLOGIES,31,0,0
LAVAL FORTIN,1,1,1
LAVAL LAB,7,0,0
LAVERGNE CONSTRUCTION 1988,13,5,0.3846
LE GROUPE DRUMCO CONSTRUCTION,1,1,1
LEAN AGILITY,117,6,0.0513
LEAR CONSTRUCTION,1,1,1
LEC ENGINEERING CONTRACTING,1,1,1
LEDCOR CONSTRUCTION,1,1,1
LEEWAY YACHTS,3,0,0
LEGER MARKETING,36,9,0.25
LEMAY,9,4,0.4444
LENGKEEK VESSEL ENGINEERING,57,9,0.1579
LEO PISCES SERVICES GROUP,29,11,0.3793
LEONARDO,6,3,0.5
LES AUTOBUS E MENARD ET FILS,3,1,0.3333
LES CONSTRUCTIONS BELAND,3,2,0.6667
LES CONSTRUCTIONS BINET,5,4,0.8
LES CONSTRUCTIONS DES ILES,8,4,0.5
LES COUVERTURES ST LEONARD,1,1,1
LES ENQUETES HENRI,145,22,0.1517
LES ENTREPRISES FERVEL,8,6,0.75
LES ENTREPRISES MICHAUDVILLE,1,1,1
LES ENTREPRISES P E C,23,11,0.4783
LES ENTREPRISES PREBBEL,12,11,0.9167
LES ENTREPRISES ROBERT SANFACON,2,2,1
LES ENTREPRISES SAMSON ENTERPRISES,18,5,0.2778
LES ENTREPRISES SIFEC NORD,6,1,0.1667
LES EQUIPEMENTS CLAUDE PEDNEAULT,11,3,0.2727
LES HUILES DESROCHES,110,6,0.0545
LES INSTALLATIONS ELECTRIQUES,8,1,0.125
LES TRADUCTEURS REUNIS,57,4,0.0702
LES TRADUCTIONS TESSIER,104,21,0.2019
LES TRAITEURS BYTOWN CATERING,5,1,0.2
LESAGE DAVID DR,8,5,0.625
LESLIE BENN CONTRACTING,7,5,0.7143
LEVAERO AVIATION,225,9,0.04
LEVERAGE TECHNOLOGY RESOURCES,16,6,0.375
LEVITT SAFETY,51,9,0.1765
LEXISNEXIS CANADA,72,14,0.1944
LIEBHERR CANADA,9,0,0
LIFE TECHNOLOGIES,438,26,0.0594
LIFELABS,9,3,0.3333
LIFESPEAK,4,4,1
LIKE 10,18,5,0.2778
LINDSAY CONSTRUCTION,18,3,0.1667
LINOVATI,46,22,0.4783
LIONBRIDGE,473,122,0.2579
LLOYD LIBKE LAW ENFORCEMENT SALES,6,3,0.5
LLOYD S REGISTER CANADA,29,6,0.2069
LOCKHEED MARTIN,9,1,0.1111
LOGISTIK UNICORP,12,5,0.4167
LOISELLE,3,2,0.6667
LOTEK WIRELESS,88,5,0.0568
LOUIS W BRAY CONSTRUCTION,10,8,0.8
LOWE MARTIN COMPANY,73,12,0.1644
LRO STAFFING,27,10,0.3704
LS TELCOM,3,2,0.6667
LUCIRA HEALTH,4,2,0.5
LUMINA IT,315,133,0.4222
LUMINULTRA TECHNOLOGIES,3,2,0.6667
LUXTON CONSTRUCTION,19,9,0.4737
LWG ARCHITECTURAL INTERIORS,20,10,0.5
M 2 GROUP,2,2,1
M A INDEPENDENT BUILDING SERVICES,3,1,0.3333
M D CHARLTON,227,8,0.0352
M D STEELE CONSTRUCTION,1,1,1
M R ENGINEERING,13,5,0.3846
M SULLIVAN SON,3,2,0.6667
MACDONALD DETTWILER AND ASSOCIATES,202,34,0.1683
MACEWEN PETROLEUM,71,11,0.1549
MACK TRUCKS,1,0,0
MACKINNON AND OLDING,6,0,0
MACONNERIE DYNAMIQUE,11,6,0.5455
MACONNERIE RAINVILLE ET FRERES,7,5,0.7143
MADSEN DIESEL TURBINE,256,18,0.0703
MAGAL S3 CANADA,6,4,0.6667
MAGELLAN AEROSPACE,7,2,0.2857
MAGNET FORENSICS,18,6,0.3333
MAISON CHARLEMAGNE,4,2,0.5
MAISON CROSS ROADS DE LA SOCIETE,4,4,1
MAISON DECISION HOUSE,4,2,0.5
MAISON JEUN AIDE,3,2,0.6667
MAISON JOINS TOI,3,2,0.6667
MAISON PAINCHAUD,2,2,1
MAISON RADISSON,2,2,1
MAKWA RESOURCING,77,29,0.3766
MALLEN GOWING BERZINS,13,6,0.4615
MAN ENERGY SOLUTIONS CANADA,1,0,0
MANIFEST COMMUNICATIONS,6,3,0.5
MANITOBA HYDRO,6,0,0
MANPOWER SERVICES CANADA,16,10,0.625
MANULIFE,10,0,0
MAPLE REINDERS CONSTRUCTORS,6,4,0.6667
MAPLESOFT CONSULTING,370,245,0.6622
MARCO MARITIMES,1,1,1
MARINE CONTRACTORS,11,7,0.6364
MARINE RECYCLING,15,7,0.4667
MARINENAV,83,23,0.2771
MARITECH CONSTRUCTION,5,3,0.6
MARITIME FENCE,8,3,0.375
MARITIME FUELS,99,10,0.101
MARKIDO,67,10,0.1493
MARRBECK CONSTRUCTION,1,1,1
MARTEC,1,0,0
MARTECH ELECTRICAL SYSTEMS,4,3,0.75
MASKIMO CONSTRUCTION,7,3,0.4286
MASONTECH,4,3,0.75
MATANE PRODUCTION,1,1,1
MATCON ENVIRONMENTAL,20,5,0.25
MATCON EXCAVATION SHORING,41,14,0.3415
MATRIX AVIATION SOLUTIONS,10,2,0.2
MAVERIN,17,8,0.4706
MAVERIN BUSINESS SERVICES,2,1,0.5
MAXIM 2000,5,5,1
MAXIMUS CANADA,1,0,0
MAXSYS STAFFING AND CONSULTING,186,63,0.3387
MCAFEE INTERNATIONAL,3,1,0.3333
MCCARTHY TETRAULT,7,0,0
MCCOLMAN SONS DEMOLITION,2,1,0.5
MCDONALD BROS CONSTRUCTION,2,1,0.5
MCELHANNEY ASSOCIATES,143,37,0.2587
MCGILL UNIVERSITY,83,12,0.1446
MCGREGOR GEOSCIENCE,3,2,0.6667
MCKESSON CANADA,3340,21,0.0063
MCKINSEY AND COMPANY,12,4,0.3333
MCKNIGHT ENTERPRISES,10,3,0.3
MCMASTER UNIVERSITY,55,3,0.0545
MCNALLY CONSTRUCTION,14,6,0.4286
MCW CONSULTANTS,22,6,0.2727
MCW CUSTOM ENERGY SOLUTIONS,17,4,0.2353
MDOS CONSULTING,58,22,0.3793
MEAL KIT SUPPLY CANADA,1,0,0
MED ENG HOLDINGS,27,2,0.0741
MEDALLION MILK,227,1,0.0044
MEDAVIE,3,3,1
MEDI SELECT,16,1,0.0625
MEDIA Q,107,28,0.2617
MEDTRONIC CANADA,7,1,0.1429
MEEWASINOTA CRF,3,3,1
MEGA POWER INSTALLATIONS,21,1,0.0476
MEGA TECH,280,6,0.0214
MEGALEXIS COMMUNICATIONS,94,34,0.3617
MEGGITT,3,1,0.3333
MELTWATER NEWS CANADA,110,11,0.1
MERCER CANADA,41,3,0.0732
MERCK FROSST,75,3,0.04
MERCURY MARINE,107,6,0.0561
MERIDIAN ENGINEERING,72,14,0.1944
MERIDIAN MEDICAL TECHNOLOGIES,5,0,0
MESSA COMPUTING,39,21,0.5385
METALCRAFT MARINE,3,0,0
METOCEAN TELEMATICS,32,12,0.375
METRO LOGISTICS,1,1,1
METRO PAVING AND ROAD BUILDING,12,9,0.75
METRO SUPPLY CHAIN,1,0,0
MGIS,58,25,0.431
MHV SERVICES D HYGIENE,47,23,0.4894
MICHAEL WAGER CONSULTING,40,20,0.5
MICHANIE CONSTRUCTION,34,9,0.2647
MICHEL BASTARACHE SOCIETE PROFESSIONNELLE,1,0,0
MICHELIN,6,0,0
MICRONOSTYX,6,2,0.3333
MICROSOFT CANADA,950,137,0.1442
MID CANADA MOD CENTER,115,18,0.1565
MID VALLEY CONSTRUCTION,5,2,0.4
MIKE KELLY SONS,2,2,1
MILESTONE ENVIRONMENTAL,19,9,0.4737
MILLBROOK TACTICAL,60,5,0.0833
MILLENNIUM LIMOUSINE SERVICE,1,1,1
MILLER WASTE SYSTEMS,23,3,0.1304
MILLIPORE CANADA,41,3,0.0732
MILTEX SOLUTIONS CANADA,6,2,0.3333
MINDWIRE SYSTEMS,594,366,0.6162
MINISTRY OF FINANCE,36,2,0.0556
MIREMS,17,9,0.5294
MISHKUMI TECHNOLOGIES,140,13,0.0929
MITSUBISHI MOTOR SALES,187,39,0.2086
MKDS TRAINING,4,0,0
MNP,236,34,0.1441
MOBILE RESOURCE GROUP,48,5,0.1042
MODERN CONSTRUCTION,5,2,0.4
MODIS CANADA,535,354,0.6617
MOERAE SOLUTIONS,16,13,0.8125
MOMENTUM SOLUTIONS,4,3,0.75
MONERIS,2,2,1
MOORE CANADA,66,16,0.2424
MORIYAMA TESHIMA ARCHITECTS,3,2,0.6667
MORNEAU SHEPELL,31,13,0.4194
MORPHO CANADA,67,4,0.0597
MORRISON HERSHFIELD,95,22,0.2316
MOSS DEVELOPMENT,4,3,0.75
MOTOROLA SOLUTIONS CANADA,728,38,0.0522
MOUNTAIN ROCK STABILIZATION,8,4,0.5
MQM QUALITY MANUFACTURING,1,0,0
MRS MANAGEMENT AND,1,1,1
MTC LAW,1,1,1
MTE LOGISTIX EDMONTON,4,1,0.25
MTM 2 CONTRACTING,6,4,0.6667
MTS ALLSTREAM,210,94,0.4476
MUFACTOR,1,1,1
MULTISHRED,26,3,0.1154
MUNICIPAL READY MIX,14,6,0.4286
MURRAYS MILLWOOD MANOR,2,1,0.5
MURRAYS WINDERMERE GARDENS,4,2,0.5
MUSTANG HELICOPTERS,40,9,0.225
MUSTANG SURVIVAL,66,7,0.1061
MWCO,1,1,1
MYTICAS CONSULTING,1,0,0
N P A,2,1,0.5
N12 CONSULTING,17,8,0.4706
"NADINE INTERNATIONAL",34,15,0.4412
"NAHANNI CONSTRUCTION",4,3,0.75
"NANOMETRICS",20,1,0.05
"NAPPAQ DESIGN CONSTRUCTION",2,1,0.5
"NATCO PHARMA CANADA",3,0,0
"NATIONAL ARTS CENTRE",17,1,0.0588
"NATIONAL STRUCTURES",3,3,1
"NATIONS TRANSLATION GROUP",378,88,0.2328
"NATIVE CLAN ORGANIZATION",3,3,1
"NATTIQ",91,26,0.2857
"NAUT MAWT TRIBAL COUNCIL",9,1,0.1111
"NAV CANADA",23,4,0.1739
"NAVAMAR",12,3,0.25
"NAVPOINT CONSULTING GROUP",23,10,0.4348
"NAVTECH",13,3,0.2308
NDL CONSTRUCTION,2,2,1
NELSON ENVIRONMENTAL REMEDIATION,6,4,0.6667
NEOPOST CANADA,26,1,0.0385
NEPTEC DESIGN GROUP,12,3,0.25
NEPTUNE SECURITY SERVICES,14,3,0.2143
NEUROSCOPE,3,1,0.3333
NEW ENGLAND BIOLABS,9,2,0.2222
NEWDOCK ST JOHN S DOCKYARD,37,31,0.8378
NEWFOUND RECRUITING,82,43,0.5244
NEWFOUNDLAND HELICOPTERS,64,4,0.0625
NFOE,9,6,0.6667
NICHE TECHNOLOGY,2,1,0.5
NIKON CANADA,76,0,0
NIMBLE INFORMATION STRATEGIES,60,10,0.1667
NISHA TECHONOLOGIES,1443,136,0.0942
NISSAN CANADA,156,13,0.0833
NITAM SOLUTIONS,205,9,0.0439
NITRO CONSTRUCTION,5,5,1
NKE INSTRUMENTATION,21,3,0.1429
NMC DYNAPLAS,1,1,1
NOKIA CANADA,1,0,0
NOLINOR AVIATION,42,0,0
NORDMEC CONSTRUCTION,2,2,1
NORR,57,23,0.4035
NORTAC DEFENCE,3,3,1
